,index,timestamp,open,high,low,close,volume
0,0,1694044800000,0.08818,0.08823,0.08811,0.08811,80764
1,1,1694044860000,0.08807,0.08828,0.08807,0.08827,57851
2,2,1694044920000,0.08826,0.08826,0.08813,0.08815,51081
3,3,1694044980000,0.08816,0.08819,0.08816,0.08819,16093
4,4,1694045040000,0.08821,0.08821,0.08807,0.08807,20710
5,5,1694045100000,0.08807,0.08807,0.088,0.088,39121
6,6,1694045160000,0.088,0.08802,0.08792,0.08792,99935
7,7,1694045220000,0.08791,0.08792,0.08787,0.0879,61364
8,8,1694045280000,0.08787,0.08788,0.08781,0.08781,120203
9,9,1694045340000,0.08781,0.08781,0.08778,0.08778,9797
10,10,1694045400000,0.08778,0.08779,0.08775,0.08775,64151
11,11,1694045460000,0.08776,0.08786,0.08776,0.08782,44607
12,12,1694045520000,0.08779,0.08779,0.08779,0.08779,152
13,13,1694045580000,0.08779,0.08779,0.08769,0.08769,57887
14,14,1694045640000,0.08767,0.0877,0.08748,0.08757,596235
15,15,1694045700000,0.08759,0.08768,0.08759,0.08768,31000
16,16,1694045760000,0.08768,0.08768,0.08761,0.08767,62673
17,17,1694045820000,0.08768,0.08768,0.08762,0.08763,44315
18,18,1694045880000,0.08762,0.08764,0.08762,0.08764,28499
19,19,1694045940000,0.08764,0.08764,0.08758,0.08758,19597
20,20,1694046000000,0.08762,0.08764,0.08744,0.08746,123662
21,21,1694046060000,0.08744,0.08752,0.08744,0.08752,38278
22,22,1694046120000,0.08753,0.08754,0.08745,0.08748,43902
23,23,1694046180000,0.08749,0.08772,0.08749,0.08766,200168
24,24,1694046240000,0.08762,0.08763,0.08759,0.08763,3758
25,25,1694046300000,0.08764,0.08767,0.08763,0.08767,15810
26,26,1694046360000,0.08768,0.08775,0.08768,0.08771,119877
27,27,1694046420000,0.08771,0.08773,0.08734,0.08738,765577
28,28,1694046480000,0.0874,0.08751,0.0874,0.08751,37851
29,29,1694046540000,0.08751,0.08757,0.08746,0.08746,63944
