,index,timestamp,open,high,low,close,volume
0,0,1688169600000,13.36,13.41,13.36,13.39,1070.5
1,1,1688169660000,13.39,13.39,13.37,13.37,109.2
2,2,1688169720000,13.37,13.39,13.37,13.38,243.0
3,3,1688169780000,13.37,13.38,13.35,13.36,350.3
4,4,1688169840000,13.36,13.36,13.34,13.34,444.2
5,5,1688169900000,13.35,13.37,13.33,13.33,408.8
6,6,1688169960000,13.33,13.35,13.32,13.34,160.5
7,7,1688170020000,13.35,13.35,13.35,13.35,0.4
8,8,1688170080000,13.35,13.37,13.35,13.37,24.5
9,9,1688170140000,13.37,13.37,13.35,13.35,37.7
10,10,1688170200000,13.35,13.37,13.35,13.37,145.8
11,11,1688170260000,13.37,13.37,13.37,13.37,0.0
12,12,1688170320000,13.37,13.37,13.37,13.37,0.0
13,13,1688170380000,13.37,13.37,13.34,13.34,119.3
14,14,1688170440000,13.33,13.33,13.33,13.33,5.2
15,15,1688170500000,13.32,13.33,13.32,13.33,233.4
16,16,1688170560000,13.33,13.34,13.33,13.34,40.5
17,17,1688170620000,13.34,13.34,13.31,13.32,94.4
18,18,1688170680000,13.32,13.32,13.32,13.32,0.0
19,19,1688170740000,13.32,13.32,13.32,13.32,41.6
20,20,1688170800000,13.34,13.34,13.33,13.33,46.3
21,21,1688170860000,13.34,13.34,13.34,13.34,19.3
22,22,1688170920000,13.34,13.34,13.34,13.34,0.0
23,23,1688170980000,13.34,13.34,13.34,13.34,39.0
24,24,1688171040000,13.34,13.34,13.33,13.33,176.1
25,25,1688171100000,13.34,13.34,13.34,13.34,19.7
26,26,1688171160000,13.34,13.34,13.34,13.34,18.9
27,27,1688171220000,13.34,13.34,13.34,13.34,79.8
28,28,1688171280000,13.35,13.35,13.34,13.35,38.7
29,29,1688171340000,13.35,13.37,13.35,13.37,14.5
30,30,1688171400000,13.37,13.38,13.37,13.38,44.8
31,31,1688171460000,13.38,13.38,13.38,13.38,2.9
32,32,1688171520000,13.38,13.38,13.37,13.37,9.1
33,33,1688171580000,13.37,13.37,13.37,13.37,0.0
34,34,1688171640000,13.37,13.38,13.37,13.38,2.8
35,35,1688171700000,13.37,13.37,13.35,13.35,121.2
36,36,1688171760000,13.35,13.35,13.35,13.35,0.0
37,37,1688171820000,13.35,13.35,13.35,13.35,0.0
38,38,1688171880000,13.36,13.36,13.36,13.36,12.4
39,39,1688171940000,13.36,13.37,13.36,13.37,53.9
40,40,1688172000000,13.37,13.37,13.37,13.37,43.5
41,41,1688172060000,13.38,13.38,13.38,13.38,2.1
