,index,timestamp,open,high,low,close,volume
0,0,1693958400000,14.07,14.13,14.06,14.1,10355.4
1,1,1693958460000,14.1,14.14,14.09,14.14,5483.6
2,2,1693958520000,14.15,14.15,14.1,14.1,5406.5
3,3,1693958580000,14.11,14.11,14.09,14.1,1808.4
4,4,1693958640000,14.1,14.12,14.09,14.11,2139.6
5,5,1693958700000,14.12,14.18,14.11,14.18,9676.9
6,6,1693958760000,14.18,14.2,14.17,14.2,5928.6
7,7,1693958820000,14.19,14.23,14.19,14.23,5603.2
8,8,1693958880000,14.23,14.25,14.22,14.24,3256.9
9,9,1693958940000,14.24,14.26,14.24,14.26,1564.2
10,10,1693959000000,14.26,14.27,14.25,14.26,4998.3
11,11,1693959060000,14.27,14.27,14.26,14.27,1743.1
12,12,1693959120000,14.27,14.29,14.26,14.29,2553.4
13,13,1693959180000,14.28,14.29,14.26,14.27,11152.2
14,14,1693959240000,14.26,14.27,14.26,14.26,1051.5
15,15,1693959300000,14.26,14.27,14.26,14.26,2739.9
16,16,1693959360000,14.26,14.27,14.26,14.26,1535.7
17,17,1693959420000,14.26,14.27,14.26,14.26,387.1
18,18,1693959480000,14.26,14.27,14.26,14.26,528.0
19,19,1693959540000,14.27,14.27,14.26,14.26,698.2
20,20,1693959600000,14.26,14.27,14.26,14.26,770.6
21,21,1693959660000,14.26,14.27,14.26,14.27,2697.1
22,22,1693959720000,14.26,14.27,14.26,14.26,1025.6
23,23,1693959780000,14.26,14.27,14.22,14.22,3338.0
24,24,1693959840000,14.22,14.23,14.21,14.21,667.7
25,25,1693959900000,14.22,14.22,14.2,14.21,1990.5
26,26,1693959960000,14.21,14.21,14.16,14.16,5250.3
27,27,1693960020000,14.16,14.16,14.01,14.04,36191.1
28,28,1693960080000,14.05,14.05,13.98,13.99,25065.4
29,29,1693960140000,14.0,14.0,13.95,13.95,9004.9
30,30,1693960200000,13.95,13.96,13.94,13.94,4559.1
31,31,1693960260000,13.94,13.94,13.86,13.86,10842.8
32,32,1693960320000,13.86,13.87,13.86,13.86,4016.1
33,33,1693960380000,13.87,13.87,13.84,13.85,10009.6
34,34,1693960440000,13.85,13.91,13.85,13.91,7925.2
35,35,1693960500000,13.91,13.91,13.88,13.89,5897.2
36,36,1693960560000,13.9,13.94,13.89,13.94,4350.7
37,37,1693960620000,13.93,13.94,13.93,13.93,1346.2
38,38,1693960680000,13.94,13.94,13.93,13.93,1346.2
39,39,1693960740000,13.94,13.96,13.93,13.95,1529.8
40,40,1693960800000,13.96,13.97,13.95,13.97,1336.0
41,41,1693960860000,13.96,13.98,13.96,13.98,1641.3
42,42,1693960920000,13.97,13.99,13.97,13.99,1195.8
43,43,1693960980000,13.98,14.02,13.98,14.02,3703.7
44,44,1693961040000,14.02,14.05,14.01,14.05,2176.0
45,45,1693961100000,14.05,14.05,14.04,14.05,1252.5
46,46,1693961160000,14.05,14.05,14.04,14.05,2316.0
47,47,1693961220000,14.05,14.12,14.03,14.12,13754.8
48,48,1693961280000,14.11,14.12,14.11,14.12,1713.8
49,49,1693961340000,14.13,14.13,14.12,14.12,1744.4
50,50,1693961400000,14.13,14.14,14.12,14.14,1173.1
51,51,1693961460000,14.13,14.16,14.13,14.16,1941.9
52,52,1693961520000,14.16,14.17,14.15,14.17,1513.0
53,53,1693961580000,14.17,14.19,14.17,14.19,2160.6
54,54,1693961640000,14.18,14.19,14.17,14.17,9740.2
55,55,1693961700000,14.17,14.17,14.12,14.14,4051.0
56,56,1693961760000,14.14,14.15,14.09,14.09,3612.1
57,57,1693961820000,14.1,14.14,14.08,14.14,5067.1
58,58,1693961880000,14.14,14.18,14.14,14.18,3468.9
59,59,1693961940000,14.18,14.18,14.17,14.17,454.6
60,60,1693962000000,14.17,14.2,14.17,14.2,5661.6
61,61,1693962060000,14.19,14.2,14.12,14.13,7633.4
62,62,1693962120000,14.14,14.16,14.13,14.16,3356.3
63,63,1693962180000,14.16,14.17,14.15,14.16,2105.5
64,64,1693962240000,14.16,14.2,14.15,14.18,3998.8
65,65,1693962300000,14.17,14.18,14.16,14.16,3214.2
66,66,1693962360000,14.17,14.17,14.13,14.13,1882.7
67,67,1693962420000,14.13,14.14,14.13,14.13,806.8
68,68,1693962480000,14.14,14.18,14.14,14.18,4503.1
69,69,1693962540000,14.18,14.21,14.17,14.21,3619.8
70,70,1693962600000,14.21,14.26,14.21,14.25,3568.7
71,71,1693962660000,14.26,14.27,14.26,14.27,2599.9
72,72,1693962720000,14.27,14.28,14.26,14.28,2080.8
73,73,1693962780000,14.27,14.28,14.27,14.28,1321.4
74,74,1693962840000,14.28,14.28,14.27,14.28,2089.9
75,75,1693962900000,14.27,14.28,14.22,14.24,11552.2
76,76,1693962960000,14.24,14.25,14.23,14.24,1130.7
77,77,1693963020000,14.24,14.24,14.2,14.21,2485.9
78,78,1693963080000,14.2,14.21,14.19,14.2,1483.4
79,79,1693963140000,14.19,14.2,14.19,14.19,489.7
80,80,1693963200000,14.2,14.24,14.19,14.24,4107.9
81,81,1693963260000,14.24,14.26,14.23,14.26,1679.0
