,index,timestamp,open,high,low,close,volume
0,0,1694649600000,0.3121,0.3124,0.3117,0.3117,60537
1,1,1694649660000,0.3118,0.3122,0.3118,0.3122,20002
2,2,1694649720000,0.3122,0.3122,0.3119,0.3121,34410
3,3,1694649780000,0.3121,0.3121,0.3115,0.3116,68502
4,4,1694649840000,0.3116,0.3118,0.3116,0.3118,14213
5,5,1694649900000,0.3118,0.3121,0.3117,0.3118,58084
6,6,1694649960000,0.3118,0.3119,0.3116,0.3116,23378
7,7,1694650020000,0.3116,0.3118,0.311,0.3112,61461
8,8,1694650080000,0.3112,0.3115,0.3112,0.3115,23216
9,9,1694650140000,0.3116,0.3116,0.3114,0.3115,20117
10,10,1694650200000,0.3116,0.312,0.3116,0.312,30517
11,11,1694650260000,0.312,0.312,0.3119,0.3119,13368
12,12,1694650320000,0.3118,0.3118,0.3115,0.3115,3739
13,13,1694650380000,0.3116,0.3119,0.3116,0.3119,23207
14,14,1694650440000,0.3119,0.3129,0.3119,0.3126,169175
15,15,1694650500000,0.3127,0.3127,0.3125,0.3125,29930
16,16,1694650560000,0.3125,0.3127,0.3125,0.3127,19073
17,17,1694650620000,0.3127,0.313,0.3127,0.313,18501
18,18,1694650680000,0.3131,0.3131,0.3129,0.3129,30570
19,19,1694650740000,0.3129,0.3129,0.3127,0.3128,12395
20,20,1694650800000,0.3128,0.3129,0.3124,0.3124,28334
21,21,1694650860000,0.3124,0.3124,0.3123,0.3124,880
22,22,1694650920000,0.3124,0.3126,0.3124,0.3124,12784
23,23,1694650980000,0.3123,0.3126,0.3123,0.3124,19766
24,24,1694651040000,0.3124,0.3125,0.3123,0.3124,9140
25,25,1694651100000,0.3123,0.3123,0.312,0.312,9624
26,26,1694651160000,0.3121,0.3124,0.3121,0.3124,11756
27,27,1694651220000,0.3124,0.3126,0.3123,0.3125,10636
28,28,1694651280000,0.3126,0.3129,0.3126,0.3129,8219
29,29,1694651340000,0.3128,0.3128,0.3126,0.3126,2247
30,30,1694651400000,0.3127,0.3128,0.3127,0.3128,5336
31,31,1694651460000,0.3128,0.3128,0.3127,0.3127,8323
32,32,1694651520000,0.3128,0.313,0.3128,0.313,3782
33,33,1694651580000,0.313,0.313,0.3128,0.3129,5362
34,34,1694651640000,0.3129,0.3137,0.3127,0.3136,83944
35,35,1694651700000,0.3137,0.3138,0.3134,0.3136,37104
36,36,1694651760000,0.3137,0.3145,0.3137,0.3142,60516
37,37,1694651820000,0.3142,0.3148,0.3141,0.3147,110208
38,38,1694651880000,0.3147,0.3147,0.3145,0.3146,14174
39,39,1694651940000,0.3147,0.3148,0.3145,0.3148,26976
40,40,1694652000000,0.3148,0.315,0.3147,0.3147,40307
41,41,1694652060000,0.3147,0.3149,0.3146,0.3147,30262
42,42,1694652120000,0.3147,0.3147,0.3144,0.3144,19830
43,43,1694652180000,0.3143,0.3145,0.3142,0.3143,96811
44,44,1694652240000,0.3143,0.3144,0.3141,0.3142,13762
45,45,1694652300000,0.3142,0.3146,0.3142,0.3144,21368
46,46,1694652360000,0.3144,0.315,0.3144,0.315,22556
47,47,1694652420000,0.315,0.3157,0.3149,0.3152,149182
48,48,1694652480000,0.3152,0.3156,0.3151,0.3151,117264
49,49,1694652540000,0.3151,0.3154,0.3151,0.3153,29477
50,50,1694652600000,0.3153,0.3158,0.3149,0.3156,160105
51,51,1694652660000,0.3156,0.3163,0.3153,0.316,91883
52,52,1694652720000,0.316,0.3164,0.3158,0.3163,70340
53,53,1694652780000,0.3163,0.3164,0.316,0.3161,36610
54,54,1694652840000,0.3161,0.3171,0.316,0.3168,153087
55,55,1694652900000,0.3169,0.317,0.3162,0.3166,94893
56,56,1694652960000,0.3166,0.3166,0.3164,0.3166,23604
57,57,1694653020000,0.3166,0.3167,0.3164,0.3167,14510
58,58,1694653080000,0.3167,0.3168,0.3165,0.3166,14040
59,59,1694653140000,0.3166,0.3173,0.3164,0.3172,17685
60,60,1694653200000,0.3171,0.3176,0.3167,0.3167,78730
61,61,1694653260000,0.3166,0.3172,0.316,0.3172,68833
62,62,1694653320000,0.3172,0.3172,0.3164,0.3164,21510
63,63,1694653380000,0.3163,0.3165,0.3161,0.3161,76748
64,64,1694653440000,0.3162,0.3165,0.3161,0.3164,39992
65,65,1694653500000,0.3164,0.3164,0.3159,0.3159,50726
66,66,1694653560000,0.3158,0.3158,0.3153,0.3154,45852
67,67,1694653620000,0.3153,0.3154,0.315,0.315,33781
68,68,1694653680000,0.315,0.315,0.3147,0.3147,39273
69,69,1694653740000,0.3147,0.315,0.3147,0.3148,26124
70,70,1694653800000,0.3148,0.315,0.3141,0.3141,51665
71,71,1694653860000,0.3142,0.3149,0.3141,0.3149,26258
72,72,1694653920000,0.3148,0.3149,0.3146,0.3146,21166
73,73,1694653980000,0.3147,0.3151,0.3147,0.3151,22949
74,74,1694654040000,0.315,0.3154,0.315,0.3154,36033
75,75,1694654100000,0.3153,0.3154,0.3145,0.3145,33810
76,76,1694654160000,0.3145,0.3146,0.3142,0.3145,40708
77,77,1694654220000,0.3145,0.3147,0.314,0.3145,35576
78,78,1694654280000,0.3144,0.3145,0.3133,0.3135,120974
79,79,1694654340000,0.3135,0.3136,0.3131,0.3133,92845
80,80,1694654400000,0.3134,0.3135,0.3126,0.3128,79584
81,81,1694654460000,0.3128,0.3136,0.3128,0.313,73169
82,82,1694654520000,0.313,0.3132,0.3129,0.3129,52915
