,index,timestamp,open,high,low,close,volume
0,0,1693699200000,0.466,0.466,0.4658,0.4659,25428.9
1,1,1693699260000,0.466,0.4666,0.4658,0.4664,61637.1
2,2,1693699320000,0.4664,0.4671,0.4664,0.4671,17690.1
3,3,1693699380000,0.4672,0.4673,0.4671,0.4673,16280.7
4,4,1693699440000,0.4674,0.4681,0.4674,0.4679,35906.3
5,5,1693699500000,0.4678,0.4681,0.4678,0.468,10804.5
6,6,1693699560000,0.468,0.468,0.4673,0.4674,20528.6
7,7,1693699620000,0.4675,0.4675,0.4674,0.4675,15945.7
8,8,1693699680000,0.4675,0.4676,0.4674,0.4674,4124.5
9,9,1693699740000,0.4674,0.4675,0.4674,0.4675,2430.4
10,10,1693699800000,0.4675,0.4676,0.4673,0.4673,5226.3
11,11,1693699860000,0.4673,0.4673,0.4669,0.4669,7975.4
12,12,1693699920000,0.4669,0.467,0.4665,0.4665,8930.8
13,13,1693699980000,0.4665,0.4665,0.4664,0.4665,2757.4
14,14,1693700040000,0.4665,0.4665,0.4665,0.4665,58.4
15,15,1693700100000,0.4665,0.4666,0.4663,0.4664,9222.4
16,16,1693700160000,0.4663,0.4664,0.4662,0.4662,9000.6
17,17,1693700220000,0.4661,0.4661,0.4658,0.4658,15627.7
18,18,1693700280000,0.4657,0.4657,0.4656,0.4657,1064.6
19,19,1693700340000,0.4656,0.4659,0.4656,0.4659,9443.9
20,20,1693700400000,0.4658,0.4659,0.4658,0.4659,168.4
21,21,1693700460000,0.4658,0.4658,0.4648,0.4649,19944.1
22,22,1693700520000,0.4649,0.4649,0.4649,0.4649,415.1
23,23,1693700580000,0.4649,0.465,0.4648,0.4648,11916.8
24,24,1693700640000,0.4647,0.4647,0.4645,0.4647,5610.7
25,25,1693700700000,0.4646,0.4648,0.4645,0.4647,5982.5
26,26,1693700760000,0.4648,0.465,0.4648,0.4649,2055.4
27,27,1693700820000,0.4649,0.465,0.4649,0.465,1827.6
28,28,1693700880000,0.465,0.465,0.4648,0.4649,6326.8
29,29,1693700940000,0.4648,0.4651,0.4648,0.465,10122.5
30,30,1693701000000,0.4649,0.4649,0.4645,0.4645,9191.5
31,31,1693701060000,0.4645,0.4647,0.4641,0.4644,19751.0
32,32,1693701120000,0.4645,0.4645,0.4638,0.464,20824.9
33,33,1693701180000,0.4641,0.4646,0.4641,0.4646,12698.2
34,34,1693701240000,0.4646,0.4647,0.4646,0.4646,6898.0
35,35,1693701300000,0.4645,0.4647,0.4645,0.4647,13412.5
36,36,1693701360000,0.4646,0.4647,0.4645,0.4645,5159.5
37,37,1693701420000,0.4644,0.4645,0.4644,0.4645,3414.3
38,38,1693701480000,0.4645,0.4645,0.4642,0.4644,7263.8
39,39,1693701540000,0.4645,0.4645,0.4645,0.4645,1500.0
40,40,1693701600000,0.4646,0.4648,0.4645,0.4645,9892.7
41,41,1693701660000,0.4645,0.4648,0.4645,0.4648,6682.5
42,42,1693701720000,0.4648,0.4649,0.4647,0.4647,3946.5
43,43,1693701780000,0.4646,0.4646,0.4645,0.4646,5190.1
44,44,1693701840000,0.4646,0.4646,0.4643,0.4645,12052.9
45,45,1693701900000,0.4645,0.4648,0.4645,0.4646,6069.5
46,46,1693701960000,0.4646,0.4646,0.4644,0.4644,3013.1
47,47,1693702020000,0.4645,0.4645,0.4645,0.4645,3424.4
48,48,1693702080000,0.4646,0.4647,0.4645,0.4647,3703.8
49,49,1693702140000,0.4649,0.4656,0.4649,0.4656,13961.5
50,50,1693702200000,0.4656,0.4657,0.4654,0.4657,6738.4
51,51,1693702260000,0.4658,0.4659,0.4656,0.4659,7442.5
52,52,1693702320000,0.4659,0.4659,0.4659,0.4659,0.0
53,53,1693702380000,0.466,0.466,0.4659,0.4659,346.1
54,54,1693702440000,0.466,0.4667,0.466,0.4667,6610.2
55,55,1693702500000,0.4667,0.467,0.4665,0.4668,28042.1
56,56,1693702560000,0.4667,0.4672,0.4667,0.4672,28172.0
57,57,1693702620000,0.4672,0.4672,0.4671,0.4672,26145.7
58,58,1693702680000,0.4672,0.4672,0.467,0.4671,19507.8
59,59,1693702740000,0.467,0.4671,0.4669,0.4669,8750.0
60,60,1693702800000,0.467,0.4673,0.4669,0.4671,24917.8
61,61,1693702860000,0.4671,0.4671,0.467,0.467,5985.2
62,62,1693702920000,0.4669,0.4674,0.4669,0.4674,12576.4
63,63,1693702980000,0.4674,0.4674,0.4674,0.4674,2562.4
64,64,1693703040000,0.4674,0.4675,0.4673,0.4674,3316.7
65,65,1693703100000,0.4675,0.468,0.4675,0.4675,13850.4
66,66,1693703160000,0.4675,0.4675,0.4671,0.4671,10288.3
67,67,1693703220000,0.4672,0.4674,0.4672,0.4673,4021.0
68,68,1693703280000,0.4673,0.4676,0.4671,0.4671,11241.7
69,69,1693703340000,0.4671,0.4674,0.467,0.4672,7565.4
70,70,1693703400000,0.4672,0.4683,0.467,0.4682,41615.6
71,71,1693703460000,0.4682,0.4683,0.4679,0.4681,15029.6
72,72,1693703520000,0.4681,0.4683,0.468,0.4683,8825.5
73,73,1693703580000,0.4682,0.4683,0.4681,0.4681,4679.3
74,74,1693703640000,0.4681,0.4683,0.4681,0.4682,6583.0
75,75,1693703700000,0.4681,0.4682,0.4679,0.4681,8769.6
76,76,1693703760000,0.4682,0.4682,0.4676,0.4676,15725.0
77,77,1693703820000,0.4676,0.4681,0.4676,0.4679,8660.7
78,78,1693703880000,0.4679,0.468,0.4678,0.4678,2595.7
79,79,1693703940000,0.4678,0.4679,0.4675,0.4679,11251.8
80,80,1693704000000,0.4679,0.4681,0.4678,0.4678,11068.0
81,81,1693704060000,0.4677,0.4677,0.4674,0.4675,4693.5
82,82,1693704120000,0.4675,0.4675,0.4671,0.4671,6455.3
83,83,1693704180000,0.4671,0.4675,0.4671,0.4674,8094.5
84,84,1693704240000,0.4673,0.4674,0.4672,0.4673,10047.9
85,85,1693704300000,0.4672,0.4672,0.4671,0.4671,3600.4
86,86,1693704360000,0.4671,0.4672,0.4671,0.4671,753.7
87,87,1693704420000,0.467,0.467,0.466,0.466,64574.0
88,88,1693704480000,0.466,0.466,0.4657,0.4658,20411.1
89,89,1693704540000,0.4659,0.4659,0.4658,0.4659,1140.8
90,90,1693704600000,0.466,0.4661,0.4659,0.4661,4594.2
91,91,1693704660000,0.4661,0.4666,0.4661,0.4664,12108.6
92,92,1693704720000,0.4664,0.4664,0.4659,0.4659,11999.5
93,93,1693704780000,0.466,0.466,0.4656,0.4656,6836.9
94,94,1693704840000,0.4656,0.4656,0.4655,0.4656,12220.8
95,95,1693704900000,0.4656,0.4657,0.4656,0.4656,895.9
96,96,1693704960000,0.4656,0.4658,0.4656,0.4657,3678.0
97,97,1693705020000,0.4657,0.4657,0.4653,0.4653,9283.9
98,98,1693705080000,0.4653,0.4653,0.4648,0.4648,7745.1
99,99,1693705140000,0.4648,0.4649,0.4648,0.4648,5284.9
100,100,1693705200000,0.4648,0.4649,0.4646,0.4647,2035.9
101,101,1693705260000,0.4646,0.4647,0.4644,0.4644,5055.4
102,102,1693705320000,0.4644,0.4644,0.4641,0.4642,8163.8
103,103,1693705380000,0.4642,0.4644,0.4642,0.4643,1808.9
104,104,1693705440000,0.4644,0.4648,0.4644,0.4647,8750.9
105,105,1693705500000,0.4647,0.4647,0.4635,0.4637,42975.6
106,106,1693705560000,0.4636,0.4643,0.4636,0.4643,51682.9
107,107,1693705620000,0.4643,0.4645,0.4643,0.4643,6438.9
108,108,1693705680000,0.4643,0.4649,0.4643,0.4649,11264.3
109,109,1693705740000,0.4648,0.4649,0.4647,0.4647,3831.8
110,110,1693705800000,0.4647,0.465,0.4646,0.465,6393.4
111,111,1693705860000,0.465,0.4651,0.465,0.4651,1119.2
112,112,1693705920000,0.4652,0.4652,0.4651,0.4651,2604.3
113,113,1693705980000,0.4651,0.4651,0.465,0.465,1935.3
114,114,1693706040000,0.4651,0.4652,0.4651,0.4652,2590.2
115,115,1693706100000,0.4652,0.4654,0.4646,0.4646,16537.7
116,116,1693706160000,0.4646,0.4646,0.4637,0.4638,41165.0
117,117,1693706220000,0.4639,0.4643,0.4639,0.4642,8050.8
118,118,1693706280000,0.4642,0.4642,0.4641,0.4641,3335.7
119,119,1693706340000,0.464,0.4642,0.4638,0.464,10654.4
120,120,1693706400000,0.464,0.4644,0.4638,0.4642,33407.9
121,121,1693706460000,0.4641,0.4641,0.4638,0.4638,3059.3
122,122,1693706520000,0.4638,0.4642,0.4638,0.4642,7795.4
123,123,1693706580000,0.4642,0.4644,0.4639,0.4639,6343.7
124,124,1693706640000,0.464,0.4641,0.4638,0.464,12872.0
125,125,1693706700000,0.4639,0.4641,0.4635,0.4636,19866.4
126,126,1693706760000,0.4635,0.4637,0.4633,0.4635,20458.6
127,127,1693706820000,0.4635,0.4639,0.4635,0.4637,9965.1
128,128,1693706880000,0.4638,0.464,0.4638,0.4638,3435.5
129,129,1693706940000,0.4638,0.464,0.4638,0.464,3384.3
130,130,1693707000000,0.464,0.4641,0.464,0.464,562.0
131,131,1693707060000,0.464,0.464,0.4638,0.4638,3005.3
132,132,1693707120000,0.4638,0.4639,0.4638,0.4639,1828.4
133,133,1693707180000,0.4638,0.4639,0.4638,0.4639,53.1
134,134,1693707240000,0.4638,0.4638,0.4638,0.4638,150.0
135,135,1693707300000,0.4638,0.4641,0.4634,0.4635,32608.7
136,136,1693707360000,0.4634,0.4638,0.4622,0.4628,116173.4
137,137,1693707420000,0.4629,0.463,0.4629,0.4629,7709.3
138,138,1693707480000,0.4628,0.4628,0.4627,0.4627,11311.7
139,139,1693707540000,0.4627,0.4628,0.4627,0.4627,2925.7
140,140,1693707600000,0.4628,0.4628,0.4627,0.4627,3523.5
141,141,1693707660000,0.4628,0.4629,0.4628,0.4628,12854.2
142,142,1693707720000,0.4627,0.4627,0.4626,0.4626,3682.3
143,143,1693707780000,0.4627,0.4627,0.4627,0.4627,110.7
144,144,1693707840000,0.4628,0.4628,0.4627,0.4628,706.2
145,145,1693707900000,0.4627,0.4627,0.4626,0.4626,1522.1
146,146,1693707960000,0.4627,0.4628,0.4626,0.4626,5221.2
147,147,1693708020000,0.4627,0.4627,0.4626,0.4626,285.2
148,148,1693708080000,0.4627,0.4628,0.4627,0.4628,912.6
149,149,1693708140000,0.4628,0.4629,0.4628,0.4629,2462.4
