,index,timestamp,open,high,low,close,volume
0,0,1693526400000,0.00971,0.00972,0.00969,0.0097,3268258
1,1,1693526460000,0.0097,0.00972,0.0097,0.00972,2143240
2,2,1693526520000,0.00972,0.00974,0.00972,0.00974,1658808
3,3,1693526580000,0.00973,0.00974,0.00972,0.00972,649322
4,4,1693526640000,0.00973,0.00974,0.00973,0.00974,426379
5,5,1693526700000,0.00973,0.00974,0.00973,0.00973,151194
6,6,1693526760000,0.00973,0.00974,0.00972,0.00973,2137792
7,7,1693526820000,0.00973,0.00974,0.00972,0.00973,676910
8,8,1693526880000,0.00974,0.00974,0.00972,0.00972,322596
9,9,1693526940000,0.00973,0.00973,0.00972,0.00972,49787
10,10,1693527000000,0.00973,0.00973,0.00972,0.00972,203942
11,11,1693527060000,0.00973,0.00973,0.00972,0.00972,121955
12,12,1693527120000,0.00973,0.00973,0.00973,0.00973,15211
13,13,1693527180000,0.00972,0.00973,0.00972,0.00972,44629
14,14,1693527240000,0.00973,0.00974,0.00973,0.00974,2054729
15,15,1693527300000,0.00974,0.00974,0.00973,0.00973,176736
16,16,1693527360000,0.00974,0.00974,0.00974,0.00974,1473186
17,17,1693527420000,0.00974,0.00974,0.00973,0.00974,1225114
18,18,1693527480000,0.00975,0.00976,0.00974,0.00974,783776
19,19,1693527540000,0.00975,0.00975,0.00974,0.00974,132282
20,20,1693527600000,0.00975,0.00976,0.00974,0.00976,1435720
21,21,1693527660000,0.00975,0.00976,0.00974,0.00974,325566
22,22,1693527720000,0.00975,0.00975,0.00975,0.00975,1787
23,23,1693527780000,0.00974,0.00975,0.00974,0.00974,668105
24,24,1693527840000,0.00974,0.00974,0.00974,0.00974,564471
25,25,1693527900000,0.00973,0.00974,0.00972,0.00973,1399161
26,26,1693527960000,0.00972,0.00974,0.00972,0.00974,752831
27,27,1693528020000,0.00974,0.00974,0.00973,0.00974,456953
28,28,1693528080000,0.00974,0.00974,0.00974,0.00974,405513
29,29,1693528140000,0.00974,0.00974,0.00973,0.00973,267893
30,30,1693528200000,0.00973,0.00974,0.00973,0.00973,83723
31,31,1693528260000,0.00974,0.00974,0.00973,0.00974,134994
32,32,1693528320000,0.00974,0.00975,0.00974,0.00975,244926
33,33,1693528380000,0.00974,0.00976,0.00974,0.00975,1869988
34,34,1693528440000,0.00975,0.00975,0.00975,0.00975,87382
35,35,1693528500000,0.00974,0.00974,0.00973,0.00973,555689
36,36,1693528560000,0.00974,0.00974,0.00972,0.00972,1976607
37,37,1693528620000,0.00972,0.00974,0.00972,0.00974,516284
38,38,1693528680000,0.00973,0.00975,0.00972,0.00974,2652975
39,39,1693528740000,0.00974,0.00975,0.00974,0.00974,1275775
40,40,1693528800000,0.00974,0.00975,0.00974,0.00975,354073
41,41,1693528860000,0.00975,0.00976,0.00974,0.00975,1951257
42,42,1693528920000,0.00976,0.00976,0.00975,0.00975,11296
43,43,1693528980000,0.00976,0.00976,0.00975,0.00975,27063
44,44,1693529040000,0.00975,0.00977,0.00975,0.00975,797942
45,45,1693529100000,0.00976,0.00976,0.00975,0.00975,110008
46,46,1693529160000,0.00976,0.00976,0.00976,0.00976,654523
47,47,1693529220000,0.00976,0.00977,0.00976,0.00976,335629
48,48,1693529280000,0.00976,0.00976,0.00975,0.00976,416711
49,49,1693529340000,0.00975,0.00976,0.00975,0.00976,198452
50,50,1693529400000,0.00976,0.00976,0.00974,0.00975,676470
51,51,1693529460000,0.00976,0.00976,0.00975,0.00975,314351
52,52,1693529520000,0.00975,0.00976,0.00974,0.00975,423524
53,53,1693529580000,0.00975,0.00976,0.00975,0.00976,913890
54,54,1693529640000,0.00975,0.00976,0.00975,0.00976,106716
55,55,1693529700000,0.00975,0.00976,0.00975,0.00975,415975
56,56,1693529760000,0.00975,0.00975,0.00975,0.00975,343168
57,57,1693529820000,0.00976,0.00976,0.00975,0.00975,248320
58,58,1693529880000,0.00974,0.00975,0.00974,0.00975,131522
59,59,1693529940000,0.00974,0.00975,0.00974,0.00974,784902
60,60,1693530000000,0.00975,0.00975,0.00973,0.00973,817714
61,61,1693530060000,0.00973,0.00974,0.00973,0.00973,3579592
62,62,1693530120000,0.00973,0.00973,0.00972,0.00972,636258
63,63,1693530180000,0.00972,0.00973,0.00972,0.00972,72786
64,64,1693530240000,0.00972,0.00972,0.00971,0.00971,835925
65,65,1693530300000,0.00971,0.00972,0.0097,0.0097,711713
66,66,1693530360000,0.0097,0.00971,0.0097,0.00971,20263
67,67,1693530420000,0.00971,0.00971,0.0097,0.0097,197269
68,68,1693530480000,0.0097,0.0097,0.00969,0.0097,526980
69,69,1693530540000,0.00969,0.0097,0.00969,0.00969,436418
70,70,1693530600000,0.00969,0.00971,0.00969,0.0097,235222
71,71,1693530660000,0.0097,0.00971,0.0097,0.0097,63208
72,72,1693530720000,0.0097,0.00971,0.0097,0.00971,147051
73,73,1693530780000,0.0097,0.00971,0.0097,0.0097,1021291
74,74,1693530840000,0.0097,0.0097,0.00969,0.00969,211849
75,75,1693530900000,0.00969,0.0097,0.00969,0.00969,161233
76,76,1693530960000,0.0097,0.0097,0.00969,0.0097,204619
77,77,1693531020000,0.00969,0.0097,0.00968,0.00968,811480
78,78,1693531080000,0.00968,0.0097,0.00968,0.0097,554329
79,79,1693531140000,0.00969,0.0097,0.00969,0.00969,375310
80,80,1693531200000,0.00969,0.00969,0.00969,0.00969,59803
