,index,timestamp,open,high,low,close,volume
0,0,1690848000000,0.1937,0.1937,0.1934,0.1934,125931.2
1,1,1690848060000,0.1934,0.1935,0.1933,0.1935,138166.7
2,2,1690848120000,0.1935,0.1935,0.1934,0.1935,46295.1
3,3,1690848180000,0.1935,0.1936,0.1935,0.1935,5312.9
4,4,1690848240000,0.1936,0.1936,0.1934,0.1934,6399.8
5,5,1690848300000,0.1934,0.1934,0.1927,0.1929,190321.4
6,6,1690848360000,0.1929,0.1931,0.1929,0.1931,102492.3
7,7,1690848420000,0.193,0.1931,0.193,0.1931,990.7
8,8,1690848480000,0.1931,0.1931,0.1928,0.1928,119019.2
9,9,1690848540000,0.1929,0.1931,0.1929,0.1931,4666.0
10,10,1690848600000,0.193,0.1933,0.193,0.1931,260941.3
11,11,1690848660000,0.1932,0.1932,0.1932,0.1932,961.0
12,12,1690848720000,0.1932,0.1932,0.1931,0.1932,310.6
13,13,1690848780000,0.1932,0.1932,0.1932,0.1932,298.8
14,14,1690848840000,0.1932,0.1932,0.1932,0.1932,1369.2
15,15,1690848900000,0.1932,0.1933,0.1931,0.1933,41832.7
16,16,1690848960000,0.1933,0.1934,0.1933,0.1933,32846.4
17,17,1690849020000,0.1933,0.1934,0.1933,0.1934,24136.6
18,18,1690849080000,0.1934,0.1934,0.1933,0.1934,23796.3
19,19,1690849140000,0.1933,0.1934,0.1932,0.1934,57730.4
20,20,1690849200000,0.1934,0.1936,0.1934,0.1936,4167.4
21,21,1690849260000,0.1936,0.1938,0.1936,0.1938,30589.4
22,22,1690849320000,0.1937,0.1938,0.1937,0.1938,31275.4
23,23,1690849380000,0.1938,0.1939,0.1938,0.1938,13860.2
24,24,1690849440000,0.1937,0.1938,0.1937,0.1937,27274.9
25,25,1690849500000,0.1937,0.1939,0.1936,0.1938,17655.4
26,26,1690849560000,0.1938,0.1939,0.1938,0.1939,1737.9
27,27,1690849620000,0.1938,0.1939,0.1938,0.1939,2358.3
28,28,1690849680000,0.1938,0.1938,0.1936,0.1938,37811.9
29,29,1690849740000,0.1938,0.1938,0.1937,0.1938,28618.1
30,30,1690849800000,0.1938,0.1938,0.1936,0.1938,25747.0
31,31,1690849860000,0.1938,0.194,0.1938,0.1939,13942.8
32,32,1690849920000,0.1939,0.1939,0.1939,0.1939,25631.8
33,33,1690849980000,0.1939,0.1939,0.1939,0.1939,608.1
34,34,1690850040000,0.1939,0.1939,0.1939,0.1939,2747.3
35,35,1690850100000,0.1939,0.194,0.1938,0.1938,25688.3
36,36,1690850160000,0.1939,0.1939,0.1938,0.1938,31220.3
37,37,1690850220000,0.1938,0.1938,0.1938,0.1938,0.0
38,38,1690850280000,0.1937,0.1938,0.1937,0.1938,20432.9
39,39,1690850340000,0.1939,0.194,0.1939,0.194,7145.9
40,40,1690850400000,0.194,0.194,0.1939,0.194,7313.7
41,41,1690850460000,0.194,0.1942,0.194,0.1941,21414.6
42,42,1690850520000,0.1941,0.1941,0.1941,0.1941,5787.8
43,43,1690850580000,0.1941,0.1941,0.194,0.1941,21484.1
44,44,1690850640000,0.194,0.194,0.194,0.194,258.0
45,45,1690850700000,0.1941,0.1942,0.1941,0.1942,16950.9
46,46,1690850760000,0.1942,0.1942,0.1941,0.1941,1892.4
47,47,1690850820000,0.1941,0.1942,0.1941,0.1942,1749.9
48,48,1690850880000,0.1942,0.1942,0.1942,0.1942,0.0
49,49,1690850940000,0.1942,0.1942,0.1942,0.1942,0.0
50,50,1690851000000,0.1941,0.1942,0.1941,0.1942,20023.7
51,51,1690851060000,0.1941,0.1942,0.1941,0.1942,2869.4
52,52,1690851120000,0.1941,0.1941,0.194,0.194,10202.4
53,53,1690851180000,0.1941,0.1941,0.1941,0.1941,8855.9
54,54,1690851240000,0.1942,0.1942,0.1941,0.1942,231.3
