,index,timestamp,open,high,low,close,volume
0,0,1693958400000,0.1652,0.1654,0.1647,0.1649,512222.3
1,1,1693958460000,0.1648,0.1648,0.1646,0.1646,315897.9
2,2,1693958520000,0.1646,0.1647,0.1642,0.1643,536074.9
3,3,1693958580000,0.1643,0.1645,0.1642,0.1643,508532.4
4,4,1693958640000,0.1643,0.1648,0.1643,0.1647,247676.0
5,5,1693958700000,0.1647,0.1649,0.1647,0.1648,177063.1
6,6,1693958760000,0.1647,0.1649,0.1647,0.1647,106478.1
7,7,1693958820000,0.1647,0.1649,0.1647,0.1647,83764.5
8,8,1693958880000,0.1647,0.1648,0.1647,0.1648,149489.5
9,9,1693958940000,0.1648,0.1649,0.1647,0.1647,84713.2
10,10,1693959000000,0.1648,0.1648,0.1646,0.1646,104504.9
11,11,1693959060000,0.1646,0.1648,0.1646,0.1647,58193.0
12,12,1693959120000,0.1647,0.1648,0.1647,0.1648,51386.3
13,13,1693959180000,0.1647,0.1648,0.1646,0.1647,77824.8
14,14,1693959240000,0.1647,0.1649,0.1647,0.1649,124355.9
15,15,1693959300000,0.1649,0.1651,0.1649,0.165,94132.7
16,16,1693959360000,0.165,0.1654,0.165,0.1654,125922.2
17,17,1693959420000,0.1654,0.1655,0.1653,0.1654,96411.4
18,18,1693959480000,0.1653,0.1656,0.1653,0.1655,211298.7
19,19,1693959540000,0.1655,0.1658,0.1654,0.1657,231070.3
20,20,1693959600000,0.1657,0.1658,0.1655,0.1656,180241.0
21,21,1693959660000,0.1656,0.1658,0.1656,0.1657,132759.4
22,22,1693959720000,0.1657,0.1659,0.1656,0.1659,175248.1
23,23,1693959780000,0.1658,0.1659,0.1658,0.1659,65085.4
24,24,1693959840000,0.1658,0.1659,0.1657,0.1658,90797.2
25,25,1693959900000,0.1658,0.166,0.1657,0.1657,200452.2
26,26,1693959960000,0.1656,0.1657,0.1654,0.1654,100847.5
27,27,1693960020000,0.1654,0.1655,0.1651,0.1652,143892.5
28,28,1693960080000,0.1652,0.1653,0.165,0.1651,142430.7
29,29,1693960140000,0.1651,0.1654,0.165,0.1651,350139.9
30,30,1693960200000,0.1652,0.1654,0.1651,0.1652,165931.4
31,31,1693960260000,0.1653,0.1653,0.1648,0.1648,117143.8
32,32,1693960320000,0.1648,0.1648,0.1643,0.1644,153201.5
33,33,1693960380000,0.1644,0.1648,0.1643,0.1646,240777.1
34,34,1693960440000,0.1646,0.1648,0.1646,0.1647,66835.1
35,35,1693960500000,0.1647,0.1649,0.1646,0.1648,190410.0
36,36,1693960560000,0.1648,0.1656,0.1648,0.1655,274604.9
37,37,1693960620000,0.1655,0.1657,0.1653,0.1655,171836.9
38,38,1693960680000,0.1655,0.1655,0.1651,0.1652,257712.2
39,39,1693960740000,0.1652,0.1653,0.1651,0.1651,34790.4
40,40,1693960800000,0.1651,0.1652,0.1649,0.1651,214494.2
41,41,1693960860000,0.1651,0.1659,0.1651,0.1658,324535.7
42,42,1693960920000,0.1659,0.1662,0.1658,0.166,380869.3
43,43,1693960980000,0.166,0.1662,0.166,0.166,142938.7
44,44,1693961040000,0.1659,0.166,0.1657,0.1658,75668.4
45,45,1693961100000,0.1657,0.1658,0.1654,0.1658,295370.1
46,46,1693961160000,0.1658,0.1667,0.1658,0.1666,725442.4
47,47,1693961220000,0.1666,0.1666,0.1661,0.1662,233450.3
48,48,1693961280000,0.1662,0.1662,0.1658,0.1659,272770.4
49,49,1693961340000,0.166,0.166,0.1659,0.1659,105262.5
50,50,1693961400000,0.1658,0.1662,0.1657,0.166,401705.4
51,51,1693961460000,0.166,0.166,0.1652,0.1653,304319.1
52,52,1693961520000,0.1652,0.1652,0.1649,0.1651,135171.0
53,53,1693961580000,0.1651,0.1652,0.165,0.1651,75408.7
54,54,1693961640000,0.1652,0.1652,0.1649,0.1651,178098.8
55,55,1693961700000,0.1651,0.1656,0.165,0.1656,175699.0
56,56,1693961760000,0.1655,0.1657,0.1653,0.1657,291947.5
57,57,1693961820000,0.1658,0.166,0.1658,0.166,175559.1
58,58,1693961880000,0.1659,0.166,0.1658,0.1659,73921.0
59,59,1693961940000,0.1658,0.166,0.1658,0.1659,156581.9
60,60,1693962000000,0.1659,0.166,0.1658,0.1659,127371.2
61,61,1693962060000,0.1659,0.1659,0.1655,0.1656,169846.6
62,62,1693962120000,0.1657,0.1657,0.1655,0.1656,125468.3
63,63,1693962180000,0.1657,0.1659,0.1656,0.1656,389445.7
64,64,1693962240000,0.1656,0.1657,0.1656,0.1656,91784.4
65,65,1693962300000,0.1656,0.1662,0.1656,0.1662,168028.7
66,66,1693962360000,0.1663,0.1665,0.1662,0.1663,288668.9
67,67,1693962420000,0.1662,0.1665,0.1662,0.1665,175342.6
68,68,1693962480000,0.1665,0.1666,0.1665,0.1665,24998.6
69,69,1693962540000,0.1665,0.1666,0.1664,0.1665,77943.0
70,70,1693962600000,0.1666,0.1669,0.1664,0.1668,235766.6
71,71,1693962660000,0.1667,0.1669,0.1667,0.1669,133713.7
72,72,1693962720000,0.167,0.167,0.1667,0.1667,229042.1
73,73,1693962780000,0.1667,0.1667,0.1665,0.1666,222337.1
74,74,1693962840000,0.1665,0.1666,0.1664,0.1664,70883.4
75,75,1693962900000,0.1664,0.1665,0.1661,0.1662,485245.2
76,76,1693962960000,0.1662,0.1662,0.1659,0.1659,111172.3
77,77,1693963020000,0.166,0.166,0.1658,0.1658,155051.4
78,78,1693963080000,0.1658,0.1659,0.1658,0.1658,29538.5
79,79,1693963140000,0.1658,0.1659,0.1658,0.1658,17715.2
80,80,1693963200000,0.1658,0.1658,0.1657,0.1657,80619.3
81,81,1693963260000,0.1657,0.1658,0.1657,0.1658,65714.6
82,82,1693963320000,0.1658,0.1659,0.1656,0.1657,196488.0
83,83,1693963380000,0.1657,0.1657,0.1655,0.1656,152541.8
84,84,1693963440000,0.1656,0.1658,0.1656,0.1658,96618.8
85,85,1693963500000,0.1658,0.1658,0.1656,0.1657,58141.5
86,86,1693963560000,0.1656,0.1657,0.1654,0.1654,102672.4
87,87,1693963620000,0.1654,0.1657,0.1654,0.1656,89228.8
88,88,1693963680000,0.1656,0.1656,0.1651,0.1652,390024.8
89,89,1693963740000,0.1652,0.1653,0.165,0.1652,106419.2
90,90,1693963800000,0.1653,0.1653,0.1652,0.1653,10830.6
91,91,1693963860000,0.1653,0.1653,0.165,0.1651,56760.2
92,92,1693963920000,0.1652,0.1652,0.1649,0.165,104343.4
93,93,1693963980000,0.165,0.1653,0.165,0.1653,103503.3
94,94,1693964040000,0.1652,0.1653,0.1651,0.1651,80037.0
95,95,1693964100000,0.1651,0.1652,0.1651,0.1651,97410.0
96,96,1693964160000,0.1651,0.1652,0.1649,0.1652,137256.8
97,97,1693964220000,0.1652,0.1652,0.1651,0.1652,32679.8
98,98,1693964280000,0.1652,0.1652,0.165,0.165,50086.7
99,99,1693964340000,0.165,0.1651,0.165,0.165,46818.5
100,100,1693964400000,0.165,0.1651,0.165,0.1651,34141.2
101,101,1693964460000,0.1651,0.1651,0.165,0.165,24691.7
102,102,1693964520000,0.1651,0.1651,0.1647,0.1647,184551.0
103,103,1693964580000,0.1648,0.1648,0.1647,0.1647,87376.8
104,104,1693964640000,0.1648,0.1648,0.1647,0.1647,50567.1
105,105,1693964700000,0.1647,0.1648,0.1645,0.1645,75372.5
106,106,1693964760000,0.1645,0.1648,0.1645,0.1648,314280.2
107,107,1693964820000,0.1648,0.1649,0.1647,0.1647,124965.1
108,108,1693964880000,0.1648,0.1648,0.1647,0.1647,128269.2
109,109,1693964940000,0.1647,0.1648,0.1646,0.1647,43848.7
110,110,1693965000000,0.1647,0.1648,0.1646,0.1648,112861.3
111,111,1693965060000,0.1649,0.1649,0.1648,0.1648,33705.4
112,112,1693965120000,0.1648,0.1648,0.1646,0.1647,47460.9
113,113,1693965180000,0.1647,0.1648,0.1646,0.1646,71291.1
114,114,1693965240000,0.1646,0.1648,0.1646,0.1647,71976.7
115,115,1693965300000,0.1648,0.1649,0.1647,0.1649,40367.2
116,116,1693965360000,0.1649,0.1652,0.1649,0.1651,180774.8
117,117,1693965420000,0.1651,0.1652,0.1648,0.1649,143381.2
118,118,1693965480000,0.1649,0.1649,0.1647,0.1648,83306.5
119,119,1693965540000,0.1648,0.165,0.1648,0.1648,68671.3
120,120,1693965600000,0.1648,0.1649,0.1643,0.1643,397173.9
121,121,1693965660000,0.1644,0.1645,0.1642,0.1643,201988.0
122,122,1693965720000,0.1644,0.1644,0.164,0.1641,206606.0
123,123,1693965780000,0.1641,0.1641,0.1639,0.164,203338.0
124,124,1693965840000,0.164,0.1642,0.1639,0.1641,169578.9
125,125,1693965900000,0.1642,0.1643,0.1642,0.1642,59313.7
126,126,1693965960000,0.1642,0.1644,0.1642,0.1644,77769.3
127,127,1693966020000,0.1643,0.1645,0.1642,0.1645,219237.8
128,128,1693966080000,0.1645,0.1645,0.1644,0.1644,43759.6
129,129,1693966140000,0.1645,0.1645,0.1643,0.1644,82422.2
130,130,1693966200000,0.1644,0.1645,0.1643,0.1643,81186.8
131,131,1693966260000,0.1642,0.1644,0.1642,0.1643,24209.4
132,132,1693966320000,0.1644,0.1644,0.1643,0.1643,10389.4
133,133,1693966380000,0.1644,0.1644,0.1642,0.1644,96760.3
134,134,1693966440000,0.1645,0.1645,0.1643,0.1643,32306.1
135,135,1693966500000,0.1643,0.1643,0.1642,0.1642,94189.0
136,136,1693966560000,0.1642,0.1644,0.1641,0.1643,129618.1
137,137,1693966620000,0.1643,0.1644,0.1642,0.1643,31799.8
138,138,1693966680000,0.1643,0.1645,0.1643,0.1644,113650.5
139,139,1693966740000,0.1645,0.1645,0.1644,0.1644,22458.8
140,140,1693966800000,0.1645,0.1645,0.1644,0.1644,14359.6
141,141,1693966860000,0.1644,0.1645,0.1644,0.1644,32722.0
142,142,1693966920000,0.1644,0.1646,0.1644,0.1645,49454.3
143,143,1693966980000,0.1646,0.1646,0.164,0.164,415270.0
144,144,1693967040000,0.164,0.1641,0.1637,0.1639,480261.6
145,145,1693967100000,0.1638,0.164,0.1637,0.164,112772.0
146,146,1693967160000,0.1639,0.1639,0.1638,0.1639,102857.9
147,147,1693967220000,0.1638,0.1639,0.1638,0.1639,14956.7
148,148,1693967280000,0.1639,0.1639,0.1629,0.1631,1276320.6
149,149,1693967340000,0.1631,0.1636,0.1631,0.1633,381461.4
150,150,1693967400000,0.1634,0.1634,0.1633,0.1633,46769.3
151,151,1693967460000,0.1633,0.1634,0.1632,0.1634,109496.7
152,152,1693967520000,0.1634,0.164,0.1634,0.1639,285683.2
153,153,1693967580000,0.1639,0.1641,0.1638,0.1639,156030.4
154,154,1693967640000,0.1639,0.1642,0.1639,0.1641,210369.3
155,155,1693967700000,0.164,0.1642,0.1639,0.164,99310.1
156,156,1693967760000,0.1639,0.1641,0.1639,0.1639,89834.0
157,157,1693967820000,0.164,0.1641,0.1639,0.1639,120640.1
158,158,1693967880000,0.1639,0.164,0.1634,0.1634,170728.8
159,159,1693967940000,0.1634,0.1637,0.1634,0.1636,78315.0
160,160,1693968000000,0.1635,0.1637,0.1635,0.1636,153186.4
161,161,1693968060000,0.1636,0.1636,0.1634,0.1635,58712.9
162,162,1693968120000,0.1634,0.1636,0.1634,0.1635,62473.8
163,163,1693968180000,0.1636,0.1636,0.1633,0.1633,129639.6
164,164,1693968240000,0.1633,0.1634,0.1633,0.1633,9204.9
165,165,1693968300000,0.1633,0.1634,0.1631,0.1632,258020.7
166,166,1693968360000,0.1633,0.1635,0.1633,0.1635,31993.3
167,167,1693968420000,0.1635,0.1637,0.1634,0.1637,86160.1
168,168,1693968480000,0.1637,0.1637,0.1635,0.1635,102110.3
169,169,1693968540000,0.1635,0.1635,0.1634,0.1634,12645.7
170,170,1693968600000,0.1635,0.1635,0.1634,0.1635,21258.7
171,171,1693968660000,0.1634,0.1635,0.1633,0.1635,99133.0
172,172,1693968720000,0.1634,0.1638,0.1634,0.1637,219714.5
173,173,1693968780000,0.1638,0.164,0.1637,0.164,135225.3
174,174,1693968840000,0.1639,0.164,0.1639,0.164,19376.2
175,175,1693968900000,0.164,0.164,0.1638,0.1639,55997.3
176,176,1693968960000,0.164,0.164,0.1639,0.164,67078.8
177,177,1693969020000,0.1639,0.164,0.1639,0.1639,59635.7
178,178,1693969080000,0.164,0.164,0.1639,0.164,45442.0
179,179,1693969140000,0.1641,0.1641,0.164,0.1641,130412.8
180,180,1693969200000,0.1641,0.1642,0.164,0.1642,73957.7
181,181,1693969260000,0.1642,0.1642,0.1641,0.1641,58557.3
182,182,1693969320000,0.164,0.1644,0.164,0.1644,142753.5
183,183,1693969380000,0.1643,0.1644,0.1642,0.1642,155989.6
184,184,1693969440000,0.1642,0.1645,0.1642,0.1643,252316.6
185,185,1693969500000,0.1643,0.1646,0.1643,0.1645,180193.3
186,186,1693969560000,0.1645,0.1646,0.1644,0.1645,99171.4
187,187,1693969620000,0.1645,0.1645,0.1644,0.1644,45713.0
188,188,1693969680000,0.1644,0.1647,0.1644,0.1647,71337.7
189,189,1693969740000,0.1646,0.1647,0.1646,0.1647,47030.2
190,190,1693969800000,0.1646,0.1647,0.1645,0.1646,106085.4
191,191,1693969860000,0.1647,0.1647,0.1645,0.1646,114066.2
192,192,1693969920000,0.1646,0.1655,0.1645,0.1654,753468.2
193,193,1693969980000,0.1654,0.1657,0.1654,0.1657,120290.4
194,194,1693970040000,0.1656,0.1659,0.1656,0.1657,267263.8
195,195,1693970100000,0.1656,0.1657,0.1656,0.1657,44338.5
196,196,1693970160000,0.1656,0.1656,0.1654,0.1656,163170.2
197,197,1693970220000,0.1655,0.1656,0.1653,0.1653,106916.8
198,198,1693970280000,0.1653,0.1654,0.1653,0.1653,18486.3
199,199,1693970340000,0.1653,0.1662,0.1653,0.1658,473879.2
200,200,1693970400000,0.1658,0.1666,0.1656,0.1666,623275.1
201,201,1693970460000,0.1665,0.1669,0.1663,0.1668,594173.0
202,202,1693970520000,0.1667,0.1668,0.1658,0.166,691474.9
203,203,1693970580000,0.166,0.1663,0.1659,0.1661,357764.5
204,204,1693970640000,0.1661,0.1665,0.1661,0.1664,234675.9
205,205,1693970700000,0.1664,0.1665,0.1661,0.1661,94688.2
206,206,1693970760000,0.1662,0.1662,0.166,0.1661,119765.0
207,207,1693970820000,0.166,0.1663,0.166,0.1662,147520.7
208,208,1693970880000,0.1661,0.1663,0.166,0.1662,125433.4
209,209,1693970940000,0.1663,0.1663,0.1661,0.1661,162699.9
210,210,1693971000000,0.1661,0.1664,0.166,0.1663,174599.3
211,211,1693971060000,0.1663,0.1664,0.1661,0.1662,73670.0
212,212,1693971120000,0.1661,0.1662,0.166,0.166,87617.7
213,213,1693971180000,0.1661,0.1661,0.1659,0.1659,82039.7
214,214,1693971240000,0.166,0.166,0.1652,0.1654,320807.0
