,index,timestamp,open,high,low,close,volume
0,0,1693612800000,1.3181,1.3187,1.3163,1.3166,146580.2
1,1,1693612860000,1.3165,1.3176,1.3161,1.3168,66215.0
2,2,1693612920000,1.3167,1.318,1.316,1.3177,96685.1
3,3,1693612980000,1.3176,1.3178,1.3166,1.3167,29628.2
4,4,1693613040000,1.3167,1.3174,1.3165,1.3166,51591.5
5,5,1693613100000,1.3165,1.3168,1.3157,1.3165,54683.7
6,6,1693613160000,1.3164,1.3165,1.3156,1.3165,44605.2
7,7,1693613220000,1.3164,1.3173,1.3164,1.3171,38677.6
8,8,1693613280000,1.3171,1.3172,1.3166,1.3167,21576.3
9,9,1693613340000,1.3166,1.3166,1.3155,1.3155,33897.4
10,10,1693613400000,1.3155,1.3162,1.3155,1.3159,41770.3
11,11,1693613460000,1.3159,1.3164,1.3153,1.3157,68274.5
12,12,1693613520000,1.3156,1.3161,1.3152,1.3161,48322.6
13,13,1693613580000,1.3161,1.3167,1.3156,1.3163,90926.8
14,14,1693613640000,1.3163,1.3166,1.3158,1.3158,14192.8
15,15,1693613700000,1.3157,1.3157,1.3145,1.3149,67711.2
16,16,1693613760000,1.3149,1.3156,1.3138,1.3139,82185.5
17,17,1693613820000,1.3139,1.3151,1.3138,1.3148,31704.0
18,18,1693613880000,1.3149,1.3155,1.3138,1.315,51529.5
19,19,1693613940000,1.315,1.3155,1.315,1.3154,23776.4
20,20,1693614000000,1.3154,1.317,1.3149,1.317,140281.4
21,21,1693614060000,1.317,1.3177,1.3168,1.3174,30953.7
22,22,1693614120000,1.3173,1.3186,1.3168,1.3184,56217.3
23,23,1693614180000,1.3184,1.3219,1.3184,1.3216,219399.6
24,24,1693614240000,1.3216,1.3225,1.3212,1.3212,198430.7
25,25,1693614300000,1.3211,1.3223,1.3193,1.321,232190.9
26,26,1693614360000,1.321,1.3218,1.3202,1.3208,42292.1
27,27,1693614420000,1.3207,1.3232,1.3204,1.323,126415.5
28,28,1693614480000,1.3229,1.3238,1.3222,1.3233,163751.1
29,29,1693614540000,1.3232,1.3235,1.3225,1.3225,55764.2
30,30,1693614600000,1.3225,1.3238,1.3213,1.3215,163202.8
31,31,1693614660000,1.3215,1.3229,1.3212,1.3216,57917.6
32,32,1693614720000,1.3215,1.323,1.321,1.323,77144.4
33,33,1693614780000,1.323,1.3237,1.3224,1.3236,59003.1
34,34,1693614840000,1.3237,1.3242,1.3219,1.3222,95556.2
35,35,1693614900000,1.3223,1.3235,1.3217,1.3235,114142.9
36,36,1693614960000,1.3235,1.325,1.3235,1.3243,78540.0
37,37,1693615020000,1.3243,1.3254,1.3243,1.3252,58036.1
38,38,1693615080000,1.3251,1.3262,1.3248,1.3261,63096.2
39,39,1693615140000,1.3261,1.3269,1.3253,1.3263,144543.5
40,40,1693615200000,1.3264,1.3265,1.3247,1.3251,64983.2
41,41,1693615260000,1.3251,1.3251,1.324,1.3241,54557.3
42,42,1693615320000,1.3241,1.3248,1.3233,1.3242,60249.3
43,43,1693615380000,1.3242,1.3247,1.3236,1.3247,28337.5
44,44,1693615440000,1.3246,1.3246,1.3235,1.3236,39798.7
45,45,1693615500000,1.3236,1.3242,1.323,1.3238,75924.5
46,46,1693615560000,1.3238,1.3238,1.3232,1.3232,38685.0
47,47,1693615620000,1.3231,1.3239,1.3229,1.3231,35259.8
48,48,1693615680000,1.323,1.3236,1.3216,1.3221,76638.0
49,49,1693615740000,1.3221,1.3221,1.3195,1.3201,113881.8
50,50,1693615800000,1.3201,1.3201,1.3177,1.3189,126214.3
51,51,1693615860000,1.3188,1.3195,1.3186,1.3189,32493.7
52,52,1693615920000,1.3189,1.3195,1.3189,1.3192,40057.4
53,53,1693615980000,1.3193,1.32,1.3188,1.3198,29517.6
54,54,1693616040000,1.3199,1.32,1.3193,1.32,12384.5
55,55,1693616100000,1.3199,1.321,1.3199,1.321,78729.7
56,56,1693616160000,1.321,1.3224,1.321,1.3213,67477.8
