,index,timestamp,open,high,low,close,volume
0,0,1694390400000,0.05733,0.05733,0.05731,0.05732,16897
1,1,1694390460000,0.05732,0.05734,0.05724,0.05727,136215
2,2,1694390520000,0.05726,0.05727,0.05725,0.05726,23168
3,3,1694390580000,0.05726,0.05728,0.05726,0.05728,12710
4,4,1694390640000,0.05728,0.0573,0.05727,0.05729,19679
5,5,1694390700000,0.05729,0.0573,0.05729,0.0573,10389
6,6,1694390760000,0.05729,0.05729,0.05725,0.05725,39835
7,7,1694390820000,0.05725,0.05725,0.05723,0.05723,10955
8,8,1694390880000,0.05723,0.05729,0.05723,0.05729,5355
9,9,1694390940000,0.05729,0.05734,0.05729,0.05734,59625
10,10,1694391000000,0.05732,0.05735,0.05732,0.05733,6232
11,11,1694391060000,0.05734,0.05739,0.05734,0.05739,8455
12,12,1694391120000,0.05738,0.05744,0.05735,0.05742,51640
13,13,1694391180000,0.05742,0.0576,0.05742,0.0576,40621
14,14,1694391240000,0.05758,0.05758,0.0575,0.05754,14982
15,15,1694391300000,0.05754,0.0576,0.05751,0.05757,68302
16,16,1694391360000,0.05758,0.05759,0.05754,0.05758,43037
17,17,1694391420000,0.05754,0.05755,0.05754,0.05754,701
18,18,1694391480000,0.05755,0.05755,0.05755,0.05755,3221
19,19,1694391540000,0.05755,0.05755,0.05749,0.05749,10668
20,20,1694391600000,0.05751,0.05758,0.0575,0.05756,41757
21,21,1694391660000,0.05758,0.05758,0.05749,0.05749,19679
22,22,1694391720000,0.05747,0.05748,0.05742,0.05748,18009
23,23,1694391780000,0.05747,0.05747,0.05745,0.05747,2772
24,24,1694391840000,0.05748,0.05749,0.05742,0.05745,5845
25,25,1694391900000,0.05745,0.05745,0.05742,0.05742,1029
26,26,1694391960000,0.05743,0.05743,0.0574,0.0574,2550
27,27,1694392020000,0.0574,0.0574,0.05735,0.05735,5585
28,28,1694392080000,0.05738,0.05738,0.05725,0.05731,44264
29,29,1694392140000,0.05732,0.05739,0.05732,0.05737,44643
30,30,1694392200000,0.05736,0.05736,0.05731,0.05734,37499
31,31,1694392260000,0.05732,0.0574,0.0573,0.0574,21312
32,32,1694392320000,0.05738,0.05738,0.05738,0.05738,122
33,33,1694392380000,0.05738,0.05742,0.05738,0.05742,2326
34,34,1694392440000,0.05742,0.05753,0.05737,0.05752,85607
35,35,1694392500000,0.05751,0.05751,0.05738,0.05738,29539
36,36,1694392560000,0.05736,0.0574,0.05734,0.05734,39844
37,37,1694392620000,0.05733,0.05737,0.05726,0.05726,94546
38,38,1694392680000,0.05726,0.05726,0.05714,0.05716,160592
39,39,1694392740000,0.05716,0.05718,0.05714,0.05718,136351
40,40,1694392800000,0.05717,0.05717,0.05712,0.05715,25579
41,41,1694392860000,0.05717,0.05718,0.05713,0.05717,25050
42,42,1694392920000,0.05717,0.05717,0.05712,0.05713,6942
43,43,1694392980000,0.05713,0.05713,0.0569,0.05712,266586
44,44,1694393040000,0.05712,0.05719,0.05712,0.05719,19569
45,45,1694393100000,0.05718,0.05718,0.05712,0.05713,39885
46,46,1694393160000,0.05713,0.05713,0.05695,0.057,240938
47,47,1694393220000,0.05702,0.05719,0.057,0.05712,87690
48,48,1694393280000,0.05716,0.05716,0.05713,0.05714,14299
49,49,1694393340000,0.05713,0.05716,0.05711,0.05715,8758
50,50,1694393400000,0.05714,0.05719,0.05713,0.05717,22509
51,51,1694393460000,0.0572,0.05728,0.0572,0.05725,57455
52,52,1694393520000,0.05725,0.05727,0.0572,0.05722,68278
53,53,1694393580000,0.0572,0.05727,0.05719,0.05727,16045
54,54,1694393640000,0.05727,0.05729,0.05724,0.05729,16388
55,55,1694393700000,0.05727,0.05727,0.05723,0.05726,24110
56,56,1694393760000,0.05725,0.05728,0.05725,0.05728,8433
57,57,1694393820000,0.05726,0.05726,0.05724,0.05724,5163
58,58,1694393880000,0.05726,0.05726,0.05715,0.05715,98107
59,59,1694393940000,0.05712,0.05718,0.05712,0.05717,19579
60,60,1694394000000,0.05714,0.05718,0.0571,0.05712,19289
61,61,1694394060000,0.05713,0.05719,0.05712,0.05718,10306
62,62,1694394120000,0.05719,0.05729,0.05713,0.05723,100181
63,63,1694394180000,0.05723,0.05726,0.05723,0.05724,24900
64,64,1694394240000,0.05727,0.05729,0.05725,0.05726,19757
65,65,1694394300000,0.05727,0.05727,0.05723,0.05723,51539
66,66,1694394360000,0.05723,0.05723,0.05723,0.05723,0
67,67,1694394420000,0.05723,0.05723,0.05723,0.05723,0
68,68,1694394480000,0.05722,0.05722,0.05718,0.0572,133521
69,69,1694394540000,0.05719,0.05719,0.05718,0.05718,21058
70,70,1694394600000,0.05719,0.0572,0.05718,0.0572,58845
71,71,1694394660000,0.05721,0.05722,0.0572,0.0572,36758
72,72,1694394720000,0.05718,0.05718,0.05718,0.05718,7502
73,73,1694394780000,0.05718,0.05722,0.05718,0.05719,49261
74,74,1694394840000,0.0572,0.05721,0.0572,0.05721,12819
75,75,1694394900000,0.05723,0.05723,0.0572,0.0572,7991
76,76,1694394960000,0.05723,0.05732,0.05723,0.05732,66247
77,77,1694395020000,0.05729,0.05731,0.05726,0.05728,14277
78,78,1694395080000,0.05729,0.05733,0.05729,0.05733,9109
79,79,1694395140000,0.05735,0.05738,0.05735,0.05735,23619
80,80,1694395200000,0.05734,0.05734,0.05732,0.05732,3023
81,81,1694395260000,0.05732,0.05732,0.05732,0.05732,0
82,82,1694395320000,0.05728,0.05728,0.05727,0.05727,1271
83,83,1694395380000,0.05725,0.05725,0.05725,0.05725,8251
84,84,1694395440000,0.05723,0.05724,0.05723,0.05724,10074
85,85,1694395500000,0.05724,0.05724,0.05724,0.05724,0
86,86,1694395560000,0.05724,0.05731,0.05722,0.05731,22488
87,87,1694395620000,0.05731,0.05733,0.0573,0.05733,24142
88,88,1694395680000,0.05734,0.05734,0.05729,0.05729,16674
89,89,1694395740000,0.05729,0.05729,0.05729,0.05729,0
90,90,1694395800000,0.05728,0.05728,0.05725,0.05725,10529
91,91,1694395860000,0.05722,0.05728,0.05711,0.05715,217834
92,92,1694395920000,0.05714,0.05714,0.05707,0.05714,117721
93,93,1694395980000,0.05714,0.05714,0.05707,0.05707,62707
94,94,1694396040000,0.05709,0.0571,0.05709,0.0571,1467
95,95,1694396100000,0.05708,0.05708,0.05701,0.05706,51638
96,96,1694396160000,0.05702,0.05705,0.05696,0.05705,60917
97,97,1694396220000,0.05702,0.05703,0.05699,0.05701,12683
98,98,1694396280000,0.05702,0.05706,0.05691,0.05694,133801
99,99,1694396340000,0.05694,0.05697,0.05692,0.05697,8633
100,100,1694396400000,0.05697,0.05698,0.05693,0.05693,14266
101,101,1694396460000,0.05695,0.05695,0.05691,0.05692,22591
102,102,1694396520000,0.05693,0.05695,0.05693,0.05695,1298
103,103,1694396580000,0.05695,0.05697,0.05695,0.05697,22512
104,104,1694396640000,0.05696,0.05697,0.05686,0.05697,111143
105,105,1694396700000,0.05697,0.05711,0.05697,0.05705,79451
106,106,1694396760000,0.05705,0.05705,0.05705,0.05705,11174
107,107,1694396820000,0.05708,0.05719,0.05708,0.05718,24256
108,108,1694396880000,0.05717,0.05728,0.05717,0.05724,84039
109,109,1694396940000,0.05723,0.05723,0.05721,0.05721,6269
110,110,1694397000000,0.05719,0.05719,0.05712,0.05712,59319
111,111,1694397060000,0.05713,0.05713,0.05706,0.05706,37256
112,112,1694397120000,0.05707,0.05707,0.05707,0.05707,102
113,113,1694397180000,0.05707,0.05707,0.05703,0.05703,15682
114,114,1694397240000,0.05705,0.05706,0.05705,0.05706,12973
115,115,1694397300000,0.05707,0.05709,0.05706,0.05709,11235
116,116,1694397360000,0.0571,0.05711,0.05706,0.05706,16136
117,117,1694397420000,0.05707,0.05707,0.05707,0.05707,160
118,118,1694397480000,0.0571,0.05712,0.05707,0.05712,4676
119,119,1694397540000,0.05712,0.05712,0.05711,0.05711,4991
120,120,1694397600000,0.0571,0.0571,0.05703,0.05707,37627
121,121,1694397660000,0.05708,0.05708,0.05704,0.05704,5490
122,122,1694397720000,0.05706,0.05706,0.05697,0.05703,39995
123,123,1694397780000,0.05702,0.05702,0.05696,0.05698,28751
124,124,1694397840000,0.05701,0.05701,0.05696,0.05699,14410
125,125,1694397900000,0.05695,0.05695,0.05692,0.05693,30358
126,126,1694397960000,0.05693,0.05694,0.05693,0.05694,26623
127,127,1694398020000,0.05694,0.05694,0.05694,0.05694,0
128,128,1694398080000,0.05696,0.05696,0.05696,0.05696,321
129,129,1694398140000,0.05696,0.05699,0.05693,0.05693,28207
130,130,1694398200000,0.05693,0.05699,0.05692,0.05699,13319
131,131,1694398260000,0.05698,0.05698,0.05698,0.05698,1242
132,132,1694398320000,0.05696,0.05698,0.05696,0.05698,2539
133,133,1694398380000,0.05698,0.05698,0.05698,0.05698,0
134,134,1694398440000,0.05697,0.05697,0.05695,0.05696,22000
135,135,1694398500000,0.05693,0.05698,0.05693,0.05698,5602
136,136,1694398560000,0.05698,0.05698,0.05697,0.05697,1050
137,137,1694398620000,0.05696,0.05698,0.05696,0.05698,8804
138,138,1694398680000,0.05698,0.05698,0.05698,0.05698,0
139,139,1694398740000,0.05698,0.05698,0.05691,0.05695,53607
140,140,1694398800000,0.05699,0.05703,0.05698,0.05703,7500
141,141,1694398860000,0.05703,0.05707,0.05703,0.05707,40497
142,142,1694398920000,0.05708,0.05708,0.05707,0.05707,13349
143,143,1694398980000,0.05709,0.05709,0.05709,0.05709,100
144,144,1694399040000,0.05709,0.0571,0.05709,0.0571,695
145,145,1694399100000,0.0571,0.05716,0.0571,0.05715,51547
146,146,1694399160000,0.05715,0.05715,0.05711,0.05711,5147
147,147,1694399220000,0.05712,0.05712,0.05712,0.05712,7856
148,148,1694399280000,0.05713,0.05713,0.05711,0.05713,12455
149,149,1694399340000,0.05715,0.05715,0.05712,0.05713,14785
150,150,1694399400000,0.05712,0.05717,0.05712,0.05713,30696
151,151,1694399460000,0.05713,0.05714,0.05713,0.05714,10946
152,152,1694399520000,0.05713,0.05713,0.05713,0.05713,2302
153,153,1694399580000,0.05713,0.05713,0.05713,0.05713,0
154,154,1694399640000,0.05713,0.05713,0.05713,0.05713,0
155,155,1694399700000,0.05713,0.05719,0.05713,0.05717,48153
156,156,1694399760000,0.05717,0.05726,0.05716,0.05726,27801
157,157,1694399820000,0.05725,0.05728,0.05724,0.05727,30156
158,158,1694399880000,0.05729,0.05734,0.05728,0.05732,9260
159,159,1694399940000,0.05732,0.05735,0.0573,0.0573,98474
160,160,1694400000000,0.0573,0.05747,0.0573,0.05747,144253
161,161,1694400060000,0.05747,0.05747,0.05746,0.05746,2749
162,162,1694400120000,0.05745,0.05745,0.05744,0.05745,6278
163,163,1694400180000,0.05745,0.05745,0.05744,0.05745,803
164,164,1694400240000,0.05744,0.05744,0.05744,0.05744,671
165,165,1694400300000,0.05744,0.05744,0.05733,0.05733,14108
166,166,1694400360000,0.05733,0.05733,0.05723,0.05723,52662
167,167,1694400420000,0.05722,0.05722,0.05722,0.05722,677
168,168,1694400480000,0.05722,0.05722,0.05722,0.05722,6004
169,169,1694400540000,0.05723,0.05725,0.05716,0.05716,30583
170,170,1694400600000,0.05715,0.05716,0.05715,0.05716,1594
171,171,1694400660000,0.05715,0.05722,0.05715,0.05722,10060
172,172,1694400720000,0.05723,0.05723,0.05719,0.05719,1146
173,173,1694400780000,0.05719,0.05723,0.05719,0.05723,355
174,174,1694400840000,0.05723,0.05728,0.05723,0.05725,32062
175,175,1694400900000,0.05728,0.05728,0.05727,0.05728,824
176,176,1694400960000,0.05728,0.05728,0.05724,0.05726,20560
177,177,1694401020000,0.05727,0.05727,0.05723,0.05723,1623
