,index,timestamp,open,high,low,close,volume
0,0,1690511400000,0.7638,0.7737,0.7493,0.7659,91848
1,1,1690511460000,0.7653,0.7693,0.765,0.7683,37621
2,2,1690511520000,0.7681,0.7696,0.7637,0.7656,38864
3,3,1690511580000,0.7661,0.7682,0.7591,0.7654,89797
4,4,1690511640000,0.765,0.77,0.765,0.7675,62940
5,5,1690511700000,0.7678,0.7691,0.7669,0.7689,12366
6,6,1690511760000,0.7686,0.769,0.7675,0.7686,16188
7,7,1690511820000,0.7686,0.7687,0.768,0.7681,17670
8,8,1690511880000,0.7682,0.7686,0.7638,0.7639,26211
9,9,1690511940000,0.7643,0.7655,0.7638,0.7654,13260
10,10,1690512000000,0.7654,0.7656,0.765,0.765,4754
11,11,1690512060000,0.7651,0.767,0.7651,0.7668,14431
12,12,1690512120000,0.767,0.767,0.7663,0.7666,10460
13,13,1690512180000,0.7668,0.7668,0.7655,0.7655,11432
14,14,1690512240000,0.7655,0.768,0.7655,0.768,17499
15,15,1690512300000,0.768,0.7744,0.7673,0.771,43323
16,16,1690512360000,0.7718,0.7825,0.771,0.7797,105540
17,17,1690512420000,0.7804,0.7811,0.7758,0.7773,29359
18,18,1690512480000,0.7773,0.7773,0.7703,0.7714,17993
19,19,1690512540000,0.7706,0.774,0.77,0.7736,7178
20,20,1690512600000,0.7739,0.7754,0.7739,0.7753,5897
21,21,1690512660000,0.7754,0.7774,0.7745,0.7767,27332
22,22,1690512720000,0.7772,0.7866,0.7767,0.7828,125577
23,23,1690512780000,0.7828,0.7852,0.7821,0.7831,41914
24,24,1690512840000,0.7831,0.7855,0.78,0.7821,61088
25,25,1690512900000,0.7814,0.7991,0.7792,0.7924,283049
26,26,1690512960000,0.7916,0.798,0.79,0.79,121802
27,27,1690513020000,0.7903,0.7951,0.7848,0.7924,91286
28,28,1690513080000,0.7923,0.7924,0.7908,0.7912,18211
29,29,1690513140000,0.7918,0.7925,0.7859,0.7868,32276
30,30,1690513200000,0.7868,0.7868,0.7838,0.7868,64240
31,31,1690513260000,0.7868,0.7868,0.7854,0.7854,6626
32,32,1690513320000,0.7854,0.7867,0.785,0.7866,37944
33,33,1690513380000,0.7859,0.7861,0.785,0.7852,11056
34,34,1690513440000,0.7852,0.7857,0.785,0.7851,10311
35,35,1690513500000,0.7853,0.7854,0.7835,0.7854,45751
36,36,1690513560000,0.7853,0.7853,0.7817,0.784,45246
37,37,1690513620000,0.7841,0.7844,0.7786,0.7822,128113
38,38,1690513680000,0.7821,0.7841,0.7816,0.784,45744
39,39,1690513740000,0.7838,0.7843,0.7827,0.7841,7953
40,40,1690513800000,0.784,0.784,0.783,0.7835,899
41,41,1690513860000,0.7838,0.7838,0.7825,0.7827,3910
42,42,1690513920000,0.7826,0.7828,0.7818,0.7818,8002
43,43,1690513980000,0.782,0.7825,0.782,0.7825,3070
44,44,1690514040000,0.7819,0.782,0.7816,0.7818,7858
45,45,1690514100000,0.7818,0.7855,0.7816,0.7855,59785
46,46,1690514160000,0.7855,0.7894,0.785,0.785,27686
47,47,1690514220000,0.785,0.7941,0.785,0.7919,60880
48,48,1690514280000,0.7933,0.7941,0.79,0.7901,66896
49,49,1690514340000,0.791,0.7934,0.7897,0.7924,34714
50,50,1690514400000,0.7924,0.7946,0.7906,0.7926,25500
51,51,1690514460000,0.7915,0.7927,0.7895,0.791,23071
52,52,1690514520000,0.7911,0.7912,0.7837,0.7851,32552
53,53,1690514580000,0.7847,0.7868,0.7816,0.7835,45948
54,54,1690514640000,0.784,0.7868,0.7795,0.7839,76882
55,55,1690514700000,0.784,0.7845,0.7797,0.7797,30862
56,56,1690514760000,0.7802,0.7855,0.7788,0.7802,42802
57,57,1690514820000,0.7802,0.7843,0.7802,0.7831,14242
58,58,1690514880000,0.7828,0.784,0.7828,0.7838,10011
59,59,1690514940000,0.7833,0.7833,0.7808,0.7824,1716
60,60,1690515000000,0.7825,0.7917,0.7814,0.7886,64172
61,61,1690515060000,0.7884,0.7929,0.7878,0.7883,67583
62,62,1690515120000,0.7883,0.7907,0.7845,0.7848,26738
63,63,1690515180000,0.7849,0.79,0.7849,0.7888,5801
64,64,1690515240000,0.7893,0.7903,0.7846,0.7862,66473
65,65,1690515300000,0.7859,0.786,0.7841,0.7844,10133
66,66,1690515360000,0.7848,0.7875,0.7842,0.7855,18840
67,67,1690515420000,0.7855,0.7861,0.783,0.7834,26809
68,68,1690515480000,0.7833,0.7833,0.7822,0.7826,15111
69,69,1690515540000,0.7826,0.7844,0.7826,0.7826,3847
70,70,1690515600000,0.7821,0.7834,0.782,0.7823,8238
71,71,1690515660000,0.7822,0.7841,0.7802,0.7814,23334
72,72,1690515720000,0.7807,0.7807,0.7785,0.7791,39486
73,73,1690515780000,0.7793,0.7807,0.7786,0.7794,12014
74,74,1690515840000,0.7792,0.7807,0.7786,0.7786,14382
75,75,1690515900000,0.7788,0.78,0.7785,0.7791,11154
76,76,1690515960000,0.7791,0.7804,0.7786,0.7794,4813
77,77,1690516020000,0.7787,0.7792,0.7785,0.7788,7561
78,78,1690516080000,0.7785,0.7793,0.7785,0.779,993
79,79,1690516140000,0.7791,0.7791,0.777,0.7784,22370
80,80,1690516200000,0.7785,0.7835,0.7776,0.7823,39479
81,81,1690516260000,0.7826,0.7834,0.7819,0.782,14587
82,82,1690516320000,0.7824,0.7848,0.7822,0.7848,8744
83,83,1690516380000,0.7848,0.7861,0.7814,0.7824,15599
84,84,1690516440000,0.7825,0.7827,0.7824,0.7824,958
85,85,1690516500000,0.7824,0.7824,0.7823,0.7823,790
86,86,1690516560000,0.7823,0.7835,0.7823,0.7828,8171
87,87,1690516620000,0.7832,0.7847,0.7827,0.783,12133
88,88,1690516680000,0.7834,0.7834,0.7833,0.7834,4347
89,89,1690516740000,0.7835,0.7837,0.7833,0.7834,3298
90,90,1690516800000,0.7836,0.7847,0.7836,0.7844,1810
91,91,1690516860000,0.7847,0.785,0.7834,0.7846,29270
92,92,1690516920000,0.7846,0.7861,0.784,0.786,15966
93,93,1690516980000,0.786,0.7867,0.7853,0.7867,14310
94,94,1690517040000,0.7862,0.7874,0.7845,0.7848,27039
95,95,1690517100000,0.7847,0.791,0.7838,0.7877,132273
96,96,1690517160000,0.7876,0.7894,0.7868,0.7883,44209
97,97,1690517220000,0.7883,0.7897,0.7883,0.7897,48258
98,98,1690517280000,0.7897,0.7939,0.7896,0.7931,58627
99,99,1690517340000,0.7929,0.794,0.7918,0.7931,49936
100,100,1690517400000,0.7931,0.794,0.7922,0.794,32742
101,101,1690517460000,0.794,0.8022,0.7938,0.7968,212392
102,102,1690517520000,0.7962,0.7967,0.7914,0.7954,72502
103,103,1690517580000,0.7955,0.8018,0.7954,0.7988,112130
104,104,1690517640000,0.7988,0.7996,0.7974,0.7979,30520
105,105,1690517700000,0.7984,0.804,0.7944,0.7945,175218
106,106,1690517760000,0.7945,0.7945,0.7909,0.7929,122342
107,107,1690517820000,0.793,0.7956,0.7926,0.7931,28780
108,108,1690517880000,0.7927,0.7989,0.7923,0.797,48801
109,109,1690517940000,0.7976,0.7991,0.7921,0.7982,55387
110,110,1690518000000,0.7981,0.8029,0.7981,0.8012,84155
111,111,1690518060000,0.8011,0.805,0.7963,0.7978,136914
112,112,1690518120000,0.7981,0.8002,0.7974,0.7994,32108
113,113,1690518180000,0.7995,0.8001,0.797,0.797,35057
114,114,1690518240000,0.7976,0.8046,0.7968,0.8038,49078
115,115,1690518300000,0.804,0.8063,0.8019,0.8044,85823
116,116,1690518360000,0.8041,0.806,0.803,0.8045,72210
117,117,1690518420000,0.8047,0.8105,0.8047,0.8091,126626
118,118,1690518480000,0.8091,0.8149,0.8064,0.8102,237086
119,119,1690518540000,0.8104,0.8132,0.807,0.8072,118426
120,120,1690518600000,0.8071,0.8098,0.8039,0.8048,100273
121,121,1690518660000,0.8045,0.8107,0.8044,0.8096,64531
122,122,1690518720000,0.8096,0.8097,0.805,0.8058,45391
123,123,1690518780000,0.8058,0.8117,0.8052,0.8096,97510
124,124,1690518840000,0.8093,0.8093,0.8047,0.8073,93090
125,125,1690518900000,0.8073,0.8078,0.8045,0.8047,45673
126,126,1690518960000,0.805,0.812,0.8043,0.808,109760
127,127,1690519020000,0.8077,0.8115,0.8053,0.8103,61904
128,128,1690519080000,0.8103,0.811,0.8082,0.8097,25977
129,129,1690519140000,0.81,0.8129,0.8082,0.8108,84627
130,130,1690519200000,0.8108,0.8115,0.809,0.8107,49237
131,131,1690519260000,0.8106,0.8114,0.8091,0.8093,50114
132,132,1690519320000,0.8093,0.81,0.807,0.8092,85408
133,133,1690519380000,0.8092,0.8092,0.8025,0.8052,185375
134,134,1690519440000,0.8051,0.8078,0.8028,0.8075,45151
135,135,1690519500000,0.807,0.8077,0.801,0.8031,72446
136,136,1690519560000,0.8031,0.805,0.8005,0.8017,72367
137,137,1690519620000,0.8017,0.8035,0.7979,0.8,127429
138,138,1690519680000,0.8006,0.8028,0.798,0.799,71468
139,139,1690519740000,0.7991,0.8005,0.796,0.7998,106805
140,140,1690519800000,0.7998,0.8009,0.7939,0.7991,147292
141,141,1690519860000,0.799,0.7996,0.795,0.7979,64443
142,142,1690519920000,0.7983,0.8011,0.7983,0.7991,62602
143,143,1690519980000,0.799,0.8013,0.7984,0.8009,35996
144,144,1690520040000,0.8009,0.8016,0.8003,0.8011,21328
145,145,1690520100000,0.8013,0.8019,0.7996,0.7998,40326
146,146,1690520160000,0.7999,0.8003,0.7988,0.7988,12378
147,147,1690520220000,0.7996,0.8028,0.798,0.8008,50313
148,148,1690520280000,0.8009,0.8016,0.7996,0.8004,9764
149,149,1690520340000,0.8003,0.8017,0.8003,0.8017,15639
150,150,1690520400000,0.8017,0.8017,0.7994,0.8007,24935
151,151,1690520460000,0.8006,0.8007,0.7988,0.8007,25721
152,152,1690520520000,0.8007,0.8015,0.8006,0.8015,14585
153,153,1690520580000,0.8014,0.8043,0.8014,0.8031,37730
154,154,1690520640000,0.8031,0.8073,0.8031,0.8056,52548
155,155,1690520700000,0.8061,0.8068,0.8028,0.8043,50494
156,156,1690520760000,0.8043,0.8045,0.8019,0.803,24219
157,157,1690520820000,0.803,0.8042,0.8017,0.8024,57031
158,158,1690520880000,0.8022,0.8022,0.7982,0.8002,75755
159,159,1690520940000,0.8006,0.8009,0.7961,0.7964,73120
160,160,1690521000000,0.7964,0.798,0.796,0.798,25322
161,161,1690521060000,0.798,0.7989,0.796,0.7988,35534
162,162,1690521120000,0.7989,0.8009,0.7988,0.8009,34309
163,163,1690521180000,0.8009,0.8012,0.8,0.8011,24191
164,164,1690521240000,0.8009,0.8014,0.8,0.8,17067
165,165,1690521300000,0.8,0.8012,0.7989,0.8011,40985
166,166,1690521360000,0.8011,0.8045,0.8006,0.8009,49396
167,167,1690521420000,0.8008,0.8009,0.7994,0.7994,33710
168,168,1690521480000,0.7993,0.7996,0.796,0.7963,43592
169,169,1690521540000,0.7964,0.7973,0.7962,0.7962,37805
170,170,1690521600000,0.7963,0.7994,0.7962,0.798,41442
171,171,1690521660000,0.7981,0.8009,0.7981,0.8001,20577
172,172,1690521720000,0.7999,0.8,0.795,0.7959,71043
173,173,1690521780000,0.7958,0.7958,0.7942,0.7946,51644
174,174,1690521840000,0.7947,0.795,0.7939,0.794,48666
175,175,1690521900000,0.7941,0.7949,0.7921,0.7949,39534
176,176,1690521960000,0.7948,0.7976,0.7948,0.7976,32567
177,177,1690522020000,0.7976,0.7983,0.796,0.7964,22104
178,178,1690522080000,0.7964,0.7978,0.7958,0.7965,18763
179,179,1690522140000,0.7959,0.7962,0.7937,0.7954,31796
180,180,1690522200000,0.7956,0.798,0.7953,0.7975,29257
181,181,1690522260000,0.7979,0.8002,0.7975,0.8,48786
182,182,1690522320000,0.7996,0.8005,0.7992,0.7997,14927
183,183,1690522380000,0.7997,0.7998,0.791,0.7916,104537
184,184,1690522440000,0.7917,0.7944,0.7911,0.7916,57360
185,185,1690522500000,0.7916,0.7924,0.7888,0.792,80212
186,186,1690522560000,0.792,0.7925,0.7909,0.7913,16285
187,187,1690522620000,0.7913,0.7923,0.7907,0.7907,28834
188,188,1690522680000,0.7912,0.7922,0.7902,0.792,20271
189,189,1690522740000,0.792,0.7926,0.786,0.789,97923
190,190,1690522800000,0.7888,0.7919,0.7861,0.7917,64866
191,191,1690522860000,0.7916,0.7924,0.7908,0.7916,30086
192,192,1690522920000,0.7917,0.7927,0.7904,0.792,32489
193,193,1690522980000,0.7922,0.7946,0.7906,0.7906,39143
194,194,1690523040000,0.7906,0.7924,0.7884,0.7921,37535
195,195,1690523100000,0.7921,0.7922,0.7892,0.79,30559
196,196,1690523160000,0.79,0.7939,0.7896,0.7935,26556
197,197,1690523220000,0.7936,0.804,0.7928,0.802,258503
198,198,1690523280000,0.802,0.8041,0.8001,0.8038,120177
199,199,1690523340000,0.8032,0.8059,0.8001,0.8025,157916
200,200,1690523400000,0.8025,0.8059,0.8016,0.8035,111424
201,201,1690523460000,0.8035,0.8041,0.8018,0.8028,75206
202,202,1690523520000,0.8028,0.8032,0.8002,0.8012,65575
203,203,1690523580000,0.8012,0.8015,0.8005,0.8013,34556
204,204,1690523640000,0.8014,0.8016,0.8,0.8016,55001
205,205,1690523700000,0.8013,0.8016,0.8002,0.8009,49940
206,206,1690523760000,0.8009,0.8014,0.8,0.8014,46537
207,207,1690523820000,0.8007,0.802,0.8003,0.8016,54026
208,208,1690523880000,0.8016,0.8019,0.8005,0.8007,67396
209,209,1690523940000,0.801,0.8012,0.8005,0.8012,30018
210,210,1690524000000,0.8012,0.805,0.8009,0.803,92257
211,211,1690524060000,0.803,0.806,0.803,0.8043,92009
212,212,1690524120000,0.8044,0.8044,0.8021,0.8033,60671
213,213,1690524180000,0.8033,0.8052,0.802,0.8021,103831
214,214,1690524240000,0.802,0.8023,0.7984,0.7993,77657
215,215,1690524300000,0.7996,0.7996,0.7938,0.7943,150457
216,216,1690524360000,0.7945,0.7966,0.7926,0.7944,121362
217,217,1690524420000,0.7949,0.7961,0.7922,0.7957,61566
218,218,1690524480000,0.7958,0.7984,0.795,0.795,59127
219,219,1690524540000,0.7952,0.7975,0.7952,0.7968,22571
220,220,1690524600000,0.7964,0.7972,0.7957,0.7962,20729
221,221,1690524660000,0.7963,0.7979,0.7963,0.7976,24006
222,222,1690524720000,0.7972,0.7994,0.7972,0.7984,29847
223,223,1690524780000,0.7986,0.8,0.7977,0.7979,33196
224,224,1690524840000,0.7978,0.7993,0.7978,0.7987,11890
225,225,1690524900000,0.7994,0.802,0.7991,0.8011,56074
226,226,1690524960000,0.801,0.8042,0.7995,0.8016,93131
227,227,1690525020000,0.8016,0.805,0.8014,0.804,113563
228,228,1690525080000,0.804,0.805,0.8028,0.804,115309
229,229,1690525140000,0.804,0.805,0.8033,0.8033,46562
230,230,1690525200000,0.8033,0.8045,0.801,0.8019,66439
231,231,1690525260000,0.8014,0.8051,0.8007,0.8036,92267
232,232,1690525320000,0.8036,0.8051,0.802,0.8033,71440
233,233,1690525380000,0.8033,0.8066,0.8023,0.8042,69369
234,234,1690525440000,0.8042,0.805,0.802,0.8025,78981
235,235,1690525500000,0.8031,0.8047,0.8019,0.8038,38181
236,236,1690525560000,0.8036,0.8068,0.8035,0.8042,100322
237,237,1690525620000,0.8042,0.8045,0.8028,0.8034,30203
238,238,1690525680000,0.8038,0.8038,0.802,0.8027,49977
239,239,1690525740000,0.8025,0.803,0.8022,0.803,36251
240,240,1690525800000,0.8028,0.803,0.8023,0.8024,14343
241,241,1690525860000,0.8024,0.8052,0.8024,0.8043,50484
242,242,1690525920000,0.8041,0.805,0.8037,0.8046,38651
243,243,1690525980000,0.8045,0.8088,0.8039,0.8069,130966
244,244,1690526040000,0.8069,0.8081,0.8058,0.8064,55857
245,245,1690526100000,0.8064,0.8075,0.8046,0.8046,28812
246,246,1690526160000,0.8045,0.8088,0.8041,0.808,68936
247,247,1690526220000,0.808,0.8105,0.8066,0.8081,150725
