,index,timestamp,open,high,low,close,volume
0,0,1694217600000,0.5929,0.5934,0.5929,0.5931,4138
1,1,1694217660000,0.5932,0.594,0.5932,0.5934,4606
2,2,1694217720000,0.5933,0.5966,0.5933,0.596,36104
3,3,1694217780000,0.596,0.5971,0.5957,0.5969,8752
4,4,1694217840000,0.5968,0.5985,0.5964,0.5984,15360
5,5,1694217900000,0.5983,0.5984,0.5976,0.5976,16123
6,6,1694217960000,0.5976,0.5992,0.5976,0.5992,15653
7,7,1694218020000,0.599,0.5995,0.599,0.5995,2287
8,8,1694218080000,0.5993,0.5993,0.5991,0.5991,992
9,9,1694218140000,0.5991,0.6003,0.599,0.6002,30424
10,10,1694218200000,0.6001,0.602,0.5999,0.6016,22085
11,11,1694218260000,0.6016,0.6019,0.6014,0.6019,4174
12,12,1694218320000,0.6019,0.6023,0.6018,0.6022,6901
13,13,1694218380000,0.602,0.6026,0.602,0.6023,16544
14,14,1694218440000,0.6022,0.6043,0.6022,0.6036,14681
15,15,1694218500000,0.6036,0.6045,0.6036,0.6042,10765
16,16,1694218560000,0.6041,0.6051,0.6041,0.6051,13142
17,17,1694218620000,0.6051,0.6054,0.6044,0.6049,30872
18,18,1694218680000,0.6049,0.607,0.6049,0.606,45040
19,19,1694218740000,0.6062,0.6062,0.6054,0.6059,4071
20,20,1694218800000,0.6059,0.6073,0.6059,0.6066,41017
21,21,1694218860000,0.6067,0.6078,0.6064,0.6072,25615
22,22,1694218920000,0.6071,0.6082,0.607,0.6082,37356
23,23,1694218980000,0.6083,0.6099,0.6078,0.6095,49127
24,24,1694219040000,0.6093,0.6102,0.6092,0.6101,24666
25,25,1694219100000,0.6102,0.6125,0.6095,0.6122,70045
26,26,1694219160000,0.612,0.6132,0.612,0.6124,35621
27,27,1694219220000,0.6124,0.6127,0.6101,0.6103,51990
28,28,1694219280000,0.6102,0.6104,0.6068,0.6088,66564
29,29,1694219340000,0.6088,0.6111,0.6079,0.6098,60247
30,30,1694219400000,0.6098,0.6104,0.6084,0.6084,41575
31,31,1694219460000,0.6084,0.6086,0.6079,0.6085,22561
32,32,1694219520000,0.6084,0.6097,0.6082,0.6097,21075
33,33,1694219580000,0.6097,0.6097,0.6089,0.6094,9790
34,34,1694219640000,0.6093,0.6096,0.6085,0.6085,16551
35,35,1694219700000,0.6084,0.6084,0.6063,0.6073,34028
36,36,1694219760000,0.6072,0.6075,0.6065,0.6075,11911
37,37,1694219820000,0.6071,0.6071,0.6061,0.6064,9023
38,38,1694219880000,0.6062,0.6065,0.6061,0.6065,1592
39,39,1694219940000,0.6066,0.6066,0.6062,0.6064,2085
40,40,1694220000000,0.6064,0.6075,0.6064,0.6068,21491
41,41,1694220060000,0.6068,0.6071,0.6067,0.6067,3565
42,42,1694220120000,0.6066,0.6089,0.6066,0.6089,30121
43,43,1694220180000,0.609,0.6101,0.6088,0.6088,29017
44,44,1694220240000,0.6088,0.6088,0.6087,0.6087,53
45,45,1694220300000,0.6087,0.6089,0.6078,0.6078,15407
46,46,1694220360000,0.6078,0.6078,0.6074,0.6074,4594
47,47,1694220420000,0.6074,0.6074,0.6067,0.6067,16176
48,48,1694220480000,0.6065,0.6066,0.6064,0.6066,1420
49,49,1694220540000,0.6065,0.6066,0.6062,0.6066,5725
50,50,1694220600000,0.6065,0.6066,0.6063,0.6063,2190
51,51,1694220660000,0.6063,0.6064,0.6063,0.6064,227
52,52,1694220720000,0.6064,0.6068,0.6063,0.6063,1134
53,53,1694220780000,0.6063,0.6064,0.6063,0.6064,210
54,54,1694220840000,0.6062,0.6064,0.6058,0.6061,5872
55,55,1694220900000,0.6061,0.6061,0.6049,0.6053,14078
56,56,1694220960000,0.605,0.6057,0.6045,0.6057,10777
57,57,1694221020000,0.6057,0.6057,0.6047,0.6049,15181
58,58,1694221080000,0.6049,0.6049,0.6046,0.6048,2412
59,59,1694221140000,0.6045,0.606,0.6021,0.604,97736
60,60,1694221200000,0.604,0.604,0.6029,0.6032,14042
61,61,1694221260000,0.6033,0.6042,0.6032,0.6042,4083
62,62,1694221320000,0.6042,0.6045,0.6039,0.6045,3597
63,63,1694221380000,0.6044,0.6054,0.6044,0.6051,6383
64,64,1694221440000,0.6052,0.6052,0.605,0.6051,906
65,65,1694221500000,0.6051,0.6051,0.6049,0.6049,3125
66,66,1694221560000,0.6048,0.6048,0.6043,0.6046,8722
67,67,1694221620000,0.6045,0.6046,0.6036,0.6036,11676
68,68,1694221680000,0.6035,0.604,0.6035,0.6037,14615
69,69,1694221740000,0.6038,0.6048,0.6034,0.6048,15750
70,70,1694221800000,0.6049,0.6049,0.6043,0.6046,7749
71,71,1694221860000,0.6045,0.6045,0.6044,0.6044,306
72,72,1694221920000,0.6044,0.6044,0.6044,0.6044,2976
73,73,1694221980000,0.6042,0.6043,0.6042,0.6043,1080
74,74,1694222040000,0.6042,0.6047,0.6042,0.6047,1065
75,75,1694222100000,0.6045,0.6054,0.6043,0.6044,7785
76,76,1694222160000,0.6043,0.6047,0.6043,0.6047,1156
77,77,1694222220000,0.6048,0.6048,0.6048,0.6048,100
78,78,1694222280000,0.6047,0.6049,0.6047,0.6049,103
79,79,1694222340000,0.6049,0.6054,0.6049,0.6051,1482
80,80,1694222400000,0.6053,0.6056,0.6051,0.6051,673
81,81,1694222460000,0.6051,0.6055,0.6048,0.6053,2467
82,82,1694222520000,0.6049,0.6049,0.6045,0.6045,902
83,83,1694222580000,0.6046,0.6046,0.6043,0.6043,1228
84,84,1694222640000,0.6042,0.6066,0.6042,0.6066,22736
85,85,1694222700000,0.6065,0.6065,0.6063,0.6063,224
86,86,1694222760000,0.6066,0.6069,0.6064,0.6067,2050
87,87,1694222820000,0.6066,0.6071,0.6063,0.6064,2291
88,88,1694222880000,0.6063,0.6064,0.6063,0.6063,598
89,89,1694222940000,0.6063,0.6063,0.606,0.606,1063
90,90,1694223000000,0.6062,0.6064,0.6062,0.6064,399
91,91,1694223060000,0.6061,0.6061,0.6058,0.6058,136
92,92,1694223120000,0.6059,0.6062,0.6059,0.6061,1042
93,93,1694223180000,0.6058,0.6058,0.6056,0.6056,770
94,94,1694223240000,0.6056,0.6059,0.6056,0.6059,1178
95,95,1694223300000,0.6059,0.6059,0.6057,0.6059,1257
96,96,1694223360000,0.6059,0.606,0.6059,0.606,2673
97,97,1694223420000,0.606,0.6063,0.606,0.6063,1143
98,98,1694223480000,0.6063,0.6069,0.6063,0.6069,2540
99,99,1694223540000,0.6069,0.6072,0.6066,0.6067,3881
100,100,1694223600000,0.6067,0.6069,0.6067,0.6069,3033
101,101,1694223660000,0.607,0.6084,0.607,0.6078,21839
102,102,1694223720000,0.6077,0.6087,0.6075,0.6087,11306
103,103,1694223780000,0.6086,0.6089,0.6086,0.6088,3957
104,104,1694223840000,0.6087,0.609,0.6085,0.6087,5268
105,105,1694223900000,0.6086,0.6087,0.6084,0.6084,4347
106,106,1694223960000,0.6084,0.6094,0.6084,0.6086,15373
107,107,1694224020000,0.6086,0.6086,0.6076,0.6076,9360
108,108,1694224080000,0.6076,0.6077,0.6074,0.6076,316
109,109,1694224140000,0.6075,0.6075,0.6074,0.6074,725
110,110,1694224200000,0.6073,0.6073,0.6068,0.6068,5483
111,111,1694224260000,0.6069,0.6076,0.6069,0.6076,4372
112,112,1694224320000,0.6079,0.608,0.6075,0.6075,773
113,113,1694224380000,0.6076,0.6076,0.6071,0.6071,4453
114,114,1694224440000,0.6072,0.6075,0.607,0.607,5573
115,115,1694224500000,0.6069,0.607,0.6067,0.6067,1963
116,116,1694224560000,0.6068,0.607,0.6062,0.6062,1736
117,117,1694224620000,0.6062,0.6063,0.6057,0.6058,3599
118,118,1694224680000,0.6059,0.6065,0.6058,0.6065,3228
119,119,1694224740000,0.6064,0.6067,0.6063,0.6063,1193
120,120,1694224800000,0.6065,0.6077,0.6062,0.6072,5223
121,121,1694224860000,0.6072,0.6077,0.6069,0.6077,1461
122,122,1694224920000,0.6074,0.6083,0.6072,0.6074,5404
123,123,1694224980000,0.6073,0.6076,0.6073,0.6073,2468
124,124,1694225040000,0.6071,0.6071,0.607,0.607,3863
125,125,1694225100000,0.607,0.607,0.6063,0.6063,1780
126,126,1694225160000,0.6061,0.6061,0.6054,0.6054,6390
127,127,1694225220000,0.6054,0.6054,0.6054,0.6054,0
128,128,1694225280000,0.6054,0.6054,0.6039,0.604,21101
129,129,1694225340000,0.6038,0.6041,0.6036,0.6039,14187
130,130,1694225400000,0.6038,0.604,0.6038,0.6038,1944
131,131,1694225460000,0.6036,0.6036,0.602,0.6021,24429
132,132,1694225520000,0.6021,0.603,0.6016,0.6025,19558
133,133,1694225580000,0.6026,0.6026,0.6013,0.602,20525
134,134,1694225640000,0.6022,0.6023,0.6021,0.6023,2286
135,135,1694225700000,0.6024,0.6026,0.6024,0.6025,142
136,136,1694225760000,0.6025,0.6025,0.6024,0.6025,501
137,137,1694225820000,0.6027,0.6027,0.6025,0.6025,694
138,138,1694225880000,0.6025,0.6025,0.6025,0.6025,0
139,139,1694225940000,0.6027,0.6027,0.6017,0.6019,12565
140,140,1694226000000,0.6019,0.6021,0.6018,0.6019,1303
141,141,1694226060000,0.602,0.6027,0.6014,0.6017,4676
142,142,1694226120000,0.6019,0.602,0.6006,0.6016,31856
143,143,1694226180000,0.6017,0.6021,0.6013,0.6013,4244
144,144,1694226240000,0.6014,0.6016,0.6013,0.6015,2423
145,145,1694226300000,0.6015,0.6017,0.6014,0.6015,345
146,146,1694226360000,0.6017,0.6027,0.6011,0.6012,6353
147,147,1694226420000,0.6012,0.6013,0.6009,0.6013,3936
148,148,1694226480000,0.6012,0.6012,0.5986,0.5995,65255
149,149,1694226540000,0.5995,0.5995,0.599,0.599,2322
150,150,1694226600000,0.599,0.5997,0.599,0.5997,3535
151,151,1694226660000,0.5999,0.5999,0.5995,0.5999,950
152,152,1694226720000,0.5999,0.6003,0.5998,0.6,3594
153,153,1694226780000,0.6,0.6,0.6,0.6,121
154,154,1694226840000,0.6,0.6002,0.5997,0.6001,3151
155,155,1694226900000,0.6002,0.6011,0.6002,0.6011,2636
156,156,1694226960000,0.6011,0.6014,0.6011,0.6013,3154
157,157,1694227020000,0.6011,0.6012,0.6011,0.6012,681
