,index,timestamp,open,high,low,close,volume
0,0,1694476800000,0.6447,0.6465,0.6442,0.6452,650068.8
1,1,1694476860000,0.6452,0.6472,0.6449,0.6472,396429.9
2,2,1694476920000,0.6472,0.6486,0.6469,0.6479,441248.6
3,3,1694476980000,0.6479,0.6479,0.6466,0.6472,352457.9
4,4,1694477040000,0.6473,0.6473,0.6455,0.6466,532603.6
5,5,1694477100000,0.6467,0.6475,0.6453,0.6459,528995.7
6,6,1694477160000,0.646,0.6463,0.644,0.6446,418738.5
7,7,1694477220000,0.6445,0.6451,0.6431,0.6442,477135.1
8,8,1694477280000,0.6442,0.6456,0.6438,0.6452,325352.6
9,9,1694477340000,0.6453,0.6463,0.6446,0.6448,244201.8
10,10,1694477400000,0.6447,0.645,0.6441,0.6447,155581.5
11,11,1694477460000,0.6447,0.6469,0.6447,0.6455,178045.8
12,12,1694477520000,0.6455,0.6458,0.645,0.6453,113214.8
13,13,1694477580000,0.6453,0.6453,0.6444,0.6451,124556.5
14,14,1694477640000,0.645,0.645,0.6444,0.6447,101051.2
15,15,1694477700000,0.6446,0.6453,0.643,0.6432,235921.1
16,16,1694477760000,0.6432,0.6437,0.6429,0.6429,234261.8
17,17,1694477820000,0.6429,0.6512,0.6427,0.6486,2170198.3
18,18,1694477880000,0.6485,0.6535,0.6476,0.6519,1243820.1
19,19,1694477940000,0.652,0.6522,0.6492,0.6502,594159.2
20,20,1694478000000,0.6502,0.6502,0.6468,0.6474,566856.2
21,21,1694478060000,0.6473,0.6484,0.6465,0.6467,321144.7
22,22,1694478120000,0.6466,0.6468,0.645,0.6454,332117.5
23,23,1694478180000,0.6455,0.6483,0.6455,0.647,340846.4
24,24,1694478240000,0.647,0.647,0.644,0.6441,364813.8
25,25,1694478300000,0.6441,0.6451,0.6426,0.643,653303.6
26,26,1694478360000,0.643,0.6444,0.6424,0.6435,501694.5
27,27,1694478420000,0.6435,0.6437,0.64,0.6421,1350913.0
28,28,1694478480000,0.6422,0.6442,0.6418,0.6435,387470.0
29,29,1694478540000,0.6435,0.6454,0.6428,0.6442,288376.4
30,30,1694478600000,0.6442,0.6469,0.6441,0.646,664297.7
31,31,1694478660000,0.6461,0.6461,0.6443,0.6453,243884.4
32,32,1694478720000,0.6453,0.6453,0.6434,0.6435,207524.4
33,33,1694478780000,0.6436,0.6443,0.6435,0.6439,101625.5
34,34,1694478840000,0.6439,0.6448,0.6424,0.6424,190928.9
35,35,1694478900000,0.6424,0.6434,0.6414,0.6425,408259.1
36,36,1694478960000,0.6425,0.6428,0.6406,0.6407,627656.4
37,37,1694479020000,0.6408,0.6423,0.6406,0.6418,269803.6
38,38,1694479080000,0.6419,0.6433,0.6417,0.6426,170297.5
39,39,1694479140000,0.6426,0.644,0.6417,0.6432,216103.9
40,40,1694479200000,0.6432,0.6438,0.6428,0.6438,114458.6
41,41,1694479260000,0.6438,0.6448,0.6419,0.6419,394428.1
42,42,1694479320000,0.6418,0.6419,0.6369,0.6385,1412260.9
43,43,1694479380000,0.6385,0.6396,0.6384,0.6395,320772.8
44,44,1694479440000,0.6396,0.6396,0.6378,0.6384,252478.3
45,45,1694479500000,0.6385,0.64,0.6382,0.6395,220999.6
46,46,1694479560000,0.6395,0.6419,0.6393,0.641,434448.0
47,47,1694479620000,0.6409,0.6416,0.64,0.6415,302705.6
48,48,1694479680000,0.6416,0.6446,0.6416,0.6445,316545.1
49,49,1694479740000,0.6446,0.6449,0.6438,0.6446,256593.0
50,50,1694479800000,0.6446,0.6475,0.6432,0.6469,362870.8
51,51,1694479860000,0.6468,0.6475,0.6448,0.6451,359220.7
52,52,1694479920000,0.6452,0.6463,0.6447,0.6462,269125.2
53,53,1694479980000,0.6461,0.6489,0.6457,0.6486,432224.0
54,54,1694480040000,0.6487,0.6495,0.6474,0.6489,707481.2
55,55,1694480100000,0.6489,0.65,0.6485,0.6497,294924.4
56,56,1694480160000,0.6497,0.65,0.648,0.6484,276356.9
