,index,timestamp,open,high,low,close,volume
0,0,1693958400000,0.5662,0.5681,0.5661,0.5666,48710
1,1,1693958460000,0.5665,0.5666,0.5657,0.5661,7971
2,2,1693958520000,0.5661,0.5673,0.566,0.5673,17586
3,3,1693958580000,0.5673,0.5676,0.5671,0.5671,6297
4,4,1693958640000,0.567,0.5676,0.5668,0.5675,2419
5,5,1693958700000,0.5677,0.5687,0.5677,0.5683,16263
6,6,1693958760000,0.5684,0.5687,0.5679,0.5686,3824
7,7,1693958820000,0.5686,0.5701,0.5686,0.5698,18239
8,8,1693958880000,0.5699,0.5704,0.5699,0.5702,4812
9,9,1693958940000,0.5703,0.5709,0.5703,0.5706,4509
10,10,1693959000000,0.5707,0.571,0.5705,0.5705,6744
11,11,1693959060000,0.5705,0.5711,0.5705,0.5711,3663
12,12,1693959120000,0.571,0.571,0.5703,0.5705,6819
13,13,1693959180000,0.5706,0.5712,0.5706,0.571,4066
14,14,1693959240000,0.5709,0.5709,0.5707,0.5707,4142
15,15,1693959300000,0.5708,0.5712,0.5704,0.5704,3444
16,16,1693959360000,0.5704,0.5707,0.5704,0.5706,1109
17,17,1693959420000,0.5706,0.5706,0.5696,0.5696,17495
18,18,1693959480000,0.5696,0.5696,0.5692,0.5694,4048
19,19,1693959540000,0.5695,0.5701,0.5693,0.5697,35111
20,20,1693959600000,0.5697,0.5701,0.5695,0.5697,5040
21,21,1693959660000,0.5697,0.5698,0.5696,0.5697,1423
22,22,1693959720000,0.5696,0.57,0.5696,0.5696,6194
23,23,1693959780000,0.5696,0.5696,0.5687,0.5689,9898
24,24,1693959840000,0.5688,0.5689,0.5687,0.5687,3320
25,25,1693959900000,0.5688,0.5694,0.5677,0.5677,29209
26,26,1693959960000,0.5676,0.5676,0.5671,0.5671,7501
27,27,1693960020000,0.5671,0.5674,0.5671,0.5673,5598
28,28,1693960080000,0.5672,0.5672,0.5665,0.5667,18463
29,29,1693960140000,0.5666,0.5666,0.566,0.5664,11885
30,30,1693960200000,0.5665,0.5671,0.5664,0.5668,3599
31,31,1693960260000,0.5664,0.5664,0.5642,0.5645,86137
32,32,1693960320000,0.5644,0.5644,0.5633,0.5636,36860
33,33,1693960380000,0.5636,0.5644,0.5633,0.5639,12680
34,34,1693960440000,0.5641,0.5646,0.5637,0.5646,12678
35,35,1693960500000,0.5646,0.565,0.5643,0.565,9217
36,36,1693960560000,0.565,0.5658,0.5649,0.5658,11713
37,37,1693960620000,0.5658,0.5672,0.5658,0.5663,62695
38,38,1693960680000,0.5665,0.5666,0.5656,0.5663,5197
39,39,1693960740000,0.5663,0.5666,0.5659,0.5662,10348
40,40,1693960800000,0.5661,0.5661,0.5657,0.5657,1297
41,41,1693960860000,0.566,0.5666,0.566,0.5664,8743
42,42,1693960920000,0.5666,0.5669,0.5664,0.5668,3211
43,43,1693960980000,0.5667,0.5667,0.5659,0.566,6658
44,44,1693961040000,0.5662,0.5663,0.5657,0.5657,2071
45,45,1693961100000,0.5657,0.5666,0.5657,0.5666,2375
46,46,1693961160000,0.5664,0.5664,0.5657,0.5658,2929
47,47,1693961220000,0.5657,0.566,0.5655,0.5658,4769
48,48,1693961280000,0.5658,0.5658,0.5654,0.5657,5469
49,49,1693961340000,0.5657,0.5657,0.5654,0.5657,1080
50,50,1693961400000,0.5654,0.5662,0.5652,0.5652,11578
51,51,1693961460000,0.5652,0.5652,0.5645,0.5649,12624
52,52,1693961520000,0.5647,0.5647,0.5637,0.5637,20851
53,53,1693961580000,0.5639,0.5645,0.5639,0.5645,2299
54,54,1693961640000,0.5645,0.5657,0.5645,0.5657,13793
