,index,timestamp,open,high,low,close,volume
0,0,1694995200000,90.88,90.93,90.76,90.93,111.2
1,1,1694995260000,90.9,90.96,90.89,90.94,54.3
2,2,1694995320000,90.95,90.96,90.94,90.96,5.2
3,3,1694995380000,90.96,90.99,90.96,90.99,17.3
4,4,1694995440000,90.98,91.0,90.98,90.99,23.6
5,5,1694995500000,90.99,91.0,90.99,90.99,8.5
6,6,1694995560000,91.0,91.07,91.0,91.06,41.7
7,7,1694995620000,91.07,91.2,91.07,91.16,218.7
8,8,1694995680000,91.15,91.24,91.05,91.16,414.7
9,9,1694995740000,91.16,91.2,91.11,91.15,92.6
10,10,1694995800000,91.15,91.15,91.08,91.09,88.8
11,11,1694995860000,91.1,91.1,91.07,91.07,9.7
12,12,1694995920000,91.08,91.08,90.99,90.99,41.2
13,13,1694995980000,91.0,91.0,90.99,90.99,5.9
14,14,1694996040000,91.0,91.03,90.99,91.03,41.7
15,15,1694996100000,91.06,91.18,91.06,91.17,61.3
16,16,1694996160000,91.18,91.19,91.17,91.18,13.7
17,17,1694996220000,91.18,91.18,91.17,91.18,18.2
18,18,1694996280000,91.18,91.18,91.09,91.09,36.8
19,19,1694996340000,91.08,91.1,91.05,91.06,31.0
20,20,1694996400000,91.08,91.08,91.07,91.07,4.6
21,21,1694996460000,91.07,91.08,90.91,90.91,104.5
22,22,1694996520000,90.91,90.93,90.9,90.93,34.5
23,23,1694996580000,90.92,90.93,90.9,90.92,21.6
24,24,1694996640000,90.92,90.92,90.9,90.91,28.1
25,25,1694996700000,90.9,90.9,90.82,90.82,104.3
26,26,1694996760000,90.82,90.83,90.79,90.82,33.9
27,27,1694996820000,90.83,90.84,90.79,90.79,11.0
28,28,1694996880000,90.78,90.81,90.74,90.75,29.8
29,29,1694996940000,90.77,90.78,90.51,90.55,243.7
30,30,1694997000000,90.54,90.56,90.4,90.51,278.6
31,31,1694997060000,90.52,90.72,90.32,90.71,542.8
32,32,1694997120000,90.71,90.79,90.63,90.63,79.8
33,33,1694997180000,90.62,90.62,90.34,90.4,79.7
34,34,1694997240000,90.41,90.41,90.27,90.38,108.3
35,35,1694997300000,90.39,90.49,90.33,90.49,56.7
36,36,1694997360000,90.49,90.49,90.42,90.42,33.0
37,37,1694997420000,90.4,90.45,90.39,90.44,27.5
38,38,1694997480000,90.43,90.51,90.39,90.45,114.1
39,39,1694997540000,90.45,90.45,90.38,90.39,17.3
40,40,1694997600000,90.36,90.36,90.3,90.3,21.5
41,41,1694997660000,90.31,90.49,90.31,90.49,24.0
42,42,1694997720000,90.47,90.59,90.47,90.59,48.1
43,43,1694997780000,90.59,90.74,90.59,90.73,60.1
44,44,1694997840000,90.71,90.71,90.63,90.64,30.2
45,45,1694997900000,90.64,90.64,90.56,90.57,10.6
46,46,1694997960000,90.6,90.6,90.56,90.56,6.0
47,47,1694998020000,90.58,90.65,90.53,90.64,86.6
48,48,1694998080000,90.63,90.94,90.63,90.87,190.0
49,49,1694998140000,90.88,90.88,90.73,90.73,20.2
50,50,1694998200000,90.73,90.87,90.73,90.83,14.9
51,51,1694998260000,90.83,90.89,90.83,90.84,16.0
52,52,1694998320000,90.83,90.83,90.75,90.76,16.7
53,53,1694998380000,90.76,90.78,90.71,90.71,4.8
54,54,1694998440000,90.72,90.77,90.72,90.74,13.2
55,55,1694998500000,90.74,90.77,90.73,90.76,12.9
56,56,1694998560000,90.78,90.78,90.75,90.75,4.7
57,57,1694998620000,90.72,90.72,90.68,90.72,35.6
58,58,1694998680000,90.68,90.76,90.68,90.75,50.8
59,59,1694998740000,90.76,90.77,90.75,90.76,12.8
60,60,1694998800000,90.75,90.77,90.7,90.77,51.7
61,61,1694998860000,90.76,90.87,90.74,90.84,73.0
62,62,1694998920000,90.81,90.86,90.78,90.78,18.1
63,63,1694998980000,90.79,90.79,90.67,90.7,79.7
64,64,1694999040000,90.69,90.73,90.64,90.64,67.6
65,65,1694999100000,90.67,90.72,90.64,90.67,77.5
66,66,1694999160000,90.67,90.67,90.66,90.66,7.3
67,67,1694999220000,90.63,90.63,90.53,90.58,123.2
68,68,1694999280000,90.56,90.64,90.56,90.61,24.1
69,69,1694999340000,90.59,90.62,90.59,90.61,13.6
70,70,1694999400000,90.62,90.64,90.61,90.61,10.1
71,71,1694999460000,90.6,90.71,90.59,90.71,10.5
72,72,1694999520000,90.71,90.75,90.71,90.75,48.3
73,73,1694999580000,90.75,90.83,90.75,90.81,25.5
74,74,1694999640000,90.81,90.85,90.81,90.85,27.6
75,75,1694999700000,90.82,90.83,90.75,90.77,116.3
76,76,1694999760000,90.77,90.8,90.72,90.8,48.7
77,77,1694999820000,90.81,90.83,90.74,90.75,30.3
78,78,1694999880000,90.77,90.79,90.75,90.76,7.2
79,79,1694999940000,90.73,90.75,90.73,90.75,1.4
80,80,1695000000000,90.73,90.74,90.73,90.73,7.8
81,81,1695000060000,90.73,90.78,90.69,90.72,65.7
82,82,1695000120000,90.71,90.71,90.69,90.7,5.6
83,83,1695000180000,90.7,90.73,90.69,90.71,21.9
84,84,1695000240000,90.71,90.82,90.71,90.82,19.2
85,85,1695000300000,90.81,90.88,90.81,90.86,12.4
86,86,1695000360000,90.86,90.92,90.84,90.91,5.7
87,87,1695000420000,90.9,90.93,90.9,90.92,24.6
88,88,1695000480000,90.92,90.92,90.91,90.92,26.5
89,89,1695000540000,90.92,90.93,90.91,90.91,35.4
90,90,1695000600000,90.9,90.9,90.81,90.81,66.1
91,91,1695000660000,90.81,90.81,90.69,90.69,76.5
92,92,1695000720000,90.68,90.69,90.63,90.64,51.4
93,93,1695000780000,90.64,90.7,90.63,90.7,44.7
94,94,1695000840000,90.69,90.71,90.69,90.71,22.3
95,95,1695000900000,90.7,90.7,90.68,90.68,5.2
96,96,1695000960000,90.69,90.71,90.69,90.71,5.1
97,97,1695001020000,90.71,90.79,90.71,90.79,16.1
98,98,1695001080000,90.79,90.91,90.79,90.89,24.9
99,99,1695001140000,90.89,90.89,90.75,90.75,25.3
100,100,1695001200000,90.77,90.87,90.77,90.87,52.2
101,101,1695001260000,90.84,90.84,90.77,90.77,5.4
102,102,1695001320000,90.77,90.77,90.76,90.76,0.2
103,103,1695001380000,90.76,90.86,90.76,90.85,15.8
104,104,1695001440000,90.85,90.88,90.85,90.88,10.3
105,105,1695001500000,90.88,90.93,90.87,90.93,18.4
106,106,1695001560000,90.97,91.01,90.96,91.01,41.5
107,107,1695001620000,91.01,91.02,91.0,91.0,8.7
108,108,1695001680000,90.99,90.99,90.91,90.93,139.7
109,109,1695001740000,90.93,90.96,90.93,90.96,13.9
110,110,1695001800000,90.97,91.01,90.97,91.01,11.5
111,111,1695001860000,90.99,91.0,90.98,90.99,3.9
112,112,1695001920000,90.99,90.99,90.95,90.95,20.3
113,113,1695001980000,90.94,90.95,90.9,90.95,8.4
114,114,1695002040000,90.94,90.99,90.94,90.97,68.0
115,115,1695002100000,90.97,91.0,90.97,91.0,4.7
116,116,1695002160000,91.0,91.02,90.99,91.02,18.9
117,117,1695002220000,91.01,91.01,91.0,91.01,2.8
118,118,1695002280000,91.02,91.06,91.0,91.06,47.8
119,119,1695002340000,91.07,91.2,91.07,91.1,99.9
120,120,1695002400000,91.08,91.15,91.02,91.13,65.5
121,121,1695002460000,91.12,91.2,91.1,91.19,64.7
122,122,1695002520000,91.19,91.2,91.18,91.19,12.3
123,123,1695002580000,91.19,91.2,91.17,91.19,17.3
124,124,1695002640000,91.14,91.18,91.13,91.15,89.9
125,125,1695002700000,91.13,91.15,91.13,91.15,14.5
126,126,1695002760000,91.15,91.16,91.02,91.09,189.7
127,127,1695002820000,91.09,91.09,91.05,91.07,14.0
128,128,1695002880000,91.06,91.14,91.05,91.14,43.4
129,129,1695002940000,91.13,91.14,91.13,91.13,18.0
130,130,1695003000000,91.14,91.16,91.13,91.16,37.2
131,131,1695003060000,91.15,91.15,91.13,91.14,19.9
132,132,1695003120000,91.15,91.15,91.1,91.1,5.7
133,133,1695003180000,91.09,91.1,91.08,91.1,18.0
134,134,1695003240000,91.1,91.1,91.09,91.09,0.5
135,135,1695003300000,91.09,91.11,91.05,91.11,45.8
136,136,1695003360000,91.11,91.2,91.11,91.2,39.0
137,137,1695003420000,91.2,91.21,91.2,91.21,9.4
138,138,1695003480000,91.21,91.21,91.2,91.2,3.4
139,139,1695003540000,91.2,91.21,91.18,91.19,15.6
140,140,1695003600000,91.19,91.19,91.06,91.17,245.2
141,141,1695003660000,91.17,91.21,91.17,91.19,31.4
142,142,1695003720000,91.18,91.25,91.12,91.22,190.5
143,143,1695003780000,91.22,91.37,91.22,91.33,182.9
144,144,1695003840000,91.36,91.39,91.34,91.38,92.8
145,145,1695003900000,91.37,91.38,91.13,91.26,357.8
146,146,1695003960000,91.27,91.37,91.21,91.37,137.9
147,147,1695004020000,91.38,91.43,91.29,91.37,176.6
148,148,1695004080000,91.39,91.6,91.39,91.56,431.8
149,149,1695004140000,91.55,91.63,91.55,91.58,115.3
150,150,1695004200000,91.58,91.69,91.58,91.66,306.2
151,151,1695004260000,91.62,91.83,91.61,91.83,258.1
152,152,1695004320000,91.82,91.86,91.76,91.79,148.8
153,153,1695004380000,91.79,91.8,91.62,91.68,172.8
154,154,1695004440000,91.63,91.72,91.63,91.72,33.9
155,155,1695004500000,91.71,91.71,91.54,91.56,150.0
156,156,1695004560000,91.57,91.57,91.51,91.52,22.9
157,157,1695004620000,91.49,91.49,91.39,91.39,56.3
158,158,1695004680000,91.42,91.52,91.42,91.52,35.5
159,159,1695004740000,91.52,91.52,91.49,91.49,27.5
160,160,1695004800000,91.5,91.5,91.42,91.43,34.6
161,161,1695004860000,91.44,91.51,91.44,91.49,39.1
162,162,1695004920000,91.51,91.52,91.49,91.52,8.3
163,163,1695004980000,91.52,91.52,91.51,91.51,4.9
164,164,1695005040000,91.52,91.63,91.52,91.63,32.6
165,165,1695005100000,91.64,91.66,91.57,91.66,43.5
166,166,1695005160000,91.68,91.68,91.61,91.62,47.7
167,167,1695005220000,91.62,91.64,91.57,91.62,47.4
168,168,1695005280000,91.62,91.66,91.61,91.61,27.4
169,169,1695005340000,91.62,91.68,91.62,91.65,33.6
170,170,1695005400000,91.65,91.66,91.54,91.54,32.1
