,index,timestamp,open,high,low,close,volume
0,0,1694563200000,2.056,2.058,2.055,2.057,5337.4
1,1,1694563260000,2.058,2.061,2.058,2.061,6599.0
2,2,1694563320000,2.061,2.069,2.06,2.069,27577.5
3,3,1694563380000,2.068,2.08,2.068,2.069,76438.2
4,4,1694563440000,2.069,2.069,2.063,2.066,25874.3
5,5,1694563500000,2.066,2.069,2.063,2.069,15161.8
6,6,1694563560000,2.068,2.073,2.066,2.073,20350.3
7,7,1694563620000,2.073,2.073,2.07,2.071,6821.7
8,8,1694563680000,2.07,2.074,2.069,2.074,5306.3
9,9,1694563740000,2.074,2.076,2.074,2.075,864.2
10,10,1694563800000,2.076,2.079,2.076,2.078,4095.5
11,11,1694563860000,2.077,2.078,2.077,2.077,1839.2
12,12,1694563920000,2.079,2.084,2.078,2.084,8260.4
13,13,1694563980000,2.083,2.084,2.078,2.079,10985.0
14,14,1694564040000,2.079,2.079,2.073,2.073,9355.0
15,15,1694564100000,2.072,2.073,2.07,2.072,8762.8
16,16,1694564160000,2.071,2.072,2.071,2.072,4936.9
17,17,1694564220000,2.071,2.074,2.07,2.074,6176.8
18,18,1694564280000,2.074,2.076,2.074,2.074,6299.4
19,19,1694564340000,2.075,2.075,2.075,2.075,281.2
20,20,1694564400000,2.075,2.077,2.072,2.072,8743.0
21,21,1694564460000,2.072,2.073,2.072,2.073,907.7
22,22,1694564520000,2.073,2.073,2.072,2.073,93.9
23,23,1694564580000,2.072,2.072,2.069,2.071,4527.2
24,24,1694564640000,2.071,2.074,2.071,2.074,1575.2
25,25,1694564700000,2.074,2.074,2.072,2.073,1207.9
26,26,1694564760000,2.074,2.074,2.072,2.072,177.6
27,27,1694564820000,2.072,2.072,2.071,2.071,2036.7
28,28,1694564880000,2.071,2.072,2.07,2.071,1504.5
29,29,1694564940000,2.07,2.071,2.069,2.071,3133.5
30,30,1694565000000,2.07,2.072,2.069,2.071,3182.2
31,31,1694565060000,2.071,2.071,2.068,2.068,2392.4
32,32,1694565120000,2.068,2.069,2.068,2.069,1328.6
33,33,1694565180000,2.068,2.068,2.068,2.068,366.2
34,34,1694565240000,2.069,2.069,2.068,2.068,2110.1
35,35,1694565300000,2.067,2.071,2.067,2.07,7085.0
36,36,1694565360000,2.07,2.07,2.069,2.069,2843.3
37,37,1694565420000,2.07,2.072,2.07,2.071,8937.6
38,38,1694565480000,2.071,2.073,2.071,2.071,3513.7
39,39,1694565540000,2.071,2.072,2.07,2.07,2122.4
40,40,1694565600000,2.069,2.07,2.068,2.069,1808.5
41,41,1694565660000,2.07,2.073,2.07,2.073,6589.1
42,42,1694565720000,2.073,2.073,2.07,2.07,3482.9
43,43,1694565780000,2.07,2.07,2.069,2.069,1233.8
44,44,1694565840000,2.069,2.069,2.069,2.069,24.9
45,45,1694565900000,2.069,2.07,2.068,2.068,3081.1
46,46,1694565960000,2.068,2.069,2.068,2.068,652.9
47,47,1694566020000,2.068,2.068,2.067,2.067,1923.9
48,48,1694566080000,2.067,2.068,2.066,2.067,1624.0
49,49,1694566140000,2.067,2.068,2.067,2.068,727.7
50,50,1694566200000,2.067,2.067,2.067,2.067,319.8
51,51,1694566260000,2.067,2.068,2.067,2.068,880.1
52,52,1694566320000,2.068,2.07,2.068,2.07,2744.0
53,53,1694566380000,2.071,2.072,2.07,2.071,395.3
54,54,1694566440000,2.071,2.071,2.071,2.071,289.4
55,55,1694566500000,2.071,2.071,2.07,2.071,1118.8
56,56,1694566560000,2.071,2.071,2.07,2.07,1060.1
57,57,1694566620000,2.07,2.07,2.069,2.069,1117.2
58,58,1694566680000,2.069,2.069,2.069,2.069,304.2
59,59,1694566740000,2.069,2.07,2.069,2.07,404.7
60,60,1694566800000,2.069,2.072,2.068,2.068,6786.6
61,61,1694566860000,2.069,2.07,2.066,2.068,2401.8
62,62,1694566920000,2.068,2.068,2.067,2.067,831.7
63,63,1694566980000,2.067,2.07,2.067,2.07,920.5
64,64,1694567040000,2.069,2.069,2.067,2.069,1740.7
65,65,1694567100000,2.069,2.07,2.069,2.069,442.4
66,66,1694567160000,2.068,2.069,2.068,2.069,505.1
67,67,1694567220000,2.069,2.069,2.069,2.069,132.2
68,68,1694567280000,2.069,2.069,2.068,2.069,740.6
69,69,1694567340000,2.069,2.069,2.069,2.069,236.9
70,70,1694567400000,2.069,2.07,2.069,2.069,145.2
71,71,1694567460000,2.069,2.07,2.069,2.07,256.3
72,72,1694567520000,2.069,2.07,2.069,2.07,965.2
73,73,1694567580000,2.071,2.073,2.071,2.073,1821.3
74,74,1694567640000,2.073,2.073,2.072,2.072,1076.0
75,75,1694567700000,2.072,2.073,2.072,2.073,260.7
76,76,1694567760000,2.073,2.073,2.073,2.073,26.1
77,77,1694567820000,2.072,2.073,2.072,2.073,62.0
78,78,1694567880000,2.072,2.074,2.072,2.073,863.5
79,79,1694567940000,2.072,2.074,2.072,2.073,518.1
80,80,1694568000000,2.074,2.074,2.073,2.073,123.5
81,81,1694568060000,2.074,2.074,2.074,2.074,36.0
82,82,1694568120000,2.073,2.074,2.073,2.073,83.7
83,83,1694568180000,2.073,2.073,2.072,2.072,2073.3
84,84,1694568240000,2.072,2.072,2.071,2.071,219.2
85,85,1694568300000,2.071,2.072,2.071,2.071,388.1
86,86,1694568360000,2.071,2.071,2.068,2.069,8342.4
87,87,1694568420000,2.068,2.069,2.066,2.067,1151.7
88,88,1694568480000,2.067,2.068,2.067,2.068,1006.4
89,89,1694568540000,2.069,2.069,2.068,2.069,1051.5
90,90,1694568600000,2.068,2.068,2.068,2.068,55.6
91,91,1694568660000,2.067,2.069,2.067,2.068,2446.8
92,92,1694568720000,2.068,2.069,2.068,2.068,1220.1
93,93,1694568780000,2.069,2.071,2.069,2.07,1828.9
94,94,1694568840000,2.071,2.071,2.07,2.071,1002.5
95,95,1694568900000,2.071,2.072,2.071,2.071,929.2
96,96,1694568960000,2.07,2.071,2.069,2.07,6796.1
97,97,1694569020000,2.07,2.071,2.07,2.071,45.7
98,98,1694569080000,2.071,2.071,2.07,2.071,1163.6
99,99,1694569140000,2.071,2.071,2.07,2.07,214.2
100,100,1694569200000,2.07,2.07,2.069,2.069,542.1
101,101,1694569260000,2.07,2.071,2.07,2.07,1636.5
102,102,1694569320000,2.07,2.071,2.067,2.068,5821.5
103,103,1694569380000,2.068,2.068,2.066,2.068,2601.1
104,104,1694569440000,2.069,2.069,2.069,2.069,366.1
105,105,1694569500000,2.069,2.069,2.066,2.067,6753.7
106,106,1694569560000,2.066,2.066,2.065,2.066,5150.9
107,107,1694569620000,2.066,2.068,2.066,2.068,2083.3
108,108,1694569680000,2.067,2.068,2.067,2.068,130.9
109,109,1694569740000,2.068,2.068,2.068,2.068,1077.9
110,110,1694569800000,2.068,2.069,2.068,2.069,345.0
111,111,1694569860000,2.069,2.071,2.069,2.071,896.8
112,112,1694569920000,2.071,2.072,2.07,2.071,1421.5
113,113,1694569980000,2.072,2.073,2.072,2.073,1290.2
114,114,1694570040000,2.073,2.074,2.073,2.074,584.0
115,115,1694570100000,2.074,2.075,2.074,2.074,43.6
116,116,1694570160000,2.074,2.075,2.073,2.073,1135.0
117,117,1694570220000,2.073,2.075,2.073,2.075,2211.1
118,118,1694570280000,2.075,2.075,2.074,2.075,441.0
119,119,1694570340000,2.074,2.075,2.074,2.075,202.8
120,120,1694570400000,2.074,2.075,2.071,2.074,3558.5
121,121,1694570460000,2.074,2.075,2.072,2.073,2006.1
122,122,1694570520000,2.073,2.074,2.073,2.074,57.1
123,123,1694570580000,2.073,2.074,2.073,2.074,12.7
124,124,1694570640000,2.074,2.074,2.072,2.072,1321.3
125,125,1694570700000,2.072,2.072,2.069,2.07,2491.8
126,126,1694570760000,2.07,2.07,2.068,2.068,870.4
127,127,1694570820000,2.068,2.068,2.068,2.068,74.2
128,128,1694570880000,2.068,2.068,2.068,2.068,25.9
129,129,1694570940000,2.068,2.069,2.068,2.068,657.4
130,130,1694571000000,2.069,2.07,2.067,2.069,693.4
131,131,1694571060000,2.07,2.072,2.069,2.072,1367.6
132,132,1694571120000,2.073,2.074,2.072,2.074,1477.8
133,133,1694571180000,2.074,2.074,2.073,2.073,207.3
134,134,1694571240000,2.073,2.073,2.071,2.071,1743.7
135,135,1694571300000,2.072,2.072,2.07,2.07,354.4
136,136,1694571360000,2.071,2.071,2.07,2.07,314.6
137,137,1694571420000,2.07,2.07,2.068,2.068,1040.4
138,138,1694571480000,2.068,2.068,2.068,2.068,1380.9
139,139,1694571540000,2.068,2.069,2.068,2.069,98.9
140,140,1694571600000,2.069,2.07,2.069,2.069,31.9
141,141,1694571660000,2.069,2.07,2.069,2.07,1109.4
142,142,1694571720000,2.07,2.07,2.07,2.07,12.4
143,143,1694571780000,2.07,2.071,2.07,2.071,385.5
144,144,1694571840000,2.07,2.072,2.07,2.071,1457.4
145,145,1694571900000,2.07,2.071,2.07,2.07,92.9
146,146,1694571960000,2.07,2.07,2.07,2.07,62.8
147,147,1694572020000,2.07,2.07,2.07,2.07,12.6
148,148,1694572080000,2.07,2.071,2.07,2.071,422.8
149,149,1694572140000,2.072,2.073,2.071,2.071,2426.5
150,150,1694572200000,2.071,2.072,2.07,2.07,1708.4
151,151,1694572260000,2.071,2.071,2.07,2.07,362.2
152,152,1694572320000,2.07,2.07,2.068,2.068,1715.0
153,153,1694572380000,2.069,2.071,2.068,2.071,943.3
154,154,1694572440000,2.07,2.072,2.07,2.07,5140.2
155,155,1694572500000,2.07,2.07,2.068,2.068,1082.2
156,156,1694572560000,2.068,2.069,2.068,2.068,109.6
157,157,1694572620000,2.068,2.068,2.068,2.068,1340.3
158,158,1694572680000,2.067,2.068,2.067,2.068,160.4
159,159,1694572740000,2.068,2.069,2.068,2.069,3681.3
160,160,1694572800000,2.068,2.069,2.068,2.069,50.8
161,161,1694572860000,2.07,2.07,2.069,2.069,2269.3
162,162,1694572920000,2.069,2.069,2.068,2.068,357.4
163,163,1694572980000,2.068,2.069,2.068,2.069,118.7
164,164,1694573040000,2.07,2.07,2.07,2.07,193.9
165,165,1694573100000,2.07,2.072,2.069,2.071,3106.4
166,166,1694573160000,2.071,2.073,2.071,2.073,1954.5
167,167,1694573220000,2.072,2.072,2.07,2.07,1852.2
168,168,1694573280000,2.071,2.073,2.071,2.072,1079.4
169,169,1694573340000,2.071,2.071,2.071,2.071,342.2
170,170,1694573400000,2.07,2.071,2.07,2.071,75.6
171,171,1694573460000,2.071,2.071,2.069,2.069,252.9
172,172,1694573520000,2.069,2.069,2.068,2.069,1033.8
