,index,timestamp,open,high,low,close,volume
0,0,1688169600000,1.64,1.645,1.64,1.645,20191
1,1,1688169660000,1.644,1.644,1.641,1.642,4082
2,2,1688169720000,1.642,1.645,1.642,1.643,5354
3,3,1688169780000,1.643,1.646,1.642,1.643,2777
4,4,1688169840000,1.643,1.644,1.643,1.643,587
5,5,1688169900000,1.644,1.646,1.642,1.642,9390
6,6,1688169960000,1.642,1.644,1.642,1.644,2981
7,7,1688170020000,1.644,1.645,1.643,1.644,1693
8,8,1688170080000,1.644,1.644,1.643,1.643,748
9,9,1688170140000,1.643,1.645,1.643,1.645,1266
10,10,1688170200000,1.645,1.647,1.643,1.647,14772
11,11,1688170260000,1.647,1.648,1.646,1.647,2176
12,12,1688170320000,1.647,1.647,1.645,1.645,4904
13,13,1688170380000,1.645,1.645,1.639,1.639,4162
14,14,1688170440000,1.64,1.64,1.639,1.639,9482
15,15,1688170500000,1.64,1.641,1.64,1.641,9507
16,16,1688170560000,1.641,1.641,1.638,1.638,7832
17,17,1688170620000,1.638,1.638,1.636,1.637,10409
18,18,1688170680000,1.636,1.638,1.635,1.635,7908
19,19,1688170740000,1.636,1.64,1.636,1.638,6133
20,20,1688170800000,1.639,1.639,1.636,1.636,5733
21,21,1688170860000,1.636,1.639,1.635,1.638,7455
22,22,1688170920000,1.639,1.64,1.637,1.639,5281
23,23,1688170980000,1.639,1.639,1.635,1.637,8266
24,24,1688171040000,1.637,1.638,1.636,1.638,4679
25,25,1688171100000,1.638,1.638,1.634,1.634,7908
26,26,1688171160000,1.634,1.634,1.632,1.634,5896
27,27,1688171220000,1.634,1.635,1.633,1.635,5607
28,28,1688171280000,1.635,1.636,1.633,1.635,5665
29,29,1688171340000,1.635,1.636,1.633,1.633,4119
30,30,1688171400000,1.634,1.635,1.632,1.635,7086
31,31,1688171460000,1.635,1.635,1.633,1.634,6049
32,32,1688171520000,1.634,1.634,1.632,1.633,5220
33,33,1688171580000,1.634,1.634,1.632,1.633,4782
34,34,1688171640000,1.633,1.633,1.63,1.631,4669
35,35,1688171700000,1.63,1.631,1.627,1.628,7852
36,36,1688171760000,1.629,1.629,1.627,1.628,5499
37,37,1688171820000,1.627,1.627,1.625,1.626,8473
38,38,1688171880000,1.627,1.63,1.626,1.63,7767
39,39,1688171940000,1.629,1.629,1.627,1.628,7077
40,40,1688172000000,1.629,1.629,1.627,1.629,7472
41,41,1688172060000,1.63,1.63,1.627,1.629,5044
42,42,1688172120000,1.63,1.63,1.628,1.628,9523
43,43,1688172180000,1.628,1.628,1.627,1.628,4098
44,44,1688172240000,1.628,1.628,1.626,1.628,4751
45,45,1688172300000,1.627,1.627,1.622,1.624,10063
46,46,1688172360000,1.623,1.624,1.621,1.622,8954
47,47,1688172420000,1.622,1.623,1.618,1.62,12393
48,48,1688172480000,1.62,1.621,1.618,1.621,7163
49,49,1688172540000,1.62,1.622,1.62,1.621,7052
50,50,1688172600000,1.62,1.62,1.616,1.618,8368
51,51,1688172660000,1.618,1.621,1.618,1.621,8429
52,52,1688172720000,1.62,1.62,1.617,1.618,7176
53,53,1688172780000,1.618,1.618,1.614,1.616,9796
54,54,1688172840000,1.617,1.618,1.614,1.615,9505
55,55,1688172900000,1.614,1.614,1.612,1.614,4011
56,56,1688172960000,1.614,1.614,1.611,1.613,6633
57,57,1688173020000,1.613,1.613,1.612,1.613,8902
58,58,1688173080000,1.612,1.612,1.612,1.612,6288
59,59,1688173140000,1.613,1.613,1.611,1.612,4787
60,60,1688173200000,1.612,1.615,1.611,1.615,13539
61,61,1688173260000,1.614,1.615,1.612,1.614,7897
62,62,1688173320000,1.615,1.615,1.612,1.612,12854
63,63,1688173380000,1.612,1.613,1.611,1.613,4907
64,64,1688173440000,1.613,1.613,1.612,1.613,7953
65,65,1688173500000,1.612,1.613,1.607,1.609,11750
66,66,1688173560000,1.609,1.61,1.608,1.608,4311
67,67,1688173620000,1.608,1.608,1.604,1.605,15755
68,68,1688173680000,1.604,1.605,1.603,1.605,4935
69,69,1688173740000,1.605,1.605,1.603,1.605,4389
70,70,1688173800000,1.604,1.606,1.604,1.605,3284
71,71,1688173860000,1.606,1.609,1.604,1.609,4903
72,72,1688173920000,1.609,1.61,1.608,1.609,12024
73,73,1688173980000,1.609,1.61,1.608,1.61,3080
74,74,1688174040000,1.61,1.61,1.607,1.609,3962
75,75,1688174100000,1.608,1.608,1.605,1.605,9632
76,76,1688174160000,1.605,1.608,1.604,1.607,9813
77,77,1688174220000,1.608,1.611,1.601,1.603,21428
78,78,1688174280000,1.602,1.607,1.602,1.607,3999
79,79,1688174340000,1.606,1.607,1.603,1.603,4275
80,80,1688174400000,1.603,1.605,1.6,1.6,10877
81,81,1688174460000,1.6,1.602,1.6,1.601,8541
82,82,1688174520000,1.601,1.603,1.6,1.601,4057
83,83,1688174580000,1.601,1.601,1.595,1.596,23996
84,84,1688174640000,1.597,1.597,1.592,1.595,10225
85,85,1688174700000,1.596,1.602,1.596,1.601,10288
86,86,1688174760000,1.601,1.601,1.599,1.6,1398
87,87,1688174820000,1.601,1.604,1.599,1.599,10171
88,88,1688174880000,1.6,1.602,1.6,1.6,4633
89,89,1688174940000,1.6,1.602,1.6,1.601,779
90,90,1688175000000,1.601,1.603,1.599,1.603,8280
91,91,1688175060000,1.602,1.602,1.6,1.602,4579
92,92,1688175120000,1.603,1.605,1.603,1.605,7702
93,93,1688175180000,1.605,1.608,1.605,1.607,3567
94,94,1688175240000,1.607,1.611,1.607,1.61,2564
95,95,1688175300000,1.61,1.612,1.61,1.612,8012
96,96,1688175360000,1.612,1.612,1.61,1.612,3856
97,97,1688175420000,1.612,1.613,1.61,1.611,6055
98,98,1688175480000,1.611,1.611,1.61,1.61,1663
99,99,1688175540000,1.61,1.611,1.609,1.611,1152
100,100,1688175600000,1.61,1.61,1.607,1.61,6733
101,101,1688175660000,1.609,1.611,1.609,1.611,311
102,102,1688175720000,1.611,1.611,1.61,1.611,875
103,103,1688175780000,1.61,1.612,1.61,1.612,4216
104,104,1688175840000,1.612,1.612,1.609,1.611,2450
105,105,1688175900000,1.611,1.612,1.609,1.612,6098
106,106,1688175960000,1.612,1.612,1.612,1.612,496
107,107,1688176020000,1.612,1.616,1.612,1.615,8258
108,108,1688176080000,1.616,1.616,1.61,1.612,13567
109,109,1688176140000,1.611,1.612,1.61,1.612,4074
110,110,1688176200000,1.612,1.613,1.607,1.607,17822
111,111,1688176260000,1.607,1.608,1.606,1.607,3896
112,112,1688176320000,1.607,1.609,1.607,1.609,1270
113,113,1688176380000,1.609,1.609,1.607,1.608,5693
114,114,1688176440000,1.608,1.61,1.608,1.61,2935
115,115,1688176500000,1.609,1.609,1.608,1.609,2634
116,116,1688176560000,1.608,1.609,1.608,1.609,148
117,117,1688176620000,1.609,1.611,1.609,1.61,5799
118,118,1688176680000,1.61,1.61,1.61,1.61,2691
119,119,1688176740000,1.611,1.611,1.61,1.61,1021
120,120,1688176800000,1.611,1.613,1.609,1.612,8399
121,121,1688176860000,1.612,1.614,1.61,1.611,4996
122,122,1688176920000,1.611,1.615,1.611,1.614,13091
123,123,1688176980000,1.614,1.616,1.613,1.615,14186
124,124,1688177040000,1.615,1.617,1.615,1.616,13223
125,125,1688177100000,1.615,1.616,1.614,1.616,9876
126,126,1688177160000,1.615,1.615,1.612,1.612,8241
127,127,1688177220000,1.612,1.612,1.61,1.612,9262
128,128,1688177280000,1.612,1.616,1.612,1.616,4842
129,129,1688177340000,1.617,1.619,1.616,1.618,4838
130,130,1688177400000,1.618,1.618,1.615,1.616,6851
