,index,timestamp,open,high,low,close,volume
0,0,1694044800000,1.34,1.34,1.339,1.339,1815
1,1,1694044860000,1.339,1.34,1.339,1.34,774
2,2,1694044920000,1.34,1.341,1.339,1.341,2673
3,3,1694044980000,1.341,1.341,1.34,1.34,47
4,4,1694045040000,1.34,1.34,1.34,1.34,0
5,5,1694045100000,1.34,1.34,1.34,1.34,1679
6,6,1694045160000,1.339,1.339,1.339,1.339,1258
7,7,1694045220000,1.338,1.338,1.338,1.338,44
8,8,1694045280000,1.339,1.339,1.339,1.339,5
9,9,1694045340000,1.338,1.338,1.338,1.338,9
10,10,1694045400000,1.338,1.339,1.338,1.339,386
11,11,1694045460000,1.339,1.339,1.338,1.338,556
12,12,1694045520000,1.338,1.338,1.338,1.338,1148
13,13,1694045580000,1.338,1.338,1.336,1.336,5059
14,14,1694045640000,1.337,1.337,1.337,1.337,195
15,15,1694045700000,1.337,1.337,1.336,1.336,17
16,16,1694045760000,1.337,1.337,1.336,1.336,96
17,17,1694045820000,1.337,1.337,1.335,1.335,3767
18,18,1694045880000,1.334,1.334,1.334,1.334,615
19,19,1694045940000,1.334,1.335,1.334,1.335,3765
20,20,1694046000000,1.335,1.335,1.332,1.333,8043
21,21,1694046060000,1.332,1.333,1.331,1.332,2287
22,22,1694046120000,1.333,1.335,1.332,1.335,11534
23,23,1694046180000,1.335,1.336,1.335,1.335,1853
24,24,1694046240000,1.334,1.334,1.334,1.334,20
25,25,1694046300000,1.334,1.334,1.334,1.334,18
26,26,1694046360000,1.334,1.335,1.334,1.335,3553
27,27,1694046420000,1.335,1.336,1.334,1.335,5562
28,28,1694046480000,1.334,1.336,1.334,1.336,845
29,29,1694046540000,1.335,1.336,1.334,1.334,3122
30,30,1694046600000,1.335,1.338,1.335,1.338,9362
31,31,1694046660000,1.337,1.337,1.336,1.336,460
32,32,1694046720000,1.336,1.339,1.336,1.337,8835
33,33,1694046780000,1.337,1.338,1.337,1.337,1665
34,34,1694046840000,1.337,1.338,1.337,1.338,3780
35,35,1694046900000,1.339,1.34,1.337,1.339,14999
36,36,1694046960000,1.338,1.338,1.338,1.338,234
37,37,1694047020000,1.339,1.34,1.339,1.339,1032
38,38,1694047080000,1.339,1.339,1.338,1.339,2205
39,39,1694047140000,1.339,1.339,1.338,1.338,1276
40,40,1694047200000,1.339,1.339,1.339,1.339,24
41,41,1694047260000,1.339,1.339,1.339,1.339,1402
42,42,1694047320000,1.339,1.34,1.339,1.34,12146
43,43,1694047380000,1.34,1.341,1.339,1.341,2879
44,44,1694047440000,1.34,1.34,1.34,1.34,42
45,45,1694047500000,1.34,1.34,1.34,1.34,1434
46,46,1694047560000,1.34,1.341,1.34,1.341,613
47,47,1694047620000,1.341,1.341,1.34,1.34,2943
48,48,1694047680000,1.34,1.34,1.34,1.34,27
49,49,1694047740000,1.339,1.339,1.339,1.339,89
50,50,1694047800000,1.339,1.339,1.339,1.339,4733
51,51,1694047860000,1.338,1.338,1.338,1.338,938
52,52,1694047920000,1.337,1.337,1.337,1.337,948
53,53,1694047980000,1.337,1.337,1.337,1.337,6
54,54,1694048040000,1.338,1.338,1.338,1.338,10
55,55,1694048100000,1.337,1.338,1.337,1.338,1691
56,56,1694048160000,1.338,1.338,1.338,1.338,193
57,57,1694048220000,1.338,1.338,1.338,1.338,71
58,58,1694048280000,1.338,1.339,1.338,1.339,4176
59,59,1694048340000,1.338,1.339,1.338,1.339,206
60,60,1694048400000,1.339,1.341,1.338,1.339,5036
61,61,1694048460000,1.339,1.34,1.339,1.34,243
62,62,1694048520000,1.34,1.34,1.338,1.338,7873
63,63,1694048580000,1.338,1.338,1.338,1.338,41
64,64,1694048640000,1.339,1.339,1.338,1.339,3197
65,65,1694048700000,1.339,1.339,1.338,1.338,624
66,66,1694048760000,1.338,1.339,1.338,1.338,74
67,67,1694048820000,1.338,1.338,1.336,1.337,21077
68,68,1694048880000,1.337,1.337,1.337,1.337,0
69,69,1694048940000,1.337,1.337,1.337,1.337,8
70,70,1694049000000,1.337,1.337,1.336,1.337,4715
71,71,1694049060000,1.337,1.337,1.337,1.337,8
72,72,1694049120000,1.336,1.337,1.335,1.336,4094
73,73,1694049180000,1.336,1.337,1.336,1.337,172
74,74,1694049240000,1.336,1.336,1.336,1.336,79
75,75,1694049300000,1.337,1.338,1.337,1.338,1709
76,76,1694049360000,1.337,1.337,1.336,1.337,6334
77,77,1694049420000,1.337,1.337,1.337,1.337,29
78,78,1694049480000,1.337,1.337,1.337,1.337,407
79,79,1694049540000,1.338,1.338,1.338,1.338,2651
80,80,1694049600000,1.339,1.339,1.338,1.338,203
81,81,1694049660000,1.338,1.339,1.338,1.339,135
82,82,1694049720000,1.339,1.339,1.339,1.339,258
83,83,1694049780000,1.339,1.339,1.339,1.339,0
84,84,1694049840000,1.339,1.339,1.339,1.339,2922
85,85,1694049900000,1.339,1.339,1.339,1.339,8648
86,86,1694049960000,1.338,1.338,1.338,1.338,6
87,87,1694050020000,1.338,1.338,1.338,1.338,0
88,88,1694050080000,1.338,1.338,1.338,1.338,0
89,89,1694050140000,1.339,1.339,1.338,1.338,1206
90,90,1694050200000,1.339,1.339,1.338,1.338,3912
91,91,1694050260000,1.338,1.338,1.338,1.338,527
92,92,1694050320000,1.338,1.339,1.338,1.339,606
93,93,1694050380000,1.338,1.338,1.338,1.338,1517
94,94,1694050440000,1.338,1.338,1.338,1.338,43
95,95,1694050500000,1.338,1.338,1.338,1.338,80
96,96,1694050560000,1.339,1.339,1.337,1.338,8813
97,97,1694050620000,1.338,1.338,1.338,1.338,0
98,98,1694050680000,1.338,1.338,1.338,1.338,38
99,99,1694050740000,1.338,1.341,1.338,1.341,9804
100,100,1694050800000,1.341,1.341,1.341,1.341,10
101,101,1694050860000,1.341,1.341,1.341,1.341,767
102,102,1694050920000,1.341,1.342,1.341,1.341,1213
103,103,1694050980000,1.341,1.343,1.341,1.342,485
104,104,1694051040000,1.343,1.343,1.343,1.343,340
105,105,1694051100000,1.342,1.343,1.342,1.342,486
106,106,1694051160000,1.343,1.343,1.343,1.343,2722
107,107,1694051220000,1.344,1.345,1.343,1.345,3239
108,108,1694051280000,1.346,1.346,1.346,1.346,269
109,109,1694051340000,1.346,1.346,1.345,1.345,886
110,110,1694051400000,1.345,1.345,1.345,1.345,0
111,111,1694051460000,1.345,1.345,1.345,1.345,66
112,112,1694051520000,1.345,1.345,1.345,1.345,42
113,113,1694051580000,1.346,1.346,1.345,1.346,1829
114,114,1694051640000,1.347,1.347,1.347,1.347,22
115,115,1694051700000,1.347,1.347,1.347,1.347,55
116,116,1694051760000,1.347,1.347,1.347,1.347,120
117,117,1694051820000,1.347,1.347,1.346,1.347,112
118,118,1694051880000,1.347,1.347,1.347,1.347,201
119,119,1694051940000,1.346,1.346,1.346,1.346,58
120,120,1694052000000,1.347,1.347,1.346,1.347,1687
121,121,1694052060000,1.347,1.348,1.346,1.347,4941
122,122,1694052120000,1.348,1.348,1.347,1.347,100
123,123,1694052180000,1.348,1.348,1.347,1.347,222
124,124,1694052240000,1.348,1.348,1.348,1.348,415
125,125,1694052300000,1.348,1.348,1.347,1.347,1810
126,126,1694052360000,1.347,1.347,1.342,1.343,7162
127,127,1694052420000,1.343,1.345,1.343,1.345,5391
128,128,1694052480000,1.345,1.345,1.344,1.345,148
129,129,1694052540000,1.345,1.345,1.344,1.345,23
130,130,1694052600000,1.345,1.346,1.345,1.345,2991
131,131,1694052660000,1.345,1.345,1.345,1.345,0
132,132,1694052720000,1.345,1.345,1.344,1.344,53
133,133,1694052780000,1.345,1.345,1.344,1.345,180
134,134,1694052840000,1.344,1.345,1.344,1.345,3318
135,135,1694052900000,1.345,1.345,1.344,1.344,103
136,136,1694052960000,1.345,1.345,1.345,1.345,59
137,137,1694053020000,1.345,1.345,1.344,1.345,103
138,138,1694053080000,1.345,1.345,1.343,1.344,906
139,139,1694053140000,1.344,1.344,1.343,1.343,3302
140,140,1694053200000,1.343,1.343,1.341,1.342,3310
141,141,1694053260000,1.342,1.342,1.342,1.342,92
142,142,1694053320000,1.342,1.344,1.342,1.344,5502
143,143,1694053380000,1.344,1.344,1.343,1.344,321
144,144,1694053440000,1.344,1.344,1.343,1.343,811
145,145,1694053500000,1.343,1.344,1.343,1.344,773
146,146,1694053560000,1.344,1.345,1.344,1.345,2231
147,147,1694053620000,1.345,1.345,1.344,1.345,703
148,148,1694053680000,1.345,1.345,1.345,1.345,73
149,149,1694053740000,1.345,1.345,1.344,1.344,350
150,150,1694053800000,1.344,1.345,1.343,1.344,1705
151,151,1694053860000,1.344,1.344,1.343,1.343,1092
152,152,1694053920000,1.343,1.343,1.342,1.343,167
153,153,1694053980000,1.343,1.343,1.34,1.341,4461
154,154,1694054040000,1.341,1.342,1.341,1.342,2755
155,155,1694054100000,1.342,1.342,1.342,1.342,83
156,156,1694054160000,1.342,1.342,1.342,1.342,84
157,157,1694054220000,1.341,1.341,1.34,1.341,1289
158,158,1694054280000,1.341,1.341,1.34,1.341,127
159,159,1694054340000,1.341,1.341,1.341,1.341,2038
160,160,1694054400000,1.342,1.342,1.341,1.342,114
161,161,1694054460000,1.342,1.342,1.342,1.342,78
162,162,1694054520000,1.342,1.342,1.342,1.342,311
163,163,1694054580000,1.342,1.342,1.341,1.342,121
164,164,1694054640000,1.342,1.342,1.341,1.342,154
165,165,1694054700000,1.342,1.342,1.341,1.342,158
166,166,1694054760000,1.342,1.343,1.342,1.343,3857
167,167,1694054820000,1.343,1.344,1.343,1.344,541
168,168,1694054880000,1.344,1.344,1.343,1.344,290
169,169,1694054940000,1.344,1.344,1.344,1.344,83
170,170,1694055000000,1.344,1.344,1.343,1.344,107
171,171,1694055060000,1.344,1.344,1.342,1.342,6176
172,172,1694055120000,1.341,1.341,1.34,1.34,2360
173,173,1694055180000,1.34,1.341,1.34,1.341,3558
174,174,1694055240000,1.341,1.341,1.341,1.341,71
175,175,1694055300000,1.341,1.341,1.339,1.34,791
176,176,1694055360000,1.34,1.341,1.34,1.341,2066
177,177,1694055420000,1.341,1.341,1.341,1.341,61
178,178,1694055480000,1.341,1.341,1.34,1.341,986
179,179,1694055540000,1.341,1.341,1.341,1.341,1010
180,180,1694055600000,1.341,1.341,1.34,1.341,2554
181,181,1694055660000,1.341,1.341,1.34,1.341,480
182,182,1694055720000,1.341,1.341,1.34,1.341,135
183,183,1694055780000,1.341,1.341,1.341,1.341,41
184,184,1694055840000,1.341,1.341,1.34,1.341,66
185,185,1694055900000,1.341,1.341,1.34,1.341,47
186,186,1694055960000,1.341,1.341,1.339,1.34,3694
187,187,1694056020000,1.34,1.341,1.34,1.34,332
188,188,1694056080000,1.341,1.341,1.341,1.341,75
189,189,1694056140000,1.341,1.341,1.34,1.341,79
190,190,1694056200000,1.341,1.341,1.339,1.34,1273
191,191,1694056260000,1.34,1.34,1.34,1.34,0
192,192,1694056320000,1.339,1.34,1.339,1.34,1851
193,193,1694056380000,1.34,1.34,1.34,1.34,2389
194,194,1694056440000,1.34,1.34,1.34,1.34,0
195,195,1694056500000,1.34,1.34,1.339,1.34,732
196,196,1694056560000,1.34,1.34,1.339,1.339,23
197,197,1694056620000,1.339,1.34,1.339,1.34,121
198,198,1694056680000,1.339,1.339,1.339,1.339,46
199,199,1694056740000,1.34,1.341,1.34,1.341,2596
