,index,timestamp,open,high,low,close,volume
0,0,1694044800000,0.2245,0.2251,0.2243,0.2247,289949
1,1,1694044860000,0.2247,0.226,0.2246,0.2252,726126
2,2,1694044920000,0.2252,0.2256,0.2252,0.2254,111591
3,3,1694044980000,0.2254,0.2254,0.2251,0.2252,18446
4,4,1694045040000,0.2252,0.2252,0.2252,0.2252,16057
5,5,1694045100000,0.2251,0.2251,0.2249,0.225,71582
6,6,1694045160000,0.2249,0.2251,0.2249,0.2251,48674
7,7,1694045220000,0.225,0.2258,0.225,0.2254,244074
8,8,1694045280000,0.2256,0.2256,0.2256,0.2256,5150
9,9,1694045340000,0.2255,0.2255,0.2253,0.2253,47099
10,10,1694045400000,0.2254,0.2254,0.2253,0.2253,90
11,11,1694045460000,0.2254,0.2256,0.2254,0.2256,26876
12,12,1694045520000,0.2256,0.2256,0.2255,0.2256,14799
13,13,1694045580000,0.2255,0.2255,0.2254,0.2254,30654
14,14,1694045640000,0.2254,0.2254,0.2253,0.2253,64
15,15,1694045700000,0.2253,0.2253,0.2253,0.2253,243
16,16,1694045760000,0.2253,0.2253,0.2253,0.2253,44
17,17,1694045820000,0.2254,0.2254,0.2251,0.2251,42488
18,18,1694045880000,0.2251,0.2251,0.2251,0.2251,3153
19,19,1694045940000,0.2252,0.2252,0.2251,0.2251,311
20,20,1694046000000,0.2251,0.2251,0.2249,0.2249,15913
21,21,1694046060000,0.2249,0.2249,0.2249,0.2249,0
22,22,1694046120000,0.2248,0.2248,0.2246,0.2246,42758
23,23,1694046180000,0.2247,0.225,0.2247,0.2249,62080
24,24,1694046240000,0.2248,0.2249,0.2247,0.2249,8436
25,25,1694046300000,0.2248,0.2248,0.2248,0.2248,11627
26,26,1694046360000,0.2248,0.2249,0.2247,0.2249,11145
27,27,1694046420000,0.2249,0.2249,0.2249,0.2249,5458
28,28,1694046480000,0.2249,0.225,0.2249,0.225,8698
29,29,1694046540000,0.2249,0.2249,0.2246,0.2247,13874
30,30,1694046600000,0.2247,0.2249,0.2246,0.2249,36595
