,index,timestamp,open,high,low,close,volume
0,0,1693526400000,0.001365,0.001367,0.001363,0.001365,10858729
1,1,1693526460000,0.001365,0.001366,0.001364,0.001365,1566242
2,2,1693526520000,0.001366,0.001369,0.001366,0.001368,4909311
3,3,1693526580000,0.001369,0.001369,0.001367,0.001367,2645019
4,4,1693526640000,0.001368,0.001369,0.001368,0.001369,873023
5,5,1693526700000,0.001369,0.001371,0.001369,0.001371,5621134
6,6,1693526760000,0.00137,0.00137,0.001368,0.001368,3970637
7,7,1693526820000,0.001369,0.00137,0.001368,0.00137,4684202
8,8,1693526880000,0.00137,0.00137,0.001369,0.001369,48314
9,9,1693526940000,0.001369,0.00137,0.001369,0.00137,160220
10,10,1693527000000,0.001369,0.001369,0.001368,0.001368,714680
11,11,1693527060000,0.001369,0.001371,0.001369,0.001371,5140555
12,12,1693527120000,0.00137,0.001371,0.00137,0.001371,361137
13,13,1693527180000,0.00137,0.00137,0.00137,0.00137,1529090
14,14,1693527240000,0.001371,0.001371,0.001369,0.001371,3352421
15,15,1693527300000,0.001371,0.001371,0.00137,0.00137,952120
16,16,1693527360000,0.001371,0.001372,0.00137,0.001372,817747
17,17,1693527420000,0.001371,0.001371,0.00137,0.001371,1674030
18,18,1693527480000,0.001372,0.001374,0.001372,0.001373,4371866
19,19,1693527540000,0.001373,0.001373,0.001372,0.001373,157988
20,20,1693527600000,0.001373,0.001374,0.001372,0.001373,3099454
21,21,1693527660000,0.001374,0.001374,0.001372,0.001372,1613825
22,22,1693527720000,0.001373,0.001374,0.001372,0.001373,5368040
23,23,1693527780000,0.001372,0.001372,0.001372,0.001372,6162239
24,24,1693527840000,0.001371,0.001372,0.001371,0.001372,346480
25,25,1693527900000,0.001371,0.001371,0.001368,0.001368,2114578
26,26,1693527960000,0.001369,0.00137,0.001369,0.00137,14286072
27,27,1693528020000,0.001371,0.001371,0.00137,0.001371,463092
28,28,1693528080000,0.001371,0.001371,0.001371,0.001371,0
29,29,1693528140000,0.001371,0.001371,0.001371,0.001371,428112
30,30,1693528200000,0.001371,0.001372,0.001371,0.001371,587183
31,31,1693528260000,0.001371,0.001372,0.001371,0.001372,481181
32,32,1693528320000,0.001371,0.001372,0.001371,0.001372,846585
33,33,1693528380000,0.001372,0.001373,0.001372,0.001373,56917
34,34,1693528440000,0.001372,0.001372,0.001372,0.001372,4414704
35,35,1693528500000,0.001371,0.001371,0.00137,0.00137,1105584
36,36,1693528560000,0.001371,0.001371,0.001371,0.001371,217254
37,37,1693528620000,0.001371,0.001371,0.001371,0.001371,1131461
38,38,1693528680000,0.001371,0.001371,0.001371,0.001371,0
39,39,1693528740000,0.001371,0.001373,0.001371,0.001373,906764
