,index,timestamp,open,high,low,close,volume
0,0,1693612800000,0.0455,0.04555,0.04547,0.04547,536032
1,1,1693612860000,0.04546,0.04547,0.04544,0.04547,212131
2,2,1693612920000,0.04546,0.04549,0.04546,0.04549,56431
3,3,1693612980000,0.04549,0.04549,0.04548,0.04549,8062
4,4,1693613040000,0.04548,0.04548,0.04544,0.04544,27429
5,5,1693613100000,0.04544,0.04546,0.04541,0.04542,165972
6,6,1693613160000,0.04542,0.04545,0.04542,0.04545,87320
7,7,1693613220000,0.04545,0.04546,0.04545,0.04546,45134
8,8,1693613280000,0.04546,0.04547,0.04546,0.04547,23592
9,9,1693613340000,0.04547,0.04547,0.04544,0.04544,41815
10,10,1693613400000,0.04544,0.04544,0.04543,0.04544,61016
11,11,1693613460000,0.04545,0.04545,0.04545,0.04545,754
12,12,1693613520000,0.04545,0.04548,0.04545,0.04548,71602
13,13,1693613580000,0.04548,0.04548,0.04546,0.04546,28507
14,14,1693613640000,0.04546,0.04546,0.04545,0.04545,39440
15,15,1693613700000,0.04544,0.04544,0.04539,0.04539,121876
16,16,1693613760000,0.0454,0.0454,0.04538,0.04538,121950
17,17,1693613820000,0.04537,0.04538,0.04536,0.04538,213233
18,18,1693613880000,0.04538,0.0454,0.04537,0.0454,78862
19,19,1693613940000,0.04541,0.04541,0.04539,0.04539,40515
20,20,1693614000000,0.04539,0.04539,0.04537,0.04537,87026
21,21,1693614060000,0.04537,0.04541,0.04537,0.04541,105183
22,22,1693614120000,0.0454,0.04544,0.0454,0.04544,26064
23,23,1693614180000,0.04544,0.04549,0.04544,0.04549,52976
24,24,1693614240000,0.04549,0.04555,0.04549,0.04552,92170
25,25,1693614300000,0.04551,0.04551,0.04548,0.04549,157608
26,26,1693614360000,0.04549,0.04551,0.04549,0.04551,67543
27,27,1693614420000,0.0455,0.04551,0.0455,0.04551,29776
28,28,1693614480000,0.04551,0.04552,0.04551,0.04551,37301
29,29,1693614540000,0.04551,0.04553,0.04551,0.04552,62038
30,30,1693614600000,0.04552,0.04556,0.04552,0.04552,81114
31,31,1693614660000,0.04551,0.04551,0.04549,0.04549,110350
32,32,1693614720000,0.04549,0.04549,0.04548,0.04549,27704
33,33,1693614780000,0.04551,0.04553,0.04547,0.04551,179142
34,34,1693614840000,0.04551,0.04552,0.04551,0.04551,37782
35,35,1693614900000,0.0455,0.04551,0.04548,0.04551,57834
