,index,timestamp,open,high,low,close,volume
0,0,1694131200000,1.0969,1.1011,1.0969,1.0995,32260.3
1,1,1694131260000,1.0993,1.0998,1.0992,1.0994,7965.6
2,2,1694131320000,1.0992,1.0992,1.0981,1.0981,12251.2
3,3,1694131380000,1.0981,1.0981,1.0969,1.0972,5849.5
4,4,1694131440000,1.0973,1.098,1.0973,1.0976,5764.3
5,5,1694131500000,1.0976,1.1005,1.0976,1.1004,10050.9
6,6,1694131560000,1.1005,1.1015,1.0983,1.0983,16058.6
7,7,1694131620000,1.0987,1.0989,1.0979,1.0984,2468.5
8,8,1694131680000,1.0984,1.0984,1.0972,1.098,1881.1
9,9,1694131740000,1.0983,1.0986,1.098,1.0986,1207.4
10,10,1694131800000,1.0989,1.1,1.0986,1.1,2003.5
11,11,1694131860000,1.0998,1.1002,1.0995,1.0995,4700.1
12,12,1694131920000,1.0993,1.0994,1.0993,1.0994,207.7
13,13,1694131980000,1.0995,1.1004,1.0987,1.0987,6051.3
14,14,1694132040000,1.0987,1.0987,1.0981,1.0985,851.3
15,15,1694132100000,1.0988,1.0988,1.0979,1.0984,1097.1
16,16,1694132160000,1.0984,1.0986,1.098,1.0986,3281.3
17,17,1694132220000,1.098,1.0988,1.0977,1.0988,8110.2
18,18,1694132280000,1.0988,1.1,1.0987,1.099,7326.0
19,19,1694132340000,1.0987,1.099,1.0987,1.099,129.5
20,20,1694132400000,1.0991,1.1006,1.0991,1.1006,2096.4
21,21,1694132460000,1.1011,1.1017,1.1004,1.1011,15641.7
22,22,1694132520000,1.1013,1.1013,1.1009,1.1009,2118.3
23,23,1694132580000,1.101,1.1015,1.101,1.1013,609.5
24,24,1694132640000,1.1012,1.104,1.1012,1.1039,10867.5
25,25,1694132700000,1.104,1.104,1.1025,1.1034,15138.8
26,26,1694132760000,1.1034,1.1042,1.1034,1.1042,2345.3
27,27,1694132820000,1.1043,1.1044,1.1038,1.1042,3741.8
28,28,1694132880000,1.1041,1.1041,1.103,1.1034,2362.3
29,29,1694132940000,1.1038,1.1044,1.1038,1.1043,1272.9
30,30,1694133000000,1.1043,1.1082,1.1033,1.1081,22686.3
31,31,1694133060000,1.1076,1.1159,1.1075,1.1117,106468.1
32,32,1694133120000,1.1119,1.1119,1.11,1.1103,15208.8
33,33,1694133180000,1.1106,1.1135,1.1106,1.1114,14925.8
34,34,1694133240000,1.1118,1.1129,1.1114,1.1114,11344.3
35,35,1694133300000,1.1114,1.1125,1.1108,1.1117,14615.9
36,36,1694133360000,1.1119,1.1122,1.1106,1.1117,20612.0
37,37,1694133420000,1.1113,1.1121,1.111,1.1113,6932.3
38,38,1694133480000,1.1115,1.112,1.1114,1.1118,1792.3
39,39,1694133540000,1.1123,1.1125,1.1106,1.1123,13312.6
40,40,1694133600000,1.1123,1.1145,1.1122,1.1143,13410.3
41,41,1694133660000,1.1145,1.1155,1.1128,1.1131,12636.8
42,42,1694133720000,1.1133,1.1135,1.1124,1.113,6108.0
43,43,1694133780000,1.113,1.1138,1.113,1.1137,2948.9
44,44,1694133840000,1.1141,1.1162,1.114,1.116,5384.5
45,45,1694133900000,1.1162,1.1198,1.115,1.1193,20123.5
46,46,1694133960000,1.1194,1.1194,1.1167,1.1167,12523.3
47,47,1694134020000,1.1167,1.1169,1.1159,1.1169,4642.1
48,48,1694134080000,1.117,1.1173,1.115,1.115,6963.5
49,49,1694134140000,1.1151,1.1155,1.1144,1.1147,2804.0
50,50,1694134200000,1.1147,1.1174,1.1147,1.1174,2379.1
51,51,1694134260000,1.1174,1.1177,1.1169,1.1177,5550.1
52,52,1694134320000,1.1178,1.1186,1.1178,1.1186,1203.4
53,53,1694134380000,1.1187,1.12,1.1187,1.1199,4187.4
54,54,1694134440000,1.1196,1.1196,1.119,1.1191,3848.7
55,55,1694134500000,1.1191,1.1205,1.1191,1.1202,2811.6
56,56,1694134560000,1.1202,1.1214,1.1201,1.121,10592.3
57,57,1694134620000,1.121,1.1214,1.1203,1.1212,8577.5
58,58,1694134680000,1.1211,1.1229,1.1181,1.1192,30017.1
59,59,1694134740000,1.1193,1.1193,1.1176,1.1178,19580.2
60,60,1694134800000,1.1179,1.1221,1.1179,1.1213,16141.9
61,61,1694134860000,1.1216,1.1219,1.1207,1.1218,7058.1
62,62,1694134920000,1.1218,1.1225,1.121,1.121,8034.2
63,63,1694134980000,1.1211,1.123,1.1211,1.1227,17456.3
64,64,1694135040000,1.1226,1.1228,1.1205,1.1209,12441.5
65,65,1694135100000,1.121,1.121,1.1181,1.1193,16020.1
66,66,1694135160000,1.1194,1.1194,1.1176,1.1176,22607.8
67,67,1694135220000,1.1172,1.1172,1.1152,1.1152,8416.7
68,68,1694135280000,1.1152,1.1152,1.114,1.1149,13212.2
69,69,1694135340000,1.1145,1.1148,1.1139,1.1139,6079.0
70,70,1694135400000,1.1139,1.1146,1.1126,1.1146,10016.6
71,71,1694135460000,1.1149,1.1174,1.1149,1.1173,4349.1
72,72,1694135520000,1.1172,1.1172,1.1148,1.1148,7736.6
73,73,1694135580000,1.1149,1.116,1.114,1.1151,9923.6
74,74,1694135640000,1.1149,1.116,1.1149,1.1158,1533.1
75,75,1694135700000,1.1158,1.1173,1.1149,1.1173,4088.5
76,76,1694135760000,1.1174,1.1195,1.1174,1.1195,5475.0
77,77,1694135820000,1.1195,1.1195,1.118,1.1181,6838.0
78,78,1694135880000,1.1183,1.119,1.1183,1.1189,2434.7
79,79,1694135940000,1.119,1.1192,1.1181,1.1181,1486.5
80,80,1694136000000,1.1182,1.1182,1.1169,1.1175,3936.2
81,81,1694136060000,1.1175,1.1175,1.1158,1.1159,8320.1
82,82,1694136120000,1.1162,1.1168,1.1151,1.1151,3305.3
83,83,1694136180000,1.1153,1.1156,1.115,1.1154,1744.3
84,84,1694136240000,1.1155,1.1158,1.1155,1.1158,703.4
85,85,1694136300000,1.1158,1.116,1.1157,1.116,1404.2
86,86,1694136360000,1.1162,1.1173,1.1156,1.1158,5545.7
87,87,1694136420000,1.1156,1.1158,1.1137,1.1137,8296.1
88,88,1694136480000,1.1139,1.1139,1.1117,1.1137,11280.3
89,89,1694136540000,1.1136,1.1136,1.1116,1.1127,13712.1
90,90,1694136600000,1.1123,1.1136,1.1121,1.1129,718.8
91,91,1694136660000,1.1126,1.1141,1.1126,1.1139,2022.5
92,92,1694136720000,1.114,1.114,1.114,1.114,2436.6
93,93,1694136780000,1.1137,1.1137,1.1135,1.1135,291.4
94,94,1694136840000,1.1134,1.1142,1.1134,1.1136,1894.0
95,95,1694136900000,1.1138,1.1144,1.1136,1.1142,2578.8
96,96,1694136960000,1.114,1.114,1.1124,1.1124,1877.3
97,97,1694137020000,1.1124,1.1127,1.1124,1.1127,407.0
98,98,1694137080000,1.1128,1.1129,1.1121,1.1121,2951.2
99,99,1694137140000,1.1121,1.1122,1.1105,1.1111,4196.3
100,100,1694137200000,1.111,1.1116,1.1106,1.1106,3982.6
101,101,1694137260000,1.1104,1.1105,1.1095,1.1097,6284.0
102,102,1694137320000,1.1095,1.1096,1.1093,1.1096,1501.4
103,103,1694137380000,1.1095,1.1103,1.1095,1.1102,7458.8
104,104,1694137440000,1.1103,1.1108,1.1098,1.1098,1648.6
105,105,1694137500000,1.1097,1.1097,1.1077,1.1078,12165.8
106,106,1694137560000,1.1077,1.1077,1.1067,1.1074,2885.7
107,107,1694137620000,1.1074,1.1074,1.1057,1.1065,3058.6
108,108,1694137680000,1.1074,1.1075,1.1069,1.1075,1132.4
109,109,1694137740000,1.1075,1.1083,1.1074,1.1074,2024.8
110,110,1694137800000,1.1075,1.108,1.1069,1.1069,9221.6
111,111,1694137860000,1.107,1.107,1.1063,1.1064,1807.1
112,112,1694137920000,1.1064,1.1073,1.1064,1.107,2640.4
113,113,1694137980000,1.1066,1.1071,1.1066,1.107,905.5
114,114,1694138040000,1.1071,1.1071,1.1067,1.1069,765.9
115,115,1694138100000,1.107,1.1075,1.1066,1.107,5178.0
116,116,1694138160000,1.1065,1.1065,1.1061,1.1061,3816.9
117,117,1694138220000,1.106,1.1068,1.1055,1.1065,3112.5
118,118,1694138280000,1.1062,1.1062,1.105,1.105,783.2
119,119,1694138340000,1.105,1.106,1.105,1.106,1134.5
120,120,1694138400000,1.1056,1.1085,1.105,1.105,27630.8
121,121,1694138460000,1.1049,1.1073,1.1049,1.1073,6967.2
122,122,1694138520000,1.1073,1.1077,1.107,1.1077,5591.5
123,123,1694138580000,1.1077,1.1077,1.1066,1.107,3463.3
124,124,1694138640000,1.1071,1.1077,1.1071,1.1075,1248.2
125,125,1694138700000,1.1078,1.1083,1.1074,1.1074,3204.9
126,126,1694138760000,1.1074,1.1088,1.1071,1.1082,27985.1
127,127,1694138820000,1.1084,1.1084,1.1065,1.1065,1742.9
128,128,1694138880000,1.1061,1.1061,1.1059,1.1059,582.3
