,index,timestamp,open,high,low,close,volume
0,0,1694563200000,1.4979,1.4998,1.4964,1.4995,63170.9
1,1,1694563260000,1.4995,1.5,1.4962,1.4962,21917.6
2,2,1694563320000,1.4963,1.4963,1.4933,1.4954,41949.5
3,3,1694563380000,1.4955,1.4979,1.4955,1.4965,16931.8
4,4,1694563440000,1.4967,1.4973,1.4942,1.4942,10646.9
5,5,1694563500000,1.4946,1.4965,1.4946,1.4961,43157.5
6,6,1694563560000,1.4961,1.4964,1.4939,1.4948,25822.9
7,7,1694563620000,1.4948,1.4968,1.4943,1.4962,26171.9
8,8,1694563680000,1.4965,1.4978,1.4965,1.4974,12003.5
9,9,1694563740000,1.4976,1.4994,1.4971,1.4992,11923.1
10,10,1694563800000,1.4994,1.5015,1.4991,1.501,23729.3
11,11,1694563860000,1.5012,1.5055,1.5006,1.5051,24617.5
12,12,1694563920000,1.5052,1.5068,1.5033,1.5034,55681.2
13,13,1694563980000,1.5035,1.5037,1.5023,1.5032,9102.1
14,14,1694564040000,1.5032,1.5032,1.5002,1.5018,25133.7
15,15,1694564100000,1.5019,1.5042,1.501,1.5042,12322.6
16,16,1694564160000,1.5042,1.5094,1.5042,1.5083,45991.8
17,17,1694564220000,1.5087,1.5129,1.5072,1.5127,38697.9
18,18,1694564280000,1.5125,1.5144,1.5099,1.5132,32878.6
19,19,1694564340000,1.5132,1.515,1.5122,1.515,24793.3
20,20,1694564400000,1.5146,1.5152,1.5111,1.5116,16776.7
21,21,1694564460000,1.5116,1.5142,1.5114,1.5132,7380.4
22,22,1694564520000,1.5132,1.5157,1.5132,1.5147,12796.7
23,23,1694564580000,1.5154,1.517,1.5144,1.5158,16907.8
24,24,1694564640000,1.5158,1.5194,1.5152,1.5187,24798.0
25,25,1694564700000,1.5182,1.5191,1.5167,1.5182,21131.1
26,26,1694564760000,1.5183,1.5193,1.5172,1.519,11450.2
27,27,1694564820000,1.5189,1.5208,1.5179,1.5206,26028.2
28,28,1694564880000,1.5207,1.5207,1.5143,1.5144,80024.0
29,29,1694564940000,1.5144,1.5169,1.5141,1.5164,28542.2
30,30,1694565000000,1.5164,1.5196,1.5162,1.5179,34420.3
31,31,1694565060000,1.5178,1.5178,1.5144,1.5145,45292.0
32,32,1694565120000,1.5145,1.5155,1.5133,1.5149,40669.1
33,33,1694565180000,1.5147,1.5151,1.5114,1.5119,25939.9
34,34,1694565240000,1.5119,1.5138,1.5111,1.5111,10385.3
35,35,1694565300000,1.5111,1.5143,1.51,1.5136,19778.2
36,36,1694565360000,1.5137,1.5146,1.5123,1.5136,18771.8
37,37,1694565420000,1.514,1.5175,1.514,1.5161,24960.5
38,38,1694565480000,1.5161,1.5207,1.5148,1.5202,22339.6
39,39,1694565540000,1.5203,1.5224,1.5192,1.5199,39824.3
40,40,1694565600000,1.5196,1.5295,1.5187,1.5279,136177.7
41,41,1694565660000,1.5282,1.5282,1.5231,1.524,95093.6
42,42,1694565720000,1.5237,1.527,1.5237,1.5261,31034.1
43,43,1694565780000,1.526,1.5274,1.5229,1.5231,20642.5
44,44,1694565840000,1.5228,1.5236,1.5219,1.5227,16472.7
45,45,1694565900000,1.5223,1.5226,1.5203,1.521,28695.0
46,46,1694565960000,1.5208,1.5217,1.5188,1.5196,17855.7
47,47,1694566020000,1.5194,1.5204,1.5168,1.517,25784.1
48,48,1694566080000,1.5167,1.5172,1.5153,1.5157,12537.1
49,49,1694566140000,1.516,1.5203,1.5153,1.5203,13010.5
50,50,1694566200000,1.5203,1.5212,1.5192,1.5204,13761.0
51,51,1694566260000,1.5204,1.5212,1.5181,1.5198,10750.5
52,52,1694566320000,1.5196,1.5227,1.5189,1.5218,25982.8
53,53,1694566380000,1.5214,1.5235,1.5213,1.5213,19335.4
54,54,1694566440000,1.5213,1.5239,1.5208,1.5229,9303.6
55,55,1694566500000,1.5228,1.5231,1.5214,1.5215,10986.3
56,56,1694566560000,1.5216,1.5218,1.5185,1.52,36222.8
57,57,1694566620000,1.5201,1.5207,1.5185,1.5195,7033.8
58,58,1694566680000,1.5193,1.5212,1.5193,1.5211,10539.6
59,59,1694566740000,1.521,1.521,1.5186,1.5198,7150.4
60,60,1694566800000,1.52,1.52,1.5173,1.5174,14231.2
61,61,1694566860000,1.5175,1.5178,1.5142,1.5162,17294.0
62,62,1694566920000,1.5161,1.5162,1.5137,1.5143,12003.8
63,63,1694566980000,1.514,1.5143,1.5129,1.5138,19993.0
64,64,1694567040000,1.5138,1.5168,1.5138,1.5164,25913.2
65,65,1694567100000,1.5163,1.5167,1.5138,1.514,20211.3
66,66,1694567160000,1.5139,1.5153,1.5138,1.5141,5906.2
67,67,1694567220000,1.5141,1.5149,1.5134,1.5134,7474.5
68,68,1694567280000,1.5133,1.5146,1.5129,1.5134,18343.0
69,69,1694567340000,1.5133,1.5138,1.5125,1.5138,5547.5
70,70,1694567400000,1.5137,1.5138,1.5123,1.5125,9259.0
71,71,1694567460000,1.5126,1.5149,1.5124,1.5142,11549.6
72,72,1694567520000,1.514,1.5171,1.5136,1.5168,16158.5
73,73,1694567580000,1.5169,1.5198,1.5168,1.5196,21792.4
74,74,1694567640000,1.5193,1.5195,1.5174,1.5174,12664.4
75,75,1694567700000,1.5175,1.5178,1.5151,1.5151,8658.6
76,76,1694567760000,1.5151,1.5167,1.5149,1.5164,10210.5
77,77,1694567820000,1.5163,1.5176,1.5163,1.5176,9853.0
78,78,1694567880000,1.5176,1.5182,1.5173,1.5173,15759.5
79,79,1694567940000,1.5175,1.5182,1.5173,1.5178,6625.1
80,80,1694568000000,1.5177,1.5177,1.5166,1.5166,3166.5
81,81,1694568060000,1.5166,1.5184,1.515,1.5181,17138.8
82,82,1694568120000,1.5181,1.5188,1.5174,1.518,8147.6
83,83,1694568180000,1.5179,1.5179,1.5156,1.5159,5899.5
84,84,1694568240000,1.5159,1.5159,1.5143,1.515,5765.8
85,85,1694568300000,1.5151,1.5152,1.5136,1.5136,12356.3
86,86,1694568360000,1.5136,1.5137,1.5111,1.5117,25166.2
87,87,1694568420000,1.5117,1.5119,1.5106,1.5111,11074.2
88,88,1694568480000,1.5112,1.5128,1.5111,1.5124,9680.4
89,89,1694568540000,1.5124,1.5131,1.5109,1.5131,10958.2
90,90,1694568600000,1.5129,1.5129,1.5107,1.5107,5566.8
91,91,1694568660000,1.5108,1.5133,1.5105,1.5129,17033.7
92,92,1694568720000,1.5126,1.5128,1.5107,1.5118,5407.7
93,93,1694568780000,1.5118,1.5141,1.5115,1.5134,8952.7
94,94,1694568840000,1.5136,1.515,1.5126,1.5134,17871.0
95,95,1694568900000,1.5136,1.5146,1.5128,1.5139,13640.5
96,96,1694568960000,1.5141,1.5155,1.5141,1.5152,6807.2
97,97,1694569020000,1.5153,1.5167,1.5145,1.5162,7821.5
98,98,1694569080000,1.5159,1.5162,1.5139,1.5143,7246.9
99,99,1694569140000,1.5143,1.516,1.5141,1.5154,9991.8
100,100,1694569200000,1.5154,1.5157,1.5136,1.5136,7879.4
101,101,1694569260000,1.514,1.5159,1.5134,1.5134,12381.9
102,102,1694569320000,1.5135,1.5149,1.5124,1.5124,10696.5
103,103,1694569380000,1.5126,1.5135,1.5109,1.5133,22842.6
104,104,1694569440000,1.5132,1.515,1.5132,1.5134,10126.0
105,105,1694569500000,1.5133,1.5133,1.5093,1.5094,16793.4
106,106,1694569560000,1.5095,1.5106,1.5091,1.5106,14993.2
107,107,1694569620000,1.5107,1.511,1.5065,1.5073,57371.1
108,108,1694569680000,1.5072,1.5084,1.507,1.5082,7072.0
109,109,1694569740000,1.5082,1.5088,1.5074,1.5076,6416.0
110,110,1694569800000,1.5074,1.5086,1.507,1.5085,7378.6
111,111,1694569860000,1.5087,1.5097,1.5083,1.5097,4855.0
112,112,1694569920000,1.5096,1.5096,1.5069,1.5075,11991.7
113,113,1694569980000,1.5074,1.5086,1.5072,1.5083,10180.5
114,114,1694570040000,1.5084,1.5087,1.5075,1.5079,3347.2
115,115,1694570100000,1.5078,1.508,1.5068,1.5068,5245.2
116,116,1694570160000,1.5071,1.5073,1.5059,1.5059,19458.8
117,117,1694570220000,1.506,1.5075,1.5058,1.5068,9222.9
118,118,1694570280000,1.5067,1.5067,1.506,1.5067,4352.9
119,119,1694570340000,1.5066,1.507,1.5055,1.5061,13478.8
120,120,1694570400000,1.5059,1.5061,1.5044,1.5057,24845.7
121,121,1694570460000,1.5053,1.5056,1.5046,1.5056,5483.1
122,122,1694570520000,1.5056,1.5074,1.5049,1.5071,12040.6
123,123,1694570580000,1.5071,1.5071,1.5053,1.5055,7157.6
124,124,1694570640000,1.5053,1.5053,1.5045,1.5049,7366.5
125,125,1694570700000,1.5049,1.5056,1.5048,1.5052,4110.4
126,126,1694570760000,1.5052,1.5052,1.502,1.5022,33893.0
127,127,1694570820000,1.5024,1.5034,1.501,1.5011,22332.0
128,128,1694570880000,1.5011,1.5012,1.5001,1.5007,22162.7
129,129,1694570940000,1.5008,1.5023,1.5008,1.501,14817.1
130,130,1694571000000,1.5011,1.5023,1.501,1.5013,18105.1
131,131,1694571060000,1.5012,1.5029,1.5004,1.5029,17687.3
132,132,1694571120000,1.5029,1.5047,1.5025,1.5034,32514.5
133,133,1694571180000,1.5032,1.5036,1.5027,1.5034,37011.1
134,134,1694571240000,1.5033,1.5033,1.5019,1.502,116786.3
135,135,1694571300000,1.502,1.5021,1.5006,1.5007,17662.3
136,136,1694571360000,1.5007,1.5008,1.4997,1.5002,16388.0
137,137,1694571420000,1.4999,1.4999,1.4981,1.4993,15536.0
138,138,1694571480000,1.4993,1.4996,1.4964,1.4974,20534.9
139,139,1694571540000,1.4973,1.4992,1.4973,1.4991,11677.4
140,140,1694571600000,1.4991,1.4991,1.4975,1.4984,7722.8
141,141,1694571660000,1.4985,1.4987,1.4972,1.4981,3401.5
