,index,timestamp,open,high,low,close,volume
0,0,1694131200000,0.0405,0.04055,0.04048,0.04048,1145847
1,1,1694131260000,0.04048,0.04049,0.04045,0.04045,427844
2,2,1694131320000,0.04046,0.04046,0.04042,0.04043,211473
3,3,1694131380000,0.04042,0.04043,0.04042,0.04042,114421
4,4,1694131440000,0.04043,0.04044,0.04043,0.04044,290662
5,5,1694131500000,0.04043,0.04047,0.04043,0.04047,320719
6,6,1694131560000,0.04047,0.04047,0.04042,0.04045,696298
7,7,1694131620000,0.04044,0.04044,0.04042,0.04042,46858
8,8,1694131680000,0.04043,0.04043,0.04039,0.04039,131147
9,9,1694131740000,0.04039,0.04039,0.04037,0.04038,231541
10,10,1694131800000,0.04039,0.04039,0.04038,0.04038,157089
11,11,1694131860000,0.04037,0.04037,0.04035,0.04036,143995
12,12,1694131920000,0.04036,0.04036,0.04036,0.04036,752
13,13,1694131980000,0.04036,0.04037,0.04036,0.04036,87460
14,14,1694132040000,0.04035,0.04035,0.04034,0.04034,23631
15,15,1694132100000,0.04035,0.04037,0.04034,0.04037,59087
16,16,1694132160000,0.04036,0.04036,0.04034,0.04035,50416
17,17,1694132220000,0.04034,0.04036,0.04033,0.04036,151251
18,18,1694132280000,0.04037,0.04038,0.04035,0.04035,108092
19,19,1694132340000,0.04035,0.04036,0.04034,0.04035,118599
20,20,1694132400000,0.04036,0.04042,0.04036,0.04042,219535
21,21,1694132460000,0.04042,0.04044,0.04042,0.04044,106068
22,22,1694132520000,0.04044,0.04044,0.04042,0.04043,83473
23,23,1694132580000,0.04042,0.04043,0.04042,0.04043,60525
24,24,1694132640000,0.04044,0.04046,0.04044,0.04044,37168
25,25,1694132700000,0.04045,0.04045,0.04043,0.04043,53686
26,26,1694132760000,0.04044,0.04047,0.04044,0.04047,72896
27,27,1694132820000,0.04047,0.04048,0.04046,0.04047,22042
28,28,1694132880000,0.04046,0.04046,0.04041,0.04042,353218
29,29,1694132940000,0.04043,0.04044,0.04042,0.04042,184992
30,30,1694133000000,0.04043,0.04044,0.04043,0.04043,16163
31,31,1694133060000,0.04043,0.04046,0.04043,0.04046,130548
32,32,1694133120000,0.04046,0.04049,0.04046,0.04049,130721
33,33,1694133180000,0.04049,0.0405,0.04048,0.04049,79611
34,34,1694133240000,0.0405,0.04052,0.04049,0.04051,170851
35,35,1694133300000,0.04052,0.04052,0.04051,0.04052,731
36,36,1694133360000,0.04052,0.04053,0.04051,0.04053,99020
37,37,1694133420000,0.04054,0.04056,0.04052,0.04052,156769
38,38,1694133480000,0.04052,0.04054,0.04051,0.04054,138052
39,39,1694133540000,0.04054,0.04056,0.04054,0.04056,147281
40,40,1694133600000,0.04057,0.0406,0.04057,0.0406,103418
41,41,1694133660000,0.0406,0.04063,0.0406,0.04063,159112
