,index,timestamp,open,high,low,close,volume
0,0,1688169600000,1.031,1.033,1.03,1.032,23934
1,1,1688169660000,1.032,1.032,1.03,1.03,19547
2,2,1688169720000,1.03,1.031,1.03,1.03,24963
3,3,1688169780000,1.03,1.031,1.029,1.03,27905
4,4,1688169840000,1.03,1.031,1.03,1.03,419
5,5,1688169900000,1.03,1.031,1.029,1.029,11578
6,6,1688169960000,1.029,1.031,1.029,1.031,14959
7,7,1688170020000,1.032,1.032,1.031,1.032,3657
8,8,1688170080000,1.032,1.032,1.03,1.03,10315
9,9,1688170140000,1.031,1.033,1.03,1.033,3397
10,10,1688170200000,1.033,1.033,1.032,1.033,11522
11,11,1688170260000,1.034,1.034,1.033,1.034,5106
12,12,1688170320000,1.034,1.034,1.032,1.032,15466
13,13,1688170380000,1.031,1.031,1.028,1.028,25322
14,14,1688170440000,1.027,1.029,1.026,1.028,13684
15,15,1688170500000,1.029,1.03,1.029,1.03,27276
16,16,1688170560000,1.03,1.03,1.028,1.028,20056
17,17,1688170620000,1.028,1.028,1.027,1.028,18096
18,18,1688170680000,1.028,1.028,1.027,1.028,3988
19,19,1688170740000,1.027,1.029,1.027,1.029,18922
20,20,1688170800000,1.03,1.03,1.028,1.028,20386
21,21,1688170860000,1.028,1.03,1.028,1.03,15149
22,22,1688170920000,1.03,1.031,1.03,1.031,5575
23,23,1688170980000,1.032,1.033,1.032,1.033,11184
24,24,1688171040000,1.032,1.034,1.032,1.034,10292
25,25,1688171100000,1.034,1.034,1.032,1.032,21111
26,26,1688171160000,1.033,1.033,1.031,1.032,10280
27,27,1688171220000,1.033,1.033,1.033,1.033,4481
28,28,1688171280000,1.034,1.035,1.034,1.034,6013
29,29,1688171340000,1.034,1.035,1.034,1.034,3328
30,30,1688171400000,1.035,1.035,1.034,1.035,23092
31,31,1688171460000,1.036,1.036,1.035,1.036,50975
32,32,1688171520000,1.035,1.037,1.035,1.037,7718
33,33,1688171580000,1.037,1.038,1.036,1.037,16888
34,34,1688171640000,1.037,1.038,1.037,1.038,5585
35,35,1688171700000,1.038,1.038,1.036,1.037,31843
36,36,1688171760000,1.038,1.047,1.037,1.041,440292
37,37,1688171820000,1.041,1.041,1.04,1.04,1769
38,38,1688171880000,1.04,1.042,1.04,1.041,39464
39,39,1688171940000,1.041,1.042,1.04,1.042,18102
40,40,1688172000000,1.041,1.042,1.041,1.042,56419
41,41,1688172060000,1.041,1.042,1.04,1.04,10682
42,42,1688172120000,1.041,1.042,1.04,1.04,23084
43,43,1688172180000,1.041,1.041,1.038,1.039,66675
44,44,1688172240000,1.039,1.039,1.038,1.038,2719
45,45,1688172300000,1.038,1.039,1.036,1.037,49216
46,46,1688172360000,1.036,1.037,1.035,1.037,23786
47,47,1688172420000,1.037,1.037,1.034,1.034,12687
48,48,1688172480000,1.034,1.034,1.033,1.034,25013
49,49,1688172540000,1.035,1.037,1.034,1.036,15123
50,50,1688172600000,1.036,1.036,1.034,1.034,6535
51,51,1688172660000,1.035,1.035,1.034,1.034,25
52,52,1688172720000,1.034,1.035,1.033,1.034,11099
53,53,1688172780000,1.034,1.034,1.033,1.033,1603
54,54,1688172840000,1.034,1.035,1.033,1.033,8117
55,55,1688172900000,1.034,1.034,1.031,1.032,16327
56,56,1688172960000,1.033,1.033,1.031,1.031,8079
57,57,1688173020000,1.03,1.032,1.03,1.032,7860
58,58,1688173080000,1.031,1.033,1.03,1.033,9846
59,59,1688173140000,1.033,1.033,1.033,1.033,3003
60,60,1688173200000,1.032,1.036,1.032,1.035,28581
61,61,1688173260000,1.035,1.036,1.034,1.035,21625
62,62,1688173320000,1.036,1.036,1.034,1.034,13318
