,index,timestamp,open,high,low,close,volume
0,0,1693785600000,1.46,1.46,1.458,1.458,60286
1,1,1693785660000,1.458,1.459,1.458,1.458,16930
2,2,1693785720000,1.458,1.459,1.457,1.458,29772
3,3,1693785780000,1.458,1.46,1.458,1.46,9031
4,4,1693785840000,1.459,1.461,1.459,1.459,56242
5,5,1693785900000,1.459,1.46,1.459,1.459,8794
6,6,1693785960000,1.46,1.46,1.459,1.46,7902
7,7,1693786020000,1.459,1.461,1.459,1.461,14127
8,8,1693786080000,1.46,1.461,1.459,1.459,19678
9,9,1693786140000,1.459,1.46,1.458,1.458,13053
10,10,1693786200000,1.458,1.459,1.456,1.456,16641
11,11,1693786260000,1.456,1.457,1.456,1.456,3476
12,12,1693786320000,1.456,1.458,1.456,1.457,28693
13,13,1693786380000,1.457,1.458,1.457,1.457,4050
14,14,1693786440000,1.457,1.46,1.457,1.459,29801
15,15,1693786500000,1.459,1.46,1.457,1.457,29831
16,16,1693786560000,1.457,1.459,1.457,1.458,20789
17,17,1693786620000,1.458,1.46,1.458,1.459,14657
18,18,1693786680000,1.459,1.46,1.457,1.457,26885
19,19,1693786740000,1.457,1.459,1.457,1.459,24946
20,20,1693786800000,1.458,1.46,1.458,1.459,16651
21,21,1693786860000,1.46,1.46,1.459,1.459,4220
22,22,1693786920000,1.46,1.461,1.459,1.46,21861
23,23,1693786980000,1.46,1.461,1.46,1.46,10271
24,24,1693787040000,1.461,1.461,1.459,1.46,32726
25,25,1693787100000,1.459,1.461,1.459,1.461,12148
26,26,1693787160000,1.46,1.46,1.458,1.459,25907
27,27,1693787220000,1.458,1.46,1.458,1.459,20458
28,28,1693787280000,1.46,1.46,1.459,1.459,16881
29,29,1693787340000,1.46,1.46,1.459,1.459,3716
30,30,1693787400000,1.459,1.46,1.458,1.458,28508
31,31,1693787460000,1.458,1.459,1.458,1.458,4526
32,32,1693787520000,1.458,1.459,1.458,1.458,3273
33,33,1693787580000,1.458,1.459,1.458,1.459,52724
34,34,1693787640000,1.459,1.46,1.458,1.459,35300
35,35,1693787700000,1.459,1.461,1.459,1.46,11252
36,36,1693787760000,1.46,1.461,1.46,1.461,34681
