,index,timestamp,open,high,low,close,volume
0,0,1694995200000,0.2951,0.2953,0.2946,0.2949,483341
1,1,1694995260000,0.295,0.2952,0.2949,0.295,152534
2,2,1694995320000,0.2949,0.295,0.2947,0.2948,148602
3,3,1694995380000,0.2949,0.2952,0.2948,0.2951,114131
4,4,1694995440000,0.2951,0.2953,0.295,0.2951,208695
5,5,1694995500000,0.295,0.2951,0.2949,0.2949,104670
6,6,1694995560000,0.2949,0.2951,0.2949,0.2951,95565
7,7,1694995620000,0.2951,0.2955,0.2951,0.2955,144288
8,8,1694995680000,0.2955,0.296,0.2954,0.2958,131082
9,9,1694995740000,0.2958,0.2959,0.2955,0.2957,105938
10,10,1694995800000,0.2956,0.2956,0.2953,0.2953,58397
11,11,1694995860000,0.2953,0.2953,0.2951,0.2952,39152
12,12,1694995920000,0.2951,0.2951,0.2945,0.2946,106313
13,13,1694995980000,0.2945,0.2946,0.2945,0.2945,42893
14,14,1694996040000,0.2946,0.2948,0.2945,0.2948,46830
15,15,1694996100000,0.2948,0.2952,0.2947,0.2951,113685
16,16,1694996160000,0.2951,0.2951,0.2949,0.295,71324
17,17,1694996220000,0.295,0.2953,0.295,0.2953,54759
18,18,1694996280000,0.2953,0.2953,0.2951,0.2951,83380
19,19,1694996340000,0.2951,0.2951,0.2949,0.2949,45984
20,20,1694996400000,0.2948,0.295,0.2948,0.2948,39522
21,21,1694996460000,0.2948,0.2948,0.294,0.294,100636
22,22,1694996520000,0.2941,0.2943,0.2941,0.2941,65904
23,23,1694996580000,0.294,0.2942,0.2939,0.2942,47156
24,24,1694996640000,0.2942,0.2942,0.2939,0.2941,32394
25,25,1694996700000,0.294,0.294,0.2935,0.2936,96827
26,26,1694996760000,0.2936,0.2936,0.2933,0.2933,81326
27,27,1694996820000,0.2933,0.2934,0.293,0.2932,128616
28,28,1694996880000,0.2931,0.2933,0.2931,0.2932,81410
29,29,1694996940000,0.2932,0.2932,0.2926,0.2929,222517
30,30,1694997000000,0.293,0.293,0.2919,0.2922,459718
31,31,1694997060000,0.2922,0.2928,0.2908,0.2928,1269720
32,32,1694997120000,0.2927,0.2927,0.2922,0.2924,448566
33,33,1694997180000,0.2923,0.2923,0.2917,0.292,492697
34,34,1694997240000,0.292,0.292,0.2911,0.2915,187374
35,35,1694997300000,0.2916,0.2921,0.2911,0.292,470928
36,36,1694997360000,0.292,0.292,0.2914,0.2917,263497
37,37,1694997420000,0.2916,0.292,0.2915,0.2917,339158
38,38,1694997480000,0.2917,0.2917,0.2913,0.2917,92812
39,39,1694997540000,0.2917,0.2917,0.2913,0.2913,122721
40,40,1694997600000,0.2913,0.2914,0.2911,0.2912,95057
41,41,1694997660000,0.2912,0.2918,0.2911,0.2918,113162
42,42,1694997720000,0.2917,0.2922,0.2916,0.2922,364851
43,43,1694997780000,0.2922,0.2926,0.2921,0.2926,132100
44,44,1694997840000,0.2926,0.2927,0.2923,0.2924,206082
45,45,1694997900000,0.2923,0.2925,0.2922,0.2923,287829
46,46,1694997960000,0.2922,0.2922,0.2918,0.2919,48181
47,47,1694998020000,0.2919,0.292,0.2919,0.292,121294
48,48,1694998080000,0.2921,0.293,0.2921,0.293,113178
49,49,1694998140000,0.293,0.293,0.2926,0.2927,166190
50,50,1694998200000,0.2926,0.2931,0.2924,0.2931,196090
51,51,1694998260000,0.2931,0.2934,0.293,0.2931,362782
52,52,1694998320000,0.293,0.293,0.2926,0.2926,103108
