,index,timestamp,open,high,low,close,volume
0,0,1694304000000,0.003653,0.003653,0.003653,0.003653,0
1,1,1694304060000,0.003653,0.003653,0.003653,0.003653,0
2,2,1694304120000,0.003653,0.003653,0.003653,0.003653,0
3,3,1694304180000,0.003653,0.003653,0.003653,0.003653,0
4,4,1694304240000,0.003653,0.003653,0.003653,0.003653,0
5,5,1694304300000,0.003653,0.003653,0.003653,0.003653,0
6,6,1694304360000,0.003653,0.003653,0.003653,0.003653,0
7,7,1694304420000,0.003653,0.003653,0.003653,0.003653,0
8,8,1694304480000,0.003653,0.003653,0.003653,0.003653,0
9,9,1694304540000,0.003653,0.003653,0.003653,0.003653,0
10,10,1694304600000,0.003653,0.003653,0.003653,0.003653,0
11,11,1694304660000,0.003653,0.003653,0.003653,0.003653,0
12,12,1694304720000,0.003653,0.003653,0.003653,0.003653,0
13,13,1694304780000,0.003653,0.003653,0.003653,0.003653,0
14,14,1694304840000,0.003653,0.003653,0.003653,0.003653,0
15,15,1694304900000,0.003653,0.003653,0.003653,0.003653,0
16,16,1694304960000,0.003653,0.003653,0.003653,0.003653,0
17,17,1694305020000,0.003653,0.003653,0.003653,0.003653,0
18,18,1694305080000,0.003653,0.003653,0.003653,0.003653,0
19,19,1694305140000,0.003653,0.003653,0.003653,0.003653,0
20,20,1694305200000,0.003653,0.003653,0.003653,0.003653,0
21,21,1694305260000,0.003653,0.003653,0.003653,0.003653,0
22,22,1694305320000,0.003653,0.003653,0.003653,0.003653,0
23,23,1694305380000,0.003653,0.003653,0.003653,0.003653,0
24,24,1694305440000,0.003653,0.003653,0.003653,0.003653,0
25,25,1694305500000,0.003653,0.003653,0.003653,0.003653,0
26,26,1694305560000,0.003653,0.003653,0.003653,0.003653,0
27,27,1694305620000,0.003653,0.003653,0.003653,0.003653,0
28,28,1694305680000,0.003653,0.003653,0.003653,0.003653,0
29,29,1694305740000,0.003653,0.003653,0.003653,0.003653,0
30,30,1694305800000,0.003653,0.003653,0.003653,0.003653,0
