,index,timestamp,open,high,low,close,volume
0,0,1694131200000,0.1323,0.1325,0.132,0.1321,1424615
1,1,1694131260000,0.1321,0.1322,0.132,0.132,419721
2,2,1694131320000,0.1321,0.1321,0.1314,0.1314,770830
3,3,1694131380000,0.1314,0.1315,0.1312,0.1312,284692
4,4,1694131440000,0.1312,0.1314,0.1311,0.1313,340898
5,5,1694131500000,0.1313,0.1313,0.1312,0.1312,95902
6,6,1694131560000,0.1313,0.1313,0.1306,0.1307,2847024
7,7,1694131620000,0.1306,0.1306,0.1302,0.1305,1564002
8,8,1694131680000,0.1305,0.1306,0.1304,0.1305,187528
9,9,1694131740000,0.1305,0.1308,0.1304,0.1308,957899
10,10,1694131800000,0.1308,0.1313,0.1308,0.1311,658531
11,11,1694131860000,0.1311,0.1313,0.131,0.1311,499616
12,12,1694131920000,0.1311,0.1313,0.1311,0.1312,90878
13,13,1694131980000,0.1313,0.1314,0.1312,0.1312,247201
14,14,1694132040000,0.1311,0.1316,0.1311,0.1315,467218
15,15,1694132100000,0.1316,0.1321,0.1315,0.1319,650178
16,16,1694132160000,0.132,0.1323,0.132,0.1322,446448
17,17,1694132220000,0.1323,0.1325,0.1322,0.1324,411234
18,18,1694132280000,0.1325,0.1326,0.1324,0.1326,347589
19,19,1694132340000,0.1326,0.1327,0.1325,0.1327,424889
20,20,1694132400000,0.1326,0.1329,0.1323,0.1324,1307828
21,21,1694132460000,0.1325,0.1325,0.1323,0.1323,199289
22,22,1694132520000,0.1324,0.1324,0.132,0.1322,294028
23,23,1694132580000,0.1321,0.1322,0.132,0.132,266119
24,24,1694132640000,0.1321,0.1321,0.1319,0.132,282586
25,25,1694132700000,0.132,0.1323,0.1319,0.132,643758
26,26,1694132760000,0.1321,0.1321,0.132,0.132,48500
27,27,1694132820000,0.1321,0.1321,0.132,0.132,40526
28,28,1694132880000,0.1321,0.1321,0.1319,0.132,130096
29,29,1694132940000,0.1321,0.1321,0.132,0.132,97676
30,30,1694133000000,0.1321,0.1321,0.1319,0.1319,49485
31,31,1694133060000,0.132,0.1324,0.1319,0.1323,346667
32,32,1694133120000,0.1324,0.1325,0.1323,0.1325,109541
33,33,1694133180000,0.1325,0.1329,0.1324,0.1329,300746
34,34,1694133240000,0.1329,0.1334,0.1329,0.1333,928686
35,35,1694133300000,0.1334,0.1335,0.1333,0.1333,517912
36,36,1694133360000,0.1334,0.1338,0.1333,0.1338,631507
37,37,1694133420000,0.1337,0.134,0.1337,0.1339,736249
38,38,1694133480000,0.1339,0.1343,0.1338,0.1341,2033633
39,39,1694133540000,0.1341,0.1341,0.1336,0.1339,719182
40,40,1694133600000,0.134,0.1341,0.1339,0.1341,365889
41,41,1694133660000,0.1341,0.1341,0.1338,0.1338,309206
42,42,1694133720000,0.1339,0.134,0.1336,0.1337,549900
43,43,1694133780000,0.1337,0.1339,0.1336,0.1337,186817
44,44,1694133840000,0.1336,0.1337,0.1334,0.1334,404424
45,45,1694133900000,0.1335,0.1338,0.1333,0.1338,702465
46,46,1694133960000,0.1338,0.134,0.1338,0.1339,225531
47,47,1694134020000,0.1339,0.134,0.1338,0.1338,366136
48,48,1694134080000,0.1339,0.134,0.1337,0.1338,919308
49,49,1694134140000,0.1338,0.1339,0.1336,0.1338,234274
50,50,1694134200000,0.1337,0.134,0.1337,0.134,226729
51,51,1694134260000,0.134,0.1344,0.1339,0.1344,923083
52,52,1694134320000,0.1344,0.1345,0.1342,0.1344,725164
53,53,1694134380000,0.1345,0.1346,0.1344,0.1345,555071
54,54,1694134440000,0.1346,0.1349,0.1344,0.1347,1021059
55,55,1694134500000,0.1348,0.1349,0.1347,0.1347,459243
56,56,1694134560000,0.1347,0.1353,0.1347,0.1352,2901061
57,57,1694134620000,0.1353,0.1355,0.1352,0.1354,272422
58,58,1694134680000,0.1355,0.1356,0.1346,0.1347,1762050
59,59,1694134740000,0.1346,0.1347,0.1342,0.1343,883403
60,60,1694134800000,0.1344,0.1345,0.1342,0.1343,1232461
61,61,1694134860000,0.1344,0.1344,0.1341,0.1341,664852
62,62,1694134920000,0.1342,0.1343,0.1338,0.1339,614785
63,63,1694134980000,0.1339,0.134,0.1338,0.1339,325319
64,64,1694135040000,0.1338,0.1342,0.1338,0.1339,400163
65,65,1694135100000,0.1339,0.134,0.1335,0.1335,431430
66,66,1694135160000,0.1336,0.1337,0.1333,0.1333,1604334
67,67,1694135220000,0.1334,0.1335,0.1331,0.1331,306003
68,68,1694135280000,0.1331,0.1333,0.1331,0.1332,414539
69,69,1694135340000,0.1332,0.1335,0.1332,0.1334,699617
70,70,1694135400000,0.1333,0.1337,0.1333,0.1337,516875
71,71,1694135460000,0.1338,0.1339,0.1337,0.1338,125186
72,72,1694135520000,0.1338,0.1339,0.1337,0.1338,260348
73,73,1694135580000,0.1337,0.1339,0.1337,0.1338,197244
74,74,1694135640000,0.1338,0.1338,0.1336,0.1337,104061
75,75,1694135700000,0.1336,0.1338,0.1335,0.1335,715163
76,76,1694135760000,0.1336,0.1336,0.1334,0.1335,374933
77,77,1694135820000,0.1334,0.1336,0.1334,0.1334,179554
78,78,1694135880000,0.1335,0.1336,0.1334,0.1335,361706
79,79,1694135940000,0.1334,0.1336,0.133,0.1332,1902588
80,80,1694136000000,0.1333,0.1333,0.1331,0.1332,86730
81,81,1694136060000,0.1332,0.1334,0.1331,0.1333,221631
82,82,1694136120000,0.1334,0.1335,0.1332,0.1332,370720
83,83,1694136180000,0.1332,0.1333,0.1332,0.1332,38712
84,84,1694136240000,0.1332,0.1333,0.1331,0.1333,109253
85,85,1694136300000,0.1333,0.1334,0.1332,0.1334,57689
86,86,1694136360000,0.1333,0.1334,0.1332,0.1333,229224
87,87,1694136420000,0.1332,0.1333,0.1329,0.1329,322021
88,88,1694136480000,0.133,0.1331,0.1324,0.1328,1739211
89,89,1694136540000,0.1329,0.1329,0.1326,0.1326,512983
90,90,1694136600000,0.1327,0.1328,0.1326,0.1328,118042
91,91,1694136660000,0.1328,0.133,0.1328,0.1329,168455
92,92,1694136720000,0.1329,0.1331,0.1327,0.1328,370299
93,93,1694136780000,0.1328,0.1329,0.1327,0.1328,76468
94,94,1694136840000,0.1329,0.133,0.1328,0.1329,95101
95,95,1694136900000,0.1329,0.133,0.1329,0.133,20210
96,96,1694136960000,0.1329,0.133,0.1329,0.133,17360
97,97,1694137020000,0.1329,0.133,0.1329,0.133,64443
98,98,1694137080000,0.133,0.1332,0.133,0.1332,392713
99,99,1694137140000,0.1331,0.1332,0.1331,0.1331,467420
100,100,1694137200000,0.1331,0.1333,0.1331,0.1333,201176
101,101,1694137260000,0.1332,0.1333,0.1332,0.1332,525934
102,102,1694137320000,0.1333,0.1333,0.1332,0.1333,29743
103,103,1694137380000,0.1333,0.1338,0.1333,0.1337,1452249
104,104,1694137440000,0.1338,0.1339,0.1337,0.1337,432859
105,105,1694137500000,0.1338,0.1338,0.133,0.133,1064778
106,106,1694137560000,0.133,0.1332,0.133,0.1331,601958
107,107,1694137620000,0.1331,0.1331,0.1328,0.1329,705927
108,108,1694137680000,0.1329,0.133,0.1327,0.1327,1391586
109,109,1694137740000,0.1327,0.133,0.1326,0.1329,816522
110,110,1694137800000,0.1329,0.133,0.1327,0.1327,1236366
111,111,1694137860000,0.1328,0.1329,0.1326,0.1327,1380039
112,112,1694137920000,0.1326,0.1326,0.1319,0.1321,2648055
113,113,1694137980000,0.1321,0.1323,0.132,0.1323,1594892
114,114,1694138040000,0.1323,0.1325,0.1322,0.1324,1069109
