,index,timestamp,open,high,low,close,volume
0,0,1693699200000,0.5643,0.5648,0.5641,0.5643,108134
1,1,1693699260000,0.5643,0.5644,0.5633,0.5634,151735
2,2,1693699320000,0.5636,0.5669,0.5636,0.5664,313804
3,3,1693699380000,0.5664,0.5675,0.5662,0.5674,235420
4,4,1693699440000,0.5675,0.5676,0.5663,0.5665,166617
5,5,1693699500000,0.5664,0.5678,0.5664,0.5678,212180
6,6,1693699560000,0.5677,0.5717,0.5672,0.5706,662111
7,7,1693699620000,0.5706,0.5707,0.569,0.5705,204024
8,8,1693699680000,0.5704,0.5707,0.5697,0.5697,124155
9,9,1693699740000,0.5696,0.57,0.5681,0.5693,203020
10,10,1693699800000,0.5691,0.5697,0.5676,0.5677,234917
11,11,1693699860000,0.5677,0.5691,0.5676,0.5686,97755
12,12,1693699920000,0.5686,0.5697,0.5684,0.5692,140184
13,13,1693699980000,0.5692,0.5709,0.5692,0.5697,168759
14,14,1693700040000,0.5697,0.5706,0.5692,0.5706,162764
15,15,1693700100000,0.5706,0.5707,0.5693,0.5697,162870
16,16,1693700160000,0.5697,0.5709,0.5696,0.5706,134662
17,17,1693700220000,0.5707,0.5707,0.5701,0.5701,67520
18,18,1693700280000,0.5702,0.5705,0.5699,0.5704,49399
19,19,1693700340000,0.5704,0.5705,0.5691,0.5693,168741
20,20,1693700400000,0.5694,0.5698,0.5685,0.5685,103680
21,21,1693700460000,0.5686,0.5687,0.5667,0.5671,241853
22,22,1693700520000,0.5671,0.5673,0.5666,0.5672,125692
23,23,1693700580000,0.5671,0.5671,0.566,0.5662,82785
24,24,1693700640000,0.5662,0.5665,0.5656,0.5656,80516
25,25,1693700700000,0.5656,0.5671,0.5656,0.5669,100988
26,26,1693700760000,0.5669,0.5685,0.5661,0.5662,418710
27,27,1693700820000,0.5663,0.5663,0.5655,0.5659,76919
28,28,1693700880000,0.5659,0.5663,0.5649,0.565,121952
29,29,1693700940000,0.5651,0.5652,0.5628,0.5633,401231
30,30,1693701000000,0.5634,0.5634,0.5602,0.5604,359981
31,31,1693701060000,0.5604,0.5619,0.5602,0.5608,381788
32,32,1693701120000,0.5608,0.5608,0.5601,0.5602,70437
33,33,1693701180000,0.5602,0.5615,0.5602,0.5608,113550
34,34,1693701240000,0.5608,0.5608,0.56,0.56,36156
35,35,1693701300000,0.5601,0.5613,0.56,0.5606,93371
36,36,1693701360000,0.5607,0.5613,0.5606,0.5609,45777
37,37,1693701420000,0.5609,0.5613,0.5605,0.561,54344
38,38,1693701480000,0.561,0.5612,0.5605,0.5606,25557
39,39,1693701540000,0.5607,0.5611,0.5605,0.5606,36771
40,40,1693701600000,0.5606,0.5606,0.56,0.5601,96087
41,41,1693701660000,0.5602,0.5618,0.5601,0.5617,63443
42,42,1693701720000,0.5616,0.5621,0.5615,0.5617,53685
43,43,1693701780000,0.5618,0.5618,0.5608,0.5609,57839
44,44,1693701840000,0.5609,0.561,0.5607,0.5607,12122
45,45,1693701900000,0.5607,0.5622,0.5607,0.562,59691
46,46,1693701960000,0.562,0.5621,0.561,0.561,51104
47,47,1693702020000,0.5611,0.5636,0.561,0.5633,112526
48,48,1693702080000,0.5634,0.5635,0.5632,0.5635,35064
49,49,1693702140000,0.5635,0.5638,0.5625,0.5627,64810
50,50,1693702200000,0.5627,0.5629,0.562,0.5629,78373
51,51,1693702260000,0.5628,0.5631,0.5622,0.5631,60034
52,52,1693702320000,0.5631,0.5637,0.5631,0.5636,40236
53,53,1693702380000,0.5637,0.5644,0.5637,0.5643,36714
54,54,1693702440000,0.5644,0.5656,0.5641,0.5655,65016
55,55,1693702500000,0.5656,0.5678,0.5656,0.5678,142489
56,56,1693702560000,0.5678,0.5684,0.5677,0.5677,127001
57,57,1693702620000,0.5677,0.5677,0.5665,0.5672,83963
