,index,timestamp,open,high,low,close,volume
0,0,1693785600000,0.02029,0.02031,0.02028,0.0203,272023
1,1,1693785660000,0.02029,0.02032,0.02029,0.02031,176362
2,2,1693785720000,0.02031,0.02033,0.0203,0.02033,309856
3,3,1693785780000,0.02033,0.02033,0.02031,0.02031,219754
4,4,1693785840000,0.02032,0.02032,0.02031,0.02031,126761
5,5,1693785900000,0.02031,0.02034,0.02031,0.02033,292948
6,6,1693785960000,0.02033,0.02033,0.02031,0.02031,147508
7,7,1693786020000,0.02032,0.02032,0.02032,0.02032,71890
8,8,1693786080000,0.02032,0.02032,0.0203,0.0203,53784
9,9,1693786140000,0.02031,0.02031,0.02031,0.02031,51467
10,10,1693786200000,0.02031,0.02033,0.02031,0.02032,221247
11,11,1693786260000,0.02032,0.02033,0.02031,0.02031,573283
12,12,1693786320000,0.02032,0.02034,0.02032,0.02034,139270
13,13,1693786380000,0.02034,0.02034,0.02034,0.02034,65575
14,14,1693786440000,0.02034,0.02036,0.02034,0.02036,357277
15,15,1693786500000,0.02037,0.02038,0.02036,0.02036,489208
16,16,1693786560000,0.02036,0.02036,0.02036,0.02036,200477
17,17,1693786620000,0.02037,0.02037,0.02035,0.02036,123819
18,18,1693786680000,0.02036,0.02036,0.02036,0.02036,72410
19,19,1693786740000,0.02035,0.02036,0.02035,0.02036,138157
20,20,1693786800000,0.02036,0.02037,0.02035,0.02036,25553
21,21,1693786860000,0.02037,0.02039,0.02037,0.02039,102021
22,22,1693786920000,0.02039,0.02039,0.02037,0.02038,220689
23,23,1693786980000,0.02038,0.02039,0.02038,0.02039,8419
24,24,1693787040000,0.02038,0.02038,0.02037,0.02038,124210
25,25,1693787100000,0.02039,0.0204,0.02039,0.02039,311257
26,26,1693787160000,0.02038,0.02038,0.02037,0.02037,123378
27,27,1693787220000,0.02038,0.02041,0.02038,0.02041,316920
28,28,1693787280000,0.02041,0.02041,0.0204,0.0204,224762
29,29,1693787340000,0.0204,0.02041,0.0204,0.0204,48948
30,30,1693787400000,0.02039,0.0204,0.02039,0.02039,8828
31,31,1693787460000,0.02039,0.02041,0.02039,0.0204,126759
32,32,1693787520000,0.02041,0.02042,0.0204,0.0204,237561
33,33,1693787580000,0.0204,0.02042,0.0204,0.0204,163564
34,34,1693787640000,0.0204,0.0204,0.02039,0.02039,179655
35,35,1693787700000,0.0204,0.02042,0.0204,0.02042,97001
36,36,1693787760000,0.02041,0.02041,0.0204,0.0204,51403
37,37,1693787820000,0.02041,0.02041,0.0204,0.0204,119527
38,38,1693787880000,0.0204,0.02044,0.0204,0.02043,187070
39,39,1693787940000,0.02043,0.02043,0.0204,0.02042,378143
40,40,1693788000000,0.02042,0.02043,0.02042,0.02042,6265
41,41,1693788060000,0.02043,0.02044,0.02043,0.02044,211998
42,42,1693788120000,0.02045,0.02047,0.02045,0.02047,161570
43,43,1693788180000,0.02046,0.02046,0.02043,0.02043,192732
44,44,1693788240000,0.02044,0.02048,0.02044,0.02047,205762
45,45,1693788300000,0.02047,0.02048,0.02045,0.02048,309927
46,46,1693788360000,0.02048,0.02049,0.02045,0.02045,453894
47,47,1693788420000,0.02045,0.02048,0.02045,0.02047,174807
48,48,1693788480000,0.02046,0.02047,0.02046,0.02046,25049
49,49,1693788540000,0.02046,0.02048,0.02045,0.02048,47572
50,50,1693788600000,0.02048,0.02048,0.02047,0.02047,12954
51,51,1693788660000,0.02047,0.02047,0.02045,0.02045,77261
52,52,1693788720000,0.02044,0.02045,0.02044,0.02045,3082
53,53,1693788780000,0.02044,0.02044,0.02042,0.02043,297685
54,54,1693788840000,0.02042,0.02042,0.0204,0.02042,254302
55,55,1693788900000,0.02041,0.02043,0.02041,0.02043,87130
56,56,1693788960000,0.02043,0.02043,0.02041,0.02042,30005
57,57,1693789020000,0.02041,0.02043,0.02041,0.02043,55127
58,58,1693789080000,0.02043,0.02044,0.02041,0.02044,306971
59,59,1693789140000,0.02043,0.02044,0.02043,0.02044,12279
60,60,1693789200000,0.02043,0.02044,0.02042,0.02043,298938
61,61,1693789260000,0.02043,0.02045,0.02042,0.02045,203524
62,62,1693789320000,0.02045,0.02046,0.02043,0.02045,147264
63,63,1693789380000,0.02045,0.02045,0.02044,0.02045,80162
64,64,1693789440000,0.02045,0.02046,0.02045,0.02046,67394
65,65,1693789500000,0.02045,0.02046,0.02045,0.02045,15838
66,66,1693789560000,0.02046,0.02046,0.02042,0.02043,320432
67,67,1693789620000,0.02044,0.02044,0.02043,0.02044,15511
68,68,1693789680000,0.02043,0.02045,0.02043,0.02045,98522
69,69,1693789740000,0.02046,0.02046,0.02045,0.02046,74970
70,70,1693789800000,0.02046,0.02046,0.02045,0.02046,151761
71,71,1693789860000,0.02046,0.02048,0.02046,0.02047,40548
72,72,1693789920000,0.02047,0.02048,0.02047,0.02047,63061
73,73,1693789980000,0.02048,0.02049,0.02047,0.02049,41315
74,74,1693790040000,0.02048,0.02049,0.02048,0.02048,39015
75,75,1693790100000,0.02048,0.02049,0.02048,0.02049,57037
76,76,1693790160000,0.02049,0.02049,0.02047,0.02048,101237
77,77,1693790220000,0.02048,0.0205,0.02048,0.02048,71570
78,78,1693790280000,0.02048,0.02049,0.02047,0.02047,70849
79,79,1693790340000,0.02048,0.02049,0.02048,0.02048,76727
80,80,1693790400000,0.02048,0.02049,0.02045,0.02045,160194
81,81,1693790460000,0.02046,0.02047,0.02045,0.02045,135412
82,82,1693790520000,0.02045,0.02047,0.02044,0.02044,192017
83,83,1693790580000,0.02044,0.02044,0.02041,0.02042,134848
84,84,1693790640000,0.02042,0.02043,0.02042,0.02042,90405
85,85,1693790700000,0.02042,0.02043,0.02041,0.02041,126048
86,86,1693790760000,0.02042,0.02044,0.02042,0.02043,191031
87,87,1693790820000,0.02043,0.02043,0.02042,0.02042,53807
88,88,1693790880000,0.02042,0.02045,0.02042,0.02044,50078
89,89,1693790940000,0.02043,0.02044,0.02039,0.02041,108010
90,90,1693791000000,0.02041,0.02043,0.02041,0.02042,129448
91,91,1693791060000,0.02042,0.02043,0.02041,0.02043,222782
92,92,1693791120000,0.02042,0.02043,0.02039,0.02039,222220
93,93,1693791180000,0.02039,0.02039,0.02035,0.02037,585941
94,94,1693791240000,0.02037,0.02041,0.02037,0.02041,669386
95,95,1693791300000,0.02042,0.02043,0.0204,0.02043,664309
96,96,1693791360000,0.02043,0.02043,0.02041,0.02042,439813
