,index,timestamp,open,high,low,close,volume
0,0,1694304000000,2.172,2.173,2.171,2.171,15724.3
1,1,1694304060000,2.172,2.172,2.167,2.168,11450.8
2,2,1694304120000,2.168,2.17,2.167,2.168,21977.9
3,3,1694304180000,2.169,2.171,2.169,2.169,10649.9
4,4,1694304240000,2.17,2.171,2.169,2.17,4662.2
5,5,1694304300000,2.171,2.171,2.169,2.169,4711.9
6,6,1694304360000,2.169,2.17,2.167,2.167,9843.3
7,7,1694304420000,2.167,2.169,2.167,2.168,12931.4
8,8,1694304480000,2.168,2.169,2.168,2.168,1133.4
9,9,1694304540000,2.168,2.168,2.166,2.166,4682.8
10,10,1694304600000,2.166,2.167,2.166,2.166,3723.4
11,11,1694304660000,2.166,2.167,2.165,2.165,5990.2
12,12,1694304720000,2.165,2.167,2.165,2.165,16063.0
13,13,1694304780000,2.166,2.166,2.165,2.166,4567.5
14,14,1694304840000,2.166,2.168,2.163,2.165,24355.8
15,15,1694304900000,2.165,2.166,2.164,2.165,7649.8
16,16,1694304960000,2.165,2.165,2.164,2.165,424.6
17,17,1694305020000,2.164,2.164,2.162,2.164,16835.2
18,18,1694305080000,2.163,2.164,2.162,2.163,6319.4
19,19,1694305140000,2.163,2.163,2.16,2.16,11459.2
20,20,1694305200000,2.16,2.16,2.134,2.144,220128.1
21,21,1694305260000,2.144,2.153,2.14,2.151,130472.2
22,22,1694305320000,2.151,2.155,2.15,2.153,53404.4
23,23,1694305380000,2.153,2.153,2.15,2.151,20560.5
24,24,1694305440000,2.151,2.151,2.149,2.15,13673.2
25,25,1694305500000,2.15,2.154,2.15,2.154,11684.3
26,26,1694305560000,2.153,2.153,2.152,2.153,3757.5
27,27,1694305620000,2.154,2.156,2.154,2.156,4019.6
28,28,1694305680000,2.156,2.157,2.153,2.157,21861.4
29,29,1694305740000,2.156,2.157,2.155,2.156,6734.1
30,30,1694305800000,2.156,2.157,2.154,2.156,7701.7
31,31,1694305860000,2.157,2.158,2.155,2.155,6508.7
32,32,1694305920000,2.155,2.158,2.155,2.158,9959.6
33,33,1694305980000,2.159,2.16,2.159,2.16,3160.3
34,34,1694306040000,2.16,2.165,2.16,2.163,20801.6
35,35,1694306100000,2.164,2.165,2.164,2.164,4991.5
36,36,1694306160000,2.164,2.165,2.164,2.165,973.8
37,37,1694306220000,2.165,2.165,2.162,2.164,23142.6
38,38,1694306280000,2.165,2.169,2.165,2.168,13843.5
39,39,1694306340000,2.169,2.169,2.166,2.167,19879.3
40,40,1694306400000,2.167,2.167,2.165,2.166,2898.4
41,41,1694306460000,2.166,2.166,2.164,2.165,14244.8
42,42,1694306520000,2.166,2.167,2.165,2.166,13163.6
43,43,1694306580000,2.166,2.167,2.165,2.166,4993.3
44,44,1694306640000,2.167,2.167,2.166,2.167,3946.0
45,45,1694306700000,2.168,2.17,2.167,2.169,32373.2
46,46,1694306760000,2.169,2.171,2.167,2.168,12496.1
47,47,1694306820000,2.168,2.168,2.166,2.168,7428.8
48,48,1694306880000,2.168,2.169,2.167,2.169,8478.2
49,49,1694306940000,2.169,2.17,2.168,2.169,3429.8
50,50,1694307000000,2.17,2.17,2.169,2.169,4814.4
51,51,1694307060000,2.169,2.169,2.168,2.169,1612.3
52,52,1694307120000,2.169,2.169,2.167,2.169,6665.7
53,53,1694307180000,2.168,2.173,2.168,2.173,15991.6
54,54,1694307240000,2.173,2.174,2.172,2.174,6242.2
55,55,1694307300000,2.174,2.174,2.171,2.172,9063.2
56,56,1694307360000,2.172,2.172,2.171,2.171,2961.8
57,57,1694307420000,2.171,2.177,2.171,2.176,32540.8
58,58,1694307480000,2.177,2.179,2.176,2.178,17968.8
59,59,1694307540000,2.177,2.178,2.175,2.176,17801.5
60,60,1694307600000,2.175,2.175,2.172,2.174,14393.3
61,61,1694307660000,2.174,2.175,2.173,2.173,7213.8
62,62,1694307720000,2.174,2.175,2.172,2.175,13146.6
63,63,1694307780000,2.175,2.175,2.172,2.174,7256.7
64,64,1694307840000,2.173,2.175,2.172,2.175,12006.1
65,65,1694307900000,2.175,2.175,2.172,2.173,18023.9
66,66,1694307960000,2.174,2.174,2.17,2.17,11502.4
67,67,1694308020000,2.169,2.17,2.163,2.164,22817.8
68,68,1694308080000,2.164,2.169,2.164,2.167,26424.1
69,69,1694308140000,2.167,2.167,2.166,2.167,3909.4
70,70,1694308200000,2.166,2.169,2.166,2.169,14832.9
71,71,1694308260000,2.169,2.17,2.167,2.168,9665.5
72,72,1694308320000,2.169,2.17,2.167,2.169,12121.5
