,index,timestamp,open,high,low,close,volume
0,0,1690848000000,23.719,23.719,23.659,23.659,2632
1,1,1690848060000,23.658,23.68,23.658,23.68,1655
2,2,1690848120000,23.679,23.692,23.676,23.692,426
3,3,1690848180000,23.698,23.714,23.692,23.712,1541
4,4,1690848240000,23.713,23.713,23.701,23.701,780
5,5,1690848300000,23.704,23.704,23.582,23.623,9131
6,6,1690848360000,23.624,23.63,23.609,23.625,2645
7,7,1690848420000,23.632,23.639,23.618,23.622,1463
8,8,1690848480000,23.625,23.637,23.625,23.635,278
9,9,1690848540000,23.634,23.654,23.634,23.654,1583
10,10,1690848600000,23.655,23.675,23.655,23.667,3055
11,11,1690848660000,23.668,23.672,23.646,23.647,1029
12,12,1690848720000,23.647,23.668,23.647,23.661,1461
13,13,1690848780000,23.673,23.692,23.669,23.692,834
14,14,1690848840000,23.694,23.735,23.688,23.735,6950
15,15,1690848900000,23.736,23.748,23.736,23.737,1300
16,16,1690848960000,23.737,23.746,23.729,23.729,1102
17,17,1690849020000,23.73,23.747,23.73,23.74,782
18,18,1690849080000,23.74,23.74,23.725,23.725,393
19,19,1690849140000,23.725,23.744,23.709,23.744,1265
20,20,1690849200000,23.744,23.768,23.738,23.768,1364
21,21,1690849260000,23.769,23.8,23.769,23.798,2814
22,22,1690849320000,23.793,23.793,23.773,23.782,539
23,23,1690849380000,23.782,23.805,23.774,23.774,1159
24,24,1690849440000,23.771,23.771,23.751,23.769,685
25,25,1690849500000,23.775,23.786,23.766,23.775,927
26,26,1690849560000,23.776,23.803,23.776,23.79,2388
27,27,1690849620000,23.788,23.788,23.78,23.784,280
28,28,1690849680000,23.794,23.795,23.769,23.795,1234
29,29,1690849740000,23.796,23.818,23.796,23.817,1504
30,30,1690849800000,23.817,23.84,23.799,23.834,1144
31,31,1690849860000,23.84,23.845,23.836,23.84,430
32,32,1690849920000,23.834,23.856,23.83,23.854,1573
33,33,1690849980000,23.854,23.866,23.845,23.864,550
34,34,1690850040000,23.864,23.868,23.85,23.858,1377
35,35,1690850100000,23.86,23.86,23.845,23.845,204
36,36,1690850160000,23.845,23.845,23.827,23.827,367
37,37,1690850220000,23.832,23.837,23.832,23.837,267
38,38,1690850280000,23.836,23.871,23.826,23.867,3027
39,39,1690850340000,23.87,23.916,23.87,23.904,8031
40,40,1690850400000,23.902,23.902,23.883,23.898,1395
41,41,1690850460000,23.904,23.92,23.904,23.92,397
42,42,1690850520000,23.919,23.919,23.911,23.916,1462
43,43,1690850580000,23.915,23.915,23.891,23.891,1251
44,44,1690850640000,23.891,23.896,23.891,23.891,134
45,45,1690850700000,23.891,23.904,23.888,23.9,1213
46,46,1690850760000,23.9,23.9,23.881,23.881,774
47,47,1690850820000,23.881,23.935,23.881,23.933,3579
48,48,1690850880000,23.933,23.933,23.915,23.918,736
49,49,1690850940000,23.913,23.92,23.912,23.912,607
50,50,1690851000000,23.91,23.91,23.892,23.892,968
51,51,1690851060000,23.892,23.903,23.892,23.899,231
52,52,1690851120000,23.898,23.902,23.855,23.855,1107
53,53,1690851180000,23.855,23.91,23.855,23.905,1402
54,54,1690851240000,23.901,23.905,23.894,23.905,700
