,index,timestamp,open,high,low,close,volume
0,0,1690848000000,23.717,23.717,23.651,23.651,31050
1,1,1690848060000,23.651,23.678,23.651,23.677,16862
2,2,1690848120000,23.677,23.693,23.67,23.693,9013
3,3,1690848180000,23.693,23.715,23.69,23.709,13310
4,4,1690848240000,23.709,23.713,23.7,23.703,11375
5,5,1690848300000,23.703,23.703,23.572,23.618,84804
6,6,1690848360000,23.618,23.63,23.607,23.63,32828
7,7,1690848420000,23.631,23.64,23.613,23.621,20253
8,8,1690848480000,23.622,23.638,23.622,23.634,10361
9,9,1690848540000,23.635,23.655,23.631,23.654,16351
10,10,1690848600000,23.654,23.675,23.654,23.665,41009
11,11,1690848660000,23.665,23.67,23.644,23.644,27102
12,12,1690848720000,23.645,23.668,23.644,23.664,16588
13,13,1690848780000,23.664,23.692,23.664,23.692,13123
14,14,1690848840000,23.691,23.732,23.682,23.732,49895
15,15,1690848900000,23.732,23.748,23.732,23.732,18448
16,16,1690848960000,23.733,23.748,23.723,23.723,11939
17,17,1690849020000,23.724,23.748,23.724,23.742,11279
18,18,1690849080000,23.742,23.743,23.72,23.72,5397
19,19,1690849140000,23.719,23.74,23.701,23.74,11018
20,20,1690849200000,23.741,23.771,23.735,23.771,13999
21,21,1690849260000,23.77,23.802,23.77,23.792,23589
22,22,1690849320000,23.791,23.792,23.76,23.778,15190
23,23,1690849380000,23.779,23.803,23.765,23.765,16133
24,24,1690849440000,23.766,23.772,23.745,23.772,13214
25,25,1690849500000,23.772,23.784,23.762,23.775,17978
26,26,1690849560000,23.775,23.807,23.775,23.791,27995
27,27,1690849620000,23.79,23.795,23.782,23.795,3870
28,28,1690849680000,23.795,23.797,23.765,23.797,11895
29,29,1690849740000,23.797,23.821,23.793,23.818,18535
30,30,1690849800000,23.819,23.845,23.796,23.842,27312
31,31,1690849860000,23.842,23.848,23.834,23.835,16100
32,32,1690849920000,23.834,23.86,23.825,23.852,25214
33,33,1690849980000,23.851,23.869,23.842,23.866,20577
