,index,timestamp,open,high,low,close,volume
0,0,1694908800000,19.111,19.126,19.111,19.117,14034
1,1,1694908860000,19.117,19.117,19.105,19.105,11866
2,2,1694908920000,19.105,19.118,19.104,19.107,8150
3,3,1694908980000,19.107,19.11,19.095,19.095,7938
4,4,1694909040000,19.095,19.095,19.08,19.083,17018
5,5,1694909100000,19.084,19.089,19.071,19.088,30122
6,6,1694909160000,19.088,19.088,19.074,19.074,7223
7,7,1694909220000,19.075,19.082,19.073,19.073,7691
8,8,1694909280000,19.072,19.076,19.061,19.072,15292
9,9,1694909340000,19.072,19.076,19.057,19.057,11455
10,10,1694909400000,19.056,19.057,18.988,19.037,102396
11,11,1694909460000,19.037,19.037,19.014,19.015,23760
12,12,1694909520000,19.016,19.017,18.994,19.016,27179
13,13,1694909580000,19.016,19.02,18.976,18.978,37505
14,14,1694909640000,18.979,19.001,18.979,18.998,13933
15,15,1694909700000,18.998,19.001,18.948,18.948,44709
16,16,1694909760000,18.947,18.983,18.909,18.978,90886
17,17,1694909820000,18.979,18.983,18.97,18.978,18134
18,18,1694909880000,18.98,18.993,18.98,18.991,4749
19,19,1694909940000,18.991,18.999,18.978,18.979,10195
20,20,1694910000000,18.978,19.0,18.974,18.996,16010
21,21,1694910060000,18.995,19.01,18.994,19.008,10503
22,22,1694910120000,19.008,19.016,19.002,19.012,11665
23,23,1694910180000,19.012,19.021,19.005,19.021,5352
24,24,1694910240000,19.021,19.025,19.011,19.011,10280
25,25,1694910300000,19.01,19.024,19.01,19.011,5777
26,26,1694910360000,19.012,19.022,19.011,19.014,3600
27,27,1694910420000,19.013,19.013,18.962,18.967,18005
28,28,1694910480000,18.967,18.977,18.945,18.956,15865
29,29,1694910540000,18.956,18.968,18.935,18.957,34712
30,30,1694910600000,18.959,18.968,18.95,18.959,14777
31,31,1694910660000,18.958,18.966,18.938,18.952,27182
32,32,1694910720000,18.952,18.955,18.939,18.942,9072
33,33,1694910780000,18.942,18.942,18.918,18.924,27799
34,34,1694910840000,18.925,18.925,18.903,18.905,24763
35,35,1694910900000,18.904,18.939,18.903,18.937,21548
36,36,1694910960000,18.938,18.957,18.924,18.957,12371
37,37,1694911020000,18.958,18.974,18.953,18.968,14132
38,38,1694911080000,18.967,18.967,18.942,18.946,13208
39,39,1694911140000,18.945,18.963,18.945,18.954,4399
40,40,1694911200000,18.951,18.957,18.946,18.953,8484
41,41,1694911260000,18.954,18.96,18.945,18.958,11305
42,42,1694911320000,18.958,18.958,18.922,18.926,21212
43,43,1694911380000,18.925,18.933,18.924,18.932,9829
44,44,1694911440000,18.933,18.952,18.933,18.951,6821
45,45,1694911500000,18.951,18.954,18.937,18.937,7931
46,46,1694911560000,18.935,18.935,18.92,18.923,10261
47,47,1694911620000,18.923,18.923,18.91,18.913,13863
48,48,1694911680000,18.914,18.918,18.905,18.908,10753
49,49,1694911740000,18.908,18.917,18.902,18.913,13030
50,50,1694911800000,18.913,18.913,18.901,18.912,8775
51,51,1694911860000,18.912,18.924,18.908,18.921,7758
52,52,1694911920000,18.92,18.92,18.869,18.869,62967
53,53,1694911980000,18.868,18.868,18.81,18.842,146714
54,54,1694912040000,18.843,18.861,18.822,18.835,42396
55,55,1694912100000,18.836,18.868,18.814,18.867,52450
56,56,1694912160000,18.864,18.868,18.85,18.854,20400
57,57,1694912220000,18.854,18.857,18.836,18.853,14458
58,58,1694912280000,18.854,18.859,18.826,18.827,25934
59,59,1694912340000,18.829,18.878,18.829,18.86,31460
60,60,1694912400000,18.86,18.86,18.817,18.82,40770
61,61,1694912460000,18.82,18.845,18.717,18.745,273711
62,62,1694912520000,18.746,18.809,18.712,18.788,131314
63,63,1694912580000,18.79,18.804,18.763,18.801,54858
64,64,1694912640000,18.801,18.823,18.775,18.777,39554
65,65,1694912700000,18.776,18.785,18.76,18.767,29903
66,66,1694912760000,18.767,18.782,18.746,18.746,23492
67,67,1694912820000,18.746,18.765,18.729,18.746,48890
68,68,1694912880000,18.745,18.774,18.732,18.732,26566
69,69,1694912940000,18.732,18.778,18.724,18.773,48440
70,70,1694913000000,18.773,18.792,18.755,18.761,28716
71,71,1694913060000,18.76,18.787,18.746,18.783,40290
72,72,1694913120000,18.782,18.794,18.779,18.793,14586
73,73,1694913180000,18.793,18.83,18.787,18.822,17894
74,74,1694913240000,18.822,18.83,18.812,18.83,14149
75,75,1694913300000,18.83,18.832,18.812,18.814,16489
76,76,1694913360000,18.813,18.83,18.798,18.828,18083
77,77,1694913420000,18.828,18.86,18.824,18.857,24731
78,78,1694913480000,18.856,18.896,18.851,18.89,44364
79,79,1694913540000,18.891,18.895,18.883,18.893,20344
80,80,1694913600000,18.894,18.894,18.873,18.875,13787
81,81,1694913660000,18.876,18.88,18.86,18.866,22425
82,82,1694913720000,18.866,18.872,18.858,18.86,13711
83,83,1694913780000,18.86,18.868,18.848,18.856,10454
84,84,1694913840000,18.857,18.857,18.826,18.828,10518
85,85,1694913900000,18.828,18.833,18.824,18.829,7626
86,86,1694913960000,18.828,18.859,18.822,18.853,13297
87,87,1694914020000,18.853,18.854,18.842,18.85,5446
88,88,1694914080000,18.85,18.864,18.85,18.857,12696
89,89,1694914140000,18.857,18.871,18.854,18.868,6395
90,90,1694914200000,18.867,18.881,18.867,18.881,4902
91,91,1694914260000,18.88,18.933,18.88,18.93,32327
92,92,1694914320000,18.931,18.931,18.905,18.914,22014
93,93,1694914380000,18.914,18.93,18.914,18.925,13223
94,94,1694914440000,18.925,18.932,18.912,18.912,12005
95,95,1694914500000,18.912,18.921,18.911,18.911,13834
96,96,1694914560000,18.912,18.921,18.901,18.91,16290
97,97,1694914620000,18.909,18.914,18.886,18.889,20436
98,98,1694914680000,18.889,18.898,18.884,18.897,10635
99,99,1694914740000,18.896,18.896,18.879,18.879,15921
100,100,1694914800000,18.879,18.879,18.857,18.87,16797
101,101,1694914860000,18.87,18.87,18.857,18.859,9013
102,102,1694914920000,18.859,18.872,18.854,18.871,14872
103,103,1694914980000,18.871,18.888,18.863,18.883,11718
104,104,1694915040000,18.884,18.919,18.883,18.919,17225
105,105,1694915100000,18.92,18.92,18.901,18.91,19793
106,106,1694915160000,18.91,18.917,18.908,18.914,6929
107,107,1694915220000,18.914,18.918,18.903,18.916,6619
108,108,1694915280000,18.916,18.916,18.895,18.896,6028
109,109,1694915340000,18.895,18.907,18.895,18.905,6085
110,110,1694915400000,18.905,18.912,18.901,18.902,5302
111,111,1694915460000,18.901,18.91,18.89,18.91,12201
112,112,1694915520000,18.91,18.92,18.909,18.916,6272
113,113,1694915580000,18.917,18.922,18.912,18.919,7230
114,114,1694915640000,18.92,18.92,18.913,18.917,2515
115,115,1694915700000,18.918,18.921,18.915,18.917,3929
116,116,1694915760000,18.917,18.917,18.9,18.914,9444
117,117,1694915820000,18.913,18.913,18.892,18.892,6677
118,118,1694915880000,18.893,18.898,18.888,18.888,6128
119,119,1694915940000,18.889,18.889,18.876,18.888,7648
120,120,1694916000000,18.889,18.891,18.87,18.87,14052
