,index,timestamp,open,high,low,close,volume
0,0,1694908800000,0.287,0.287,0.287,0.287,0
1,1,1694908860000,0.287,0.287,0.287,0.287,0
2,2,1694908920000,0.287,0.287,0.287,0.287,0
3,3,1694908980000,0.287,0.287,0.287,0.287,0
4,4,1694909040000,0.287,0.287,0.287,0.287,0
5,5,1694909100000,0.287,0.287,0.287,0.287,0
6,6,1694909160000,0.287,0.287,0.287,0.287,0
7,7,1694909220000,0.287,0.287,0.287,0.287,0
8,8,1694909280000,0.287,0.287,0.287,0.287,0
9,9,1694909340000,0.287,0.287,0.287,0.287,0
10,10,1694909400000,0.287,0.287,0.287,0.287,0
11,11,1694909460000,0.287,0.287,0.287,0.287,0
12,12,1694909520000,0.287,0.287,0.287,0.287,0
13,13,1694909580000,0.287,0.287,0.287,0.287,0
14,14,1694909640000,0.287,0.287,0.287,0.287,0
15,15,1694909700000,0.287,0.287,0.287,0.287,0
16,16,1694909760000,0.287,0.287,0.287,0.287,0
17,17,1694909820000,0.287,0.287,0.287,0.287,0
18,18,1694909880000,0.287,0.287,0.287,0.287,0
19,19,1694909940000,0.287,0.287,0.287,0.287,0
20,20,1694910000000,0.287,0.287,0.287,0.287,0
21,21,1694910060000,0.287,0.287,0.287,0.287,0
22,22,1694910120000,0.287,0.287,0.287,0.287,0
23,23,1694910180000,0.287,0.287,0.287,0.287,0
24,24,1694910240000,0.287,0.287,0.287,0.287,0
25,25,1694910300000,0.287,0.287,0.287,0.287,0
26,26,1694910360000,0.287,0.287,0.287,0.287,0
27,27,1694910420000,0.287,0.287,0.287,0.287,0
28,28,1694910480000,0.287,0.287,0.287,0.287,0
29,29,1694910540000,0.287,0.287,0.287,0.287,0
30,30,1694910600000,0.287,0.287,0.287,0.287,0
31,31,1694910660000,0.287,0.287,0.287,0.287,0
32,32,1694910720000,0.287,0.287,0.287,0.287,0
33,33,1694910780000,0.287,0.287,0.287,0.287,0
34,34,1694910840000,0.287,0.287,0.287,0.287,0
35,35,1694910900000,0.287,0.287,0.287,0.287,0
36,36,1694910960000,0.287,0.287,0.287,0.287,0
37,37,1694911020000,0.287,0.287,0.287,0.287,0
38,38,1694911080000,0.287,0.287,0.287,0.287,0
39,39,1694911140000,0.287,0.287,0.287,0.287,0
40,40,1694911200000,0.287,0.287,0.287,0.287,0
41,41,1694911260000,0.287,0.287,0.287,0.287,0
42,42,1694911320000,0.287,0.287,0.287,0.287,0
43,43,1694911380000,0.287,0.287,0.287,0.287,0
44,44,1694911440000,0.287,0.287,0.287,0.287,0
45,45,1694911500000,0.287,0.287,0.287,0.287,0
46,46,1694911560000,0.287,0.287,0.287,0.287,0
47,47,1694911620000,0.287,0.287,0.287,0.287,0
48,48,1694911680000,0.287,0.287,0.287,0.287,0
49,49,1694911740000,0.287,0.287,0.287,0.287,0
50,50,1694911800000,0.287,0.287,0.287,0.287,0
51,51,1694911860000,0.287,0.287,0.287,0.287,0
52,52,1694911920000,0.287,0.287,0.287,0.287,0
53,53,1694911980000,0.287,0.287,0.287,0.287,0
54,54,1694912040000,0.287,0.287,0.287,0.287,0
55,55,1694912100000,0.287,0.287,0.287,0.287,0
56,56,1694912160000,0.287,0.287,0.287,0.287,0
57,57,1694912220000,0.287,0.287,0.287,0.287,0
58,58,1694912280000,0.287,0.287,0.287,0.287,0
59,59,1694912340000,0.287,0.287,0.287,0.287,0
60,60,1694912400000,0.287,0.287,0.287,0.287,0
61,61,1694912460000,0.287,0.287,0.287,0.287,0
62,62,1694912520000,0.287,0.287,0.287,0.287,0
63,63,1694912580000,0.287,0.287,0.287,0.287,0
64,64,1694912640000,0.287,0.287,0.287,0.287,0
65,65,1694912700000,0.287,0.287,0.287,0.287,0
66,66,1694912760000,0.287,0.287,0.287,0.287,0
67,67,1694912820000,0.287,0.287,0.287,0.287,0
68,68,1694912880000,0.287,0.287,0.287,0.287,0
69,69,1694912940000,0.287,0.287,0.287,0.287,0
70,70,1694913000000,0.287,0.287,0.287,0.287,0
71,71,1694913060000,0.287,0.287,0.287,0.287,0
72,72,1694913120000,0.287,0.287,0.287,0.287,0
73,73,1694913180000,0.287,0.287,0.287,0.287,0
74,74,1694913240000,0.287,0.287,0.287,0.287,0
75,75,1694913300000,0.287,0.287,0.287,0.287,0
76,76,1694913360000,0.287,0.287,0.287,0.287,0
77,77,1694913420000,0.287,0.287,0.287,0.287,0
78,78,1694913480000,0.287,0.287,0.287,0.287,0
79,79,1694913540000,0.287,0.287,0.287,0.287,0
80,80,1694913600000,0.287,0.287,0.287,0.287,0
81,81,1694913660000,0.287,0.287,0.287,0.287,0
82,82,1694913720000,0.287,0.287,0.287,0.287,0
83,83,1694913780000,0.287,0.287,0.287,0.287,0
84,84,1694913840000,0.287,0.287,0.287,0.287,0
85,85,1694913900000,0.287,0.287,0.287,0.287,0
86,86,1694913960000,0.287,0.287,0.287,0.287,0
87,87,1694914020000,0.287,0.287,0.287,0.287,0
88,88,1694914080000,0.287,0.287,0.287,0.287,0
89,89,1694914140000,0.287,0.287,0.287,0.287,0
90,90,1694914200000,0.287,0.287,0.287,0.287,0
91,91,1694914260000,0.287,0.287,0.287,0.287,0
92,92,1694914320000,0.287,0.287,0.287,0.287,0
93,93,1694914380000,0.287,0.287,0.287,0.287,0
94,94,1694914440000,0.287,0.287,0.287,0.287,0
95,95,1694914500000,0.287,0.287,0.287,0.287,0
96,96,1694914560000,0.287,0.287,0.287,0.287,0
97,97,1694914620000,0.287,0.287,0.287,0.287,0
98,98,1694914680000,0.287,0.287,0.287,0.287,0
99,99,1694914740000,0.287,0.287,0.287,0.287,0
100,100,1694914800000,0.287,0.287,0.287,0.287,0
101,101,1694914860000,0.287,0.287,0.287,0.287,0
102,102,1694914920000,0.287,0.287,0.287,0.287,0
103,103,1694914980000,0.287,0.287,0.287,0.287,0
104,104,1694915040000,0.287,0.287,0.287,0.287,0
105,105,1694915100000,0.287,0.287,0.287,0.287,0
106,106,1694915160000,0.287,0.287,0.287,0.287,0
107,107,1694915220000,0.287,0.287,0.287,0.287,0
108,108,1694915280000,0.287,0.287,0.287,0.287,0
109,109,1694915340000,0.287,0.287,0.287,0.287,0
110,110,1694915400000,0.287,0.287,0.287,0.287,0
111,111,1694915460000,0.287,0.287,0.287,0.287,0
112,112,1694915520000,0.287,0.287,0.287,0.287,0
113,113,1694915580000,0.287,0.287,0.287,0.287,0
114,114,1694915640000,0.287,0.287,0.287,0.287,0
115,115,1694915700000,0.287,0.287,0.287,0.287,0
116,116,1694915760000,0.287,0.287,0.287,0.287,0
117,117,1694915820000,0.287,0.287,0.287,0.287,0
118,118,1694915880000,0.287,0.287,0.287,0.287,0
119,119,1694915940000,0.287,0.287,0.287,0.287,0
120,120,1694916000000,0.287,0.287,0.287,0.287,0
121,121,1694916060000,0.287,0.287,0.287,0.287,0
122,122,1694916120000,0.287,0.287,0.287,0.287,0
123,123,1694916180000,0.287,0.287,0.287,0.287,0
124,124,1694916240000,0.287,0.287,0.287,0.287,0
125,125,1694916300000,0.287,0.287,0.287,0.287,0
126,126,1694916360000,0.287,0.287,0.287,0.287,0
127,127,1694916420000,0.287,0.287,0.287,0.287,0
128,128,1694916480000,0.287,0.287,0.287,0.287,0
129,129,1694916540000,0.287,0.287,0.287,0.287,0
130,130,1694916600000,0.287,0.287,0.287,0.287,0
131,131,1694916660000,0.287,0.287,0.287,0.287,0
132,132,1694916720000,0.287,0.287,0.287,0.287,0
133,133,1694916780000,0.287,0.287,0.287,0.287,0
134,134,1694916840000,0.287,0.287,0.287,0.287,0
135,135,1694916900000,0.287,0.287,0.287,0.287,0
136,136,1694916960000,0.287,0.287,0.287,0.287,0
137,137,1694917020000,0.287,0.287,0.287,0.287,0
138,138,1694917080000,0.287,0.287,0.287,0.287,0
139,139,1694917140000,0.287,0.287,0.287,0.287,0
140,140,1694917200000,0.287,0.287,0.287,0.287,0
141,141,1694917260000,0.287,0.287,0.287,0.287,0
142,142,1694917320000,0.287,0.287,0.287,0.287,0
143,143,1694917380000,0.287,0.287,0.287,0.287,0
144,144,1694917440000,0.287,0.287,0.287,0.287,0
145,145,1694917500000,0.287,0.287,0.287,0.287,0
146,146,1694917560000,0.287,0.287,0.287,0.287,0
147,147,1694917620000,0.287,0.287,0.287,0.287,0
148,148,1694917680000,0.287,0.287,0.287,0.287,0
149,149,1694917740000,0.287,0.287,0.287,0.287,0
150,150,1694917800000,0.287,0.287,0.287,0.287,0
151,151,1694917860000,0.287,0.287,0.287,0.287,0
