,index,timestamp,open,high,low,close,volume
0,0,1694563200000,14.9,14.9,14.87,14.87,485.28
1,1,1694563260000,14.87,14.89,14.86,14.86,297.39
2,2,1694563320000,14.85,14.87,14.85,14.86,393.67
3,3,1694563380000,14.86,14.87,14.85,14.85,404.45
4,4,1694563440000,14.85,14.85,14.83,14.83,222.71
5,5,1694563500000,14.83,14.84,14.82,14.83,606.36
6,6,1694563560000,14.82,14.82,14.81,14.81,831.37
7,7,1694563620000,14.81,14.83,14.8,14.83,502.08
8,8,1694563680000,14.83,14.84,14.82,14.84,1594.27
9,9,1694563740000,14.85,14.86,14.85,14.86,337.64
10,10,1694563800000,14.87,14.9,14.86,14.88,387.65
11,11,1694563860000,14.89,14.91,14.89,14.91,341.39
12,12,1694563920000,14.91,14.99,14.91,14.96,6361.76
13,13,1694563980000,14.95,14.97,14.95,14.95,533.7
14,14,1694564040000,14.95,14.95,14.92,14.92,651.27
15,15,1694564100000,14.92,14.92,14.86,14.89,5037.74
16,16,1694564160000,14.89,14.91,14.89,14.91,508.57
17,17,1694564220000,14.91,14.93,14.9,14.93,218.15
18,18,1694564280000,14.93,14.93,14.92,14.92,312.75
19,19,1694564340000,14.91,14.93,14.91,14.92,137.62
20,20,1694564400000,14.92,14.92,14.9,14.9,335.06
21,21,1694564460000,14.9,14.93,14.9,14.92,123.82
22,22,1694564520000,14.92,14.94,14.92,14.94,27.53
23,23,1694564580000,14.94,14.97,14.94,14.96,872.9
24,24,1694564640000,14.96,14.99,14.96,14.99,646.09
25,25,1694564700000,14.99,14.99,14.96,14.96,406.29
26,26,1694564760000,14.96,14.98,14.96,14.97,133.93
27,27,1694564820000,14.98,14.98,14.97,14.97,141.41
28,28,1694564880000,14.97,14.97,14.96,14.96,7.28
29,29,1694564940000,14.96,14.97,14.96,14.97,53.02
30,30,1694565000000,14.97,14.99,14.97,14.99,532.01
31,31,1694565060000,14.99,14.99,14.95,14.95,350.31
32,32,1694565120000,14.95,14.97,14.95,14.97,106.03
33,33,1694565180000,14.96,14.96,14.95,14.95,37.31
34,34,1694565240000,14.95,14.96,14.95,14.96,437.07
35,35,1694565300000,14.96,14.99,14.96,14.99,130.59
36,36,1694565360000,14.98,14.99,14.98,14.99,218.8
37,37,1694565420000,14.99,15.04,14.99,15.02,1538.57
38,38,1694565480000,15.02,15.06,15.01,15.05,1232.95
39,39,1694565540000,15.05,15.07,15.04,15.05,703.62
40,40,1694565600000,15.04,15.05,15.03,15.04,299.32
41,41,1694565660000,15.04,15.08,15.04,15.06,1157.97
42,42,1694565720000,15.06,15.08,15.05,15.06,772.96
43,43,1694565780000,15.05,15.06,15.03,15.05,755.9
44,44,1694565840000,15.06,15.06,15.04,15.04,857.79
45,45,1694565900000,15.05,15.13,15.05,15.13,5319.09
46,46,1694565960000,15.13,15.14,15.1,15.11,2535.08
47,47,1694566020000,15.1,15.12,15.08,15.08,1241.04
48,48,1694566080000,15.08,15.08,15.07,15.07,507.71
49,49,1694566140000,15.07,15.11,15.07,15.11,1301.86
50,50,1694566200000,15.11,15.12,15.09,15.1,1342.77
51,51,1694566260000,15.11,15.13,15.11,15.12,352.69
52,52,1694566320000,15.12,15.18,15.12,15.17,2969.14
53,53,1694566380000,15.17,15.17,15.15,15.15,775.98
54,54,1694566440000,15.16,15.19,15.15,15.17,761.36
55,55,1694566500000,15.17,15.17,15.14,15.14,181.47
56,56,1694566560000,15.14,15.15,15.13,15.14,692.18
57,57,1694566620000,15.14,15.15,15.13,15.14,303.62
58,58,1694566680000,15.14,15.17,15.13,15.16,1394.76
59,59,1694566740000,15.16,15.16,15.15,15.16,634.3
60,60,1694566800000,15.16,15.16,15.14,15.16,933.87
61,61,1694566860000,15.16,15.16,15.12,15.14,3528.08
62,62,1694566920000,15.14,15.15,15.13,15.15,631.05
63,63,1694566980000,15.15,15.18,15.14,15.14,2306.75
64,64,1694567040000,15.14,15.16,15.13,15.15,773.07
65,65,1694567100000,15.14,15.16,15.13,15.15,1137.24
66,66,1694567160000,15.15,15.16,15.14,15.15,755.7
67,67,1694567220000,15.15,15.16,15.15,15.16,234.53
68,68,1694567280000,15.15,15.17,15.15,15.17,913.11
69,69,1694567340000,15.17,15.18,15.17,15.17,192.91
70,70,1694567400000,15.18,15.18,15.16,15.17,245.12
71,71,1694567460000,15.17,15.23,15.15,15.21,2555.21
72,72,1694567520000,15.21,15.21,15.18,15.2,766.03
73,73,1694567580000,15.2,15.22,15.19,15.22,1293.83
74,74,1694567640000,15.21,15.23,15.2,15.21,1638.27
75,75,1694567700000,15.2,15.21,15.2,15.2,597.8
76,76,1694567760000,15.2,15.21,15.19,15.2,316.2
77,77,1694567820000,15.2,15.21,15.2,15.2,203.21
78,78,1694567880000,15.21,15.21,15.2,15.2,1079.1
79,79,1694567940000,15.21,15.23,15.21,15.21,361.64
80,80,1694568000000,15.21,15.22,15.21,15.21,135.28
81,81,1694568060000,15.21,15.23,15.21,15.22,114.78
82,82,1694568120000,15.22,15.24,15.22,15.24,200.75
