,index,timestamp,open,high,low,close,volume
0,0,1693612800000,0.5233,0.5233,0.5225,0.5226,67796
1,1,1693612860000,0.5225,0.5225,0.522,0.5221,14525
2,2,1693612920000,0.5221,0.5223,0.522,0.5223,9674
3,3,1693612980000,0.5224,0.5229,0.5222,0.5228,12711
4,4,1693613040000,0.5228,0.5236,0.5226,0.5234,33620
5,5,1693613100000,0.5234,0.5242,0.5227,0.5228,59975
6,6,1693613160000,0.5229,0.5238,0.5229,0.5235,30740
7,7,1693613220000,0.5236,0.5247,0.5236,0.5242,40867
8,8,1693613280000,0.5243,0.5252,0.5243,0.5246,41637
9,9,1693613340000,0.5245,0.5245,0.5241,0.5243,9332
10,10,1693613400000,0.5242,0.5242,0.5238,0.5239,18653
11,11,1693613460000,0.5238,0.5239,0.5238,0.5238,1861
12,12,1693613520000,0.5238,0.5241,0.5238,0.5241,14436
13,13,1693613580000,0.5241,0.5241,0.5239,0.5239,2908
14,14,1693613640000,0.5239,0.5239,0.5239,0.5239,99
15,15,1693613700000,0.5239,0.5239,0.5232,0.5233,11062
16,16,1693613760000,0.5233,0.5233,0.523,0.523,2036
17,17,1693613820000,0.523,0.523,0.523,0.523,161
18,18,1693613880000,0.523,0.523,0.5228,0.523,9181
19,19,1693613940000,0.5231,0.5235,0.5231,0.5233,5533
20,20,1693614000000,0.5233,0.5234,0.523,0.523,4885
21,21,1693614060000,0.5231,0.5231,0.5229,0.523,3915
22,22,1693614120000,0.5231,0.5234,0.5231,0.5234,5212
23,23,1693614180000,0.5235,0.5245,0.5235,0.5242,12897
24,24,1693614240000,0.5241,0.5243,0.5241,0.5241,7576
25,25,1693614300000,0.5241,0.5241,0.5237,0.5238,7184
26,26,1693614360000,0.5239,0.5242,0.5239,0.5241,2675
27,27,1693614420000,0.524,0.524,0.5238,0.524,3932
28,28,1693614480000,0.5241,0.5241,0.5241,0.5241,811
29,29,1693614540000,0.5241,0.5243,0.5241,0.5242,3582
30,30,1693614600000,0.5241,0.5246,0.5241,0.5241,10904
31,31,1693614660000,0.524,0.5241,0.524,0.524,6238
32,32,1693614720000,0.5239,0.5242,0.5239,0.5242,5673
33,33,1693614780000,0.5242,0.5242,0.5239,0.5239,8179
34,34,1693614840000,0.524,0.5242,0.524,0.524,5839
35,35,1693614900000,0.524,0.5241,0.5238,0.5241,3438
36,36,1693614960000,0.5241,0.5242,0.5241,0.5242,4548
37,37,1693615020000,0.5243,0.5244,0.5243,0.5244,1171
38,38,1693615080000,0.5244,0.5248,0.5244,0.5248,3990
39,39,1693615140000,0.5248,0.525,0.5247,0.5249,6519
40,40,1693615200000,0.5249,0.525,0.5244,0.5244,10462
41,41,1693615260000,0.5244,0.5244,0.5243,0.5243,3137
