,index,timestamp,open,high,low,close,volume
0,0,1693785600000,0.4551,0.4552,0.4548,0.455,53276
1,1,1693785660000,0.4551,0.4555,0.4551,0.4554,44562
2,2,1693785720000,0.4554,0.4556,0.4553,0.4556,69139
3,3,1693785780000,0.4557,0.4558,0.4556,0.4557,6231
4,4,1693785840000,0.4556,0.4559,0.4556,0.4558,50441
5,5,1693785900000,0.4557,0.4558,0.4556,0.4557,14982
6,6,1693785960000,0.4557,0.4557,0.455,0.455,40836
7,7,1693786020000,0.4549,0.4552,0.4548,0.4552,22273
8,8,1693786080000,0.4551,0.4551,0.4548,0.4548,22138
9,9,1693786140000,0.4548,0.4548,0.4546,0.4548,7915
10,10,1693786200000,0.4548,0.4548,0.4544,0.4544,22719
11,11,1693786260000,0.4543,0.4544,0.4542,0.4544,25397
12,12,1693786320000,0.4544,0.4547,0.4542,0.4546,40380
13,13,1693786380000,0.4547,0.4548,0.4546,0.4547,10668
14,14,1693786440000,0.4547,0.455,0.4547,0.4549,49167
15,15,1693786500000,0.455,0.455,0.4543,0.4543,48298
16,16,1693786560000,0.4543,0.4546,0.4543,0.4546,25399
17,17,1693786620000,0.4545,0.4546,0.4542,0.4546,71205
18,18,1693786680000,0.4547,0.4547,0.4545,0.4545,14528
19,19,1693786740000,0.4546,0.4548,0.4546,0.4548,21469
20,20,1693786800000,0.4547,0.4547,0.4545,0.4546,20908
21,21,1693786860000,0.4546,0.4551,0.4543,0.4551,114187
22,22,1693786920000,0.455,0.4554,0.455,0.4554,20221
23,23,1693786980000,0.4554,0.4555,0.4552,0.4552,25886
24,24,1693787040000,0.4552,0.4552,0.455,0.4551,12624
25,25,1693787100000,0.4551,0.4558,0.4551,0.4553,39166
26,26,1693787160000,0.4552,0.4552,0.4547,0.4549,25164
27,27,1693787220000,0.4549,0.4552,0.4549,0.4551,39642
28,28,1693787280000,0.4552,0.4552,0.4548,0.4548,7331
29,29,1693787340000,0.4548,0.455,0.4548,0.4549,15561
30,30,1693787400000,0.4549,0.4549,0.4546,0.4546,6921
31,31,1693787460000,0.4546,0.4546,0.4543,0.4545,31076
32,32,1693787520000,0.4545,0.4545,0.4544,0.4545,7070
33,33,1693787580000,0.4545,0.4546,0.4545,0.4546,38517
34,34,1693787640000,0.4547,0.4549,0.4546,0.4546,30741
35,35,1693787700000,0.4547,0.4549,0.4547,0.4549,7167
36,36,1693787760000,0.4549,0.4551,0.4549,0.4551,40522
37,37,1693787820000,0.4551,0.4552,0.4551,0.4551,4351
38,38,1693787880000,0.455,0.4552,0.4549,0.4552,21273
39,39,1693787940000,0.4552,0.4555,0.4552,0.4555,10341
40,40,1693788000000,0.4555,0.4556,0.4555,0.4556,31654
41,41,1693788060000,0.4557,0.4557,0.4555,0.4556,8433
42,42,1693788120000,0.4556,0.4558,0.4556,0.4558,11617
43,43,1693788180000,0.4558,0.4558,0.4557,0.4558,12258
44,44,1693788240000,0.4557,0.4563,0.4557,0.4563,14528
45,45,1693788300000,0.4563,0.4568,0.4562,0.4568,20363
46,46,1693788360000,0.4567,0.4567,0.4559,0.456,75279
47,47,1693788420000,0.456,0.4562,0.456,0.4561,21973
48,48,1693788480000,0.4561,0.4562,0.456,0.4562,10544
49,49,1693788540000,0.4562,0.4563,0.4559,0.4562,32873
50,50,1693788600000,0.4562,0.4563,0.4559,0.456,16061
51,51,1693788660000,0.4559,0.4559,0.4555,0.4557,31572
52,52,1693788720000,0.4558,0.4558,0.4554,0.4556,60492
53,53,1693788780000,0.4556,0.4559,0.4556,0.4559,1836
54,54,1693788840000,0.4558,0.4559,0.4558,0.4559,6261
55,55,1693788900000,0.4558,0.4559,0.4556,0.4558,16849
56,56,1693788960000,0.4558,0.4558,0.4543,0.4547,287197
57,57,1693789020000,0.4546,0.4548,0.4545,0.4547,31619
58,58,1693789080000,0.4547,0.4548,0.4543,0.4548,58749
59,59,1693789140000,0.4547,0.4549,0.4547,0.4548,12342
60,60,1693789200000,0.4548,0.4548,0.4544,0.4545,7938
61,61,1693789260000,0.4545,0.4549,0.4545,0.4546,32861
62,62,1693789320000,0.4547,0.4547,0.4544,0.4545,3441
63,63,1693789380000,0.4545,0.4545,0.4543,0.4543,18523
64,64,1693789440000,0.4544,0.4552,0.4544,0.4552,71104
65,65,1693789500000,0.4551,0.4551,0.4549,0.4549,14815
66,66,1693789560000,0.4549,0.4551,0.4549,0.455,33940
67,67,1693789620000,0.4551,0.4551,0.4551,0.4551,968
68,68,1693789680000,0.4551,0.4555,0.4551,0.4555,19932
69,69,1693789740000,0.4554,0.4556,0.4553,0.4555,40192
70,70,1693789800000,0.4554,0.456,0.4554,0.456,31947
71,71,1693789860000,0.456,0.456,0.4558,0.4558,3060
72,72,1693789920000,0.4559,0.4562,0.4559,0.4562,14648
