,index,timestamp,open,high,low,close,volume
0,0,1693872000000,0.4831,0.4836,0.4823,0.4823,410097.0
1,1,1693872060000,0.4823,0.4824,0.4818,0.4823,184680.4
2,2,1693872120000,0.4824,0.4825,0.4817,0.4817,116542.7
3,3,1693872180000,0.4818,0.482,0.4814,0.4816,149867.6
4,4,1693872240000,0.4816,0.4816,0.4813,0.4814,191884.3
5,5,1693872300000,0.4815,0.4818,0.4807,0.481,497372.8
6,6,1693872360000,0.481,0.4812,0.4809,0.481,108749.1
7,7,1693872420000,0.481,0.4817,0.4808,0.4816,150805.8
8,8,1693872480000,0.4816,0.4817,0.4811,0.4812,55208.5
9,9,1693872540000,0.4812,0.4815,0.4811,0.4815,73112.1
10,10,1693872600000,0.4815,0.4816,0.4814,0.4814,33140.1
11,11,1693872660000,0.4814,0.4818,0.4814,0.4817,38389.4
12,12,1693872720000,0.4817,0.4817,0.4811,0.4813,176721.0
13,13,1693872780000,0.4812,0.4818,0.4811,0.4814,171939.4
14,14,1693872840000,0.4813,0.4814,0.4805,0.4806,278068.9
15,15,1693872900000,0.4807,0.4812,0.4805,0.481,312586.0
16,16,1693872960000,0.481,0.481,0.4801,0.4801,137856.6
17,17,1693873020000,0.4801,0.4808,0.48,0.4801,240588.7
18,18,1693873080000,0.4801,0.4804,0.4799,0.4799,136732.1
19,19,1693873140000,0.4799,0.4799,0.4793,0.4794,383061.9
20,20,1693873200000,0.4794,0.4794,0.479,0.4792,117539.3
21,21,1693873260000,0.4791,0.4798,0.4791,0.4793,312194.2
22,22,1693873320000,0.4794,0.4795,0.4781,0.4787,799186.1
23,23,1693873380000,0.4788,0.4788,0.4771,0.4775,639508.3
24,24,1693873440000,0.4776,0.478,0.4774,0.4777,239236.7
25,25,1693873500000,0.4778,0.4781,0.477,0.4772,431263.8
26,26,1693873560000,0.4772,0.4777,0.4771,0.4775,254038.8
27,27,1693873620000,0.4776,0.478,0.4772,0.4779,401414.8
28,28,1693873680000,0.478,0.4781,0.4778,0.478,76907.3
29,29,1693873740000,0.478,0.478,0.4773,0.4776,137676.9
30,30,1693873800000,0.4775,0.4779,0.4774,0.4776,112935.2
31,31,1693873860000,0.4776,0.4785,0.4776,0.4785,154517.4
32,32,1693873920000,0.4785,0.4793,0.4785,0.4791,683558.0
33,33,1693873980000,0.4792,0.4794,0.4789,0.479,203636.2
34,34,1693874040000,0.479,0.4793,0.479,0.4793,84666.8
35,35,1693874100000,0.4793,0.4797,0.4793,0.4794,175445.2
36,36,1693874160000,0.4794,0.4795,0.4792,0.4793,173983.7
37,37,1693874220000,0.4793,0.4793,0.4787,0.4788,93667.3
38,38,1693874280000,0.4788,0.479,0.4786,0.479,79061.7
39,39,1693874340000,0.479,0.479,0.4785,0.4785,51682.5
40,40,1693874400000,0.4785,0.4786,0.478,0.4781,71462.7
41,41,1693874460000,0.478,0.4782,0.478,0.4781,68490.6
42,42,1693874520000,0.4782,0.4785,0.4782,0.4785,52944.8
43,43,1693874580000,0.4786,0.4787,0.4785,0.4785,38304.8
44,44,1693874640000,0.4786,0.4786,0.4781,0.4783,42834.6
45,45,1693874700000,0.4783,0.4787,0.4782,0.4787,74563.4
46,46,1693874760000,0.4786,0.4788,0.4782,0.4783,95127.4
