,index,timestamp,open,high,low,close,volume
0,0,1693612800000,0.5702,0.5715,0.5701,0.5707,99608
1,1,1693612860000,0.5707,0.5707,0.5701,0.5702,23162
2,2,1693612920000,0.5702,0.5705,0.5699,0.5705,38910
3,3,1693612980000,0.5705,0.5705,0.57,0.5702,13268
4,4,1693613040000,0.5701,0.5707,0.5701,0.5702,31617
5,5,1693613100000,0.5702,0.5704,0.5697,0.57,30917
6,6,1693613160000,0.5699,0.5701,0.5698,0.5701,10773
7,7,1693613220000,0.57,0.5709,0.57,0.5709,25155
8,8,1693613280000,0.5709,0.5709,0.5706,0.5707,18961
9,9,1693613340000,0.5708,0.5709,0.5708,0.5708,27248
10,10,1693613400000,0.5708,0.5708,0.5707,0.5708,823
11,11,1693613460000,0.5707,0.571,0.5707,0.5709,9896
12,12,1693613520000,0.5709,0.5713,0.5707,0.5712,9995
13,13,1693613580000,0.5713,0.5715,0.5713,0.5713,9623
14,14,1693613640000,0.5712,0.5712,0.5707,0.5707,9190
15,15,1693613700000,0.5707,0.5707,0.5699,0.5699,20789
16,16,1693613760000,0.5699,0.5702,0.5699,0.5701,30383
17,17,1693613820000,0.57,0.5703,0.57,0.5703,8800
18,18,1693613880000,0.5703,0.5709,0.5703,0.5709,10601
19,19,1693613940000,0.571,0.571,0.5708,0.5708,4592
20,20,1693614000000,0.5708,0.5709,0.5707,0.5708,4727
21,21,1693614060000,0.5709,0.571,0.5709,0.571,1107
22,22,1693614120000,0.5711,0.5717,0.5709,0.5717,21134
23,23,1693614180000,0.5715,0.5724,0.5715,0.5723,11432
24,24,1693614240000,0.5724,0.5729,0.5723,0.5723,22606
25,25,1693614300000,0.5723,0.5724,0.5719,0.5722,15164
26,26,1693614360000,0.5722,0.5724,0.5722,0.5722,3878
27,27,1693614420000,0.5722,0.5726,0.5722,0.5726,6647
28,28,1693614480000,0.5727,0.5732,0.5726,0.573,11759
29,29,1693614540000,0.5731,0.5736,0.5731,0.5734,13946
30,30,1693614600000,0.5733,0.574,0.5733,0.5734,33742
