,index,timestamp,open,high,low,close,volume
0,0,1690848000000,0.346,0.346,0.3455,0.3455,37547.5
1,1,1690848060000,0.3454,0.3456,0.3451,0.3451,92963.3
2,2,1690848120000,0.345,0.3451,0.3449,0.3451,42968.1
3,3,1690848180000,0.3452,0.3454,0.3451,0.3453,25649.5
4,4,1690848240000,0.3454,0.3455,0.3448,0.3449,37499.6
5,5,1690848300000,0.3449,0.3449,0.344,0.344,178738.4
6,6,1690848360000,0.3441,0.3443,0.344,0.3443,139763.2
7,7,1690848420000,0.3444,0.3444,0.344,0.344,21736.3
8,8,1690848480000,0.3441,0.3443,0.344,0.3441,111368.6
9,9,1690848540000,0.3441,0.3443,0.344,0.3443,29304.9
10,10,1690848600000,0.3444,0.3448,0.3444,0.3445,60347.6
11,11,1690848660000,0.3445,0.3445,0.3444,0.3445,13793.4
12,12,1690848720000,0.3445,0.3445,0.3444,0.3444,5056.9
13,13,1690848780000,0.3445,0.3447,0.3444,0.3447,16286.5
14,14,1690848840000,0.3447,0.3448,0.3446,0.3448,6059.6
15,15,1690848900000,0.3449,0.345,0.3448,0.3449,30493.9
16,16,1690848960000,0.3448,0.345,0.3448,0.345,7941.1
17,17,1690849020000,0.345,0.3451,0.345,0.3451,5383.6
18,18,1690849080000,0.345,0.3451,0.3449,0.3449,18095.0
19,19,1690849140000,0.3448,0.3448,0.3446,0.3448,28770.8
20,20,1690849200000,0.3449,0.3452,0.3448,0.3452,22855.3
21,21,1690849260000,0.3453,0.3455,0.3453,0.3454,17782.7
22,22,1690849320000,0.3454,0.3454,0.3453,0.3454,5876.3
23,23,1690849380000,0.3454,0.3455,0.3453,0.3453,7618.0
24,24,1690849440000,0.3452,0.3453,0.345,0.3452,10935.7
25,25,1690849500000,0.3452,0.3454,0.3452,0.3454,7058.7
26,26,1690849560000,0.3453,0.3455,0.3453,0.3453,9756.4
27,27,1690849620000,0.3453,0.3453,0.3451,0.3452,2667.4
28,28,1690849680000,0.3451,0.3451,0.3447,0.3449,53897.9
29,29,1690849740000,0.3449,0.3452,0.3446,0.3451,96104.2
30,30,1690849800000,0.3451,0.3452,0.3442,0.3447,758881.1
31,31,1690849860000,0.3447,0.3447,0.3446,0.3447,44514.8
32,32,1690849920000,0.3447,0.3448,0.3447,0.3448,11281.5
33,33,1690849980000,0.3448,0.3448,0.3447,0.3448,7182.5
34,34,1690850040000,0.3448,0.3448,0.3448,0.3448,2664.4
