,index,timestamp,open,high,low,close,volume
0,0,1694649600000,0.2524,0.2526,0.2522,0.2523,126495.9
1,1,1694649660000,0.2523,0.2529,0.2523,0.2529,75197.8
2,2,1694649720000,0.2529,0.2534,0.2529,0.2534,125239.1
3,3,1694649780000,0.2535,0.2535,0.2529,0.253,113883.4
4,4,1694649840000,0.253,0.2531,0.253,0.253,13974.5
5,5,1694649900000,0.2531,0.2533,0.2531,0.2533,44606.6
6,6,1694649960000,0.2533,0.2533,0.2531,0.2531,14268.3
7,7,1694650020000,0.2532,0.2532,0.2525,0.2525,32023.0
8,8,1694650080000,0.2524,0.2526,0.2523,0.2526,27322.1
9,9,1694650140000,0.2527,0.2527,0.2527,0.2527,5619.6
10,10,1694650200000,0.2527,0.253,0.2527,0.253,13033.9
11,11,1694650260000,0.2529,0.253,0.2528,0.253,26277.7
12,12,1694650320000,0.2529,0.2529,0.2527,0.2527,18838.5
13,13,1694650380000,0.2528,0.2529,0.2527,0.2528,23814.1
14,14,1694650440000,0.2529,0.2539,0.2529,0.2536,97707.5
15,15,1694650500000,0.2535,0.2535,0.2532,0.2532,42460.7
16,16,1694650560000,0.2532,0.2534,0.2532,0.2534,20697.6
17,17,1694650620000,0.2534,0.2534,0.2533,0.2534,5928.3
18,18,1694650680000,0.2535,0.2535,0.2535,0.2535,36554.7
19,19,1694650740000,0.2535,0.2535,0.2533,0.2534,9013.7
20,20,1694650800000,0.2533,0.2533,0.2529,0.2529,26006.0
21,21,1694650860000,0.2529,0.253,0.2528,0.2528,12631.3
22,22,1694650920000,0.2529,0.2531,0.2528,0.2528,85023.4
23,23,1694650980000,0.2527,0.2529,0.2526,0.2528,117152.9
24,24,1694651040000,0.2529,0.253,0.2527,0.2527,33640.8
25,25,1694651100000,0.2527,0.2527,0.2524,0.2524,48329.5
26,26,1694651160000,0.2525,0.2527,0.2525,0.2527,31314.9
27,27,1694651220000,0.2526,0.2526,0.2526,0.2526,40624.2
28,28,1694651280000,0.2527,0.2527,0.2525,0.2527,105180.6
29,29,1694651340000,0.2527,0.2527,0.2525,0.2525,28385.7
30,30,1694651400000,0.2524,0.2525,0.2524,0.2525,41718.9
31,31,1694651460000,0.2524,0.2524,0.2524,0.2524,23448.6
32,32,1694651520000,0.2525,0.2527,0.2525,0.2527,23404.6
33,33,1694651580000,0.2526,0.2527,0.2526,0.2527,13622.6
34,34,1694651640000,0.2527,0.2536,0.2527,0.2536,102541.4
35,35,1694651700000,0.2536,0.2536,0.2533,0.2536,104873.6
36,36,1694651760000,0.2537,0.2542,0.2537,0.2542,41110.8
37,37,1694651820000,0.2541,0.2547,0.2541,0.2547,132381.4
38,38,1694651880000,0.2548,0.2549,0.2545,0.2546,65665.6
39,39,1694651940000,0.2546,0.2549,0.2546,0.2549,41130.2
40,40,1694652000000,0.2549,0.2551,0.2547,0.2547,43243.8
41,41,1694652060000,0.2547,0.2549,0.2547,0.2547,54375.6
42,42,1694652120000,0.2546,0.2546,0.2539,0.254,117912.3
43,43,1694652180000,0.254,0.254,0.2539,0.254,46743.8
44,44,1694652240000,0.2539,0.2539,0.2539,0.2539,1117.3
45,45,1694652300000,0.2539,0.2541,0.2539,0.2541,67532.6
46,46,1694652360000,0.2541,0.2546,0.254,0.2546,28695.1
47,47,1694652420000,0.2546,0.2549,0.2544,0.2546,101641.7
48,48,1694652480000,0.2547,0.2551,0.2546,0.2547,111998.2
49,49,1694652540000,0.2546,0.2547,0.2544,0.2545,42353.0
50,50,1694652600000,0.2545,0.2549,0.2545,0.2549,17101.2
51,51,1694652660000,0.2549,0.2554,0.2548,0.2552,81147.3
52,52,1694652720000,0.2553,0.2557,0.255,0.2556,101039.5
53,53,1694652780000,0.2556,0.2557,0.2555,0.2555,41724.0
54,54,1694652840000,0.2554,0.2562,0.2553,0.256,230087.2
55,55,1694652900000,0.256,0.256,0.2554,0.2556,86511.3
56,56,1694652960000,0.2555,0.2555,0.2553,0.2554,60365.2
57,57,1694653020000,0.2555,0.2557,0.2554,0.2557,93272.4
58,58,1694653080000,0.2557,0.2557,0.2555,0.2555,66506.5
59,59,1694653140000,0.2554,0.256,0.2552,0.2559,128074.8
60,60,1694653200000,0.2558,0.2559,0.2551,0.2552,86653.2
61,61,1694653260000,0.2552,0.2556,0.2549,0.2556,120670.5
62,62,1694653320000,0.2556,0.2556,0.2551,0.2551,78678.8
63,63,1694653380000,0.2551,0.2552,0.2548,0.255,102673.9
64,64,1694653440000,0.255,0.2552,0.2548,0.2552,42586.6
65,65,1694653500000,0.2552,0.2553,0.2548,0.2549,95180.9
66,66,1694653560000,0.2548,0.2549,0.2547,0.2548,79578.9
67,67,1694653620000,0.2547,0.255,0.2546,0.2549,46289.7
68,68,1694653680000,0.2549,0.255,0.2548,0.2548,69317.4
69,69,1694653740000,0.2548,0.2549,0.2546,0.2547,21520.9
70,70,1694653800000,0.2546,0.2547,0.254,0.2541,103542.7
71,71,1694653860000,0.2541,0.2547,0.2541,0.2547,95320.5
72,72,1694653920000,0.2548,0.2548,0.2543,0.2547,43877.8
73,73,1694653980000,0.2547,0.2549,0.2547,0.2549,29450.9
74,74,1694654040000,0.2549,0.255,0.2547,0.2549,18677.8
75,75,1694654100000,0.2549,0.2549,0.2541,0.2541,48700.6
76,76,1694654160000,0.254,0.2543,0.254,0.2543,8154.9
77,77,1694654220000,0.2543,0.2544,0.2539,0.2544,36547.4
78,78,1694654280000,0.2543,0.2543,0.2533,0.2535,180311.4
79,79,1694654340000,0.2536,0.2537,0.2534,0.2536,49194.9
80,80,1694654400000,0.2536,0.2537,0.2529,0.2531,83893.4
81,81,1694654460000,0.2532,0.2536,0.2531,0.2531,27510.3
82,82,1694654520000,0.2531,0.2534,0.2531,0.2531,30062.7
83,83,1694654580000,0.2531,0.2531,0.2529,0.2531,27713.5
84,84,1694654640000,0.253,0.2531,0.2529,0.2531,40645.6
85,85,1694654700000,0.253,0.253,0.2529,0.253,11352.5
86,86,1694654760000,0.253,0.2534,0.2528,0.2534,61729.2
87,87,1694654820000,0.2534,0.2537,0.2534,0.2535,60002.1
88,88,1694654880000,0.2535,0.2536,0.2535,0.2536,4450.8
89,89,1694654940000,0.2537,0.2539,0.2536,0.2539,15744.8
90,90,1694655000000,0.2539,0.2539,0.2536,0.2536,34189.3
91,91,1694655060000,0.2537,0.254,0.2537,0.254,4337.0
92,92,1694655120000,0.254,0.2544,0.2539,0.2543,68388.1
93,93,1694655180000,0.2542,0.2542,0.254,0.254,33668.8
94,94,1694655240000,0.2539,0.2539,0.2538,0.2538,22436.2
95,95,1694655300000,0.2537,0.2539,0.2535,0.2539,31532.4
96,96,1694655360000,0.2538,0.2538,0.2537,0.2537,8269.0
