,index,timestamp,open,high,low,close,volume
0,0,1688169600000,0.7298,0.7317,0.7298,0.7314,44386.1
1,1,1688169660000,0.7313,0.7313,0.7294,0.7296,41370.4
2,2,1688169720000,0.7296,0.7311,0.7295,0.7295,37326.1
3,3,1688169780000,0.7295,0.7303,0.7292,0.7295,41754.7
4,4,1688169840000,0.7295,0.7297,0.7293,0.7295,10795.3
5,5,1688169900000,0.7296,0.7297,0.7284,0.7289,31247.0
6,6,1688169960000,0.729,0.7298,0.729,0.7298,8685.0
7,7,1688170020000,0.7299,0.7304,0.7292,0.7301,21865.5
8,8,1688170080000,0.7302,0.7302,0.7292,0.7295,12657.3
9,9,1688170140000,0.7294,0.7306,0.7294,0.7304,24702.2
10,10,1688170200000,0.7304,0.7305,0.7298,0.7303,21824.6
11,11,1688170260000,0.7302,0.7306,0.7301,0.7301,13890.7
12,12,1688170320000,0.7302,0.7307,0.7291,0.7291,23914.0
13,13,1688170380000,0.7289,0.7289,0.7254,0.7254,65235.9
14,14,1688170440000,0.7253,0.7269,0.7252,0.7269,23644.2
15,15,1688170500000,0.7271,0.728,0.7261,0.728,23993.5
16,16,1688170560000,0.7282,0.7284,0.7269,0.7269,24557.9
17,17,1688170620000,0.7267,0.7277,0.726,0.7273,20521.3
18,18,1688170680000,0.7272,0.7274,0.7268,0.7271,8198.2
19,19,1688170740000,0.7271,0.729,0.7271,0.7281,20724.1
20,20,1688170800000,0.7281,0.7293,0.7274,0.7282,36494.7
21,21,1688170860000,0.728,0.7288,0.727,0.7283,36403.5
22,22,1688170920000,0.7283,0.7293,0.7277,0.729,9581.6
23,23,1688170980000,0.7292,0.7305,0.7292,0.7299,17278.1
24,24,1688171040000,0.7298,0.7302,0.7294,0.7297,12104.5
25,25,1688171100000,0.7297,0.7301,0.7287,0.7291,10550.4
26,26,1688171160000,0.7292,0.7298,0.7286,0.7297,10846.7
27,27,1688171220000,0.7302,0.7305,0.7298,0.7304,9283.7
28,28,1688171280000,0.7305,0.7312,0.7305,0.7312,4581.3
29,29,1688171340000,0.7311,0.7316,0.7311,0.7315,22075.4
30,30,1688171400000,0.7314,0.7322,0.731,0.7322,64990.1
31,31,1688171460000,0.7322,0.7324,0.732,0.7321,10011.9
32,32,1688171520000,0.7322,0.7328,0.732,0.7327,6235.1
33,33,1688171580000,0.7328,0.733,0.7328,0.7328,2984.8
34,34,1688171640000,0.7326,0.7328,0.732,0.7322,13083.5
35,35,1688171700000,0.7321,0.7321,0.7309,0.7318,20724.8
36,36,1688171760000,0.732,0.7321,0.7308,0.7313,4652.5
37,37,1688171820000,0.7312,0.7315,0.731,0.7315,9781.6
38,38,1688171880000,0.7318,0.7328,0.7317,0.7326,7220.0
39,39,1688171940000,0.7327,0.7329,0.7322,0.7327,6089.5
40,40,1688172000000,0.7329,0.7329,0.7315,0.7321,33077.8
41,41,1688172060000,0.7319,0.7323,0.7318,0.7323,6042.0
42,42,1688172120000,0.7324,0.733,0.7323,0.7323,13290.7
43,43,1688172180000,0.7323,0.7323,0.7317,0.7321,14555.8
44,44,1688172240000,0.732,0.7321,0.7318,0.7319,8138.3
45,45,1688172300000,0.7318,0.7318,0.73,0.73,18939.7
46,46,1688172360000,0.7298,0.7302,0.7287,0.7296,42136.1
47,47,1688172420000,0.7295,0.7296,0.729,0.729,7545.4
48,48,1688172480000,0.729,0.7292,0.7284,0.7291,17898.4
49,49,1688172540000,0.729,0.7302,0.7288,0.7296,6604.5
50,50,1688172600000,0.7295,0.7297,0.7288,0.7292,18826.7
51,51,1688172660000,0.7292,0.7296,0.7292,0.7294,3816.7
52,52,1688172720000,0.7293,0.7299,0.7289,0.7296,34168.3
53,53,1688172780000,0.7298,0.7301,0.7283,0.7288,26512.1
54,54,1688172840000,0.7289,0.729,0.7281,0.7281,10628.4
55,55,1688172900000,0.7282,0.7289,0.7274,0.7289,24033.5
56,56,1688172960000,0.7289,0.7289,0.7274,0.7275,9459.9
57,57,1688173020000,0.7275,0.728,0.7272,0.7279,5381.8
58,58,1688173080000,0.7277,0.7281,0.7267,0.7279,11611.1
59,59,1688173140000,0.7278,0.7282,0.7272,0.7279,26352.5
60,60,1688173200000,0.7279,0.7298,0.7279,0.7294,54375.9
61,61,1688173260000,0.7294,0.7294,0.7277,0.7286,88184.2
