,index,timestamp,open,high,low,close,volume
0,0,1693526400000,0.6164,0.6175,0.6161,0.6163,146221.4
1,1,1693526460000,0.6166,0.6176,0.6166,0.6172,38633.5
2,2,1693526520000,0.6172,0.6183,0.6172,0.6182,29083.7
3,3,1693526580000,0.6181,0.6182,0.6169,0.6171,58769.0
4,4,1693526640000,0.6171,0.6175,0.6169,0.6174,13157.7
5,5,1693526700000,0.6174,0.618,0.6173,0.618,27600.0
6,6,1693526760000,0.6179,0.6181,0.6176,0.6177,21725.0
7,7,1693526820000,0.6177,0.6179,0.6174,0.6177,18505.5
8,8,1693526880000,0.6178,0.6179,0.6174,0.6176,12490.5
9,9,1693526940000,0.6177,0.6177,0.6175,0.6177,4352.3
10,10,1693527000000,0.6177,0.618,0.6171,0.6171,10274.3
11,11,1693527060000,0.6172,0.6175,0.617,0.6171,17161.0
12,12,1693527120000,0.6171,0.6173,0.617,0.6173,5628.8
13,13,1693527180000,0.6172,0.6174,0.6171,0.6172,4586.4
14,14,1693527240000,0.6171,0.6172,0.6164,0.617,70820.8
15,15,1693527300000,0.6171,0.6176,0.6169,0.6173,19525.5
16,16,1693527360000,0.6173,0.6176,0.6172,0.6175,14371.0
17,17,1693527420000,0.6176,0.618,0.6176,0.6178,11358.5
18,18,1693527480000,0.6179,0.6184,0.6178,0.6178,9931.3
19,19,1693527540000,0.6178,0.6182,0.6178,0.6179,9969.0
20,20,1693527600000,0.618,0.6184,0.618,0.6183,10244.3
21,21,1693527660000,0.6184,0.6188,0.6184,0.6185,17899.1
22,22,1693527720000,0.6186,0.6187,0.6177,0.6177,16165.1
23,23,1693527780000,0.6178,0.6184,0.6178,0.6178,7056.8
24,24,1693527840000,0.6178,0.618,0.6177,0.6177,3329.3
25,25,1693527900000,0.6177,0.618,0.6172,0.6177,25779.4
26,26,1693527960000,0.6176,0.6178,0.6176,0.6178,3493.6
27,27,1693528020000,0.6178,0.618,0.6177,0.618,5104.4
28,28,1693528080000,0.618,0.6181,0.6178,0.6179,6314.9
29,29,1693528140000,0.618,0.6181,0.6178,0.6179,1376.8
30,30,1693528200000,0.6178,0.6184,0.6178,0.6178,16284.2
31,31,1693528260000,0.6178,0.6181,0.6177,0.618,8453.3
32,32,1693528320000,0.6181,0.6186,0.618,0.6184,16717.3
33,33,1693528380000,0.6184,0.6187,0.6182,0.6187,8561.3
34,34,1693528440000,0.6188,0.6188,0.6184,0.6184,8212.4
35,35,1693528500000,0.6185,0.6188,0.6183,0.6183,17970.8
36,36,1693528560000,0.6183,0.6183,0.618,0.6181,2176.5
37,37,1693528620000,0.618,0.6183,0.618,0.6183,7443.2
38,38,1693528680000,0.6183,0.6184,0.6182,0.6183,1955.0
39,39,1693528740000,0.6183,0.6212,0.6182,0.6203,301016.6
40,40,1693528800000,0.6204,0.6206,0.6202,0.6205,24631.6
41,41,1693528860000,0.6206,0.6214,0.6205,0.6212,35712.9
42,42,1693528920000,0.6213,0.6213,0.6205,0.6205,11149.5
