,index,timestamp,open,high,low,close,volume
0,0,1694390400000,0.01014,0.01016,0.01014,0.01016,304002
1,1,1694390460000,0.01016,0.01017,0.01015,0.01015,304808
2,2,1694390520000,0.01016,0.01016,0.01014,0.01015,767164
3,3,1694390580000,0.01015,0.01016,0.01015,0.01015,268087
4,4,1694390640000,0.01015,0.01016,0.01015,0.01016,262733
5,5,1694390700000,0.01016,0.01017,0.01015,0.01016,440931
6,6,1694390760000,0.01015,0.01016,0.01015,0.01016,31260
7,7,1694390820000,0.01015,0.01015,0.01013,0.01013,786129
8,8,1694390880000,0.01013,0.01016,0.01013,0.01016,739488
9,9,1694390940000,0.01015,0.01015,0.01014,0.01015,186359
10,10,1694391000000,0.01014,0.01015,0.01014,0.01015,292858
11,11,1694391060000,0.01014,0.01015,0.01014,0.01015,197616
12,12,1694391120000,0.01015,0.01016,0.01014,0.01016,512080
13,13,1694391180000,0.01016,0.01018,0.01016,0.01018,413938
14,14,1694391240000,0.01017,0.01018,0.01017,0.01018,98068
15,15,1694391300000,0.01018,0.01018,0.01017,0.01018,177569
16,16,1694391360000,0.01018,0.01018,0.01017,0.01017,70590
17,17,1694391420000,0.01018,0.01018,0.01018,0.01018,2238
18,18,1694391480000,0.01018,0.01018,0.01018,0.01018,61695
19,19,1694391540000,0.01019,0.0102,0.01018,0.01019,608529
20,20,1694391600000,0.01019,0.0102,0.01018,0.0102,313905
21,21,1694391660000,0.01019,0.0102,0.01018,0.01018,292958
22,22,1694391720000,0.01018,0.01018,0.01017,0.01018,378687
23,23,1694391780000,0.01018,0.01018,0.01016,0.01018,70776
24,24,1694391840000,0.01018,0.01018,0.01016,0.01016,258584
25,25,1694391900000,0.01015,0.01017,0.01015,0.01016,239976
26,26,1694391960000,0.01016,0.01016,0.01015,0.01015,60545
27,27,1694392020000,0.01015,0.01015,0.01014,0.01015,85141
28,28,1694392080000,0.01015,0.01015,0.01013,0.01013,366866
29,29,1694392140000,0.01014,0.01015,0.01014,0.01014,404498
30,30,1694392200000,0.01013,0.01014,0.01013,0.01014,144975
31,31,1694392260000,0.01014,0.01016,0.01014,0.01015,757578
32,32,1694392320000,0.01016,0.01016,0.01016,0.01016,1207
33,33,1694392380000,0.01016,0.01017,0.01015,0.01016,648798
34,34,1694392440000,0.01016,0.01016,0.01016,0.01016,460451
35,35,1694392500000,0.01015,0.01016,0.01013,0.01015,479521
36,36,1694392560000,0.01015,0.01015,0.01013,0.01014,728502
37,37,1694392620000,0.01013,0.01014,0.01011,0.01011,960876
38,38,1694392680000,0.01011,0.01011,0.01007,0.01007,807013
39,39,1694392740000,0.01007,0.0101,0.01006,0.01009,1561837
40,40,1694392800000,0.01009,0.0101,0.01008,0.0101,903494
41,41,1694392860000,0.0101,0.0101,0.01009,0.0101,272983
42,42,1694392920000,0.01009,0.01009,0.01008,0.01008,310517
43,43,1694392980000,0.01007,0.01007,0.01005,0.01007,825172
44,44,1694393040000,0.01007,0.01007,0.01007,0.01007,760748
45,45,1694393100000,0.01007,0.01007,0.01005,0.01006,875892
46,46,1694393160000,0.01006,0.01006,0.01,0.01004,2422569
47,47,1694393220000,0.01004,0.01009,0.01004,0.01008,2359782
48,48,1694393280000,0.01007,0.01008,0.01006,0.01007,1162204
49,49,1694393340000,0.01007,0.01009,0.01007,0.01007,366500
50,50,1694393400000,0.01008,0.01009,0.01008,0.01009,198034
51,51,1694393460000,0.0101,0.01012,0.0101,0.0101,515476
52,52,1694393520000,0.0101,0.01011,0.01008,0.0101,2834449
53,53,1694393580000,0.01009,0.0101,0.01009,0.0101,164398
54,54,1694393640000,0.01011,0.01011,0.01011,0.01011,10673
55,55,1694393700000,0.01011,0.01011,0.0101,0.01011,297729
56,56,1694393760000,0.0101,0.01011,0.01009,0.01009,544079
57,57,1694393820000,0.01009,0.0101,0.01009,0.0101,455696
58,58,1694393880000,0.0101,0.0101,0.01007,0.01007,691213
