,index,timestamp,open,high,low,close,volume
0,0,1694390400000,1.2249,1.2273,1.2245,1.226,78762
1,1,1694390460000,1.2261,1.2266,1.2234,1.2234,43360
2,2,1694390520000,1.2234,1.2239,1.222,1.2223,76985
3,3,1694390580000,1.2225,1.2239,1.222,1.2236,41271
4,4,1694390640000,1.2235,1.2249,1.2235,1.2249,29177
5,5,1694390700000,1.2249,1.2262,1.2248,1.2262,46842
6,6,1694390760000,1.2262,1.2262,1.2255,1.2261,11858
7,7,1694390820000,1.226,1.226,1.2227,1.2243,49140
8,8,1694390880000,1.2244,1.2257,1.2244,1.2254,9473
9,9,1694390940000,1.2254,1.2254,1.2241,1.2244,26252
10,10,1694391000000,1.2243,1.2288,1.2243,1.2288,22532
11,11,1694391060000,1.2288,1.2304,1.2285,1.2285,32542
12,12,1694391120000,1.2284,1.2311,1.2284,1.2305,24622
13,13,1694391180000,1.2306,1.2333,1.2306,1.2324,52534
14,14,1694391240000,1.2325,1.2375,1.2325,1.2363,80196
15,15,1694391300000,1.2366,1.2399,1.2365,1.2391,71635
16,16,1694391360000,1.2392,1.2408,1.237,1.2383,70872
17,17,1694391420000,1.2385,1.2394,1.2347,1.2352,54988
18,18,1694391480000,1.2353,1.2358,1.2339,1.2346,38232
19,19,1694391540000,1.2348,1.2358,1.2333,1.2347,73017
20,20,1694391600000,1.2348,1.2405,1.2348,1.2404,53358
21,21,1694391660000,1.2404,1.2415,1.2363,1.2368,63828
22,22,1694391720000,1.237,1.2397,1.2368,1.2391,45908
23,23,1694391780000,1.2394,1.2403,1.2385,1.2394,36495
24,24,1694391840000,1.2394,1.2401,1.2375,1.2395,19145
25,25,1694391900000,1.2395,1.2404,1.2388,1.2388,19692
26,26,1694391960000,1.2386,1.2396,1.2359,1.2362,16819
27,27,1694392020000,1.2361,1.2385,1.2353,1.2381,28765
28,28,1694392080000,1.2382,1.2382,1.236,1.2364,14929
29,29,1694392140000,1.2367,1.2373,1.2351,1.2368,23086
30,30,1694392200000,1.2369,1.2373,1.2364,1.2371,23462
31,31,1694392260000,1.237,1.2397,1.237,1.239,32972
32,32,1694392320000,1.239,1.2415,1.239,1.2414,44460
33,33,1694392380000,1.2415,1.2429,1.2409,1.2417,47486
34,34,1694392440000,1.2417,1.242,1.2376,1.2376,155353
35,35,1694392500000,1.2377,1.24,1.2359,1.2391,43156
36,36,1694392560000,1.2392,1.2406,1.2378,1.2383,42086
37,37,1694392620000,1.2382,1.2395,1.2371,1.2381,59842
38,38,1694392680000,1.2378,1.2381,1.2293,1.2326,156172
39,39,1694392740000,1.2326,1.2347,1.2295,1.2345,108508
40,40,1694392800000,1.2347,1.2364,1.2325,1.2361,94617
41,41,1694392860000,1.2363,1.2363,1.2323,1.2348,51812
42,42,1694392920000,1.2347,1.2347,1.2318,1.2335,90597
43,43,1694392980000,1.2334,1.2334,1.227,1.2288,72308
44,44,1694393040000,1.229,1.2292,1.2268,1.228,61451
45,45,1694393100000,1.228,1.2284,1.2255,1.2271,64744
46,46,1694393160000,1.227,1.227,1.2214,1.2237,129203
47,47,1694393220000,1.2241,1.23,1.2239,1.2292,109667
