,index,timestamp,open,high,low,close,volume
0,0,1690848000000,12.15,12.16,12.14,12.14,2108.9
1,1,1690848060000,12.13,12.15,12.13,12.15,631.7
2,2,1690848120000,12.14,12.15,12.14,12.15,1120.3
3,3,1690848180000,12.16,12.17,12.16,12.17,874.7
4,4,1690848240000,12.17,12.17,12.16,12.16,53.3
5,5,1690848300000,12.16,12.16,12.1,12.11,2796.1
6,6,1690848360000,12.11,12.13,12.11,12.12,1133.8
7,7,1690848420000,12.12,12.12,12.11,12.12,783.5
8,8,1690848480000,12.11,12.12,12.11,12.11,54.8
9,9,1690848540000,12.12,12.13,12.11,12.13,175.1
10,10,1690848600000,12.13,12.16,12.13,12.14,1645.8
11,11,1690848660000,12.14,12.16,12.14,12.16,290.2
12,12,1690848720000,12.15,12.16,12.15,12.15,279.3
13,13,1690848780000,12.15,12.16,12.15,12.16,144.8
14,14,1690848840000,12.16,12.16,12.15,12.15,509.0
15,15,1690848900000,12.16,12.17,12.16,12.17,396.9
16,16,1690848960000,12.17,12.17,12.16,12.16,141.9
17,17,1690849020000,12.16,12.16,12.16,12.16,34.3
18,18,1690849080000,12.16,12.16,12.16,12.16,206.7
19,19,1690849140000,12.15,12.16,12.14,12.15,843.0
20,20,1690849200000,12.16,12.17,12.15,12.17,538.6
21,21,1690849260000,12.17,12.2,12.17,12.19,341.7
22,22,1690849320000,12.2,12.21,12.18,12.18,990.2
23,23,1690849380000,12.18,12.2,12.18,12.19,632.6
24,24,1690849440000,12.19,12.19,12.18,12.18,154.8
25,25,1690849500000,12.18,12.21,12.18,12.21,1347.2
26,26,1690849560000,12.2,12.22,12.2,12.2,712.9
27,27,1690849620000,12.19,12.2,12.19,12.19,271.9
28,28,1690849680000,12.19,12.19,12.18,12.18,1475.5
29,29,1690849740000,12.18,12.19,12.17,12.19,1208.6
30,30,1690849800000,12.18,12.19,12.17,12.19,2045.2
31,31,1690849860000,12.18,12.19,12.18,12.18,168.5
32,32,1690849920000,12.19,12.19,12.18,12.18,11.3
33,33,1690849980000,12.19,12.19,12.18,12.18,24.5
34,34,1690850040000,12.18,12.18,12.18,12.18,9.1
35,35,1690850100000,12.19,12.21,12.19,12.21,171.1
36,36,1690850160000,12.2,12.2,12.19,12.2,1080.5
37,37,1690850220000,12.19,12.19,12.19,12.19,10.3
38,38,1690850280000,12.19,12.19,12.19,12.19,359.1
39,39,1690850340000,12.19,12.21,12.19,12.21,141.0
40,40,1690850400000,12.21,12.21,12.2,12.2,178.9
41,41,1690850460000,12.2,12.21,12.2,12.21,746.2
42,42,1690850520000,12.21,12.21,12.21,12.21,24.0
43,43,1690850580000,12.22,12.22,12.21,12.21,256.8
44,44,1690850640000,12.21,12.21,12.2,12.2,588.7
45,45,1690850700000,12.21,12.21,12.2,12.2,205.4
46,46,1690850760000,12.2,12.2,12.2,12.2,0.0
47,47,1690850820000,12.2,12.21,12.2,12.21,521.3
48,48,1690850880000,12.21,12.22,12.21,12.22,106.5
49,49,1690850940000,12.21,12.23,12.21,12.22,117.8
50,50,1690851000000,12.22,12.22,12.22,12.22,517.7
51,51,1690851060000,12.22,12.22,12.22,12.22,5.1
52,52,1690851120000,12.22,12.22,12.2,12.21,421.2
53,53,1690851180000,12.21,12.21,12.19,12.21,592.3
54,54,1690851240000,12.21,12.21,12.2,12.21,34.7
55,55,1690851300000,12.21,12.21,12.2,12.2,13.4
56,56,1690851360000,12.21,12.21,12.2,12.2,4.9
57,57,1690851420000,12.21,12.24,12.21,12.23,910.8
58,58,1690851480000,12.24,12.24,12.23,12.23,72.2
59,59,1690851540000,12.23,12.23,12.22,12.23,968.4
