,index,timestamp,open,high,low,close,volume
0,0,1694131200000,0.03209,0.03217,0.03209,0.03213,378219
1,1,1694131260000,0.03213,0.03213,0.0321,0.0321,270644
2,2,1694131320000,0.0321,0.0321,0.03204,0.03204,234653
3,3,1694131380000,0.03204,0.03204,0.03201,0.03201,45861
4,4,1694131440000,0.03202,0.03205,0.032,0.03201,129162
5,5,1694131500000,0.032,0.03203,0.032,0.03201,87328
6,6,1694131560000,0.03202,0.03202,0.032,0.032,36126
7,7,1694131620000,0.032,0.03201,0.03194,0.03194,420851
8,8,1694131680000,0.03194,0.03196,0.03194,0.03196,32967
9,9,1694131740000,0.03196,0.03196,0.0319,0.03195,542831
10,10,1694131800000,0.03194,0.03195,0.03193,0.03194,37505
11,11,1694131860000,0.03194,0.03195,0.03191,0.03193,44934
12,12,1694131920000,0.03191,0.03194,0.0319,0.0319,224795
13,13,1694131980000,0.03191,0.03193,0.03191,0.03193,12578
14,14,1694132040000,0.03194,0.03194,0.03191,0.03191,80310
15,15,1694132100000,0.03191,0.03191,0.03189,0.03191,127118
16,16,1694132160000,0.03191,0.03192,0.03186,0.03191,360609
17,17,1694132220000,0.03191,0.03193,0.03185,0.0319,737751
18,18,1694132280000,0.0319,0.0319,0.03189,0.03189,3769
19,19,1694132340000,0.03189,0.03196,0.03185,0.0319,863698
20,20,1694132400000,0.03189,0.03193,0.03189,0.03192,100628
21,21,1694132460000,0.03191,0.03198,0.0319,0.03197,195015
22,22,1694132520000,0.03197,0.03202,0.03197,0.032,539424
23,23,1694132580000,0.032,0.03201,0.032,0.032,29163
24,24,1694132640000,0.03201,0.03202,0.03201,0.03202,42158
25,25,1694132700000,0.03202,0.03207,0.03201,0.03207,142959
26,26,1694132760000,0.03207,0.03212,0.03206,0.03212,229190
27,27,1694132820000,0.03211,0.03212,0.03208,0.03208,101435
28,28,1694132880000,0.03208,0.03208,0.03203,0.03204,191894
29,29,1694132940000,0.03205,0.03209,0.03205,0.03208,183279
30,30,1694133000000,0.03209,0.03213,0.03209,0.03211,202130
31,31,1694133060000,0.03211,0.03213,0.03209,0.03213,151377
32,32,1694133120000,0.03213,0.03215,0.03213,0.03215,68333
33,33,1694133180000,0.03214,0.03218,0.03213,0.03218,145562
34,34,1694133240000,0.03219,0.03221,0.03218,0.0322,343880
35,35,1694133300000,0.0322,0.03223,0.0322,0.03221,210000
36,36,1694133360000,0.03222,0.03229,0.03222,0.03225,443497
37,37,1694133420000,0.03224,0.03229,0.03224,0.03227,177562
38,38,1694133480000,0.03227,0.03228,0.03223,0.03227,284095
39,39,1694133540000,0.03226,0.03231,0.03225,0.03227,457061
40,40,1694133600000,0.03228,0.03233,0.03228,0.03233,90635
41,41,1694133660000,0.03233,0.03234,0.03231,0.03233,215151
42,42,1694133720000,0.03233,0.03237,0.03232,0.03232,433332
43,43,1694133780000,0.03232,0.03235,0.03232,0.03235,201304
44,44,1694133840000,0.03236,0.03236,0.03232,0.03234,432080
45,45,1694133900000,0.03234,0.03237,0.03233,0.03236,141968
46,46,1694133960000,0.03236,0.03237,0.03235,0.03235,155412
47,47,1694134020000,0.03236,0.03238,0.03235,0.03235,93406
48,48,1694134080000,0.03235,0.03236,0.0323,0.03231,1337985
49,49,1694134140000,0.0323,0.03233,0.03225,0.03227,858085
50,50,1694134200000,0.03226,0.03227,0.03223,0.03226,281460
51,51,1694134260000,0.03227,0.03234,0.03227,0.03233,208438
52,52,1694134320000,0.03233,0.03235,0.03232,0.03235,119328
53,53,1694134380000,0.03235,0.03236,0.03235,0.03235,77028
54,54,1694134440000,0.03236,0.03241,0.03236,0.03239,263069
55,55,1694134500000,0.03238,0.03241,0.03238,0.03239,115802
56,56,1694134560000,0.0324,0.03243,0.03239,0.03242,294224
57,57,1694134620000,0.03242,0.03244,0.03241,0.03243,113324
58,58,1694134680000,0.03244,0.03252,0.03239,0.0324,692226
59,59,1694134740000,0.0324,0.03241,0.03234,0.03235,211672
60,60,1694134800000,0.03236,0.03246,0.03236,0.03243,495649
61,61,1694134860000,0.03243,0.03244,0.03232,0.03235,774582
62,62,1694134920000,0.03235,0.03235,0.03227,0.03227,570223
63,63,1694134980000,0.03227,0.03229,0.0322,0.03227,669730
64,64,1694135040000,0.03227,0.0323,0.03226,0.03228,243770
65,65,1694135100000,0.03229,0.0323,0.03221,0.03221,247247
66,66,1694135160000,0.03221,0.03222,0.03214,0.03218,994443
67,67,1694135220000,0.03218,0.03218,0.03205,0.03212,915275
68,68,1694135280000,0.03213,0.03213,0.03201,0.0321,1560194
69,69,1694135340000,0.03209,0.03212,0.03209,0.03211,142849
70,70,1694135400000,0.0321,0.0321,0.032,0.03208,853783
71,71,1694135460000,0.03209,0.03216,0.03209,0.03216,287831
72,72,1694135520000,0.03215,0.03216,0.03214,0.03214,193830
73,73,1694135580000,0.03213,0.03213,0.03209,0.03211,229645
74,74,1694135640000,0.03212,0.03213,0.03208,0.03211,328877
75,75,1694135700000,0.03211,0.03213,0.03211,0.03213,68154
76,76,1694135760000,0.03213,0.03214,0.03211,0.03211,305541
77,77,1694135820000,0.03212,0.03222,0.03212,0.03216,589521
78,78,1694135880000,0.03216,0.03219,0.03213,0.03216,186017
79,79,1694135940000,0.03216,0.03221,0.03216,0.0322,408254
80,80,1694136000000,0.0322,0.0322,0.03213,0.03215,438939
81,81,1694136060000,0.03215,0.03217,0.03203,0.03209,919637
82,82,1694136120000,0.0321,0.03212,0.03209,0.03209,175430
83,83,1694136180000,0.0321,0.03215,0.0321,0.03213,635302
84,84,1694136240000,0.03213,0.03213,0.03211,0.03212,56849
85,85,1694136300000,0.03214,0.03215,0.03206,0.03209,436021
86,86,1694136360000,0.03211,0.03216,0.03209,0.0321,478237
87,87,1694136420000,0.0321,0.0321,0.03208,0.03208,123683
88,88,1694136480000,0.03207,0.03207,0.03204,0.03207,114629
89,89,1694136540000,0.03207,0.03207,0.03205,0.03207,69589
90,90,1694136600000,0.03207,0.0321,0.03205,0.0321,193798
91,91,1694136660000,0.0321,0.0321,0.0321,0.0321,4617
92,92,1694136720000,0.03211,0.03217,0.03211,0.03215,310981
93,93,1694136780000,0.03213,0.03218,0.03213,0.03215,459942
94,94,1694136840000,0.03215,0.03222,0.03215,0.03221,335651
95,95,1694136900000,0.03221,0.03223,0.03219,0.03222,124306
96,96,1694136960000,0.03223,0.03224,0.03223,0.03224,14644
97,97,1694137020000,0.03223,0.03223,0.03223,0.03223,77711
98,98,1694137080000,0.03222,0.03222,0.03219,0.03219,46288
99,99,1694137140000,0.03219,0.03219,0.03214,0.03216,447085
100,100,1694137200000,0.03216,0.03217,0.03215,0.03215,100268
101,101,1694137260000,0.03215,0.03215,0.03214,0.03214,69976
102,102,1694137320000,0.03214,0.03215,0.03214,0.03215,180915
103,103,1694137380000,0.03214,0.03217,0.03214,0.03215,236583
104,104,1694137440000,0.03215,0.03217,0.03214,0.03214,213962
105,105,1694137500000,0.03214,0.03214,0.0321,0.03211,804007
106,106,1694137560000,0.0321,0.03211,0.03208,0.03208,91614
107,107,1694137620000,0.03207,0.03207,0.03204,0.03206,163894
108,108,1694137680000,0.03206,0.03207,0.03203,0.03207,161580
109,109,1694137740000,0.03206,0.03207,0.03206,0.03207,64874
110,110,1694137800000,0.03206,0.03208,0.03202,0.03206,210653
111,111,1694137860000,0.03205,0.03206,0.03204,0.03206,173155
112,112,1694137920000,0.03207,0.03208,0.03206,0.03207,92628
113,113,1694137980000,0.03207,0.03207,0.03203,0.03206,284890
114,114,1694138040000,0.03206,0.03206,0.03203,0.03203,266589
115,115,1694138100000,0.03203,0.03207,0.03203,0.03205,145948
116,116,1694138160000,0.03205,0.03205,0.03204,0.03204,17807
117,117,1694138220000,0.03204,0.03204,0.03203,0.03203,48588
118,118,1694138280000,0.03204,0.03204,0.03203,0.03203,8096
119,119,1694138340000,0.03203,0.03204,0.03203,0.03204,548019
120,120,1694138400000,0.03203,0.03208,0.03203,0.03206,411162
121,121,1694138460000,0.03206,0.03208,0.03205,0.03208,149503
122,122,1694138520000,0.03208,0.03208,0.03207,0.03208,7824
123,123,1694138580000,0.03207,0.03208,0.03205,0.03208,105763
124,124,1694138640000,0.03207,0.03214,0.03207,0.03211,975991
125,125,1694138700000,0.03211,0.03214,0.03211,0.03213,220673
126,126,1694138760000,0.03213,0.03213,0.03211,0.03211,81681
127,127,1694138820000,0.03211,0.03211,0.03209,0.0321,97520
128,128,1694138880000,0.0321,0.03215,0.0321,0.03214,574293
