,index,timestamp,open,high,low,close,volume
0,0,1688169600000,0.07613,0.07613,0.07568,0.07606,10303997
1,1,1688169660000,0.07605,0.07605,0.076,0.07601,587609
2,2,1688169720000,0.07602,0.07608,0.07602,0.07604,804353
3,3,1688169780000,0.07604,0.07607,0.07604,0.07606,307187
4,4,1688169840000,0.07606,0.07611,0.07606,0.07611,375317
5,5,1688169900000,0.0761,0.07611,0.07606,0.07607,591536
6,6,1688169960000,0.07608,0.07614,0.07608,0.07613,159339
7,7,1688170020000,0.07614,0.0762,0.07614,0.0762,505921
8,8,1688170080000,0.07621,0.07622,0.07618,0.07619,713781
9,9,1688170140000,0.07619,0.07627,0.07618,0.07626,362772
10,10,1688170200000,0.07626,0.07626,0.07623,0.07624,142905
11,11,1688170260000,0.07624,0.07628,0.07623,0.07626,431021
12,12,1688170320000,0.07625,0.07637,0.07625,0.07632,1265463
13,13,1688170380000,0.07633,0.07634,0.07621,0.07623,1428399
14,14,1688170440000,0.07624,0.07634,0.07622,0.07631,1796683
15,15,1688170500000,0.07631,0.07638,0.0763,0.07637,1159027
16,16,1688170560000,0.07637,0.0764,0.07634,0.07636,994210
17,17,1688170620000,0.07635,0.07636,0.07629,0.07633,739224
18,18,1688170680000,0.07633,0.07635,0.0763,0.07634,233043
19,19,1688170740000,0.07634,0.07639,0.07632,0.07637,559325
20,20,1688170800000,0.07637,0.07639,0.07627,0.07627,448455
21,21,1688170860000,0.07628,0.07636,0.07627,0.07635,887689
22,22,1688170920000,0.07636,0.07639,0.07632,0.07636,413216
23,23,1688170980000,0.07636,0.07641,0.07636,0.07638,637699
24,24,1688171040000,0.07639,0.07643,0.07638,0.07641,620363
25,25,1688171100000,0.0764,0.07641,0.07634,0.07634,642295
26,26,1688171160000,0.07634,0.07637,0.07629,0.07637,422147
27,27,1688171220000,0.07637,0.07641,0.07636,0.0764,453939
28,28,1688171280000,0.0764,0.07643,0.07639,0.07641,309483
29,29,1688171340000,0.07641,0.07641,0.07636,0.07638,588826
30,30,1688171400000,0.07639,0.07641,0.07636,0.0764,284258
31,31,1688171460000,0.07641,0.07645,0.07641,0.07643,686390
32,32,1688171520000,0.07643,0.07646,0.07642,0.07645,63880
33,33,1688171580000,0.07645,0.07647,0.07643,0.07644,223745
34,34,1688171640000,0.07645,0.07645,0.07643,0.07643,139763
35,35,1688171700000,0.07642,0.07644,0.07639,0.07644,343446
36,36,1688171760000,0.07645,0.07645,0.07641,0.07642,185722
37,37,1688171820000,0.07642,0.07643,0.0764,0.07642,187806
