,index,timestamp,open,high,low,close,volume
0,0,1694563200000,0.08069,0.08077,0.08066,0.08075,5934521
1,1,1694563260000,0.08075,0.08077,0.08074,0.08074,493109
2,2,1694563320000,0.08074,0.08075,0.08071,0.08071,828820
3,3,1694563380000,0.08071,0.08072,0.08067,0.08069,1382128
4,4,1694563440000,0.0807,0.0807,0.08063,0.08063,512664
5,5,1694563500000,0.08062,0.08065,0.08061,0.08065,921898
6,6,1694563560000,0.08065,0.08065,0.08063,0.08064,229442
7,7,1694563620000,0.08064,0.0807,0.08061,0.0807,349111
8,8,1694563680000,0.0807,0.08072,0.08068,0.08071,311768
9,9,1694563740000,0.08071,0.08078,0.08071,0.08077,386715
10,10,1694563800000,0.08078,0.08078,0.08077,0.08077,88914
11,11,1694563860000,0.08078,0.08082,0.08076,0.08081,550191
12,12,1694563920000,0.08082,0.08083,0.0808,0.0808,346836
13,13,1694563980000,0.0808,0.08081,0.08079,0.08079,212683
14,14,1694564040000,0.08079,0.08079,0.08074,0.08074,338044
15,15,1694564100000,0.08074,0.08075,0.08072,0.08074,413307
16,16,1694564160000,0.08074,0.08077,0.08074,0.08077,574779
17,17,1694564220000,0.08076,0.08079,0.08074,0.08078,242291
18,18,1694564280000,0.08078,0.08079,0.08075,0.08078,542567
19,19,1694564340000,0.08078,0.08078,0.08075,0.08078,257782
20,20,1694564400000,0.08078,0.08079,0.08078,0.08079,165237
21,21,1694564460000,0.08078,0.08081,0.08077,0.08081,267803
22,22,1694564520000,0.0808,0.08083,0.0808,0.08082,210531
23,23,1694564580000,0.08082,0.08087,0.08082,0.08086,443796
24,24,1694564640000,0.08086,0.08093,0.08086,0.08093,847445
25,25,1694564700000,0.08092,0.08094,0.08091,0.08092,588930
26,26,1694564760000,0.08092,0.08092,0.08091,0.08092,273768
27,27,1694564820000,0.08092,0.08093,0.08092,0.08092,291967
28,28,1694564880000,0.08092,0.08092,0.08091,0.08092,124734
29,29,1694564940000,0.08092,0.08092,0.0809,0.08091,287571
