,index,timestamp,open,high,low,close,volume
0,0,1693785600000,0.0172,0.01721,0.0172,0.01721,57770
1,1,1693785660000,0.0172,0.01721,0.01719,0.01719,220605
2,2,1693785720000,0.0172,0.0172,0.01717,0.0172,997104
3,3,1693785780000,0.01721,0.01721,0.0172,0.0172,182684
4,4,1693785840000,0.0172,0.0172,0.01719,0.01719,91805
5,5,1693785900000,0.0172,0.0172,0.01719,0.01719,12550
6,6,1693785960000,0.01719,0.01719,0.01714,0.01715,1242854
7,7,1693786020000,0.01714,0.01714,0.01713,0.01714,231453
8,8,1693786080000,0.01713,0.01713,0.01709,0.0171,1964760
9,9,1693786140000,0.0171,0.01711,0.0171,0.01711,254638
10,10,1693786200000,0.01711,0.01711,0.01709,0.01709,56183
11,11,1693786260000,0.01709,0.01709,0.01709,0.01709,90765
12,12,1693786320000,0.01709,0.0171,0.01707,0.01708,1443294
13,13,1693786380000,0.01709,0.01711,0.01709,0.0171,211210
14,14,1693786440000,0.0171,0.01711,0.0171,0.01711,39234
15,15,1693786500000,0.0171,0.0171,0.0171,0.0171,107074
16,16,1693786560000,0.0171,0.0171,0.01708,0.01709,106482
17,17,1693786620000,0.01709,0.01709,0.01709,0.01709,17383
18,18,1693786680000,0.0171,0.01713,0.0171,0.01712,405357
19,19,1693786740000,0.01712,0.01712,0.01712,0.01712,590
20,20,1693786800000,0.01712,0.01712,0.01711,0.01711,7474
21,21,1693786860000,0.01712,0.01714,0.01712,0.01713,210033
22,22,1693786920000,0.01713,0.01713,0.01713,0.01713,22047
23,23,1693786980000,0.01714,0.01714,0.01714,0.01714,60923
24,24,1693787040000,0.01713,0.01713,0.01712,0.01712,19674
25,25,1693787100000,0.01713,0.01715,0.01713,0.01714,52046
26,26,1693787160000,0.01714,0.01714,0.01713,0.01714,266978
27,27,1693787220000,0.01714,0.01714,0.01714,0.01714,38202
28,28,1693787280000,0.01714,0.01714,0.01714,0.01714,78675
29,29,1693787340000,0.01714,0.01714,0.01714,0.01714,21876
30,30,1693787400000,0.01714,0.01714,0.01713,0.01713,12242
31,31,1693787460000,0.01714,0.01714,0.01714,0.01714,617
32,32,1693787520000,0.01713,0.01713,0.01713,0.01713,16340
33,33,1693787580000,0.01714,0.01714,0.01713,0.01713,53656
34,34,1693787640000,0.01713,0.01713,0.01712,0.01712,63080
35,35,1693787700000,0.01712,0.01713,0.01712,0.01712,198789
36,36,1693787760000,0.01711,0.01711,0.01711,0.01711,65999
37,37,1693787820000,0.0171,0.0171,0.01709,0.01709,139952
38,38,1693787880000,0.01709,0.0171,0.01708,0.0171,255123
39,39,1693787940000,0.0171,0.01711,0.0171,0.01711,82821
40,40,1693788000000,0.01712,0.01713,0.01712,0.01713,239629
41,41,1693788060000,0.01713,0.01713,0.01713,0.01713,48488
42,42,1693788120000,0.01714,0.01715,0.01714,0.01714,92146
43,43,1693788180000,0.01714,0.01714,0.01714,0.01714,0
44,44,1693788240000,0.01715,0.01717,0.01715,0.01717,234071
45,45,1693788300000,0.01717,0.01717,0.01716,0.01716,3824
46,46,1693788360000,0.01716,0.01716,0.01713,0.01713,531956
47,47,1693788420000,0.01714,0.01714,0.01714,0.01714,58315
48,48,1693788480000,0.01714,0.01714,0.01714,0.01714,13318
49,49,1693788540000,0.01714,0.01714,0.01714,0.01714,14844
50,50,1693788600000,0.01714,0.01714,0.01713,0.01713,10559
51,51,1693788660000,0.01713,0.01713,0.01713,0.01713,191680
52,52,1693788720000,0.01712,0.01714,0.0171,0.01714,1086947
53,53,1693788780000,0.01714,0.01714,0.01713,0.01714,128613
54,54,1693788840000,0.01713,0.01713,0.01713,0.01713,9632
55,55,1693788900000,0.01712,0.01713,0.0171,0.01713,528874
56,56,1693788960000,0.01712,0.01712,0.01711,0.01711,150000
57,57,1693789020000,0.01712,0.01713,0.01712,0.01713,21359
58,58,1693789080000,0.01713,0.01714,0.01712,0.01714,8172
59,59,1693789140000,0.01714,0.01714,0.01714,0.01714,38801
60,60,1693789200000,0.01713,0.01714,0.01712,0.01712,73014
61,61,1693789260000,0.01713,0.01713,0.01712,0.01713,12217
62,62,1693789320000,0.01713,0.01713,0.01713,0.01713,3588
63,63,1693789380000,0.01713,0.01713,0.01712,0.01712,429
64,64,1693789440000,0.01713,0.01714,0.01713,0.01714,30934
65,65,1693789500000,0.01714,0.01714,0.01713,0.01714,8405
66,66,1693789560000,0.01714,0.01714,0.01714,0.01714,161935
67,67,1693789620000,0.01714,0.01714,0.01714,0.01714,562
68,68,1693789680000,0.01714,0.01714,0.01714,0.01714,8942
69,69,1693789740000,0.01715,0.01716,0.01715,0.01716,120859
70,70,1693789800000,0.01715,0.01715,0.01715,0.01715,2198
71,71,1693789860000,0.01716,0.01716,0.01716,0.01716,4678
72,72,1693789920000,0.01716,0.01716,0.01716,0.01716,0
73,73,1693789980000,0.01716,0.01716,0.01716,0.01716,58950
74,74,1693790040000,0.01716,0.01716,0.01716,0.01716,0
75,75,1693790100000,0.01717,0.01717,0.01717,0.01717,16463
76,76,1693790160000,0.01718,0.01718,0.01716,0.01717,481536
77,77,1693790220000,0.01717,0.01718,0.01717,0.01718,19800
78,78,1693790280000,0.01718,0.01718,0.01717,0.01718,7968
79,79,1693790340000,0.01717,0.01717,0.01716,0.01717,158858
80,80,1693790400000,0.01717,0.01717,0.01714,0.01714,81687
81,81,1693790460000,0.01713,0.01715,0.01713,0.01714,322766
82,82,1693790520000,0.01714,0.01714,0.01714,0.01714,0
83,83,1693790580000,0.01713,0.01713,0.01711,0.01711,55157
84,84,1693790640000,0.01712,0.01714,0.01712,0.01714,812966
85,85,1693790700000,0.01714,0.01714,0.01713,0.01713,204303
86,86,1693790760000,0.01713,0.01713,0.01713,0.01713,3619
87,87,1693790820000,0.01713,0.01713,0.01713,0.01713,13444
88,88,1693790880000,0.01713,0.01713,0.01713,0.01713,326
89,89,1693790940000,0.01712,0.01712,0.01705,0.01709,1229072
90,90,1693791000000,0.01709,0.01709,0.01708,0.01708,49607
91,91,1693791060000,0.01708,0.01708,0.01708,0.01708,0
92,92,1693791120000,0.01709,0.0171,0.01708,0.01708,210215
93,93,1693791180000,0.01707,0.01707,0.01706,0.01707,43936
94,94,1693791240000,0.01707,0.01708,0.01707,0.01708,273331
95,95,1693791300000,0.01708,0.01709,0.01708,0.01708,11797
96,96,1693791360000,0.01709,0.0171,0.01709,0.0171,137363
97,97,1693791420000,0.01709,0.01709,0.01709,0.01709,20937
98,98,1693791480000,0.01708,0.01708,0.01707,0.01707,18584
99,99,1693791540000,0.01708,0.01708,0.01708,0.01708,52363
100,100,1693791600000,0.01709,0.0171,0.01709,0.01709,51104
101,101,1693791660000,0.01708,0.01708,0.01708,0.01708,7363
102,102,1693791720000,0.01709,0.01709,0.01709,0.01709,20522
103,103,1693791780000,0.0171,0.0171,0.0171,0.0171,130990
104,104,1693791840000,0.0171,0.0171,0.0171,0.0171,0
105,105,1693791900000,0.01711,0.01711,0.0171,0.0171,18107
106,106,1693791960000,0.0171,0.0171,0.0171,0.0171,29603
107,107,1693792020000,0.0171,0.0171,0.0171,0.0171,0
108,108,1693792080000,0.0171,0.0171,0.0171,0.0171,41581
109,109,1693792140000,0.01711,0.01711,0.01709,0.01709,39673
110,110,1693792200000,0.01709,0.0171,0.01709,0.0171,45512
111,111,1693792260000,0.0171,0.0171,0.0171,0.0171,292
112,112,1693792320000,0.01709,0.01709,0.01709,0.01709,20998
113,113,1693792380000,0.01709,0.0171,0.01709,0.0171,52493
114,114,1693792440000,0.0171,0.01711,0.0171,0.01711,94662
115,115,1693792500000,0.0171,0.0171,0.0171,0.0171,38763
116,116,1693792560000,0.01711,0.01712,0.0171,0.01712,354974
117,117,1693792620000,0.01712,0.01713,0.01712,0.01713,146844
118,118,1693792680000,0.01712,0.01713,0.01712,0.01713,120769
119,119,1693792740000,0.01712,0.01714,0.01712,0.01712,49241
120,120,1693792800000,0.01712,0.01713,0.01712,0.01713,308112
121,121,1693792860000,0.01713,0.01713,0.01712,0.01712,3035
122,122,1693792920000,0.01713,0.01713,0.01712,0.01712,2553
123,123,1693792980000,0.01712,0.01712,0.01712,0.01712,140567
124,124,1693793040000,0.01711,0.01712,0.01711,0.01712,41085
125,125,1693793100000,0.01712,0.01712,0.01712,0.01712,7829
126,126,1693793160000,0.01711,0.01711,0.01711,0.01711,224455
127,127,1693793220000,0.01711,0.01711,0.01709,0.01709,42835
128,128,1693793280000,0.0171,0.0171,0.0171,0.0171,54250
129,129,1693793340000,0.0171,0.0171,0.0171,0.0171,38014
130,130,1693793400000,0.01711,0.01711,0.0171,0.0171,55757
131,131,1693793460000,0.0171,0.0171,0.0171,0.0171,28898
132,132,1693793520000,0.01711,0.01711,0.01709,0.01709,31174
133,133,1693793580000,0.0171,0.0171,0.0171,0.0171,35147
134,134,1693793640000,0.0171,0.0171,0.0171,0.0171,15279
135,135,1693793700000,0.01711,0.01711,0.01711,0.01711,4867
136,136,1693793760000,0.01711,0.01711,0.01711,0.01711,11386
137,137,1693793820000,0.01711,0.01711,0.01711,0.01711,50438
138,138,1693793880000,0.01711,0.01711,0.01711,0.01711,0
139,139,1693793940000,0.01711,0.01713,0.01707,0.0171,1335788
140,140,1693794000000,0.0171,0.01711,0.0171,0.01711,82906
141,141,1693794060000,0.01711,0.01711,0.01711,0.01711,0
142,142,1693794120000,0.0171,0.01713,0.0171,0.01713,336885
143,143,1693794180000,0.01712,0.01712,0.01712,0.01712,5837
144,144,1693794240000,0.01713,0.01713,0.01712,0.01712,39295
145,145,1693794300000,0.01713,0.01714,0.01713,0.01713,153453
146,146,1693794360000,0.01713,0.01714,0.01712,0.01712,125446
147,147,1693794420000,0.01713,0.01713,0.01713,0.01713,2823
148,148,1693794480000,0.01712,0.01712,0.01711,0.01711,120832
149,149,1693794540000,0.01712,0.01712,0.01711,0.01712,14323
150,150,1693794600000,0.01712,0.01713,0.01712,0.01712,51562
151,151,1693794660000,0.01713,0.01714,0.01713,0.01714,257892
152,152,1693794720000,0.01715,0.01715,0.01714,0.01714,85705
153,153,1693794780000,0.01712,0.01713,0.01712,0.01713,8021
154,154,1693794840000,0.01712,0.01714,0.01712,0.01714,54897
155,155,1693794900000,0.01714,0.01715,0.01714,0.01714,122852
156,156,1693794960000,0.01713,0.01714,0.01713,0.01714,119324
157,157,1693795020000,0.01714,0.01714,0.01714,0.01714,322
158,158,1693795080000,0.01715,0.01716,0.01715,0.01716,182061
159,159,1693795140000,0.01716,0.01716,0.01715,0.01715,1853
160,160,1693795200000,0.01716,0.01718,0.01716,0.01718,490049
161,161,1693795260000,0.01717,0.01717,0.01715,0.01716,232720
162,162,1693795320000,0.01716,0.01716,0.01716,0.01716,0
163,163,1693795380000,0.01717,0.01718,0.01717,0.01717,142224
164,164,1693795440000,0.01718,0.01718,0.01716,0.01716,98043
165,165,1693795500000,0.01717,0.01717,0.01717,0.01717,11137
166,166,1693795560000,0.01717,0.01717,0.01715,0.01715,209239
167,167,1693795620000,0.01716,0.01716,0.01716,0.01716,64683
168,168,1693795680000,0.01716,0.01719,0.01715,0.01717,546536
169,169,1693795740000,0.01718,0.01718,0.01717,0.01718,7049
170,170,1693795800000,0.01718,0.01721,0.01718,0.01721,226394
171,171,1693795860000,0.01721,0.01722,0.01721,0.01722,113937
172,172,1693795920000,0.01722,0.01722,0.01721,0.01721,62585
173,173,1693795980000,0.01721,0.01722,0.01721,0.01722,80514
174,174,1693796040000,0.01722,0.01722,0.01722,0.01722,329
175,175,1693796100000,0.01722,0.01723,0.01722,0.01723,23252
176,176,1693796160000,0.01724,0.01724,0.01723,0.01724,299838
177,177,1693796220000,0.01723,0.01724,0.01723,0.01724,70104
178,178,1693796280000,0.01724,0.01724,0.01723,0.01724,147732
179,179,1693796340000,0.01723,0.01723,0.01723,0.01723,27792
180,180,1693796400000,0.01722,0.01725,0.01722,0.01724,129003
181,181,1693796460000,0.01724,0.01725,0.01723,0.01723,68604
182,182,1693796520000,0.01724,0.01724,0.01723,0.01724,196914
183,183,1693796580000,0.01723,0.01725,0.01723,0.01724,196716
184,184,1693796640000,0.01723,0.01724,0.01723,0.01724,88081
185,185,1693796700000,0.01724,0.01725,0.01724,0.01725,136320
186,186,1693796760000,0.01725,0.01726,0.01725,0.01725,166067
187,187,1693796820000,0.01725,0.01726,0.01725,0.01725,180756
188,188,1693796880000,0.01725,0.01727,0.01725,0.01726,277767
189,189,1693796940000,0.01726,0.01728,0.01725,0.01728,1671806
190,190,1693797000000,0.01729,0.01732,0.01729,0.01732,269945
191,191,1693797060000,0.01733,0.01736,0.01733,0.01735,919733
192,192,1693797120000,0.01733,0.01733,0.0173,0.01732,209009
193,193,1693797180000,0.01733,0.01733,0.0173,0.01731,481709
194,194,1693797240000,0.01732,0.01734,0.01731,0.01733,474165
195,195,1693797300000,0.01732,0.01733,0.01728,0.01728,649350
196,196,1693797360000,0.01729,0.01732,0.01729,0.01732,74769
197,197,1693797420000,0.01732,0.01734,0.01732,0.01734,106013
198,198,1693797480000,0.01734,0.01734,0.01733,0.01733,58061
199,199,1693797540000,0.01734,0.01735,0.01733,0.01734,194298
200,200,1693797600000,0.01734,0.01735,0.01733,0.01734,119716
201,201,1693797660000,0.01733,0.01733,0.01729,0.0173,468956
202,202,1693797720000,0.01731,0.01732,0.0173,0.0173,612844
203,203,1693797780000,0.01729,0.0173,0.01727,0.01727,359824
204,204,1693797840000,0.01726,0.01726,0.01724,0.01726,379668
205,205,1693797900000,0.01727,0.01728,0.01727,0.01728,113355
206,206,1693797960000,0.01727,0.01728,0.01727,0.01728,138401
207,207,1693798020000,0.01728,0.01728,0.01727,0.01728,131805
208,208,1693798080000,0.01728,0.01728,0.01725,0.01726,564604
209,209,1693798140000,0.01726,0.01727,0.01726,0.01727,146937
210,210,1693798200000,0.01726,0.01727,0.01726,0.01726,140545
211,211,1693798260000,0.01725,0.01725,0.01722,0.01723,492077
212,212,1693798320000,0.01724,0.01724,0.01723,0.01723,309456
213,213,1693798380000,0.01723,0.01723,0.01722,0.01723,4996
214,214,1693798440000,0.01722,0.01722,0.0172,0.01721,262546
215,215,1693798500000,0.01721,0.01722,0.0172,0.0172,208726
216,216,1693798560000,0.0172,0.0172,0.01717,0.01717,278799
217,217,1693798620000,0.01718,0.01718,0.01717,0.01718,234596
218,218,1693798680000,0.01719,0.0172,0.01719,0.0172,62378
219,219,1693798740000,0.0172,0.01721,0.0172,0.0172,120046
220,220,1693798800000,0.01721,0.01722,0.0172,0.01721,314603
221,221,1693798860000,0.0172,0.0172,0.01718,0.01718,453730
222,222,1693798920000,0.01718,0.0172,0.01718,0.01719,182303
223,223,1693798980000,0.01718,0.01719,0.01718,0.01719,68296
224,224,1693799040000,0.01718,0.01718,0.01717,0.01717,64413
225,225,1693799100000,0.01717,0.0172,0.01717,0.01719,855859
226,226,1693799160000,0.01719,0.01719,0.01719,0.01719,55946
227,227,1693799220000,0.01718,0.01719,0.01718,0.01718,34498
228,228,1693799280000,0.01718,0.01719,0.01718,0.01718,8830
229,229,1693799340000,0.01718,0.01719,0.01718,0.01718,35125
230,230,1693799400000,0.01717,0.01717,0.01716,0.01717,206828
231,231,1693799460000,0.01717,0.01717,0.01717,0.01717,26935
232,232,1693799520000,0.01717,0.01718,0.01716,0.01716,898131
233,233,1693799580000,0.01715,0.01715,0.0171,0.01713,692343
234,234,1693799640000,0.01713,0.01716,0.01713,0.01715,944580
235,235,1693799700000,0.01715,0.01716,0.01715,0.01715,65710
236,236,1693799760000,0.01716,0.01716,0.01716,0.01716,7120
237,237,1693799820000,0.01716,0.01716,0.01714,0.01714,149437
238,238,1693799880000,0.01714,0.01716,0.01714,0.01716,104496
239,239,1693799940000,0.01716,0.01717,0.01716,0.01717,41322
240,240,1693800000000,0.01717,0.0172,0.01717,0.0172,562797
241,241,1693800060000,0.0172,0.0172,0.01719,0.0172,10653
