,index,timestamp,open,high,low,close,volume
0,0,1694995200000,1.338,1.339,1.335,1.338,10307
1,1,1694995260000,1.339,1.34,1.338,1.339,4237
2,2,1694995320000,1.339,1.34,1.337,1.338,4186
3,3,1694995380000,1.339,1.34,1.339,1.34,2468
4,4,1694995440000,1.339,1.339,1.339,1.339,2
5,5,1694995500000,1.339,1.34,1.338,1.339,2804
6,6,1694995560000,1.339,1.339,1.338,1.338,2524
7,7,1694995620000,1.339,1.34,1.339,1.34,10943
8,8,1694995680000,1.34,1.341,1.34,1.341,3177
9,9,1694995740000,1.34,1.342,1.34,1.341,5650
10,10,1694995800000,1.341,1.342,1.34,1.34,8382
11,11,1694995860000,1.34,1.34,1.34,1.34,933
12,12,1694995920000,1.339,1.339,1.338,1.339,3624
13,13,1694995980000,1.339,1.34,1.339,1.34,2780
14,14,1694996040000,1.34,1.34,1.34,1.34,4557
15,15,1694996100000,1.341,1.343,1.34,1.343,11504
16,16,1694996160000,1.342,1.343,1.341,1.343,2834
17,17,1694996220000,1.343,1.343,1.342,1.342,1297
18,18,1694996280000,1.341,1.342,1.341,1.342,1108
19,19,1694996340000,1.341,1.341,1.341,1.341,190
20,20,1694996400000,1.341,1.341,1.34,1.34,2803
21,21,1694996460000,1.34,1.34,1.338,1.338,15940
22,22,1694996520000,1.338,1.338,1.338,1.338,1524
23,23,1694996580000,1.337,1.337,1.336,1.337,1037
24,24,1694996640000,1.338,1.338,1.337,1.337,911
25,25,1694996700000,1.336,1.337,1.336,1.336,3444
26,26,1694996760000,1.336,1.336,1.336,1.336,114
27,27,1694996820000,1.336,1.336,1.336,1.336,20
28,28,1694996880000,1.336,1.336,1.333,1.335,11359
29,29,1694996940000,1.334,1.334,1.332,1.334,2168
30,30,1694997000000,1.333,1.333,1.33,1.332,14694
31,31,1694997060000,1.332,1.335,1.327,1.335,25598
32,32,1694997120000,1.336,1.336,1.334,1.334,5174
33,33,1694997180000,1.333,1.333,1.331,1.331,4279
34,34,1694997240000,1.332,1.332,1.329,1.33,1887
35,35,1694997300000,1.33,1.331,1.329,1.331,3141
36,36,1694997360000,1.331,1.331,1.33,1.33,317
37,37,1694997420000,1.329,1.33,1.329,1.33,1473
38,38,1694997480000,1.33,1.331,1.33,1.331,1240
39,39,1694997540000,1.33,1.33,1.33,1.33,2678
40,40,1694997600000,1.33,1.331,1.33,1.33,1685
41,41,1694997660000,1.33,1.332,1.33,1.331,3821
42,42,1694997720000,1.332,1.333,1.332,1.333,1309
43,43,1694997780000,1.334,1.337,1.334,1.337,1089
44,44,1694997840000,1.337,1.337,1.335,1.335,12545
45,45,1694997900000,1.334,1.334,1.334,1.334,761
46,46,1694997960000,1.333,1.334,1.333,1.333,2629
47,47,1694998020000,1.334,1.334,1.334,1.334,451
48,48,1694998080000,1.334,1.337,1.334,1.337,1285
49,49,1694998140000,1.338,1.338,1.337,1.337,1556
50,50,1694998200000,1.336,1.34,1.336,1.34,746
51,51,1694998260000,1.34,1.34,1.339,1.34,2314
52,52,1694998320000,1.34,1.34,1.339,1.34,6982
53,53,1694998380000,1.34,1.34,1.339,1.339,653
54,54,1694998440000,1.339,1.339,1.339,1.339,839
55,55,1694998500000,1.339,1.339,1.338,1.338,1136
56,56,1694998560000,1.338,1.338,1.336,1.336,1954
57,57,1694998620000,1.336,1.336,1.335,1.336,1890
58,58,1694998680000,1.336,1.337,1.336,1.337,1702
59,59,1694998740000,1.337,1.337,1.336,1.336,308
60,60,1694998800000,1.335,1.336,1.334,1.335,2162
61,61,1694998860000,1.335,1.337,1.335,1.337,3143
62,62,1694998920000,1.338,1.338,1.337,1.337,1015
63,63,1694998980000,1.337,1.338,1.336,1.336,4354
64,64,1694999040000,1.335,1.335,1.335,1.335,49
65,65,1694999100000,1.334,1.335,1.333,1.334,1818
66,66,1694999160000,1.333,1.334,1.333,1.333,642
67,67,1694999220000,1.333,1.333,1.332,1.333,503
68,68,1694999280000,1.332,1.334,1.331,1.334,3030
69,69,1694999340000,1.334,1.335,1.334,1.335,1726
70,70,1694999400000,1.335,1.335,1.335,1.335,1992
71,71,1694999460000,1.335,1.336,1.335,1.336,783
72,72,1694999520000,1.337,1.337,1.337,1.337,30
73,73,1694999580000,1.337,1.339,1.337,1.339,3101
74,74,1694999640000,1.338,1.339,1.338,1.338,435
75,75,1694999700000,1.338,1.339,1.337,1.338,3339
76,76,1694999760000,1.338,1.34,1.338,1.339,1365
77,77,1694999820000,1.339,1.339,1.337,1.337,2173
78,78,1694999880000,1.337,1.339,1.337,1.337,4165
79,79,1694999940000,1.337,1.338,1.336,1.338,1023
80,80,1695000000000,1.337,1.337,1.337,1.337,389
81,81,1695000060000,1.336,1.336,1.333,1.334,4727
82,82,1695000120000,1.334,1.334,1.332,1.332,1575
83,83,1695000180000,1.333,1.334,1.333,1.333,3465
