,index,timestamp,open,high,low,close,volume
0,0,1693612800000,7.927,7.929,7.871,7.916,68912.3
1,1,1693612860000,7.916,7.97,7.905,7.959,48597.0
2,2,1693612920000,7.958,7.958,7.94,7.956,13999.5
3,3,1693612980000,7.956,7.956,7.895,7.897,34123.9
4,4,1693613040000,7.896,7.908,7.856,7.859,65718.3
5,5,1693613100000,7.859,7.859,7.829,7.84,34600.7
6,6,1693613160000,7.839,7.854,7.824,7.84,30126.3
7,7,1693613220000,7.839,7.851,7.82,7.82,23257.1
8,8,1693613280000,7.82,7.849,7.816,7.846,23303.7
9,9,1693613340000,7.845,7.872,7.845,7.864,33271.9
10,10,1693613400000,7.863,7.88,7.85,7.869,26680.7
11,11,1693613460000,7.868,7.868,7.846,7.846,12951.5
12,12,1693613520000,7.845,7.866,7.835,7.849,16440.8
13,13,1693613580000,7.849,7.881,7.849,7.864,17566.6
14,14,1693613640000,7.863,7.865,7.856,7.857,6940.2
15,15,1693613700000,7.856,7.877,7.843,7.873,17229.5
16,16,1693613760000,7.873,7.873,7.843,7.844,12485.1
17,17,1693613820000,7.844,7.85,7.819,7.821,18035.4
18,18,1693613880000,7.82,7.829,7.81,7.828,17340.1
19,19,1693613940000,7.828,7.836,7.822,7.829,11134.8
20,20,1693614000000,7.829,7.829,7.808,7.814,14157.0
21,21,1693614060000,7.813,7.814,7.778,7.791,40192.5
22,22,1693614120000,7.791,7.805,7.767,7.792,25467.9
23,23,1693614180000,7.793,7.818,7.789,7.81,19910.6
24,24,1693614240000,7.81,7.815,7.789,7.794,16497.1
25,25,1693614300000,7.794,7.807,7.77,7.775,21462.6
26,26,1693614360000,7.775,7.788,7.765,7.774,19545.8
27,27,1693614420000,7.773,7.78,7.77,7.777,6780.7
28,28,1693614480000,7.778,7.784,7.774,7.777,6818.8
29,29,1693614540000,7.778,7.798,7.77,7.791,26456.1
30,30,1693614600000,7.792,7.834,7.791,7.822,25479.2
31,31,1693614660000,7.82,7.878,7.815,7.869,29745.9
32,32,1693614720000,7.869,7.88,7.837,7.845,24718.5
33,33,1693614780000,7.845,7.851,7.834,7.848,14279.5
34,34,1693614840000,7.847,7.874,7.841,7.867,20050.9
35,35,1693614900000,7.866,7.923,7.86,7.923,43814.8
36,36,1693614960000,7.923,7.953,7.918,7.92,46432.4
37,37,1693615020000,7.92,7.932,7.912,7.921,20210.7
38,38,1693615080000,7.921,7.928,7.916,7.923,9537.9
39,39,1693615140000,7.922,7.923,7.898,7.91,15577.8
40,40,1693615200000,7.91,7.922,7.903,7.905,10830.5
41,41,1693615260000,7.904,7.918,7.896,7.918,9201.7
42,42,1693615320000,7.918,7.923,7.901,7.903,7641.8
43,43,1693615380000,7.902,7.914,7.896,7.914,7653.6
44,44,1693615440000,7.913,7.931,7.907,7.912,12488.5
45,45,1693615500000,7.912,7.912,7.873,7.886,19081.5
46,46,1693615560000,7.886,7.887,7.862,7.862,11330.8
47,47,1693615620000,7.862,7.862,7.847,7.849,8745.9
48,48,1693615680000,7.848,7.852,7.839,7.841,8822.1
49,49,1693615740000,7.841,7.841,7.821,7.837,20609.1
50,50,1693615800000,7.839,7.839,7.819,7.832,12725.2
51,51,1693615860000,7.831,7.831,7.803,7.824,15278.5
52,52,1693615920000,7.823,7.824,7.809,7.813,7459.1
53,53,1693615980000,7.814,7.815,7.79,7.793,19406.9
54,54,1693616040000,7.793,7.803,7.788,7.798,13713.8
55,55,1693616100000,7.798,7.806,7.77,7.778,27344.8
56,56,1693616160000,7.779,7.786,7.773,7.785,15647.3
57,57,1693616220000,7.784,7.785,7.747,7.75,47904.6
58,58,1693616280000,7.749,7.766,7.738,7.746,19869.6
59,59,1693616340000,7.746,7.749,7.725,7.73,34995.4
60,60,1693616400000,7.729,7.733,7.708,7.731,43154.5
61,61,1693616460000,7.732,7.763,7.723,7.728,28500.3
62,62,1693616520000,7.729,7.765,7.729,7.764,15627.3
63,63,1693616580000,7.764,7.778,7.731,7.733,24120.5
64,64,1693616640000,7.733,7.738,7.726,7.736,19243.0
65,65,1693616700000,7.735,7.75,7.735,7.736,8891.7
66,66,1693616760000,7.735,7.738,7.7,7.709,28182.2
67,67,1693616820000,7.709,7.714,7.672,7.685,57447.0
68,68,1693616880000,7.687,7.692,7.677,7.686,18250.1
69,69,1693616940000,7.686,7.709,7.678,7.693,30698.1
70,70,1693617000000,7.694,7.708,7.686,7.706,13271.6
71,71,1693617060000,7.706,7.71,7.681,7.692,14724.2
72,72,1693617120000,7.693,7.74,7.683,7.737,27903.5
73,73,1693617180000,7.737,7.74,7.726,7.736,10689.8
74,74,1693617240000,7.737,7.739,7.723,7.726,12801.0
75,75,1693617300000,7.726,7.778,7.72,7.777,23323.6
76,76,1693617360000,7.776,7.798,7.758,7.768,34405.9
77,77,1693617420000,7.769,7.775,7.752,7.765,10026.6
78,78,1693617480000,7.763,7.767,7.737,7.75,10250.4
79,79,1693617540000,7.75,7.75,7.722,7.727,11265.4
80,80,1693617600000,7.728,7.742,7.723,7.727,10257.1
81,81,1693617660000,7.728,7.734,7.725,7.731,6773.6
82,82,1693617720000,7.73,7.73,7.714,7.723,8673.7
83,83,1693617780000,7.722,7.738,7.715,7.718,8958.8
84,84,1693617840000,7.717,7.734,7.706,7.729,21840.6
85,85,1693617900000,7.729,7.743,7.726,7.741,9023.2
86,86,1693617960000,7.742,7.743,7.719,7.721,8945.2
87,87,1693618020000,7.722,7.726,7.71,7.725,11343.1
88,88,1693618080000,7.725,7.726,7.708,7.712,6893.0
89,89,1693618140000,7.713,7.733,7.713,7.732,9242.6
90,90,1693618200000,7.731,7.734,7.714,7.732,11332.9
91,91,1693618260000,7.73,7.774,7.727,7.772,25234.3
92,92,1693618320000,7.772,7.779,7.756,7.758,17952.5
93,93,1693618380000,7.757,7.776,7.753,7.77,8770.4
94,94,1693618440000,7.769,7.789,7.761,7.776,15628.5
95,95,1693618500000,7.778,7.783,7.77,7.783,8406.2
96,96,1693618560000,7.782,7.796,7.78,7.785,13381.8
97,97,1693618620000,7.784,7.798,7.775,7.775,10297.3
98,98,1693618680000,7.774,7.798,7.771,7.798,8840.1
99,99,1693618740000,7.798,7.828,7.794,7.82,40942.7
100,100,1693618800000,7.821,7.823,7.788,7.794,21154.7
101,101,1693618860000,7.793,7.807,7.788,7.792,12287.3
102,102,1693618920000,7.79,7.804,7.785,7.794,16026.9
103,103,1693618980000,7.793,7.802,7.785,7.8,10787.3
104,104,1693619040000,7.8,7.804,7.766,7.777,20193.8
105,105,1693619100000,7.777,7.818,7.765,7.816,35602.2
106,106,1693619160000,7.814,7.815,7.798,7.801,22480.5
107,107,1693619220000,7.801,7.823,7.799,7.823,15606.7
108,108,1693619280000,7.822,7.827,7.813,7.823,11382.8
109,109,1693619340000,7.822,7.829,7.813,7.818,15595.7
110,110,1693619400000,7.817,7.828,7.813,7.827,8439.4
111,111,1693619460000,7.826,7.833,7.812,7.815,11320.0
112,112,1693619520000,7.815,7.829,7.81,7.816,9223.4
113,113,1693619580000,7.816,7.826,7.81,7.81,10143.3
114,114,1693619640000,7.81,7.829,7.803,7.826,13961.4
115,115,1693619700000,7.827,7.847,7.82,7.836,19654.3
116,116,1693619760000,7.835,7.84,7.825,7.839,11451.7
117,117,1693619820000,7.838,7.907,7.836,7.862,68795.4
118,118,1693619880000,7.862,7.872,7.86,7.869,10468.3
119,119,1693619940000,7.87,7.87,7.851,7.851,7978.1
120,120,1693620000000,7.85,7.853,7.833,7.835,18554.8
121,121,1693620060000,7.835,7.836,7.802,7.812,23743.9
122,122,1693620120000,7.811,7.814,7.785,7.796,27416.9
123,123,1693620180000,7.795,7.795,7.781,7.792,18200.0
124,124,1693620240000,7.791,7.805,7.787,7.789,13264.9
125,125,1693620300000,7.787,7.787,7.766,7.768,14615.8
126,126,1693620360000,7.767,7.781,7.761,7.78,17109.0
127,127,1693620420000,7.78,7.794,7.777,7.792,8753.2
128,128,1693620480000,7.791,7.809,7.789,7.806,6610.8
129,129,1693620540000,7.805,7.821,7.8,7.812,11088.8
130,130,1693620600000,7.812,7.82,7.808,7.816,5605.1
131,131,1693620660000,7.816,7.833,7.803,7.831,15760.2
132,132,1693620720000,7.831,7.857,7.83,7.855,16823.4
133,133,1693620780000,7.855,7.867,7.843,7.861,17677.6
134,134,1693620840000,7.86,7.894,7.858,7.887,32146.2
135,135,1693620900000,7.885,7.893,7.869,7.874,15467.0
136,136,1693620960000,7.873,7.932,7.872,7.892,46541.9
137,137,1693621020000,7.892,7.929,7.892,7.907,29245.3
138,138,1693621080000,7.905,7.905,7.888,7.894,16617.5
139,139,1693621140000,7.894,7.896,7.88,7.884,10900.1
140,140,1693621200000,7.885,7.886,7.874,7.883,9974.2
141,141,1693621260000,7.883,7.886,7.862,7.865,11744.3
142,142,1693621320000,7.865,7.883,7.862,7.872,17449.6
143,143,1693621380000,7.875,7.889,7.874,7.886,9260.3
144,144,1693621440000,7.885,7.894,7.881,7.892,8982.1
145,145,1693621500000,7.892,7.892,7.878,7.885,6907.4
146,146,1693621560000,7.883,7.883,7.872,7.873,9200.2
147,147,1693621620000,7.874,7.885,7.87,7.882,7849.7
148,148,1693621680000,7.884,7.903,7.882,7.9,7593.2
149,149,1693621740000,7.9,7.908,7.899,7.904,16034.2
150,150,1693621800000,7.904,7.905,7.878,7.879,16848.3
151,151,1693621860000,7.879,7.88,7.853,7.855,20319.8
152,152,1693621920000,7.854,7.856,7.847,7.855,11403.9
153,153,1693621980000,7.856,7.891,7.856,7.882,13851.2
154,154,1693622040000,7.883,7.892,7.883,7.886,4910.6
155,155,1693622100000,7.887,7.887,7.869,7.87,7794.0
156,156,1693622160000,7.871,7.883,7.871,7.881,3641.8
157,157,1693622220000,7.88,7.891,7.879,7.888,5509.5
158,158,1693622280000,7.888,7.896,7.867,7.872,11868.3
159,159,1693622340000,7.871,7.878,7.862,7.871,9098.9
160,160,1693622400000,7.871,7.871,7.851,7.853,12248.5
161,161,1693622460000,7.853,7.863,7.841,7.862,14724.5
162,162,1693622520000,7.862,7.868,7.859,7.865,6783.9
163,163,1693622580000,7.865,7.867,7.859,7.862,3367.4
164,164,1693622640000,7.861,7.868,7.861,7.868,2521.5
165,165,1693622700000,7.868,7.871,7.85,7.851,16910.8
166,166,1693622760000,7.85,7.869,7.847,7.869,8793.0
167,167,1693622820000,7.868,7.901,7.867,7.887,20034.6
168,168,1693622880000,7.889,7.89,7.872,7.878,7381.6
169,169,1693622940000,7.876,7.876,7.857,7.857,8630.6
170,170,1693623000000,7.857,7.859,7.85,7.857,11819.4
171,171,1693623060000,7.856,7.857,7.84,7.84,6784.3
172,172,1693623120000,7.839,7.839,7.826,7.833,13561.8
173,173,1693623180000,7.833,7.857,7.832,7.857,11414.0
174,174,1693623240000,7.857,7.866,7.85,7.851,12050.7
175,175,1693623300000,7.85,7.851,7.839,7.843,10182.5
176,176,1693623360000,7.841,7.863,7.84,7.862,6869.2
177,177,1693623420000,7.862,7.865,7.857,7.861,4749.1
178,178,1693623480000,7.861,7.866,7.859,7.86,4986.5
179,179,1693623540000,7.858,7.858,7.839,7.844,10069.9
180,180,1693623600000,7.844,7.847,7.828,7.835,26356.7
181,181,1693623660000,7.836,7.866,7.834,7.864,19612.0
182,182,1693623720000,7.864,7.879,7.864,7.878,7957.3
183,183,1693623780000,7.878,7.888,7.878,7.886,14369.7
184,184,1693623840000,7.887,7.888,7.872,7.882,7680.6
185,185,1693623900000,7.882,7.886,7.867,7.877,11673.3
186,186,1693623960000,7.877,7.882,7.872,7.877,6082.0
187,187,1693624020000,7.878,7.888,7.878,7.886,6723.6
188,188,1693624080000,7.886,7.892,7.886,7.888,3946.4
189,189,1693624140000,7.888,7.894,7.882,7.884,5573.7
190,190,1693624200000,7.884,7.904,7.873,7.9,16810.3
191,191,1693624260000,7.899,7.935,7.895,7.918,35734.3
192,192,1693624320000,7.919,7.936,7.906,7.919,23398.2
193,193,1693624380000,7.92,7.943,7.92,7.94,17421.5
194,194,1693624440000,7.94,7.948,7.926,7.948,11825.4
195,195,1693624500000,7.946,7.973,7.934,7.934,40255.1
196,196,1693624560000,7.936,7.948,7.92,7.947,14655.5
197,197,1693624620000,7.948,7.949,7.923,7.926,13947.7
198,198,1693624680000,7.925,7.944,7.925,7.94,13195.4
199,199,1693624740000,7.94,7.955,7.928,7.951,13119.0
200,200,1693624800000,7.95,7.96,7.94,7.95,13495.7
201,201,1693624860000,7.949,7.961,7.938,7.957,7700.6
202,202,1693624920000,7.957,7.971,7.954,7.97,8437.4
203,203,1693624980000,7.969,7.989,7.963,7.989,26575.5
204,204,1693625040000,7.987,7.99,7.979,7.985,13783.7
205,205,1693625100000,7.984,8.038,7.98,8.002,57439.1
206,206,1693625160000,8.002,8.014,7.988,7.988,21750.2
207,207,1693625220000,7.988,8.001,7.984,7.989,8604.4
208,208,1693625280000,7.989,8.001,7.986,7.995,10173.8
209,209,1693625340000,7.997,7.997,7.983,7.983,10852.9
210,210,1693625400000,7.984,7.992,7.96,7.962,19523.2
211,211,1693625460000,7.963,7.979,7.948,7.97,28517.3
212,212,1693625520000,7.969,8.0,7.964,7.998,10695.4
213,213,1693625580000,7.999,8.022,7.995,8.006,25273.4
214,214,1693625640000,8.005,8.026,7.99,8.002,25535.9
215,215,1693625700000,8.001,8.022,7.989,7.989,34319.2
216,216,1693625760000,7.988,7.989,7.958,7.962,22027.2
217,217,1693625820000,7.962,7.995,7.955,7.993,19257.8
218,218,1693625880000,7.993,8.01,7.977,7.979,18760.4
219,219,1693625940000,7.978,7.978,7.941,7.944,26263.6
220,220,1693626000000,7.944,7.985,7.935,7.98,18477.8
221,221,1693626060000,7.98,7.988,7.968,7.982,14358.2
222,222,1693626120000,7.98,7.994,7.964,7.969,13522.6
223,223,1693626180000,7.969,7.981,7.944,7.959,32079.1
224,224,1693626240000,7.958,7.98,7.946,7.98,13459.5
225,225,1693626300000,7.98,7.984,7.965,7.976,13356.2
226,226,1693626360000,7.977,7.997,7.956,7.991,23559.4
227,227,1693626420000,7.991,8.019,7.99,8.008,24013.8
228,228,1693626480000,8.009,8.018,8.004,8.013,9033.7
229,229,1693626540000,8.014,8.014,8.0,8.003,9219.1
230,230,1693626600000,8.003,8.01,7.992,8.007,9538.3
231,231,1693626660000,8.008,8.035,7.993,8.03,21296.4
232,232,1693626720000,8.03,8.038,8.007,8.009,20173.1
233,233,1693626780000,8.009,8.044,8.008,8.013,37597.2
234,234,1693626840000,8.015,8.023,8.006,8.017,11841.6
235,235,1693626900000,8.017,8.032,8.013,8.023,13425.6
236,236,1693626960000,8.022,8.044,8.021,8.041,19195.4
237,237,1693627020000,8.041,8.047,8.024,8.039,13893.0
238,238,1693627080000,8.039,8.048,8.031,8.039,16730.6
239,239,1693627140000,8.039,8.046,8.029,8.044,17061.4
240,240,1693627200000,8.043,8.086,8.034,8.037,68542.9
241,241,1693627260000,8.038,8.039,8.004,8.013,41664.2
242,242,1693627320000,8.012,8.02,8.003,8.009,30014.4
243,243,1693627380000,8.009,8.009,7.985,7.995,35279.7
244,244,1693627440000,7.994,7.995,7.977,7.985,20757.8
245,245,1693627500000,7.984,7.996,7.979,7.996,20975.4
