,index,timestamp,open,high,low,close,volume
0,0,1693872000000,4.44,4.452,4.44,4.447,48094
1,1,1693872060000,4.446,4.448,4.443,4.446,13706
2,2,1693872120000,4.447,4.447,4.446,4.447,10043
3,3,1693872180000,4.447,4.449,4.445,4.446,14917
4,4,1693872240000,4.447,4.45,4.446,4.449,13808
5,5,1693872300000,4.449,4.453,4.445,4.447,54024
6,6,1693872360000,4.447,4.451,4.447,4.451,8146
7,7,1693872420000,4.451,4.451,4.449,4.451,6260
8,8,1693872480000,4.452,4.452,4.447,4.447,6996
9,9,1693872540000,4.448,4.452,4.448,4.451,8432
10,10,1693872600000,4.451,4.453,4.45,4.451,7063
11,11,1693872660000,4.452,4.453,4.451,4.451,5804
12,12,1693872720000,4.451,4.451,4.447,4.447,8833
13,13,1693872780000,4.447,4.453,4.447,4.45,10282
14,14,1693872840000,4.451,4.452,4.449,4.45,6961
15,15,1693872900000,4.45,4.452,4.448,4.448,6796
16,16,1693872960000,4.448,4.45,4.446,4.447,6433
17,17,1693873020000,4.447,4.45,4.446,4.447,8069
18,18,1693873080000,4.447,4.45,4.446,4.448,4898
19,19,1693873140000,4.448,4.45,4.447,4.45,4860
20,20,1693873200000,4.45,4.45,4.443,4.443,9530
21,21,1693873260000,4.443,4.443,4.441,4.442,8005
22,22,1693873320000,4.443,4.444,4.442,4.442,2862
23,23,1693873380000,4.441,4.441,4.433,4.433,17969
24,24,1693873440000,4.434,4.439,4.433,4.438,8102
25,25,1693873500000,4.438,4.44,4.437,4.439,4930
26,26,1693873560000,4.439,4.441,4.439,4.441,4799
27,27,1693873620000,4.442,4.442,4.439,4.441,5099
28,28,1693873680000,4.441,4.443,4.441,4.441,4259
29,29,1693873740000,4.441,4.442,4.439,4.439,6038
30,30,1693873800000,4.439,4.44,4.432,4.433,8455
31,31,1693873860000,4.433,4.434,4.431,4.434,7195
32,32,1693873920000,4.434,4.436,4.433,4.435,6188
33,33,1693873980000,4.436,4.439,4.435,4.437,5697
34,34,1693874040000,4.438,4.439,4.438,4.438,3792
35,35,1693874100000,4.439,4.44,4.438,4.438,5031
36,36,1693874160000,4.438,4.438,4.435,4.435,4998
37,37,1693874220000,4.436,4.437,4.435,4.436,2813
38,38,1693874280000,4.436,4.438,4.436,4.437,2188
39,39,1693874340000,4.438,4.438,4.437,4.437,3744
40,40,1693874400000,4.437,4.438,4.432,4.432,6047
41,41,1693874460000,4.433,4.433,4.43,4.431,3073
42,42,1693874520000,4.432,4.432,4.431,4.431,2315
43,43,1693874580000,4.432,4.433,4.43,4.431,3230
44,44,1693874640000,4.432,4.433,4.427,4.429,10306
45,45,1693874700000,4.429,4.43,4.424,4.426,18205
46,46,1693874760000,4.427,4.428,4.425,4.425,3674
47,47,1693874820000,4.426,4.429,4.424,4.424,4051
48,48,1693874880000,4.424,4.425,4.424,4.424,3751
49,49,1693874940000,4.425,4.429,4.424,4.428,4248
50,50,1693875000000,4.429,4.43,4.428,4.428,4053
51,51,1693875060000,4.429,4.43,4.423,4.424,4449
52,52,1693875120000,4.424,4.426,4.424,4.425,2310
53,53,1693875180000,4.426,4.429,4.426,4.427,4678
54,54,1693875240000,4.428,4.429,4.425,4.426,4146
55,55,1693875300000,4.426,4.428,4.426,4.428,2700
56,56,1693875360000,4.428,4.43,4.428,4.428,2989
57,57,1693875420000,4.429,4.43,4.428,4.428,2019
58,58,1693875480000,4.429,4.43,4.428,4.429,4973
59,59,1693875540000,4.429,4.43,4.428,4.429,2811
60,60,1693875600000,4.428,4.428,4.424,4.424,8354
61,61,1693875660000,4.424,4.425,4.422,4.422,2462
62,62,1693875720000,4.422,4.423,4.419,4.423,13153
63,63,1693875780000,4.424,4.424,4.422,4.423,3035
64,64,1693875840000,4.422,4.426,4.422,4.425,3351
65,65,1693875900000,4.424,4.425,4.42,4.42,5366
66,66,1693875960000,4.419,4.421,4.418,4.42,8163
67,67,1693876020000,4.42,4.421,4.419,4.421,1996
68,68,1693876080000,4.42,4.421,4.418,4.418,1928
69,69,1693876140000,4.418,4.418,4.418,4.418,2350
70,70,1693876200000,4.418,4.418,4.414,4.414,2815
71,71,1693876260000,4.414,4.417,4.414,4.416,1431
72,72,1693876320000,4.416,4.417,4.416,4.416,962
73,73,1693876380000,4.416,4.417,4.412,4.412,3595
74,74,1693876440000,4.413,4.414,4.413,4.414,519
75,75,1693876500000,4.414,4.414,4.411,4.411,2175
76,76,1693876560000,4.411,4.417,4.411,4.412,15339
77,77,1693876620000,4.412,4.413,4.409,4.411,3010
78,78,1693876680000,4.41,4.414,4.41,4.413,5705
79,79,1693876740000,4.412,4.413,4.411,4.413,2487
80,80,1693876800000,4.413,4.415,4.412,4.412,2903
81,81,1693876860000,4.412,4.412,4.411,4.411,304
82,82,1693876920000,4.412,4.412,4.402,4.409,29687
83,83,1693876980000,4.409,4.41,4.404,4.404,9614
84,84,1693877040000,4.404,4.407,4.404,4.407,4230
85,85,1693877100000,4.406,4.406,4.405,4.405,682
86,86,1693877160000,4.405,4.412,4.405,4.409,21320
87,87,1693877220000,4.408,4.41,4.407,4.408,10012
88,88,1693877280000,4.408,4.41,4.408,4.41,4317
89,89,1693877340000,4.41,4.413,4.41,4.413,3319
90,90,1693877400000,4.414,4.414,4.413,4.413,299
91,91,1693877460000,4.413,4.414,4.412,4.412,5234
92,92,1693877520000,4.412,4.415,4.412,4.414,2101
93,93,1693877580000,4.414,4.418,4.414,4.417,4637
94,94,1693877640000,4.417,4.418,4.416,4.417,1344
95,95,1693877700000,4.416,4.417,4.415,4.415,3288
96,96,1693877760000,4.415,4.417,4.415,4.416,3064
97,97,1693877820000,4.416,4.417,4.414,4.414,3916
98,98,1693877880000,4.415,4.417,4.415,4.416,3102
99,99,1693877940000,4.416,4.416,4.412,4.412,2998
100,100,1693878000000,4.412,4.418,4.412,4.418,3516
101,101,1693878060000,4.417,4.418,4.416,4.418,4065
102,102,1693878120000,4.418,4.419,4.417,4.418,2484
103,103,1693878180000,4.417,4.417,4.416,4.416,1415
104,104,1693878240000,4.416,4.418,4.416,4.417,2094
105,105,1693878300000,4.417,4.417,4.415,4.416,3192
106,106,1693878360000,4.416,4.416,4.416,4.416,2495
107,107,1693878420000,4.416,4.418,4.412,4.412,3847
108,108,1693878480000,4.412,4.413,4.412,4.412,2361
109,109,1693878540000,4.412,4.412,4.411,4.411,2287
110,110,1693878600000,4.411,4.414,4.411,4.413,4710
111,111,1693878660000,4.413,4.414,4.413,4.413,425
112,112,1693878720000,4.413,4.414,4.413,4.414,301
113,113,1693878780000,4.414,4.415,4.414,4.414,2650
114,114,1693878840000,4.414,4.415,4.41,4.41,3333
115,115,1693878900000,4.41,4.411,4.408,4.408,1261
116,116,1693878960000,4.408,4.408,4.404,4.404,1173
117,117,1693879020000,4.405,4.405,4.4,4.4,13476
118,118,1693879080000,4.4,4.401,4.393,4.398,25368
119,119,1693879140000,4.398,4.398,4.397,4.398,2347
120,120,1693879200000,4.398,4.4,4.398,4.399,4914
121,121,1693879260000,4.399,4.401,4.399,4.401,4131
122,122,1693879320000,4.401,4.405,4.401,4.404,5549
123,123,1693879380000,4.404,4.405,4.401,4.401,5299
124,124,1693879440000,4.401,4.402,4.4,4.402,4597
125,125,1693879500000,4.402,4.403,4.401,4.403,1113
126,126,1693879560000,4.404,4.405,4.402,4.403,3319
127,127,1693879620000,4.403,4.403,4.4,4.4,4412
