,index,timestamp,open,high,low,close,volume
0,0,1688169600000,0.23142,0.23889,0.2314,0.23557,5682579
1,1,1688169660000,0.23558,0.23566,0.23466,0.23542,1320238
2,2,1688169720000,0.23542,0.23677,0.23534,0.23649,644267
3,3,1688169780000,0.23644,0.2369,0.23579,0.23597,696746
4,4,1688169840000,0.23598,0.23628,0.23582,0.23627,220408
5,5,1688169900000,0.23622,0.23623,0.23415,0.2344,966833
6,6,1688169960000,0.23439,0.23497,0.23416,0.23422,232484
7,7,1688170020000,0.23432,0.23451,0.23401,0.23448,171862
8,8,1688170080000,0.23451,0.23452,0.23405,0.23436,117999
9,9,1688170140000,0.23444,0.23498,0.23443,0.23498,177298
10,10,1688170200000,0.23495,0.23513,0.23419,0.23421,214582
11,11,1688170260000,0.23416,0.23443,0.23388,0.23427,265246
12,12,1688170320000,0.23423,0.23448,0.2339,0.23411,146276
13,13,1688170380000,0.23411,0.23412,0.23298,0.23306,419751
14,14,1688170440000,0.233,0.23379,0.23282,0.23379,135623
15,15,1688170500000,0.23379,0.23459,0.23338,0.23459,263300
16,16,1688170560000,0.2346,0.23475,0.23384,0.23384,314168
17,17,1688170620000,0.23391,0.23391,0.23341,0.23366,160727
18,18,1688170680000,0.23366,0.23384,0.23343,0.23375,119480
19,19,1688170740000,0.23372,0.23468,0.23372,0.23455,178207
20,20,1688170800000,0.23446,0.23446,0.23375,0.23389,176745
21,21,1688170860000,0.2338,0.23485,0.23354,0.23477,208781
22,22,1688170920000,0.23477,0.23508,0.23417,0.23492,167669
23,23,1688170980000,0.23495,0.23503,0.23439,0.23502,211005
24,24,1688171040000,0.23508,0.23546,0.23491,0.23526,118628
25,25,1688171100000,0.23522,0.23531,0.23483,0.235,101483
26,26,1688171160000,0.235,0.23551,0.23488,0.23539,118926
27,27,1688171220000,0.23539,0.23569,0.23537,0.23557,79511
28,28,1688171280000,0.23551,0.23591,0.23543,0.23552,140668
29,29,1688171340000,0.23552,0.23553,0.23467,0.23471,196943
30,30,1688171400000,0.23471,0.23493,0.23442,0.23454,209442
31,31,1688171460000,0.23455,0.23481,0.23446,0.23466,97625
32,32,1688171520000,0.23465,0.2357,0.23463,0.23563,126405
33,33,1688171580000,0.23564,0.2357,0.2352,0.23527,72802
34,34,1688171640000,0.23528,0.23528,0.23511,0.23514,57342
35,35,1688171700000,0.23511,0.23511,0.23417,0.23483,217604
36,36,1688171760000,0.23482,0.23496,0.23437,0.23448,101836
37,37,1688171820000,0.23444,0.23449,0.23406,0.23413,52288
38,38,1688171880000,0.23414,0.23457,0.23414,0.23436,134674
39,39,1688171940000,0.23439,0.23453,0.23405,0.23424,70066
40,40,1688172000000,0.23424,0.23524,0.23411,0.23505,80827
41,41,1688172060000,0.23502,0.23529,0.23483,0.23529,51289
42,42,1688172120000,0.23523,0.2357,0.23523,0.23539,76783
43,43,1688172180000,0.2354,0.23594,0.2354,0.23589,75055
44,44,1688172240000,0.23589,0.23601,0.23557,0.23591,118787
45,45,1688172300000,0.2359,0.23609,0.2352,0.23564,144929
46,46,1688172360000,0.23558,0.23641,0.2353,0.23641,289923
47,47,1688172420000,0.23638,0.23641,0.23584,0.23604,262513
48,48,1688172480000,0.23603,0.23626,0.23541,0.23621,251161
49,49,1688172540000,0.23621,0.23669,0.2362,0.23649,163961
50,50,1688172600000,0.23645,0.23645,0.23554,0.2359,195053
51,51,1688172660000,0.23586,0.23598,0.23573,0.23595,54026
52,52,1688172720000,0.23589,0.23598,0.23539,0.23584,108465
53,53,1688172780000,0.23579,0.23631,0.23574,0.23626,168346
54,54,1688172840000,0.23621,0.23656,0.23554,0.23569,137145
55,55,1688172900000,0.23566,0.23595,0.23532,0.23591,102476
56,56,1688172960000,0.23592,0.23598,0.23541,0.2358,152327
57,57,1688173020000,0.23581,0.2363,0.23562,0.23597,153954
58,58,1688173080000,0.23577,0.23588,0.23479,0.23508,166872
59,59,1688173140000,0.23509,0.23525,0.23488,0.23504,95962
60,60,1688173200000,0.23503,0.2356,0.23476,0.2356,248386
61,61,1688173260000,0.23556,0.23634,0.2353,0.23625,200011
62,62,1688173320000,0.23623,0.2367,0.2361,0.23636,127011
63,63,1688173380000,0.23635,0.24212,0.23592,0.24028,3270574
64,64,1688173440000,0.24028,0.24063,0.23943,0.23943,545866
65,65,1688173500000,0.23948,0.23951,0.23754,0.23769,472844
66,66,1688173560000,0.23767,0.23776,0.23692,0.23692,188823
67,67,1688173620000,0.23694,0.23732,0.2364,0.2364,280303
68,68,1688173680000,0.23644,0.23679,0.23612,0.23647,218173
69,69,1688173740000,0.23648,0.23713,0.23645,0.23713,123114
70,70,1688173800000,0.23717,0.23822,0.23705,0.23814,201684
71,71,1688173860000,0.23812,0.23863,0.23773,0.23857,299412
72,72,1688173920000,0.23857,0.23893,0.23813,0.23887,201663
73,73,1688173980000,0.23888,0.23917,0.23867,0.23892,213284
74,74,1688174040000,0.2389,0.2389,0.2382,0.23837,177839
75,75,1688174100000,0.23832,0.23838,0.23758,0.23758,232644
76,76,1688174160000,0.23762,0.23887,0.23731,0.23867,233377
77,77,1688174220000,0.23872,0.23891,0.23647,0.23735,621997
78,78,1688174280000,0.23728,0.23878,0.23694,0.23873,442310
79,79,1688174340000,0.23874,0.23882,0.2376,0.23773,203995
80,80,1688174400000,0.23768,0.23819,0.23685,0.23694,353305
81,81,1688174460000,0.23697,0.23794,0.23656,0.23744,511862
82,82,1688174520000,0.23745,0.23833,0.23742,0.2381,343065
83,83,1688174580000,0.23804,0.23817,0.23691,0.2375,564056
84,84,1688174640000,0.23745,0.23771,0.23679,0.23729,358349
85,85,1688174700000,0.23729,0.23926,0.2371,0.23845,561444
86,86,1688174760000,0.23856,0.23874,0.23776,0.23813,362415
87,87,1688174820000,0.23812,0.23868,0.23788,0.23829,263378
88,88,1688174880000,0.2383,0.23869,0.23806,0.23824,187706
89,89,1688174940000,0.2383,0.23856,0.23791,0.23853,164717
90,90,1688175000000,0.23856,0.2392,0.23786,0.23914,239376
91,91,1688175060000,0.2391,0.23935,0.23889,0.23925,239516
92,92,1688175120000,0.23927,0.23946,0.23875,0.23938,186739
93,93,1688175180000,0.23937,0.24201,0.23936,0.24158,951836
94,94,1688175240000,0.24159,0.24218,0.24084,0.24207,656811
95,95,1688175300000,0.24201,0.24264,0.2412,0.24236,615017
96,96,1688175360000,0.24229,0.24254,0.2412,0.24175,609323
97,97,1688175420000,0.24173,0.2419,0.2411,0.24119,407674
98,98,1688175480000,0.24121,0.24125,0.2403,0.24039,405728
99,99,1688175540000,0.24042,0.24092,0.24009,0.2405,242763
100,100,1688175600000,0.24051,0.24059,0.23943,0.23973,479634
101,101,1688175660000,0.23967,0.24008,0.23931,0.2396,343135
102,102,1688175720000,0.23954,0.23981,0.23937,0.23976,117471
103,103,1688175780000,0.23977,0.23988,0.23951,0.23959,115381
104,104,1688175840000,0.23959,0.2396,0.23907,0.2391,212696
105,105,1688175900000,0.23913,0.23917,0.23833,0.23916,358646
106,106,1688175960000,0.23916,0.2394,0.23876,0.23876,109219
107,107,1688176020000,0.2388,0.2396,0.23876,0.23939,161258
108,108,1688176080000,0.23939,0.24045,0.23939,0.24045,260975
109,109,1688176140000,0.24026,0.24068,0.24004,0.24062,269541
110,110,1688176200000,0.24063,0.24072,0.23942,0.23959,341911
111,111,1688176260000,0.23965,0.23975,0.23908,0.23967,289691
112,112,1688176320000,0.23974,0.23999,0.23956,0.23982,156841
113,113,1688176380000,0.23979,0.23987,0.23916,0.23955,172623
114,114,1688176440000,0.23943,0.2399,0.23923,0.23983,212674
115,115,1688176500000,0.23981,0.24054,0.2394,0.24044,339663
116,116,1688176560000,0.24038,0.24101,0.24013,0.24098,321897
117,117,1688176620000,0.24096,0.24096,0.23953,0.23953,281555
118,118,1688176680000,0.23958,0.23973,0.23923,0.23965,232106
119,119,1688176740000,0.23966,0.2404,0.23966,0.24021,106087
120,120,1688176800000,0.24024,0.24048,0.23985,0.2401,297284
121,121,1688176860000,0.24009,0.2401,0.23901,0.23953,487285
122,122,1688176920000,0.23951,0.24024,0.23941,0.2401,228758
123,123,1688176980000,0.24012,0.24036,0.23967,0.24002,256676
124,124,1688177040000,0.24006,0.24054,0.23976,0.24015,252322
125,125,1688177100000,0.24016,0.24122,0.23986,0.24086,497085
126,126,1688177160000,0.24077,0.24105,0.23917,0.23919,633756
127,127,1688177220000,0.23914,0.23914,0.23804,0.23866,627794
128,128,1688177280000,0.2387,0.2397,0.23851,0.2396,194166
129,129,1688177340000,0.2396,0.23992,0.2395,0.23965,161893
130,130,1688177400000,0.23959,0.23967,0.23881,0.2391,170862
131,131,1688177460000,0.2392,0.23937,0.23841,0.23904,316192
132,132,1688177520000,0.239,0.2401,0.23893,0.24003,438690
133,133,1688177580000,0.24003,0.24073,0.24003,0.24067,277309
134,134,1688177640000,0.24072,0.24077,0.24043,0.24045,132114
135,135,1688177700000,0.24043,0.24068,0.23954,0.23999,347542
136,136,1688177760000,0.24008,0.24024,0.23968,0.2402,88151
137,137,1688177820000,0.2402,0.2402,0.23952,0.23966,125752
138,138,1688177880000,0.23969,0.2404,0.23945,0.24018,233487
139,139,1688177940000,0.24029,0.24063,0.24024,0.24042,127903
140,140,1688178000000,0.24052,0.24064,0.24006,0.24047,98107
141,141,1688178060000,0.24054,0.24056,0.23977,0.24041,121754
142,142,1688178120000,0.24037,0.24053,0.23972,0.23989,131960
143,143,1688178180000,0.23985,0.24103,0.23985,0.24071,404834
144,144,1688178240000,0.24073,0.24101,0.24053,0.24083,139258
145,145,1688178300000,0.24083,0.24146,0.24056,0.24126,398271
146,146,1688178360000,0.24122,0.24139,0.24071,0.24098,319580
147,147,1688178420000,0.24097,0.24097,0.24032,0.24091,139212
148,148,1688178480000,0.2409,0.24115,0.24086,0.24112,98339
149,149,1688178540000,0.24111,0.24118,0.24048,0.24068,159978
150,150,1688178600000,0.24068,0.24116,0.24025,0.24107,245094
151,151,1688178660000,0.24106,0.24174,0.24095,0.24148,202401
152,152,1688178720000,0.24155,0.24231,0.24144,0.24212,354554
153,153,1688178780000,0.24212,0.24224,0.241,0.241,333121
154,154,1688178840000,0.24104,0.24151,0.24071,0.24141,175221
155,155,1688178900000,0.24145,0.24152,0.2402,0.24078,288880
156,156,1688178960000,0.24075,0.24121,0.2406,0.24098,108765
157,157,1688179020000,0.24101,0.24159,0.24064,0.24129,237672
158,158,1688179080000,0.24134,0.24135,0.24109,0.24121,107677
159,159,1688179140000,0.24125,0.2415,0.24071,0.24142,246714
160,160,1688179200000,0.24142,0.24199,0.24121,0.24185,417884
161,161,1688179260000,0.24184,0.24184,0.24124,0.24158,162988
162,162,1688179320000,0.24153,0.24165,0.24126,0.24126,45798
163,163,1688179380000,0.24122,0.24148,0.24116,0.24125,91905
164,164,1688179440000,0.24141,0.24218,0.24141,0.24163,224477
165,165,1688179500000,0.24163,0.24183,0.2412,0.24124,251537
166,166,1688179560000,0.24111,0.24133,0.23943,0.24003,457499
167,167,1688179620000,0.23998,0.24023,0.23893,0.23942,596480
168,168,1688179680000,0.23942,0.23974,0.23908,0.23922,201277
169,169,1688179740000,0.23924,0.23952,0.23901,0.23922,169203
170,170,1688179800000,0.23922,0.23943,0.2384,0.23921,335790
171,171,1688179860000,0.23921,0.2394,0.2388,0.2393,134321
172,172,1688179920000,0.23929,0.23939,0.23858,0.23879,159890
173,173,1688179980000,0.2388,0.23882,0.2382,0.23876,169055
174,174,1688180040000,0.23876,0.23882,0.23827,0.23842,135821
175,175,1688180100000,0.23842,0.23859,0.2381,0.23819,244549
176,176,1688180160000,0.23816,0.23843,0.23771,0.23822,387245
177,177,1688180220000,0.23832,0.23838,0.23795,0.23799,69335
178,178,1688180280000,0.23805,0.2382,0.2372,0.23733,291596
179,179,1688180340000,0.23739,0.23806,0.23739,0.23797,200065
180,180,1688180400000,0.23794,0.23851,0.2378,0.23839,275469
181,181,1688180460000,0.23843,0.24063,0.23822,0.24062,560617
182,182,1688180520000,0.24063,0.24085,0.24017,0.2403,301479
183,183,1688180580000,0.24033,0.24045,0.23973,0.2399,214212
184,184,1688180640000,0.23991,0.24029,0.23968,0.24029,179150
185,185,1688180700000,0.24029,0.24047,0.23979,0.23989,213798
186,186,1688180760000,0.23992,0.24065,0.2399,0.24027,262157
187,187,1688180820000,0.24028,0.24074,0.24028,0.24049,112636
188,188,1688180880000,0.24045,0.24058,0.2403,0.24051,82616
189,189,1688180940000,0.24052,0.24065,0.23984,0.24004,121190
190,190,1688181000000,0.24001,0.24008,0.23937,0.23954,131845
191,191,1688181060000,0.23951,0.23951,0.23899,0.2394,162495
192,192,1688181120000,0.2394,0.23966,0.23911,0.23963,75902
193,193,1688181180000,0.23964,0.24001,0.23939,0.23939,183814
194,194,1688181240000,0.23937,0.23953,0.23892,0.23904,127120
195,195,1688181300000,0.23913,0.2398,0.23892,0.23979,234747
196,196,1688181360000,0.2398,0.24037,0.23963,0.24037,120357
197,197,1688181420000,0.24037,0.24084,0.24021,0.24073,123346
198,198,1688181480000,0.24073,0.24122,0.24063,0.24091,362856
199,199,1688181540000,0.2409,0.24114,0.24079,0.24081,143158
200,200,1688181600000,0.24087,0.24102,0.24035,0.24047,178692
201,201,1688181660000,0.24048,0.24117,0.24028,0.24103,206314
202,202,1688181720000,0.24099,0.24099,0.24028,0.24039,224188
203,203,1688181780000,0.24039,0.24101,0.24035,0.24093,92104
204,204,1688181840000,0.24088,0.24129,0.24088,0.24125,166311
205,205,1688181900000,0.24122,0.24154,0.24067,0.24095,223074
206,206,1688181960000,0.24096,0.24148,0.24045,0.24128,423525
207,207,1688182020000,0.24131,0.24173,0.24098,0.24166,387204
208,208,1688182080000,0.24165,0.24202,0.24158,0.24166,281660
209,209,1688182140000,0.24165,0.24208,0.24154,0.24168,198550
210,210,1688182200000,0.24173,0.24178,0.24059,0.24059,371684
211,211,1688182260000,0.24057,0.24092,0.24015,0.24082,274447
212,212,1688182320000,0.24082,0.24118,0.24081,0.24118,113004
213,213,1688182380000,0.24116,0.24118,0.24087,0.24092,104207
214,214,1688182440000,0.24092,0.24093,0.24019,0.2404,119868
215,215,1688182500000,0.24037,0.24039,0.23992,0.23994,168993
216,216,1688182560000,0.23991,0.23991,0.23933,0.23963,303565
217,217,1688182620000,0.23967,0.23967,0.23902,0.23924,261747
218,218,1688182680000,0.23921,0.23943,0.23893,0.23917,145057
219,219,1688182740000,0.23916,0.23931,0.23873,0.2391,185664
220,220,1688182800000,0.23906,0.23916,0.23844,0.23844,157238
221,221,1688182860000,0.23845,0.23891,0.23794,0.2383,394455
222,222,1688182920000,0.23834,0.2387,0.23812,0.2386,256532
223,223,1688182980000,0.23854,0.23874,0.23845,0.23873,81547
224,224,1688183040000,0.2387,0.2387,0.23846,0.23846,63409
225,225,1688183100000,0.23846,0.23899,0.23773,0.23782,245399
226,226,1688183160000,0.23782,0.2389,0.23769,0.2389,375217
227,227,1688183220000,0.2389,0.2391,0.23857,0.23875,218508
228,228,1688183280000,0.2387,0.23873,0.23839,0.23852,72719
229,229,1688183340000,0.23853,0.23871,0.23819,0.23839,150745
230,230,1688183400000,0.23837,0.23859,0.2381,0.23827,160681
231,231,1688183460000,0.23825,0.23865,0.23816,0.23843,106854
232,232,1688183520000,0.23839,0.23891,0.23826,0.23868,86163
233,233,1688183580000,0.23871,0.23885,0.23839,0.23839,57823
234,234,1688183640000,0.23837,0.23851,0.23812,0.23842,88172
235,235,1688183700000,0.2385,0.23868,0.23829,0.23838,120849
236,236,1688183760000,0.23841,0.23841,0.23797,0.23799,126100
237,237,1688183820000,0.23807,0.23979,0.2378,0.23973,455990
238,238,1688183880000,0.23973,0.24,0.23913,0.23941,439197
239,239,1688183940000,0.23942,0.23966,0.23903,0.23966,127936
240,240,1688184000000,0.2397,0.23982,0.23921,0.23966,262059
241,241,1688184060000,0.23972,0.24044,0.23959,0.24044,172013
242,242,1688184120000,0.24044,0.24065,0.24013,0.24038,177584
243,243,1688184180000,0.24038,0.24038,0.2397,0.24012,191376
244,244,1688184240000,0.24014,0.24046,0.24003,0.24038,59711
245,245,1688184300000,0.24036,0.24056,0.23979,0.23979,140387
246,246,1688184360000,0.2398,0.23988,0.23887,0.23904,245525
247,247,1688184420000,0.23902,0.23908,0.2384,0.23851,137867
248,248,1688184480000,0.23847,0.23943,0.23832,0.23864,514957
249,249,1688184540000,0.2386,0.2386,0.238,0.2381,256772
250,250,1688184600000,0.2381,0.23824,0.2378,0.23824,172869
251,251,1688184660000,0.2383,0.23869,0.23813,0.23819,198773
252,252,1688184720000,0.23813,0.23848,0.23812,0.23826,79897
253,253,1688184780000,0.23834,0.23855,0.23829,0.23843,72481
254,254,1688184840000,0.2385,0.23864,0.23824,0.2384,97663
255,255,1688184900000,0.23836,0.23848,0.237,0.2371,247505
256,256,1688184960000,0.23718,0.23727,0.23632,0.23674,467938
257,257,1688185020000,0.23672,0.23741,0.23638,0.23741,335797
258,258,1688185080000,0.23736,0.23763,0.23734,0.23741,66252
259,259,1688185140000,0.23743,0.23778,0.23729,0.23738,104162
260,260,1688185200000,0.23731,0.2378,0.23711,0.23724,210183
261,261,1688185260000,0.23723,0.23724,0.23628,0.23714,409025
262,262,1688185320000,0.23713,0.23735,0.23573,0.23591,410999
263,263,1688185380000,0.23582,0.23682,0.23555,0.2367,360092
264,264,1688185440000,0.23669,0.23714,0.2362,0.23631,165995
265,265,1688185500000,0.23632,0.23678,0.23607,0.23618,183637
266,266,1688185560000,0.23614,0.23726,0.23525,0.23722,1736097
267,267,1688185620000,0.23709,0.23737,0.23661,0.23685,384002
268,268,1688185680000,0.23692,0.23703,0.23598,0.2367,373741
269,269,1688185740000,0.23658,0.23769,0.23658,0.23729,232847
270,270,1688185800000,0.23742,0.23784,0.23617,0.2364,457032
271,271,1688185860000,0.23634,0.23701,0.23622,0.2369,362523
272,272,1688185920000,0.23691,0.23804,0.23655,0.23789,440137
273,273,1688185980000,0.23794,0.23825,0.23741,0.23762,204127
274,274,1688186040000,0.2376,0.23804,0.23684,0.238,404045
275,275,1688186100000,0.238,0.23949,0.238,0.23824,971241
276,276,1688186160000,0.23823,0.23833,0.23754,0.23767,294409
277,277,1688186220000,0.23765,0.23834,0.23754,0.23786,221187
278,278,1688186280000,0.23787,0.23868,0.23778,0.23852,147635
279,279,1688186340000,0.23852,0.23852,0.23777,0.23782,112559
280,280,1688186400000,0.23782,0.23862,0.23772,0.23862,137540
281,281,1688186460000,0.23856,0.23872,0.2381,0.23821,156937
282,282,1688186520000,0.23821,0.23843,0.238,0.23843,115635
283,283,1688186580000,0.23843,0.23862,0.23812,0.23846,229631
284,284,1688186640000,0.23833,0.23868,0.23833,0.23846,55293
285,285,1688186700000,0.23847,0.23869,0.23805,0.23865,119007
286,286,1688186760000,0.23875,0.23913,0.23858,0.23913,147547
287,287,1688186820000,0.2391,0.2394,0.23885,0.23939,151423
288,288,1688186880000,0.23937,0.23961,0.23925,0.23926,91750
289,289,1688186940000,0.23933,0.23952,0.23913,0.23929,104133
290,290,1688187000000,0.23943,0.23968,0.23923,0.23953,134186
291,291,1688187060000,0.23951,0.23976,0.23924,0.23936,63657
292,292,1688187120000,0.23934,0.23934,0.23857,0.23859,93543
293,293,1688187180000,0.2386,0.23886,0.2386,0.23882,83585
294,294,1688187240000,0.23887,0.23887,0.23834,0.23846,64733
295,295,1688187300000,0.23846,0.23867,0.23781,0.23859,211246
296,296,1688187360000,0.23862,0.23898,0.23837,0.23884,216771
297,297,1688187420000,0.23883,0.23883,0.23773,0.23786,247822
298,298,1688187480000,0.23785,0.23799,0.23744,0.23778,171865
299,299,1688187540000,0.23779,0.23801,0.23774,0.238,43373
300,300,1688187600000,0.23801,0.23827,0.23756,0.23758,106007
301,301,1688187660000,0.23758,0.2378,0.23747,0.23765,117948
302,302,1688187720000,0.23763,0.23776,0.23744,0.23744,54065
303,303,1688187780000,0.23746,0.23767,0.2372,0.23743,131753
304,304,1688187840000,0.23743,0.23762,0.237,0.23719,104370
305,305,1688187900000,0.23719,0.23743,0.23677,0.23714,174792
306,306,1688187960000,0.23706,0.23785,0.23706,0.23731,88231
307,307,1688188020000,0.23726,0.23729,0.23672,0.23676,133238
308,308,1688188080000,0.23677,0.23706,0.23649,0.23687,113723
309,309,1688188140000,0.23694,0.23701,0.23669,0.23695,30758
310,310,1688188200000,0.23695,0.23751,0.23683,0.23739,137506
311,311,1688188260000,0.23742,0.23768,0.23738,0.23757,78221
312,312,1688188320000,0.23757,0.2378,0.2375,0.2375,52074
313,313,1688188380000,0.23751,0.23775,0.23744,0.23756,17245
314,314,1688188440000,0.23748,0.23768,0.23734,0.23768,74144
315,315,1688188500000,0.23777,0.23807,0.23729,0.23733,146476
316,316,1688188560000,0.23736,0.23757,0.23722,0.23733,48293
317,317,1688188620000,0.23743,0.23754,0.23725,0.23754,42760
318,318,1688188680000,0.23751,0.2382,0.23742,0.23806,106476
