,index,timestamp,open,high,low,close,volume
0,0,1694304000000,0.16076,0.16092,0.16051,0.16084,136292
1,1,1694304060000,0.16084,0.16085,0.16049,0.16052,57596
2,2,1694304120000,0.16051,0.16052,0.16045,0.16045,17721
3,3,1694304180000,0.16044,0.16044,0.16038,0.16043,10071
4,4,1694304240000,0.16042,0.16043,0.16038,0.16039,48112
5,5,1694304300000,0.16038,0.16038,0.16032,0.16032,26599
6,6,1694304360000,0.16032,0.16032,0.16013,0.16017,83362
7,7,1694304420000,0.16014,0.16016,0.16009,0.16012,36508
8,8,1694304480000,0.16011,0.16011,0.16008,0.16009,6351
9,9,1694304540000,0.16008,0.16008,0.15999,0.16001,25533
10,10,1694304600000,0.16,0.16013,0.15999,0.1601,26446
11,11,1694304660000,0.16009,0.16012,0.15975,0.15989,178203
12,12,1694304720000,0.15989,0.15996,0.15986,0.15989,57744
13,13,1694304780000,0.1599,0.16,0.1599,0.16,6403
14,14,1694304840000,0.15996,0.16007,0.15996,0.16004,16134
15,15,1694304900000,0.16005,0.16006,0.16002,0.16003,7870
16,16,1694304960000,0.16002,0.16002,0.15998,0.15999,26430
17,17,1694305020000,0.15999,0.16003,0.15999,0.16003,3001
18,18,1694305080000,0.16001,0.16001,0.15995,0.15995,16895
19,19,1694305140000,0.15995,0.15995,0.15951,0.15976,195676
20,20,1694305200000,0.15978,0.15979,0.1583,0.15871,922284
21,21,1694305260000,0.15869,0.15947,0.15861,0.15945,353743
22,22,1694305320000,0.1594,0.15991,0.15928,0.15986,180818
23,23,1694305380000,0.15986,0.15992,0.15973,0.15975,81913
24,24,1694305440000,0.15971,0.15981,0.15951,0.15951,86067
25,25,1694305500000,0.15952,0.1598,0.15952,0.15971,67043
26,26,1694305560000,0.15973,0.15973,0.15966,0.15972,18772
27,27,1694305620000,0.15974,0.15984,0.1597,0.1597,91345
28,28,1694305680000,0.1597,0.15985,0.15963,0.15985,55321
29,29,1694305740000,0.15983,0.15983,0.1597,0.15976,16782
30,30,1694305800000,0.15981,0.15989,0.15972,0.15988,22251
31,31,1694305860000,0.15986,0.16008,0.15967,0.15978,76034
32,32,1694305920000,0.15979,0.15983,0.15966,0.15983,14038
33,33,1694305980000,0.15979,0.15982,0.15972,0.15979,40932
34,34,1694306040000,0.1598,0.15994,0.1598,0.15983,16476
35,35,1694306100000,0.15983,0.15994,0.15983,0.15994,14366
36,36,1694306160000,0.15994,0.15999,0.15993,0.15995,6075
37,37,1694306220000,0.15997,0.15997,0.15985,0.15985,24306
38,38,1694306280000,0.15981,0.15985,0.1598,0.15982,8618
39,39,1694306340000,0.15984,0.15986,0.15973,0.15975,23574
40,40,1694306400000,0.15979,0.1598,0.15967,0.1597,8574
41,41,1694306460000,0.1597,0.1597,0.15952,0.15962,19454
42,42,1694306520000,0.15964,0.15968,0.15944,0.1596,93989
43,43,1694306580000,0.15958,0.1597,0.15957,0.15968,18476
44,44,1694306640000,0.15968,0.1597,0.15966,0.15966,1062
45,45,1694306700000,0.15967,0.15972,0.1596,0.15971,10894
46,46,1694306760000,0.15973,0.15978,0.15961,0.15963,46891
