,index,timestamp,open,high,low,close,volume
0,0,1690848000000,0.14996,0.15008,0.14986,0.14986,1586875
1,1,1690848060000,0.14985,0.15003,0.14985,0.15003,690078
2,2,1690848120000,0.15003,0.15024,0.15001,0.15023,1362838
3,3,1690848180000,0.15022,0.15023,0.15006,0.15013,960805
4,4,1690848240000,0.15012,0.15018,0.14999,0.15009,488644
5,5,1690848300000,0.15008,0.15008,0.14951,0.14954,2131166
6,6,1690848360000,0.14954,0.14962,0.14935,0.1495,4419251
7,7,1690848420000,0.14949,0.14957,0.14931,0.14935,1532839
8,8,1690848480000,0.14935,0.1496,0.14935,0.14956,1789879
9,9,1690848540000,0.14955,0.14972,0.14953,0.14972,442168
10,10,1690848600000,0.14971,0.14978,0.14933,0.14946,3175189
11,11,1690848660000,0.14945,0.14951,0.14938,0.14947,705847
12,12,1690848720000,0.14947,0.14971,0.14947,0.14948,1417356
13,13,1690848780000,0.14947,0.14964,0.14947,0.14964,315537
14,14,1690848840000,0.14963,0.15,0.14963,0.14996,1097623
15,15,1690848900000,0.14995,0.15,0.14991,0.14999,800359
16,16,1690848960000,0.14999,0.15002,0.14986,0.14986,444813
17,17,1690849020000,0.14986,0.15001,0.14984,0.15,463019
18,18,1690849080000,0.15,0.15005,0.14983,0.14985,1078075
19,19,1690849140000,0.14985,0.1499,0.14957,0.14989,1204114
20,20,1690849200000,0.14987,0.15006,0.14987,0.15,419040
21,21,1690849260000,0.15,0.15034,0.15,0.15031,2221081
22,22,1690849320000,0.15033,0.15036,0.15025,0.15033,871797
23,23,1690849380000,0.15032,0.15035,0.15026,0.15026,267724
24,24,1690849440000,0.15025,0.15026,0.15005,0.15006,668722
25,25,1690849500000,0.15005,0.15022,0.15005,0.15019,531349
26,26,1690849560000,0.15018,0.15025,0.15013,0.15015,542702
27,27,1690849620000,0.15013,0.15016,0.15011,0.15015,246570
28,28,1690849680000,0.15015,0.15015,0.14994,0.15004,541141
29,29,1690849740000,0.15003,0.1503,0.15003,0.15025,633044
30,30,1690849800000,0.15024,0.15051,0.15018,0.15051,2794408
31,31,1690849860000,0.15051,0.15061,0.15048,0.15054,803490
32,32,1690849920000,0.15054,0.15061,0.15042,0.15056,697591
33,33,1690849980000,0.15056,0.15056,0.15047,0.1505,345334
34,34,1690850040000,0.1505,0.1505,0.15041,0.15044,472843
35,35,1690850100000,0.15043,0.15044,0.15034,0.15036,351897
36,36,1690850160000,0.15037,0.15044,0.15023,0.15027,601354
37,37,1690850220000,0.15028,0.15032,0.15008,0.15011,1150613
38,38,1690850280000,0.15011,0.15021,0.15008,0.15016,309128
39,39,1690850340000,0.15017,0.15027,0.15016,0.15023,596074
40,40,1690850400000,0.15024,0.15024,0.15008,0.15015,503231
41,41,1690850460000,0.15013,0.15031,0.15012,0.15024,482579
42,42,1690850520000,0.15024,0.15047,0.1502,0.15043,411729
43,43,1690850580000,0.15042,0.15054,0.15037,0.15038,958517
44,44,1690850640000,0.15038,0.15052,0.15038,0.15051,421000
45,45,1690850700000,0.15051,0.15052,0.15032,0.15045,646202
46,46,1690850760000,0.15046,0.15049,0.15023,0.15025,478756
47,47,1690850820000,0.15026,0.15041,0.15026,0.15036,499971
48,48,1690850880000,0.15035,0.15036,0.15018,0.15024,267410
49,49,1690850940000,0.15025,0.15029,0.15013,0.15013,148267
50,50,1690851000000,0.15013,0.15013,0.15002,0.15007,664477
51,51,1690851060000,0.15007,0.15011,0.15005,0.15005,339230
52,52,1690851120000,0.15006,0.15011,0.14979,0.14992,1308329
53,53,1690851180000,0.14993,0.15,0.14986,0.14992,585158
54,54,1690851240000,0.14992,0.15012,0.14992,0.15011,531859
55,55,1690851300000,0.15011,0.15011,0.15,0.15002,381026
56,56,1690851360000,0.15001,0.15011,0.15001,0.15011,427644
57,57,1690851420000,0.15011,0.15026,0.15011,0.15026,413024
58,58,1690851480000,0.15025,0.1504,0.15025,0.15031,288539
59,59,1690851540000,0.15029,0.15032,0.15019,0.15028,419989
60,60,1690851600000,0.15027,0.15041,0.15023,0.15028,603720
61,61,1690851660000,0.15027,0.15027,0.15007,0.15017,485825
62,62,1690851720000,0.15018,0.15024,0.15014,0.15015,372307
63,63,1690851780000,0.15015,0.1502,0.15015,0.15017,171815
64,64,1690851840000,0.15017,0.15028,0.15014,0.15023,571971
65,65,1690851900000,0.15023,0.15028,0.15001,0.15017,858108
66,66,1690851960000,0.15018,0.15064,0.15017,0.15052,1344109
67,67,1690852020000,0.15052,0.15065,0.1505,0.15063,703926
68,68,1690852080000,0.15063,0.15069,0.1506,0.15069,461812
69,69,1690852140000,0.15069,0.15076,0.15064,0.15072,691304
70,70,1690852200000,0.15073,0.15077,0.15069,0.15073,509856
71,71,1690852260000,0.15072,0.15085,0.15072,0.15085,395710
72,72,1690852320000,0.15085,0.15104,0.15077,0.1509,1368217
73,73,1690852380000,0.1509,0.15095,0.15078,0.15079,519991
74,74,1690852440000,0.15078,0.15079,0.15072,0.15075,636787
75,75,1690852500000,0.15075,0.15079,0.1504,0.15041,844776
76,76,1690852560000,0.15041,0.15058,0.1504,0.15052,578823
77,77,1690852620000,0.15053,0.15053,0.15043,0.15047,363720
78,78,1690852680000,0.15048,0.15048,0.15023,0.15028,550863
79,79,1690852740000,0.15029,0.15033,0.15024,0.15029,506633
80,80,1690852800000,0.15029,0.15032,0.15011,0.15012,638325
81,81,1690852860000,0.15013,0.15013,0.1498,0.1499,732960
82,82,1690852920000,0.14989,0.14998,0.14968,0.14973,1246742
83,83,1690852980000,0.14974,0.14979,0.14963,0.14969,700976
84,84,1690853040000,0.14969,0.14971,0.14946,0.14948,1174834
85,85,1690853100000,0.14949,0.14959,0.14944,0.14945,664867
86,86,1690853160000,0.14945,0.14946,0.14923,0.14932,962183
87,87,1690853220000,0.14931,0.14934,0.14926,0.14929,398447
88,88,1690853280000,0.14929,0.14932,0.14918,0.14922,828905
89,89,1690853340000,0.14922,0.14928,0.14919,0.14927,342506
90,90,1690853400000,0.14927,0.14933,0.14907,0.14911,821633
91,91,1690853460000,0.14911,0.14918,0.14893,0.14918,960449
92,92,1690853520000,0.14918,0.14918,0.14901,0.14909,765062
93,93,1690853580000,0.14909,0.14909,0.14888,0.14889,935054
94,94,1690853640000,0.14888,0.14912,0.14886,0.14902,974850
95,95,1690853700000,0.14902,0.14936,0.14902,0.14934,2427319
96,96,1690853760000,0.14933,0.14945,0.14926,0.14941,556749
97,97,1690853820000,0.14941,0.14946,0.14927,0.14939,712873
98,98,1690853880000,0.14939,0.14966,0.14937,0.1496,446559
99,99,1690853940000,0.1496,0.14968,0.14941,0.14942,1134860
100,100,1690854000000,0.14941,0.14952,0.14926,0.14931,750320
101,101,1690854060000,0.14931,0.14935,0.14919,0.14921,329158
102,102,1690854120000,0.1492,0.14926,0.1491,0.14925,492213
103,103,1690854180000,0.14927,0.1495,0.14926,0.14949,704105
104,104,1690854240000,0.14949,0.14963,0.14944,0.14961,249188
105,105,1690854300000,0.1496,0.14963,0.14935,0.14937,507007
106,106,1690854360000,0.14937,0.14943,0.14935,0.1494,262828
107,107,1690854420000,0.14939,0.14953,0.14918,0.14924,2852403
108,108,1690854480000,0.14923,0.14923,0.14912,0.14917,321002
109,109,1690854540000,0.14918,0.14921,0.14909,0.14913,706871
110,110,1690854600000,0.14913,0.14915,0.14899,0.14904,1299869
111,111,1690854660000,0.14903,0.14917,0.149,0.1491,1424895
112,112,1690854720000,0.1491,0.14916,0.14879,0.14886,1622739
113,113,1690854780000,0.14887,0.14896,0.14812,0.14829,6455501
114,114,1690854840000,0.14829,0.14859,0.14817,0.14848,3928496
115,115,1690854900000,0.14847,0.14868,0.14833,0.14849,1985674
116,116,1690854960000,0.14847,0.14896,0.14842,0.14888,1014840
117,117,1690855020000,0.14888,0.1489,0.14871,0.14876,792014
118,118,1690855080000,0.14877,0.14892,0.14876,0.14889,704905
119,119,1690855140000,0.14889,0.14889,0.14858,0.14864,659232
120,120,1690855200000,0.14864,0.14875,0.14858,0.14874,891102
