,index,timestamp,open,high,low,close,volume
0,0,1694044800000,0.12385,0.12386,0.12354,0.12366,1460716
1,1,1694044860000,0.12365,0.12377,0.12358,0.12367,843199
2,2,1694044920000,0.12366,0.124,0.12363,0.12394,803822
3,3,1694044980000,0.12393,0.12422,0.12385,0.12421,2026243
4,4,1694045040000,0.12422,0.12445,0.12417,0.12427,3072985
5,5,1694045100000,0.12427,0.12434,0.12414,0.1242,1294756
6,6,1694045160000,0.1242,0.12424,0.12405,0.12418,611801
7,7,1694045220000,0.12419,0.12449,0.12417,0.12447,1477892
8,8,1694045280000,0.12446,0.12446,0.12413,0.12419,1495478
9,9,1694045340000,0.12421,0.12427,0.12419,0.12421,325118
10,10,1694045400000,0.12421,0.12422,0.12387,0.12387,693617
11,11,1694045460000,0.12386,0.12409,0.12386,0.124,847522
12,12,1694045520000,0.12401,0.12401,0.12386,0.12386,660621
13,13,1694045580000,0.12385,0.12385,0.12367,0.12369,424945
14,14,1694045640000,0.12369,0.12374,0.12362,0.12363,350444
15,15,1694045700000,0.12363,0.12365,0.12345,0.12345,914097
16,16,1694045760000,0.12345,0.12345,0.12323,0.12325,1129530
17,17,1694045820000,0.12325,0.12329,0.12318,0.12328,423866
18,18,1694045880000,0.12328,0.1233,0.12318,0.1232,392823
19,19,1694045940000,0.12319,0.1232,0.12289,0.123,1454269
20,20,1694046000000,0.12299,0.123,0.12269,0.12273,1459443
21,21,1694046060000,0.12272,0.1228,0.12272,0.12273,606547
22,22,1694046120000,0.12273,0.12276,0.12217,0.12234,5069009
23,23,1694046180000,0.12233,0.12262,0.12233,0.12244,1195761
24,24,1694046240000,0.12247,0.12258,0.12243,0.12258,625779
25,25,1694046300000,0.12258,0.1226,0.12234,0.12242,846100
26,26,1694046360000,0.12242,0.12256,0.1224,0.1225,537735
27,27,1694046420000,0.12248,0.12252,0.12241,0.12252,520300
28,28,1694046480000,0.12252,0.12267,0.1225,0.12264,976406
29,29,1694046540000,0.12264,0.12295,0.12262,0.12289,1148021
30,30,1694046600000,0.12289,0.12304,0.12285,0.12289,651458
31,31,1694046660000,0.12288,0.12293,0.12284,0.12291,303059
32,32,1694046720000,0.12292,0.12304,0.12291,0.12304,707153
33,33,1694046780000,0.12305,0.12307,0.12286,0.12296,480705
34,34,1694046840000,0.12295,0.12306,0.12293,0.12304,430333
35,35,1694046900000,0.12302,0.12302,0.12286,0.12286,220277
36,36,1694046960000,0.12286,0.12286,0.12278,0.1228,320770
37,37,1694047020000,0.12281,0.12283,0.12269,0.12282,720529
38,38,1694047080000,0.12281,0.12281,0.12251,0.12265,902838
39,39,1694047140000,0.12265,0.12272,0.12257,0.12257,202865
40,40,1694047200000,0.12258,0.12268,0.12254,0.12268,340557
41,41,1694047260000,0.12269,0.12283,0.12268,0.12282,454662
42,42,1694047320000,0.12281,0.12283,0.12261,0.12261,665865
43,43,1694047380000,0.12262,0.12262,0.12246,0.12258,786897
44,44,1694047440000,0.12258,0.12258,0.12254,0.12257,85572
45,45,1694047500000,0.12257,0.12259,0.1225,0.12254,235390
46,46,1694047560000,0.12254,0.12274,0.12254,0.12273,292990
47,47,1694047620000,0.12272,0.12281,0.1227,0.12278,395102
48,48,1694047680000,0.12277,0.12278,0.12258,0.12264,369452
49,49,1694047740000,0.12263,0.12276,0.12261,0.12273,163593
50,50,1694047800000,0.12274,0.12284,0.12259,0.12259,300187
51,51,1694047860000,0.12258,0.12264,0.1225,0.12264,226481
52,52,1694047920000,0.12264,0.12264,0.12253,0.12258,149834
53,53,1694047980000,0.12257,0.12266,0.12254,0.12265,142354
54,54,1694048040000,0.12264,0.12265,0.12258,0.12264,131318
55,55,1694048100000,0.12264,0.12265,0.12256,0.12256,95950
56,56,1694048160000,0.12255,0.12255,0.12244,0.1225,363562
57,57,1694048220000,0.12251,0.12255,0.12247,0.12254,210345
58,58,1694048280000,0.12253,0.1227,0.12253,0.1226,213762
59,59,1694048340000,0.1226,0.12277,0.12258,0.12273,367517
60,60,1694048400000,0.12273,0.12288,0.12269,0.1227,772811
61,61,1694048460000,0.1227,0.12281,0.1227,0.12278,134623
62,62,1694048520000,0.12278,0.12294,0.12277,0.12294,329931
63,63,1694048580000,0.12294,0.12296,0.12289,0.12295,219180
64,64,1694048640000,0.12296,0.12301,0.12292,0.12295,201840
65,65,1694048700000,0.12293,0.12307,0.12293,0.12303,431348
66,66,1694048760000,0.12304,0.12304,0.12293,0.12293,376848
67,67,1694048820000,0.12292,0.12298,0.12291,0.12291,178646
68,68,1694048880000,0.12291,0.12295,0.12285,0.12295,353579
69,69,1694048940000,0.12295,0.12295,0.12281,0.12281,137158
70,70,1694049000000,0.12282,0.12285,0.12279,0.12282,202445
71,71,1694049060000,0.12282,0.12282,0.12266,0.12266,674130
72,72,1694049120000,0.12267,0.12267,0.12253,0.12253,414221
73,73,1694049180000,0.12252,0.12252,0.12239,0.12241,211726
74,74,1694049240000,0.1224,0.12244,0.12234,0.12236,453193
75,75,1694049300000,0.12237,0.12253,0.12237,0.12245,374555
76,76,1694049360000,0.12244,0.12244,0.12225,0.12231,302344
77,77,1694049420000,0.12231,0.12233,0.12225,0.12231,203088
78,78,1694049480000,0.12231,0.12245,0.1223,0.1223,507142
79,79,1694049540000,0.1223,0.1224,0.12229,0.12238,127525
80,80,1694049600000,0.12238,0.1224,0.12234,0.12237,297948
81,81,1694049660000,0.12238,0.1224,0.12236,0.12239,64789
82,82,1694049720000,0.12239,0.12239,0.12223,0.12226,313201
83,83,1694049780000,0.12226,0.12226,0.12222,0.12224,74560
84,84,1694049840000,0.12224,0.12233,0.12224,0.12226,387415
85,85,1694049900000,0.12226,0.12226,0.12206,0.12207,773833
86,86,1694049960000,0.12208,0.12212,0.12204,0.12204,358888
87,87,1694050020000,0.12205,0.12222,0.12205,0.12215,505002
88,88,1694050080000,0.12215,0.1222,0.12213,0.12214,163582
89,89,1694050140000,0.12213,0.12216,0.12203,0.12212,548970
90,90,1694050200000,0.12211,0.12219,0.12208,0.12213,174605
91,91,1694050260000,0.12214,0.12221,0.12211,0.12221,219441
92,92,1694050320000,0.12221,0.12234,0.1222,0.12234,342458
93,93,1694050380000,0.12234,0.1225,0.12234,0.12248,444083
94,94,1694050440000,0.12249,0.12253,0.12241,0.12251,246744
95,95,1694050500000,0.12252,0.12257,0.12245,0.1225,602167
96,96,1694050560000,0.1225,0.12252,0.12241,0.12245,326223
97,97,1694050620000,0.12245,0.12247,0.12233,0.12243,266148
98,98,1694050680000,0.12245,0.12254,0.12244,0.12253,107153
99,99,1694050740000,0.12252,0.12271,0.12252,0.12269,372804
