,index,timestamp,open,high,low,close,volume
0,0,1688169600000,168.31,168.41,168.2,168.4,276.583
1,1,1688169660000,168.41,168.41,168.24,168.28,134.321
2,2,1688169720000,168.29,168.46,168.29,168.33,147.129
3,3,1688169780000,168.34,168.41,168.26,168.36,175.518
4,4,1688169840000,168.37,168.44,168.31,168.33,223.64
5,5,1688169900000,168.32,168.46,168.29,168.39,224.746
6,6,1688169960000,168.35,168.35,168.31,168.32,82.593
7,7,1688170020000,168.32,168.42,168.29,168.42,124.763
8,8,1688170080000,168.41,168.44,168.33,168.38,161.7
9,9,1688170140000,168.38,168.45,168.37,168.43,109.297
10,10,1688170200000,168.43,168.43,168.36,168.4,106.387
11,11,1688170260000,168.41,168.44,168.39,168.4,46.329
12,12,1688170320000,168.4,168.5,168.4,168.45,208.932
13,13,1688170380000,168.45,168.45,167.99,168.04,299.946
14,14,1688170440000,168.01,168.19,167.98,168.19,208.993
15,15,1688170500000,168.2,168.4,168.17,168.38,285.498
16,16,1688170560000,168.39,168.43,168.34,168.38,156.735
17,17,1688170620000,168.39,168.42,168.24,168.4,251.46
18,18,1688170680000,168.41,168.45,168.34,168.4,155.398
19,19,1688170740000,168.41,168.5,168.4,168.46,272.064
20,20,1688170800000,168.48,168.5,168.39,168.5,230.315
21,21,1688170860000,168.49,168.5,168.37,168.5,261.15
22,22,1688170920000,168.49,168.6,168.44,168.6,449.761
23,23,1688170980000,168.59,168.65,168.54,168.63,124.98
24,24,1688171040000,168.63,168.66,168.54,168.58,101.126
25,25,1688171100000,168.57,168.59,168.51,168.53,60.811
26,26,1688171160000,168.53,168.61,168.53,168.61,58.333
27,27,1688171220000,168.61,168.64,168.57,168.63,82.085
28,28,1688171280000,168.63,168.65,168.49,168.62,162.608
29,29,1688171340000,168.62,168.62,168.5,168.59,166.056
30,30,1688171400000,168.59,168.59,168.5,168.59,100.919
31,31,1688171460000,168.59,168.61,168.58,168.59,78.87
32,32,1688171520000,168.59,168.61,168.56,168.59,46.859
33,33,1688171580000,168.6,168.6,168.59,168.59,0.331
