,index,timestamp,open,high,low,close,volume
0,0,1694476800000,0.4741,0.4741,0.4736,0.474,15875.9
1,1,1694476860000,0.4739,0.4744,0.4739,0.4744,30866.3
2,2,1694476920000,0.4744,0.4744,0.4744,0.4744,5923.3
3,3,1694476980000,0.4744,0.4744,0.4735,0.4735,28622.3
4,4,1694477040000,0.4736,0.4736,0.4736,0.4736,1440.5
5,5,1694477100000,0.4735,0.4735,0.473,0.4732,68038.5
6,6,1694477160000,0.4732,0.4732,0.4732,0.4732,74.3
7,7,1694477220000,0.4733,0.4735,0.4733,0.4735,14411.9
8,8,1694477280000,0.4735,0.4738,0.4735,0.4737,9261.4
9,9,1694477340000,0.4737,0.4737,0.4733,0.4733,7090.4
10,10,1694477400000,0.4731,0.4731,0.4731,0.4731,520.1
11,11,1694477460000,0.4731,0.4731,0.4731,0.4731,0.0
12,12,1694477520000,0.4733,0.4733,0.4733,0.4733,581.2
13,13,1694477580000,0.4733,0.4733,0.4732,0.4732,5899.6
14,14,1694477640000,0.4732,0.4733,0.4732,0.4733,1495.4
15,15,1694477700000,0.4735,0.4736,0.4729,0.4729,4856.2
16,16,1694477760000,0.473,0.4731,0.4729,0.4729,9305.5
17,17,1694477820000,0.473,0.473,0.4728,0.473,9524.1
18,18,1694477880000,0.4729,0.4729,0.4727,0.4727,5131.4
19,19,1694477940000,0.4728,0.4728,0.4728,0.4728,484.8
20,20,1694478000000,0.4727,0.4727,0.4726,0.4726,1638.7
21,21,1694478060000,0.4726,0.4726,0.4725,0.4725,268.1
22,22,1694478120000,0.4724,0.4725,0.4724,0.4725,4735.1
23,23,1694478180000,0.4724,0.4724,0.4722,0.4722,2388.1
24,24,1694478240000,0.4722,0.4722,0.4721,0.4721,21506.1
25,25,1694478300000,0.472,0.472,0.472,0.472,1514.2
26,26,1694478360000,0.472,0.472,0.472,0.472,0.0
27,27,1694478420000,0.4719,0.4719,0.4715,0.4716,11837.2
28,28,1694478480000,0.4716,0.472,0.4716,0.472,4459.6
29,29,1694478540000,0.472,0.4723,0.472,0.472,37234.9
30,30,1694478600000,0.4719,0.4719,0.4719,0.4719,4739.3
31,31,1694478660000,0.4719,0.4719,0.4719,0.4719,1952.8
32,32,1694478720000,0.4718,0.4718,0.4718,0.4718,3584.8
33,33,1694478780000,0.4718,0.4719,0.4716,0.4716,17196.4
34,34,1694478840000,0.4716,0.4717,0.4716,0.4716,3862.5
35,35,1694478900000,0.4715,0.4715,0.4715,0.4715,1023.9
36,36,1694478960000,0.4715,0.4715,0.4715,0.4715,8578.6
37,37,1694479020000,0.4715,0.4715,0.4715,0.4715,0.0
38,38,1694479080000,0.4716,0.4719,0.4716,0.4718,2644.7
39,39,1694479140000,0.4716,0.4716,0.4716,0.4716,561.7
40,40,1694479200000,0.4716,0.4717,0.4716,0.4716,2386.3
41,41,1694479260000,0.4715,0.4715,0.4714,0.4714,11356.2
42,42,1694479320000,0.4713,0.4713,0.4713,0.4713,1295.5
43,43,1694479380000,0.4713,0.4715,0.4712,0.4715,38340.7
44,44,1694479440000,0.4716,0.4718,0.4716,0.4718,12676.8
45,45,1694479500000,0.4718,0.4718,0.4717,0.4718,9728.1
46,46,1694479560000,0.4718,0.4727,0.4718,0.4727,31304.3
47,47,1694479620000,0.4727,0.4732,0.4725,0.4725,34371.6
48,48,1694479680000,0.4727,0.4729,0.4727,0.4729,1173.1
49,49,1694479740000,0.473,0.4731,0.473,0.4731,4602.7
50,50,1694479800000,0.473,0.4738,0.473,0.4738,50717.4
51,51,1694479860000,0.4739,0.4744,0.4733,0.4733,64237.1
52,52,1694479920000,0.4734,0.4736,0.4734,0.4736,3354.0
53,53,1694479980000,0.4735,0.4736,0.4735,0.4735,12859.9
54,54,1694480040000,0.4735,0.4738,0.4734,0.4737,32511.0
55,55,1694480100000,0.4737,0.4737,0.4733,0.4733,22794.3
56,56,1694480160000,0.4732,0.4732,0.4727,0.4727,7454.5
57,57,1694480220000,0.4725,0.4725,0.4725,0.4725,5825.1
58,58,1694480280000,0.4724,0.4724,0.4721,0.4721,29957.0
59,59,1694480340000,0.4721,0.4721,0.472,0.4721,3212.1
60,60,1694480400000,0.4721,0.4723,0.472,0.4723,13988.3
61,61,1694480460000,0.4725,0.4725,0.4723,0.4723,37726.2
62,62,1694480520000,0.4721,0.4721,0.4717,0.4718,23340.5
63,63,1694480580000,0.4717,0.4717,0.4717,0.4717,182.8
64,64,1694480640000,0.4716,0.4716,0.4715,0.4715,422.1
65,65,1694480700000,0.4715,0.4715,0.4714,0.4714,8900.2
66,66,1694480760000,0.4713,0.4713,0.4713,0.4713,239.4
67,67,1694480820000,0.4713,0.4714,0.4713,0.4714,18723.7
68,68,1694480880000,0.4718,0.472,0.4718,0.472,12209.6
69,69,1694480940000,0.4721,0.4724,0.472,0.4722,42870.9
70,70,1694481000000,0.4721,0.4727,0.4721,0.4726,22839.4
71,71,1694481060000,0.4725,0.4725,0.4725,0.4725,3092.1
72,72,1694481120000,0.4726,0.4726,0.4724,0.4724,2110.7
73,73,1694481180000,0.4724,0.4724,0.4724,0.4724,919.8
74,74,1694481240000,0.4723,0.4723,0.4717,0.4717,22405.9
75,75,1694481300000,0.4716,0.4717,0.4716,0.4717,1303.0
76,76,1694481360000,0.4718,0.472,0.4718,0.472,5273.7
77,77,1694481420000,0.4718,0.4718,0.4717,0.4717,3668.4
78,78,1694481480000,0.4717,0.4717,0.4713,0.4713,1016.3
79,79,1694481540000,0.4712,0.4712,0.4711,0.4712,8396.9
80,80,1694481600000,0.4713,0.4713,0.4712,0.4713,1249.1
81,81,1694481660000,0.4711,0.4711,0.4711,0.4711,854.8
82,82,1694481720000,0.471,0.471,0.4708,0.4708,19441.6
83,83,1694481780000,0.4707,0.4708,0.4707,0.4708,3206.0
84,84,1694481840000,0.4708,0.4708,0.4708,0.4708,0.0
85,85,1694481900000,0.4707,0.4707,0.4704,0.4704,10492.9
86,86,1694481960000,0.4704,0.4705,0.4704,0.4705,2898.7
87,87,1694482020000,0.4704,0.4704,0.4696,0.47,130604.2
88,88,1694482080000,0.4699,0.47,0.4698,0.47,3043.4
89,89,1694482140000,0.47,0.4701,0.47,0.4701,38349.2
90,90,1694482200000,0.4702,0.4702,0.4698,0.47,8296.8
91,91,1694482260000,0.4702,0.4702,0.47,0.47,15973.2
92,92,1694482320000,0.4701,0.4702,0.4701,0.4702,2358.8
93,93,1694482380000,0.4701,0.4701,0.4701,0.4701,2172.0
94,94,1694482440000,0.4701,0.4701,0.4701,0.4701,8000.0
95,95,1694482500000,0.4701,0.4701,0.4701,0.4701,905.8
96,96,1694482560000,0.4701,0.4702,0.47,0.4702,6526.8
97,97,1694482620000,0.4702,0.4702,0.4701,0.4701,2552.6
98,98,1694482680000,0.4702,0.4703,0.4701,0.4703,9361.4
99,99,1694482740000,0.4703,0.4708,0.4703,0.4708,63241.9
100,100,1694482800000,0.4707,0.471,0.4707,0.471,16280.5
101,101,1694482860000,0.4709,0.4709,0.4707,0.4707,14505.2
102,102,1694482920000,0.4706,0.4706,0.4706,0.4706,1817.5
103,103,1694482980000,0.4706,0.4706,0.4706,0.4706,0.0
104,104,1694483040000,0.4707,0.4707,0.4707,0.4707,300.0
105,105,1694483100000,0.4704,0.4709,0.4704,0.4709,469.6
106,106,1694483160000,0.4709,0.4709,0.4709,0.4709,1713.3
107,107,1694483220000,0.4709,0.4709,0.4709,0.4709,2927.6
108,108,1694483280000,0.4708,0.4708,0.4708,0.4708,1633.5
109,109,1694483340000,0.4709,0.4711,0.4709,0.4711,16775.6
