,index,timestamp,open,high,low,close,volume
0,0,1693699200000,0.4985,0.4986,0.4983,0.4984,423266.6
1,1,1693699260000,0.4983,0.4984,0.498,0.498,268483.5
2,2,1693699320000,0.498,0.4983,0.498,0.4982,440290.9
3,3,1693699380000,0.4981,0.4982,0.4981,0.4981,17184.8
4,4,1693699440000,0.4981,0.4982,0.498,0.4981,136815.7
5,5,1693699500000,0.4981,0.4982,0.4981,0.4981,76519.7
6,6,1693699560000,0.4981,0.4981,0.498,0.498,134665.8
7,7,1693699620000,0.498,0.4981,0.4979,0.4979,110262.7
8,8,1693699680000,0.4979,0.498,0.4979,0.4979,44856.7
9,9,1693699740000,0.498,0.498,0.4979,0.498,45073.8
10,10,1693699800000,0.4979,0.4981,0.4979,0.498,171530.9
11,11,1693699860000,0.498,0.4981,0.4979,0.498,99591.7
12,12,1693699920000,0.498,0.498,0.4978,0.4979,110066.7
13,13,1693699980000,0.4979,0.4979,0.4978,0.4979,71718.1
14,14,1693700040000,0.4978,0.4979,0.4978,0.4979,13006.2
15,15,1693700100000,0.4978,0.498,0.4978,0.4979,140218.1
16,16,1693700160000,0.4979,0.498,0.4979,0.4979,39385.1
17,17,1693700220000,0.4979,0.498,0.4979,0.498,29543.8
18,18,1693700280000,0.4979,0.4981,0.4979,0.4981,52530.0
19,19,1693700340000,0.498,0.4981,0.498,0.4981,23175.4
20,20,1693700400000,0.498,0.4981,0.498,0.4981,71924.6
21,21,1693700460000,0.498,0.4981,0.4974,0.4975,1093358.8
22,22,1693700520000,0.4975,0.4976,0.4975,0.4975,32957.7
23,23,1693700580000,0.4975,0.4977,0.4975,0.4977,73507.9
24,24,1693700640000,0.4976,0.4978,0.4976,0.4978,132868.9
25,25,1693700700000,0.4977,0.4979,0.4977,0.4979,136202.3
26,26,1693700760000,0.4978,0.4981,0.4978,0.4981,158820.0
27,27,1693700820000,0.498,0.4981,0.498,0.498,11740.5
28,28,1693700880000,0.498,0.4981,0.4977,0.4977,252408.5
29,29,1693700940000,0.4978,0.4978,0.4976,0.4976,82828.5
30,30,1693701000000,0.4976,0.4977,0.4972,0.4974,478420.4
31,31,1693701060000,0.4975,0.4975,0.497,0.4972,625513.0
32,32,1693701120000,0.4972,0.4972,0.4968,0.497,1036603.7
33,33,1693701180000,0.497,0.4973,0.497,0.4973,151261.5
34,34,1693701240000,0.4974,0.4974,0.4973,0.4974,80776.9
35,35,1693701300000,0.4974,0.4976,0.4971,0.4975,638114.1
36,36,1693701360000,0.4976,0.4978,0.4976,0.4977,137339.4
37,37,1693701420000,0.4977,0.4977,0.4972,0.4973,373822.0
38,38,1693701480000,0.4974,0.4974,0.4973,0.4973,29691.3
39,39,1693701540000,0.4973,0.4974,0.4973,0.4974,31674.7
40,40,1693701600000,0.4973,0.4975,0.4973,0.4974,94848.9
41,41,1693701660000,0.4974,0.4975,0.4974,0.4975,40737.7
42,42,1693701720000,0.4975,0.4976,0.4974,0.4975,84215.8
43,43,1693701780000,0.4975,0.4976,0.497,0.4971,438000.9
44,44,1693701840000,0.4972,0.4973,0.4971,0.4973,33903.7
45,45,1693701900000,0.4973,0.4975,0.4972,0.4974,130967.9
46,46,1693701960000,0.4974,0.4976,0.4974,0.4974,176984.8
47,47,1693702020000,0.4974,0.4975,0.4974,0.4974,12909.7
48,48,1693702080000,0.4974,0.4975,0.4973,0.4973,98468.7
49,49,1693702140000,0.4974,0.4977,0.4973,0.4977,132809.5
50,50,1693702200000,0.4977,0.4977,0.4976,0.4977,149271.7
51,51,1693702260000,0.4978,0.4978,0.4977,0.4978,102312.9
52,52,1693702320000,0.4978,0.4978,0.4977,0.4978,32853.3
53,53,1693702380000,0.4978,0.4978,0.4977,0.4977,43051.7
54,54,1693702440000,0.4977,0.4978,0.4976,0.4977,180317.0
55,55,1693702500000,0.4977,0.4982,0.4977,0.4981,1032399.5
56,56,1693702560000,0.4982,0.4983,0.4981,0.4983,229380.6
