,index,timestamp,open,high,low,close,volume
0,0,1688169600000,0.806,0.808,0.805,0.807,73147.1
1,1,1688169660000,0.807,0.807,0.805,0.806,63640.5
2,2,1688169720000,0.806,0.808,0.806,0.807,36238.8
3,3,1688169780000,0.807,0.808,0.806,0.808,54027.1
4,4,1688169840000,0.808,0.808,0.807,0.808,4597.5
5,5,1688169900000,0.808,0.808,0.806,0.807,16134.2
6,6,1688169960000,0.807,0.808,0.807,0.808,26714.6
7,7,1688170020000,0.808,0.809,0.808,0.809,12672.8
8,8,1688170080000,0.809,0.809,0.807,0.807,9241.5
9,9,1688170140000,0.808,0.809,0.807,0.809,29357.5
10,10,1688170200000,0.809,0.809,0.808,0.809,24490.4
11,11,1688170260000,0.809,0.81,0.809,0.809,9613.0
12,12,1688170320000,0.809,0.81,0.808,0.809,9209.8
13,13,1688170380000,0.808,0.808,0.806,0.806,38200.6
14,14,1688170440000,0.805,0.807,0.805,0.807,25371.5
15,15,1688170500000,0.807,0.808,0.806,0.808,11793.8
16,16,1688170560000,0.807,0.808,0.807,0.808,2455.2
17,17,1688170620000,0.807,0.808,0.806,0.808,23636.6
18,18,1688170680000,0.807,0.808,0.807,0.808,1854.5
19,19,1688170740000,0.808,0.809,0.808,0.809,37729.2
20,20,1688170800000,0.809,0.81,0.808,0.809,39410.1
21,21,1688170860000,0.808,0.811,0.808,0.81,60064.9
22,22,1688170920000,0.81,0.811,0.809,0.81,31331.3
23,23,1688170980000,0.81,0.812,0.81,0.812,31974.2
24,24,1688171040000,0.811,0.812,0.811,0.811,1832.2
25,25,1688171100000,0.811,0.812,0.81,0.81,19238.7
26,26,1688171160000,0.81,0.812,0.81,0.811,14669.0
27,27,1688171220000,0.811,0.812,0.811,0.811,1214.3
28,28,1688171280000,0.811,0.813,0.811,0.813,12423.7
29,29,1688171340000,0.813,0.814,0.812,0.813,48434.5
30,30,1688171400000,0.813,0.814,0.812,0.814,41612.3
31,31,1688171460000,0.814,0.814,0.813,0.814,24647.3
32,32,1688171520000,0.814,0.815,0.813,0.814,26623.6
33,33,1688171580000,0.814,0.815,0.814,0.814,3207.7
34,34,1688171640000,0.814,0.815,0.814,0.815,2543.2
35,35,1688171700000,0.814,0.815,0.813,0.814,41078.7
36,36,1688171760000,0.814,0.815,0.813,0.813,13002.4
37,37,1688171820000,0.813,0.813,0.813,0.813,3453.1
38,38,1688171880000,0.813,0.815,0.813,0.815,29941.9
39,39,1688171940000,0.815,0.816,0.814,0.815,35037.8
40,40,1688172000000,0.816,0.816,0.815,0.816,3680.5
41,41,1688172060000,0.815,0.816,0.815,0.816,9918.3
42,42,1688172120000,0.816,0.817,0.816,0.817,2048.3
43,43,1688172180000,0.817,0.817,0.816,0.817,2891.9
44,44,1688172240000,0.817,0.817,0.816,0.817,3517.6
45,45,1688172300000,0.817,0.817,0.815,0.816,56499.0
46,46,1688172360000,0.815,0.817,0.815,0.816,47549.3
47,47,1688172420000,0.816,0.817,0.815,0.816,13610.6
