,index,timestamp,open,high,low,close,volume
0,0,1694822400000,0.675,0.676,0.675,0.675,67852.3
1,1,1694822460000,0.675,0.676,0.675,0.676,23651.4
2,2,1694822520000,0.676,0.676,0.675,0.675,1757.1
3,3,1694822580000,0.675,0.676,0.675,0.676,4224.7
4,4,1694822640000,0.676,0.676,0.675,0.676,4723.4
5,5,1694822700000,0.676,0.676,0.673,0.674,54921.1
6,6,1694822760000,0.674,0.675,0.674,0.675,21413.3
7,7,1694822820000,0.675,0.675,0.675,0.675,118.3
8,8,1694822880000,0.676,0.677,0.676,0.677,19441.8
9,9,1694822940000,0.677,0.677,0.676,0.676,337.8
10,10,1694823000000,0.677,0.677,0.676,0.677,2985.8
11,11,1694823060000,0.676,0.677,0.676,0.676,9493.3
12,12,1694823120000,0.677,0.677,0.676,0.676,8616.8
13,13,1694823180000,0.676,0.676,0.676,0.676,21175.4
14,14,1694823240000,0.676,0.676,0.675,0.675,19203.1
15,15,1694823300000,0.676,0.676,0.675,0.676,6530.5
16,16,1694823360000,0.675,0.676,0.675,0.676,2665.6
17,17,1694823420000,0.677,0.677,0.676,0.677,443.5
18,18,1694823480000,0.677,0.677,0.676,0.677,448.0
19,19,1694823540000,0.677,0.677,0.676,0.677,298.7
20,20,1694823600000,0.676,0.677,0.676,0.677,237.3
21,21,1694823660000,0.677,0.677,0.676,0.677,795.6
22,22,1694823720000,0.677,0.677,0.676,0.676,2887.5
23,23,1694823780000,0.677,0.677,0.677,0.677,2369.2
24,24,1694823840000,0.676,0.676,0.676,0.676,336.8
25,25,1694823900000,0.677,0.677,0.676,0.676,133.2
26,26,1694823960000,0.677,0.677,0.676,0.676,3748.7
27,27,1694824020000,0.677,0.677,0.677,0.677,23144.8
28,28,1694824080000,0.678,0.678,0.677,0.677,30.7
29,29,1694824140000,0.678,0.679,0.678,0.678,8111.5
30,30,1694824200000,0.679,0.679,0.678,0.678,824.6
31,31,1694824260000,0.678,0.68,0.678,0.679,64751.5
32,32,1694824320000,0.679,0.679,0.679,0.679,117.2
33,33,1694824380000,0.679,0.679,0.678,0.679,6598.7
34,34,1694824440000,0.679,0.68,0.679,0.68,5883.4
35,35,1694824500000,0.679,0.68,0.679,0.68,19435.1
36,36,1694824560000,0.68,0.68,0.679,0.68,724.1
37,37,1694824620000,0.68,0.68,0.679,0.679,9112.2
38,38,1694824680000,0.679,0.68,0.677,0.677,113925.6
39,39,1694824740000,0.677,0.679,0.677,0.679,23096.9
40,40,1694824800000,0.678,0.679,0.677,0.677,7873.2
41,41,1694824860000,0.677,0.678,0.677,0.677,714.3
42,42,1694824920000,0.677,0.678,0.676,0.677,20297.9
43,43,1694824980000,0.677,0.677,0.676,0.676,8456.9
44,44,1694825040000,0.677,0.677,0.676,0.676,517.9
45,45,1694825100000,0.677,0.677,0.676,0.676,2839.2
46,46,1694825160000,0.677,0.678,0.677,0.678,28104.4
47,47,1694825220000,0.678,0.678,0.678,0.678,13661.0
